Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 310249 to 310249
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
[?1034hDumping EventVeto data from run 310249 to run 310249  lasting from Sun Oct  9 09:54:42 2016 UTC to Mon Oct 10 06:11:42 2016 UTC
Event Veto ['MiniNoiseBurst'], Sun Oct  9 10:12:33 2016 UTC-Sun Oct  9 10:12:33 2016 UTC (0.010 )  Time stamp start 1476007953738546990 end 1476007953728545495  Run 310249, LB 20, lumi 0.00
Event Veto ['MiniNoiseBurst'], Sun Oct  9 12:13:48 2016 UTC-Sun Oct  9 12:13:48 2016 UTC (0.010 )  Time stamp start 1476015228878082835 end 1476015228868082835  Run 310249, LB 145, lumi 0.00
Event Veto ['MiniNoiseBurst'], Sun Oct  9 12:33:28 2016 UTC-Sun Oct  9 12:33:28 2016 UTC (0.010 )  Time stamp start 1476016408235060070 end 1476016408225060070  Run 310249, LB 165, lumi 7.92
Event Veto ['MiniNoiseBurst'], Sun Oct  9 12:33:33 2016 UTC-Sun Oct  9 12:33:33 2016 UTC (0.010 )  Time stamp start 1476016413201025800 end 1476016413191025800  Run 310249, LB 165, lumi 7.92
Event Veto ['MiniNoiseBurst'], Sun Oct  9 12:33:37 2016 UTC-Sun Oct  9 12:33:37 2016 UTC (0.010 )  Time stamp start 1476016417462373710 end 1476016417452373710  Run 310249, LB 166, lumi 74.30
Event Veto ['MiniNoiseBurst'], Sun Oct  9 12:33:46 2016 UTC-Sun Oct  9 12:33:46 2016 UTC (0.000 )  Time stamp start 1476016426364147770 end 1476016426364147520  Run 310249, LB 166, lumi 0.00
Event Veto ['MiniNoiseBurst'], Sun Oct  9 12:34:01 2016 UTC-Sun Oct  9 12:34:01 2016 UTC (0.010 )  Time stamp start 1476016441863902420 end 1476016441853902420  Run 310249, LB 166, lumi 74.30
Event Veto ['MiniNoiseBurst'], Sun Oct  9 12:34:06 2016 UTC-Sun Oct  9 12:34:06 2016 UTC (0.010 )  Time stamp start 1476016446288411620 end 1476016446278411620  Run 310249, LB 166, lumi 74.30
Event Veto ['MiniNoiseBurst'], Sun Oct  9 12:34:13 2016 UTC-Sun Oct  9 12:34:13 2016 UTC (0.010 )  Time stamp start 1476016453040008640 end 1476016453030008640  Run 310249, LB 167, lumi 71.01
Event Veto ['MiniNoiseBurst'], Sun Oct  9 12:34:34 2016 UTC-Sun Oct  9 12:34:34 2016 UTC (0.010 )  Time stamp start 1476016474091564115 end 1476016474081563965  Run 310249, LB 167, lumi 71.02
Event Veto ['MiniNoiseBurst'], Sun Oct  9 12:34:38 2016 UTC-Sun Oct  9 12:34:38 2016 UTC (0.010 )  Time stamp start 1476016478547290685 end 1476016478537290685  Run 310249, LB 167, lumi 71.01
