Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 310341 to 310341
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
[?1034hDumping EventVeto data from run 310341 to run 310341  lasting from Mon Oct 10 12:37:17 2016 UTC to Tue Oct 11 07:08:26 2016 UTC
Event Veto ['MiniNoiseBurst'], Mon Oct 10 14:04:09 2016 UTC-Mon Oct 10 14:04:09 2016 UTC (0.000 )  Time stamp start 1476108249990826955 end 1476108249990826080  Run 310341, LB 91, lumi 0.00
Event Veto ['MiniNoiseBurst'], Mon Oct 10 14:04:14 2016 UTC-Mon Oct 10 14:04:14 2016 UTC (0.010 )  Time stamp start 1476108254390537530 end 1476108254380537530  Run 310341, LB 92, lumi 98.22
Event Veto ['MiniNoiseBurst'], Mon Oct 10 14:04:31 2016 UTC-Mon Oct 10 14:04:31 2016 UTC (0.010 )  Time stamp start 1476108271941467515 end 1476108271931467515  Run 310341, LB 92, lumi 98.22
Event Veto ['MiniNoiseBurst'], Mon Oct 10 14:04:35 2016 UTC-Mon Oct 10 14:04:35 2016 UTC (0.010 )  Time stamp start 1476108275035990775 end 1476108275025990775  Run 310341, LB 92, lumi 98.22
Event Veto ['MiniNoiseBurst'], Mon Oct 10 14:04:49 2016 UTC-Mon Oct 10 14:04:49 2016 UTC (0.010 )  Time stamp start 1476108289228421100 end 1476108289218421100  Run 310341, LB 93, lumi 96.51
Event Veto ['MiniNoiseBurst'], Mon Oct 10 14:04:53 2016 UTC-Mon Oct 10 14:04:53 2016 UTC (0.000 )  Time stamp start 1476108293777400710 end 1476108293777399560  Run 310341, LB 93, lumi 0.01
Event Veto ['MiniNoiseBurst'], Mon Oct 10 14:04:56 2016 UTC-Mon Oct 10 14:04:56 2016 UTC (0.010 )  Time stamp start 1476108296312835845 end 1476108296302835845  Run 310341, LB 93, lumi 96.51
Event Veto ['MiniNoiseBurst'], Mon Oct 10 14:05:00 2016 UTC-Mon Oct 10 14:05:00 2016 UTC (0.010 )  Time stamp start 1476108300253543210 end 1476108300243543210  Run 310341, LB 93, lumi 96.51
Event Veto ['MiniNoiseBurst'], Mon Oct 10 14:05:09 2016 UTC-Mon Oct 10 14:05:09 2016 UTC (0.000 )  Time stamp start 1476108309891280380 end 1476108309891279860  Run 310341, LB 93, lumi 0.01
Event Veto ['MiniNoiseBurst'], Mon Oct 10 14:05:16 2016 UTC-Mon Oct 10 14:05:16 2016 UTC (0.010 )  Time stamp start 1476108316849289515 end 1476108316839289515  Run 310341, LB 93, lumi 96.51
Event Veto ['MiniNoiseBurst'], Mon Oct 10 14:05:21 2016 UTC-Mon Oct 10 14:05:21 2016 UTC (0.010 )  Time stamp start 1476108321429517775 end 1476108321419517775  Run 310341, LB 93, lumi 96.51
Event Veto ['MiniNoiseBurst'], Mon Oct 10 14:05:23 2016 UTC-Mon Oct 10 14:05:23 2016 UTC (0.010 )  Time stamp start 1476108323978426340 end 1476108323968426340  Run 310341, LB 93, lumi 96.51
Event Veto ['NoiseBurst'], Mon Oct 10 14:05:30 2016 UTC-Mon Oct 10 14:05:30 2016 UTC (0.010 )  Time stamp start 1476108330222199815 end 1476108330212199690  Run 310341, LB 93, lumi 96.51
Event Veto ['MiniNoiseBurst'], Mon Oct 10 14:05:33 2016 UTC-Mon Oct 10 14:05:33 2016 UTC (0.010 )  Time stamp start 1476108333665336260 end 1476108333655336260  Run 310341, LB 93, lumi 96.51
Event Veto ['MiniNoiseBurst'], Mon Oct 10 14:05:37 2016 UTC-Mon Oct 10 14:05:37 2016 UTC (0.010 )  Time stamp start 1476108337812293050 end 1476108337802293050  Run 310341, LB 93, lumi 96.51
Event Veto ['MiniNoiseBurst'], Mon Oct 10 14:05:52 2016 UTC-Mon Oct 10 14:05:52 2016 UTC (0.010 )  Time stamp start 1476108352588564545 end 1476108352578564370  Run 310341, LB 94, lumi 91.61
Event Veto ['MiniNoiseBurst'], Mon Oct 10 14:05:57 2016 UTC-Mon Oct 10 14:05:57 2016 UTC (0.010 )  Time stamp start 1476108357613232100 end 1476108357603232100  Run 310341, LB 94, lumi 91.61
Event Veto ['MiniNoiseBurst'], Mon Oct 10 14:06:03 2016 UTC-Mon Oct 10 14:06:03 2016 UTC (0.000 )  Time stamp start 1476108363450886780 end 1476108363450885880  Run 310341, LB 94, lumi 0.01
Event Veto ['MiniNoiseBurst'], Mon Oct 10 14:06:10 2016 UTC-Mon Oct 10 14:06:10 2016 UTC (0.010 )  Time stamp start 1476108370532098440 end 1476108370522098440  Run 310341, LB 94, lumi 91.61
Event Veto ['NoiseBurst'], Mon Oct 10 14:06:14 2016 UTC-Mon Oct 10 14:06:14 2016 UTC (0.010 )  Time stamp start 1476108374167681340 end 1476108374157539945  Run 310341, LB 94, lumi 92.90
Event Veto ['NoiseBurst'], Mon Oct 10 14:06:18 2016 UTC-Mon Oct 10 14:06:18 2016 UTC (0.019 )  Time stamp start 1476108378034660465 end 1476108378015882220  Run 310341, LB 94, lumi 172.02
Event Veto ['MiniNoiseBurst'], Mon Oct 10 14:06:20 2016 UTC-Mon Oct 10 14:06:20 2016 UTC (0.010 )  Time stamp start 1476108380685010555 end 1476108380675010555  Run 310341, LB 94, lumi 91.61
