Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 310473 to 310473
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
[?1034hDumping EventVeto data from run 310473 to run 310473  lasting from Thu Oct 13 03:34:48 2016 UTC to Thu Oct 13 12:06:59 2016 UTC
Event Veto ['MiniNoiseBurst'], Thu Oct 13 03:43:06 2016 UTC-Thu Oct 13 03:43:06 2016 UTC (0.010 )  Time stamp start 1476330186812241915 end 1476330186802241170  Run 310473, LB 10, lumi 0.00
Event Veto ['MiniNoiseBurst'], Thu Oct 13 03:55:49 2016 UTC-Thu Oct 13 03:55:49 2016 UTC (0.010 )  Time stamp start 1476330949621005095 end 1476330949611004795  Run 310473, LB 23, lumi 0.00
Event Veto ['MiniNoiseBurst'], Thu Oct 13 04:11:14 2016 UTC-Thu Oct 13 04:11:14 2016 UTC (0.010 )  Time stamp start 1476331874938131415 end 1476331874928131415  Run 310473, LB 38, lumi 0.00
Event Veto ['MiniNoiseBurst'], Thu Oct 13 04:33:31 2016 UTC-Thu Oct 13 04:33:31 2016 UTC (0.010 )  Time stamp start 1476333211567822785 end 1476333211557822785  Run 310473, LB 63, lumi 0.00
Event Veto ['MiniNoiseBurst'], Thu Oct 13 04:49:28 2016 UTC-Thu Oct 13 04:49:28 2016 UTC (0.010 )  Time stamp start 1476334168708949605 end 1476334168698949605  Run 310473, LB 79, lumi 0.00
Event Veto ['MiniNoiseBurst'], Thu Oct 13 04:57:35 2016 UTC-Thu Oct 13 04:57:35 2016 UTC (0.010 )  Time stamp start 1476334655838289950 end 1476334655828289250  Run 310473, LB 89, lumi 18.82
Event Veto ['MiniNoiseBurst'], Thu Oct 13 04:57:37 2016 UTC-Thu Oct 13 04:57:37 2016 UTC (0.018 )  Time stamp start 1476334657701989930 end 1476334657684316205  Run 310473, LB 89, lumi 33.26
Event Veto ['MiniNoiseBurst'], Thu Oct 13 04:57:38 2016 UTC-Thu Oct 13 04:57:38 2016 UTC (0.015 )  Time stamp start 1476334658743653030 end 1476334658728171000  Run 310473, LB 89, lumi 29.14
Event Veto ['MiniNoiseBurst'], Thu Oct 13 04:57:40 2016 UTC-Thu Oct 13 04:57:40 2016 UTC (0.014 )  Time stamp start 1476334660741321840 end 1476334660727469520  Run 310473, LB 89, lumi 26.07
Event Veto ['MiniNoiseBurst'], Thu Oct 13 04:57:42 2016 UTC-Thu Oct 13 04:57:42 2016 UTC (0.012 )  Time stamp start 1476334662073564375 end 1476334662061710585  Run 310473, LB 89, lumi 22.31
Event Veto ['MiniNoiseBurst'], Thu Oct 13 04:57:43 2016 UTC-Thu Oct 13 04:57:43 2016 UTC (0.010 )  Time stamp start 1476334663332162655 end 1476334663322162480  Run 310473, LB 89, lumi 18.82
Event Veto ['MiniNoiseBurst'], Thu Oct 13 04:57:44 2016 UTC-Thu Oct 13 04:57:44 2016 UTC (0.010 )  Time stamp start 1476334664372703420 end 1476334664362703295  Run 310473, LB 89, lumi 18.82
Event Veto ['MiniNoiseBurst'], Thu Oct 13 04:57:44 2016 UTC-Thu Oct 13 04:57:44 2016 UTC (0.010 )  Time stamp start 1476334664966526185 end 1476334664956301605  Run 310473, LB 89, lumi 19.24
Event Veto ['MiniNoiseBurst'], Thu Oct 13 04:57:45 2016 UTC-Thu Oct 13 04:57:45 2016 UTC (0.010 )  Time stamp start 1476334665909056405 end 1476334665899056405  Run 310473, LB 89, lumi 18.82
Event Veto ['MiniNoiseBurst'], Thu Oct 13 04:57:47 2016 UTC-Thu Oct 13 04:57:47 2016 UTC (0.010 )  Time stamp start 1476334667339158335 end 1476334667329158335  Run 310473, LB 89, lumi 18.82
Event Veto ['MiniNoiseBurst'], Thu Oct 13 04:57:48 2016 UTC-Thu Oct 13 04:57:48 2016 UTC (0.015 )  Time stamp start 1476334668305568530 end 1476334668290515230  Run 310473, LB 89, lumi 28.33
Event Veto ['MiniNoiseBurst'], Thu Oct 13 04:57:49 2016 UTC-Thu Oct 13 04:57:49 2016 UTC (0.010 )  Time stamp start 1476334669733157845 end 1476334669723157845  Run 310473, LB 89, lumi 18.82
Event Veto ['MiniNoiseBurst'], Thu Oct 13 04:57:51 2016 UTC-Thu Oct 13 04:57:51 2016 UTC (0.013 )  Time stamp start 1476334671486253665 end 1476334671472783970  Run 310473, LB 89, lumi 25.35
Event Veto ['MiniNoiseBurst'], Thu Oct 13 04:57:52 2016 UTC-Thu Oct 13 04:57:52 2016 UTC (0.010 )  Time stamp start 1476334672318873430 end 1476334672308873430  Run 310473, LB 89, lumi 18.82
Event Veto ['MiniNoiseBurst'], Thu Oct 13 04:57:53 2016 UTC-Thu Oct 13 04:57:53 2016 UTC (0.010 )  Time stamp start 1476334673363958700 end 1476334673353958700  Run 310473, LB 89, lumi 18.82
Event Veto ['MiniNoiseBurst'], Thu Oct 13 04:57:54 2016 UTC-Thu Oct 13 04:57:54 2016 UTC (0.024 )  Time stamp start 1476334674229004515 end 1476334674204884295  Run 310473, LB 89, lumi 45.39
Event Veto ['MiniNoiseBurst'], Thu Oct 13 04:57:55 2016 UTC-Thu Oct 13 04:57:55 2016 UTC (0.012 )  Time stamp start 1476334675300806040 end 1476334675288898855  Run 310473, LB 89, lumi 22.41
Event Veto ['MiniNoiseBurst'], Thu Oct 13 04:57:56 2016 UTC-Thu Oct 13 04:57:56 2016 UTC (0.020 )  Time stamp start 1476334676701241315 end 1476334676680846935  Run 310473, LB 89, lumi 38.38
Event Veto ['MiniNoiseBurst'], Thu Oct 13 04:57:58 2016 UTC-Thu Oct 13 04:57:58 2016 UTC (0.018 )  Time stamp start 1476334678536085615 end 1476334678517957435  Run 310473, LB 90, lumi 230.12
Event Veto ['MiniNoiseBurst'], Thu Oct 13 04:57:59 2016 UTC-Thu Oct 13 04:57:59 2016 UTC (0.010 )  Time stamp start 1476334679471967755 end 1476334679461967755  Run 310473, LB 90, lumi 126.94
Event Veto ['MiniNoiseBurst'], Thu Oct 13 04:58:00 2016 UTC-Thu Oct 13 04:58:00 2016 UTC (0.020 )  Time stamp start 1476334680563738605 end 1476334680544033765  Run 310473, LB 90, lumi 250.13
Event Veto ['MiniNoiseBurst'], Thu Oct 13 04:58:01 2016 UTC-Thu Oct 13 04:58:01 2016 UTC (0.010 )  Time stamp start 1476334681341119275 end 1476334681331119275  Run 310473, LB 90, lumi 126.94
Event Veto ['MiniNoiseBurst'], Thu Oct 13 04:58:01 2016 UTC-Thu Oct 13 04:58:01 2016 UTC (0.010 )  Time stamp start 1476334681925154190 end 1476334681915154190  Run 310473, LB 90, lumi 126.94
Event Veto ['MiniNoiseBurst'], Thu Oct 13 04:58:03 2016 UTC-Thu Oct 13 04:58:03 2016 UTC (0.015 )  Time stamp start 1476334683161881475 end 1476334683146470810  Run 310473, LB 90, lumi 195.62
