Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 310634 to 310634
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
[?1034hDumping EventVeto data from run 310634 to run 310634  lasting from Fri Oct 14 18:00:39 2016 UTC to Sat Oct 15 18:10:24 2016 UTC
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:21:20 2016 UTC-Fri Oct 14 18:21:20 2016 UTC (0.001 )  Time stamp start 1476469280243240830 end 1476469280242240830  Run 310634, LB 23, lumi 0.00
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:29:38 2016 UTC-Fri Oct 14 18:29:38 2016 UTC (0.001 )  Time stamp start 1476469778669244330 end 1476469778668244330  Run 310634, LB 32, lumi 4.78
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:29:40 2016 UTC-Fri Oct 14 18:29:40 2016 UTC (0.001 )  Time stamp start 1476469780134547640 end 1476469780133547640  Run 310634, LB 32, lumi 4.78
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:29:40 2016 UTC-Fri Oct 14 18:29:40 2016 UTC (0.001 )  Time stamp start 1476469780876432765 end 1476469780875544240  Run 310634, LB 32, lumi 4.25
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:29:43 2016 UTC-Fri Oct 14 18:29:43 2016 UTC (0.002 )  Time stamp start 1476469783262115620 end 1476469783260448235  Run 310634, LB 32, lumi 7.97
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:29:44 2016 UTC-Fri Oct 14 18:29:44 2016 UTC (0.001 )  Time stamp start 1476469784289956035 end 1476469784288955885  Run 310634, LB 32, lumi 4.78
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:29:46 2016 UTC-Fri Oct 14 18:29:46 2016 UTC (0.001 )  Time stamp start 1476469786422499160 end 1476469786421499160  Run 310634, LB 32, lumi 4.78
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:29:47 2016 UTC-Fri Oct 14 18:29:47 2016 UTC (0.001 )  Time stamp start 1476469787410705375 end 1476469787409705375  Run 310634, LB 32, lumi 4.78
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:29:48 2016 UTC-Fri Oct 14 18:29:48 2016 UTC (0.001 )  Time stamp start 1476469788347072610 end 1476469788345786725  Run 310634, LB 32, lumi 6.15
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:29:49 2016 UTC-Fri Oct 14 18:29:49 2016 UTC (0.001 )  Time stamp start 1476469789455546355 end 1476469789454546355  Run 310634, LB 32, lumi 4.78
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:29:50 2016 UTC-Fri Oct 14 18:29:50 2016 UTC (0.001 )  Time stamp start 1476469790781209950 end 1476469790780209950  Run 310634, LB 32, lumi 4.78
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:29:52 2016 UTC-Fri Oct 14 18:29:52 2016 UTC (0.001 )  Time stamp start 1476469792370093000 end 1476469792369093000  Run 310634, LB 32, lumi 4.78
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:29:53 2016 UTC-Fri Oct 14 18:29:53 2016 UTC (0.001 )  Time stamp start 1476469793519856355 end 1476469793518856355  Run 310634, LB 32, lumi 4.78
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:29:54 2016 UTC-Fri Oct 14 18:29:54 2016 UTC (0.001 )  Time stamp start 1476469794858545760 end 1476469794857545760  Run 310634, LB 32, lumi 4.78
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:29:56 2016 UTC-Fri Oct 14 18:29:56 2016 UTC (0.001 )  Time stamp start 1476469796155580180 end 1476469796154580180  Run 310634, LB 32, lumi 4.78
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:29:57 2016 UTC-Fri Oct 14 18:29:57 2016 UTC (0.001 )  Time stamp start 1476469797571376180 end 1476469797570376180  Run 310634, LB 32, lumi 4.78
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:29:58 2016 UTC-Fri Oct 14 18:29:58 2016 UTC (0.001 )  Time stamp start 1476469798789339885 end 1476469798788339885  Run 310634, LB 32, lumi 4.78
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:30:02 2016 UTC-Fri Oct 14 18:30:02 2016 UTC (0.001 )  Time stamp start 1476469802143475925 end 1476469802142475775  Run 310634, LB 33, lumi 13.01
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:30:03 2016 UTC-Fri Oct 14 18:30:03 2016 UTC (0.001 )  Time stamp start 1476469803842286045 end 1476469803841285870  Run 310634, LB 33, lumi 13.01
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:30:05 2016 UTC-Fri Oct 14 18:30:05 2016 UTC (0.001 )  Time stamp start 1476469805321241300 end 1476469805320241300  Run 310634, LB 33, lumi 13.01
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:30:06 2016 UTC-Fri Oct 14 18:30:06 2016 UTC (0.001 )  Time stamp start 1476469806633097435 end 1476469806632097435  Run 310634, LB 33, lumi 13.01
