Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 310691 to 310691
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
[?1034hDumping EventVeto data from run 310691 to run 310691  lasting from Sat Oct 15 19:43:20 2016 UTC to Sun Oct 16 09:08:14 2016 UTC
Event Veto ['MiniNoiseBurst'], Sat Oct 15 19:48:12 2016 UTC-Sat Oct 15 19:48:12 2016 UTC (0.001 )  Time stamp start 1476560892322421815 end 1476560892321421690  Run 310691, LB 7, lumi 0.00
Event Veto ['MiniNoiseBurst'], Sat Oct 15 21:20:08 2016 UTC-Sat Oct 15 21:20:08 2016 UTC (0.001 )  Time stamp start 1476566408060730175 end 1476566408059730175  Run 310691, LB 102, lumi 0.00
Event Veto ['MiniNoiseBurst'], Sat Oct 15 21:26:50 2016 UTC-Sat Oct 15 21:26:50 2016 UTC (0.001 )  Time stamp start 1476566810260714385 end 1476566810259714385  Run 310691, LB 109, lumi 0.00
Event Veto ['MiniNoiseBurst'], Sat Oct 15 21:33:48 2016 UTC-Sat Oct 15 21:33:48 2016 UTC (0.001 )  Time stamp start 1476567228247057230 end 1476567228246057230  Run 310691, LB 116, lumi 5.60
Event Veto ['MiniNoiseBurst'], Sat Oct 15 21:33:49 2016 UTC-Sat Oct 15 21:33:49 2016 UTC (0.001 )  Time stamp start 1476567229171689795 end 1476567229170689795  Run 310691, LB 116, lumi 5.60
Event Veto ['MiniNoiseBurst'], Sat Oct 15 21:33:51 2016 UTC-Sat Oct 15 21:33:51 2016 UTC (0.001 )  Time stamp start 1476567231379083630 end 1476567231377868280  Run 310691, LB 116, lumi 6.81
Event Veto ['MiniNoiseBurst'], Sat Oct 15 21:33:54 2016 UTC-Sat Oct 15 21:33:54 2016 UTC (0.002 )  Time stamp start 1476567234015178685 end 1476567234013425845  Run 310691, LB 116, lumi 9.82
Event Veto ['MiniNoiseBurst'], Sat Oct 15 21:33:54 2016 UTC-Sat Oct 15 21:33:54 2016 UTC (0.001 )  Time stamp start 1476567234451718205 end 1476567234450718085  Run 310691, LB 116, lumi 5.60
Event Veto ['MiniNoiseBurst'], Sat Oct 15 21:33:58 2016 UTC-Sat Oct 15 21:33:58 2016 UTC (0.001 )  Time stamp start 1476567238410594695 end 1476567238409594695  Run 310691, LB 116, lumi 5.60
Event Veto ['MiniNoiseBurst'], Sat Oct 15 21:33:58 2016 UTC-Sat Oct 15 21:33:58 2016 UTC (0.001 )  Time stamp start 1476567238706224140 end 1476567238705224140  Run 310691, LB 116, lumi 5.60
Event Veto ['MiniNoiseBurst'], Sat Oct 15 21:34:00 2016 UTC-Sat Oct 15 21:34:00 2016 UTC (0.001 )  Time stamp start 1476567240241573205 end 1476567240240573205  Run 310691, LB 116, lumi 5.60
Event Veto ['MiniNoiseBurst'], Sat Oct 15 21:34:00 2016 UTC-Sat Oct 15 21:34:00 2016 UTC (0.001 )  Time stamp start 1476567240524765105 end 1476567240523764930  Run 310691, LB 116, lumi 5.60
Event Veto ['MiniNoiseBurst'], Sat Oct 15 21:34:00 2016 UTC-Sat Oct 15 21:34:00 2016 UTC (0.001 )  Time stamp start 1476567240938249495 end 1476567240937249495  Run 310691, LB 116, lumi 5.60
Event Veto ['MiniNoiseBurst'], Sat Oct 15 21:34:01 2016 UTC-Sat Oct 15 21:34:01 2016 UTC (0.001 )  Time stamp start 1476567241632949860 end 1476567241631949860  Run 310691, LB 116, lumi 5.60
Event Veto ['MiniNoiseBurst'], Sat Oct 15 21:34:02 2016 UTC-Sat Oct 15 21:34:02 2016 UTC (0.001 )  Time stamp start 1476567242853028055 end 1476567242852028055  Run 310691, LB 116, lumi 5.60
Event Veto ['MiniNoiseBurst'], Sat Oct 15 21:34:03 2016 UTC-Sat Oct 15 21:34:03 2016 UTC (0.002 )  Time stamp start 1476567243260321120 end 1476567243258414210  Run 310691, LB 116, lumi 10.68
Event Veto ['MiniNoiseBurst'], Sat Oct 15 21:34:03 2016 UTC-Sat Oct 15 21:34:03 2016 UTC (0.001 )  Time stamp start 1476567243781146315 end 1476567243780146315  Run 310691, LB 116, lumi 5.60
Event Veto ['MiniNoiseBurst'], Sat Oct 15 21:34:04 2016 UTC-Sat Oct 15 21:34:04 2016 UTC (0.001 )  Time stamp start 1476567244235939025 end 1476567244234939025  Run 310691, LB 116, lumi 5.60
Event Veto ['MiniNoiseBurst'], Sat Oct 15 21:34:05 2016 UTC-Sat Oct 15 21:34:05 2016 UTC (0.001 )  Time stamp start 1476567245294720365 end 1476567245293720365  Run 310691, LB 116, lumi 5.60
Event Veto ['MiniNoiseBurst'], Sat Oct 15 21:34:05 2016 UTC-Sat Oct 15 21:34:05 2016 UTC (0.001 )  Time stamp start 1476567245923329640 end 1476567245922329640  Run 310691, LB 116, lumi 5.60
