Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 310738 to 310738
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
[?1034hDumping EventVeto data from run 310738 to run 310738  lasting from Sun Oct 16 18:18:32 2016 UTC to Mon Oct 17 10:22:54 2016 UTC
Event Veto ['MiniNoiseBurst'], Sun Oct 16 19:48:10 2016 UTC-Sun Oct 16 19:48:10 2016 UTC (0.001 )  Time stamp start 1476647290316961610 end 1476647290315961610  Run 310738, LB 95, lumi 13.24
Event Veto ['MiniNoiseBurst'], Sun Oct 16 19:52:19 2016 UTC-Sun Oct 16 19:52:19 2016 UTC (0.001 )  Time stamp start 1476647539559366655 end 1476647539558366655  Run 310738, LB 99, lumi 12.41
Event Veto ['MiniNoiseBurst'], Sun Oct 16 19:52:21 2016 UTC-Sun Oct 16 19:52:21 2016 UTC (0.001 )  Time stamp start 1476647541979434920 end 1476647541978434920  Run 310738, LB 99, lumi 12.41
Event Veto ['MiniNoiseBurst'], Sun Oct 16 19:52:23 2016 UTC-Sun Oct 16 19:52:23 2016 UTC (0.001 )  Time stamp start 1476647543504013795 end 1476647543503013795  Run 310738, LB 99, lumi 12.41
Event Veto ['MiniNoiseBurst'], Sun Oct 16 19:52:25 2016 UTC-Sun Oct 16 19:52:25 2016 UTC (0.001 )  Time stamp start 1476647545426654480 end 1476647545425654355  Run 310738, LB 99, lumi 12.41
Event Veto ['MiniNoiseBurst'], Sun Oct 16 19:52:28 2016 UTC-Sun Oct 16 19:52:28 2016 UTC (0.001 )  Time stamp start 1476647548044431810 end 1476647548043431685  Run 310738, LB 99, lumi 12.41
Event Veto ['MiniNoiseBurst'], Sun Oct 16 19:52:29 2016 UTC-Sun Oct 16 19:52:29 2016 UTC (0.001 )  Time stamp start 1476647549843629455 end 1476647549842448165  Run 310738, LB 99, lumi 14.66
Event Veto ['MiniNoiseBurst'], Sun Oct 16 19:52:32 2016 UTC-Sun Oct 16 19:52:32 2016 UTC (0.001 )  Time stamp start 1476647552784977685 end 1476647552783977685  Run 310738, LB 99, lumi 12.41
Event Veto ['MiniNoiseBurst'], Sun Oct 16 19:52:33 2016 UTC-Sun Oct 16 19:52:33 2016 UTC (0.001 )  Time stamp start 1476647553715755380 end 1476647553714755380  Run 310738, LB 99, lumi 12.41
Event Veto ['NoiseBurst'], Sun Oct 16 19:52:34 2016 UTC-Sun Oct 16 19:52:34 2016 UTC (0.010 )  Time stamp start 1476647554551046650 end 1476647554541025040  Run 310738, LB 99, lumi 124.39
Event Veto ['MiniNoiseBurst'], Sun Oct 16 19:52:35 2016 UTC-Sun Oct 16 19:52:35 2016 UTC (0.001 )  Time stamp start 1476647555289927820 end 1476647555288562490  Run 310738, LB 99, lumi 16.95
Event Veto ['MiniNoiseBurst'], Sun Oct 16 19:52:36 2016 UTC-Sun Oct 16 19:52:36 2016 UTC (0.001 )  Time stamp start 1476647556857531850 end 1476647556856531850  Run 310738, LB 99, lumi 12.41
Event Veto ['MiniNoiseBurst'], Sun Oct 16 19:52:37 2016 UTC-Sun Oct 16 19:52:37 2016 UTC (0.001 )  Time stamp start 1476647557823417180 end 1476647557822416880  Run 310738, LB 99, lumi 12.42
Event Veto ['NoiseBurst'], Sun Oct 16 19:52:39 2016 UTC-Sun Oct 16 19:52:39 2016 UTC (0.010 )  Time stamp start 1476647559809043175 end 1476647559799031770  Run 310738, LB 99, lumi 124.27
Event Veto ['MiniNoiseBurst'], Sun Oct 16 19:52:40 2016 UTC-Sun Oct 16 19:52:40 2016 UTC (0.001 )  Time stamp start 1476647560906296685 end 1476647560905296685  Run 310738, LB 99, lumi 12.41
Event Veto ['MiniNoiseBurst'], Sun Oct 16 19:52:43 2016 UTC-Sun Oct 16 19:52:43 2016 UTC (0.001 )  Time stamp start 1476647563854797990 end 1476647563853797990  Run 310738, LB 99, lumi 12.41
Event Veto ['MiniNoiseBurst'], Sun Oct 16 19:52:45 2016 UTC-Sun Oct 16 19:52:45 2016 UTC (0.001 )  Time stamp start 1476647565491379815 end 1476647565490379815  Run 310738, LB 99, lumi 12.41
Event Veto ['MiniNoiseBurst'], Sun Oct 16 19:52:48 2016 UTC-Sun Oct 16 19:52:48 2016 UTC (0.001 )  Time stamp start 1476647568451760120 end 1476647568450759995  Run 310738, LB 99, lumi 12.41
Event Veto ['MiniNoiseBurst'], Sun Oct 16 19:52:52 2016 UTC-Sun Oct 16 19:52:52 2016 UTC (0.001 )  Time stamp start 1476647572100737475 end 1476647572099737475  Run 310738, LB 99, lumi 12.41
Event Veto ['MiniNoiseBurst'], Sun Oct 16 19:52:54 2016 UTC-Sun Oct 16 19:52:54 2016 UTC (0.001 )  Time stamp start 1476647574786233580 end 1476647574785233580  Run 310738, LB 99, lumi 12.41
Event Veto ['MiniNoiseBurst'], Sun Oct 16 19:52:57 2016 UTC-Sun Oct 16 19:52:57 2016 UTC (0.001 )  Time stamp start 1476647577240509160 end 1476647577239508340  Run 310738, LB 99, lumi 12.42
Event Veto ['MiniNoiseBurst'], Sun Oct 16 19:53:00 2016 UTC-Sun Oct 16 19:53:00 2016 UTC (0.001 )  Time stamp start 1476647580479055955 end 1476647580478055955  Run 310738, LB 99, lumi 12.41
Event Veto ['MiniNoiseBurst'], Sun Oct 16 19:53:01 2016 UTC-Sun Oct 16 19:53:01 2016 UTC (0.001 )  Time stamp start 1476647581849347245 end 1476647581848347245  Run 310738, LB 100, lumi 12.97
Event Veto ['MiniNoiseBurst'], Sun Oct 16 19:53:04 2016 UTC-Sun Oct 16 19:53:04 2016 UTC (0.001 )  Time stamp start 1476647584458642340 end 1476647584457642340  Run 310738, LB 100, lumi 12.97
Event Veto ['MiniNoiseBurst'], Sun Oct 16 19:53:06 2016 UTC-Sun Oct 16 19:53:06 2016 UTC (0.001 )  Time stamp start 1476647586126316085 end 1476647586125316085  Run 310738, LB 100, lumi 12.97
Event Veto ['MiniNoiseBurst'], Sun Oct 16 19:53:07 2016 UTC-Sun Oct 16 19:53:07 2016 UTC (0.001 )  Time stamp start 1476647587791558000 end 1476647587790558000  Run 310738, LB 100, lumi 12.97
Event Veto ['MiniNoiseBurst'], Sun Oct 16 19:53:09 2016 UTC-Sun Oct 16 19:53:09 2016 UTC (0.001 )  Time stamp start 1476647589419452750 end 1476647589418452550  Run 310738, LB 100, lumi 12.97
Event Veto ['MiniNoiseBurst'], Sun Oct 16 19:53:11 2016 UTC-Sun Oct 16 19:53:11 2016 UTC (0.001 )  Time stamp start 1476647591250584650 end 1476647591249584650  Run 310738, LB 100, lumi 12.97
