Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 310872 to 310872
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
[?1034hDumping EventVeto data from run 310872 to run 310872  lasting from Wed Oct 19 01:41:21 2016 UTC to Wed Oct 19 10:14:24 2016 UTC
Event Veto ['MiniNoiseBurst'], Wed Oct 19 01:53:43 2016 UTC-Wed Oct 19 01:53:43 2016 UTC (0.001 )  Time stamp start 1476842023121518590 end 1476842023120518590  Run 310872, LB 13, lumi 0.00
Event Veto ['MiniNoiseBurst'], Wed Oct 19 04:06:28 2016 UTC-Wed Oct 19 04:06:28 2016 UTC (0.001 )  Time stamp start 1476849988233259040 end 1476849988232259040  Run 310872, LB 149, lumi 4.46
Event Veto ['MiniNoiseBurst'], Wed Oct 19 04:06:31 2016 UTC-Wed Oct 19 04:06:31 2016 UTC (0.001 )  Time stamp start 1476849991120240105 end 1476849991119240105  Run 310872, LB 149, lumi 4.46
Event Veto ['MiniNoiseBurst'], Wed Oct 19 04:06:32 2016 UTC-Wed Oct 19 04:06:32 2016 UTC (0.001 )  Time stamp start 1476849992056996450 end 1476849992055996450  Run 310872, LB 149, lumi 4.46
Event Veto ['MiniNoiseBurst'], Wed Oct 19 04:06:32 2016 UTC-Wed Oct 19 04:06:32 2016 UTC (0.001 )  Time stamp start 1476849992459821555 end 1476849992458471775  Run 310872, LB 149, lumi 6.02
Event Veto ['MiniNoiseBurst'], Wed Oct 19 04:06:33 2016 UTC-Wed Oct 19 04:06:33 2016 UTC (0.001 )  Time stamp start 1476849993634612005 end 1476849993633612005  Run 310872, LB 149, lumi 4.46
Event Veto ['MiniNoiseBurst'], Wed Oct 19 04:06:34 2016 UTC-Wed Oct 19 04:06:34 2016 UTC (0.001 )  Time stamp start 1476849994216981990 end 1476849994215981990  Run 310872, LB 149, lumi 4.46
Event Veto ['MiniNoiseBurst'], Wed Oct 19 04:06:35 2016 UTC-Wed Oct 19 04:06:35 2016 UTC (0.001 )  Time stamp start 1476849995159767805 end 1476849995158767805  Run 310872, LB 149, lumi 4.46
Event Veto ['MiniNoiseBurst'], Wed Oct 19 04:06:38 2016 UTC-Wed Oct 19 04:06:38 2016 UTC (0.001 )  Time stamp start 1476849998136610835 end 1476849998135610835  Run 310872, LB 149, lumi 4.46
Event Veto ['MiniNoiseBurst'], Wed Oct 19 04:06:38 2016 UTC-Wed Oct 19 04:06:38 2016 UTC (0.002 )  Time stamp start 1476849998841025190 end 1476849998839382185  Run 310872, LB 149, lumi 7.33
Event Veto ['MiniNoiseBurst'], Wed Oct 19 04:06:40 2016 UTC-Wed Oct 19 04:06:40 2016 UTC (0.001 )  Time stamp start 1476850000346952205 end 1476850000345952205  Run 310872, LB 149, lumi 4.46
