Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 311071 to 311071
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
[?1034hDumping EventVeto data from run 311071 to run 311071  lasting from Thu Oct 20 22:54:49 2016 UTC to Fri Oct 21 08:49:52 2016 UTC
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:06:08 2016 UTC-Fri Oct 21 01:06:08 2016 UTC (0.001 )  Time stamp start 1477011968418875935 end 1477011968417875935  Run 311071, LB 135, lumi 11.65
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:06:09 2016 UTC-Fri Oct 21 01:06:09 2016 UTC (0.001 )  Time stamp start 1477011969072005945 end 1477011969071005820  Run 311071, LB 135, lumi 11.65
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:06:09 2016 UTC-Fri Oct 21 01:06:09 2016 UTC (0.001 )  Time stamp start 1477011969671794440 end 1477011969670794440  Run 311071, LB 135, lumi 11.65
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:06:10 2016 UTC-Fri Oct 21 01:06:10 2016 UTC (0.001 )  Time stamp start 1477011970492487160 end 1477011970491487160  Run 311071, LB 135, lumi 11.65
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:06:11 2016 UTC-Fri Oct 21 01:06:11 2016 UTC (0.001 )  Time stamp start 1477011971295700985 end 1477011971294700985  Run 311071, LB 135, lumi 11.65
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:06:12 2016 UTC-Fri Oct 21 01:06:12 2016 UTC (0.001 )  Time stamp start 1477011972082592835 end 1477011972081592835  Run 311071, LB 135, lumi 11.65
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:06:12 2016 UTC-Fri Oct 21 01:06:12 2016 UTC (0.001 )  Time stamp start 1477011972377491520 end 1477011972376491225  Run 311071, LB 135, lumi 11.65
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:06:12 2016 UTC-Fri Oct 21 01:06:12 2016 UTC (0.001 )  Time stamp start 1477011972915289880 end 1477011972914289880  Run 311071, LB 135, lumi 11.65
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:06:14 2016 UTC-Fri Oct 21 01:06:14 2016 UTC (0.001 )  Time stamp start 1477011974458576715 end 1477011974457576715  Run 311071, LB 135, lumi 11.65
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:06:15 2016 UTC-Fri Oct 21 01:06:15 2016 UTC (0.001 )  Time stamp start 1477011975167566195 end 1477011975166566195  Run 311071, LB 135, lumi 11.65
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:06:15 2016 UTC-Fri Oct 21 01:06:15 2016 UTC (0.001 )  Time stamp start 1477011975960925900 end 1477011975959925900  Run 311071, LB 135, lumi 11.65
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:06:20 2016 UTC-Fri Oct 21 01:06:20 2016 UTC (0.001 )  Time stamp start 1477011980106326895 end 1477011980105326895  Run 311071, LB 135, lumi 11.65
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:07:26 2016 UTC-Fri Oct 21 01:07:26 2016 UTC (0.001 )  Time stamp start 1477012046244323655 end 1477012046243323655  Run 311071, LB 136, lumi 11.82
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:07:49 2016 UTC-Fri Oct 21 01:07:49 2016 UTC (0.001 )  Time stamp start 1477012069845644745 end 1477012069844644745  Run 311071, LB 137, lumi 11.93
Event Veto ['NoiseBurst'], Fri Oct 21 01:08:01 2016 UTC-Fri Oct 21 01:08:01 2016 UTC (0.010 )  Time stamp start 1477012081828128335 end 1477012081818107780  Run 311071, LB 137, lumi 119.50
Event Veto ['NoiseBurst'], Fri Oct 21 01:08:32 2016 UTC-Fri Oct 21 01:08:32 2016 UTC (0.010 )  Time stamp start 1477012112202578960 end 1477012112192564515  Run 311071, LB 137, lumi 119.42
Event Veto ['NoiseBurst'], Fri Oct 21 01:08:42 2016 UTC-Fri Oct 21 01:08:42 2016 UTC (0.010 )  Time stamp start 1477012122942939125 end 1477012122932939000  Run 311071, LB 138, lumi 112.45
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:08:43 2016 UTC-Fri Oct 21 01:08:43 2016 UTC (0.001 )  Time stamp start 1477012123650189900 end 1477012123649189900  Run 311071, LB 138, lumi 11.24
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:08:44 2016 UTC-Fri Oct 21 01:08:44 2016 UTC (0.001 )  Time stamp start 1477012124320755340 end 1477012124319755340  Run 311071, LB 138, lumi 11.24
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:08:44 2016 UTC-Fri Oct 21 01:08:44 2016 UTC (0.001 )  Time stamp start 1477012124978381075 end 1477012124977381075  Run 311071, LB 138, lumi 11.24
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:08:45 2016 UTC-Fri Oct 21 01:08:45 2016 UTC (0.001 )  Time stamp start 1477012125783785450 end 1477012125782785450  Run 311071, LB 138, lumi 11.24
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:08:59 2016 UTC-Fri Oct 21 01:08:59 2016 UTC (0.001 )  Time stamp start 1477012139621949570 end 1477012139620949570  Run 311071, LB 138, lumi 11.24
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:12:03 2016 UTC-Fri Oct 21 01:12:03 2016 UTC (0.001 )  Time stamp start 1477012323976880460 end 1477012323975880460  Run 311071, LB 141, lumi 12.08
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:12:04 2016 UTC-Fri Oct 21 01:12:04 2016 UTC (0.001 )  Time stamp start 1477012324303718965 end 1477012324302718965  Run 311071, LB 141, lumi 12.08
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:12:16 2016 UTC-Fri Oct 21 01:12:16 2016 UTC (0.001 )  Time stamp start 1477012336078856985 end 1477012336077856985  Run 311071, LB 141, lumi 12.08
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:12:17 2016 UTC-Fri Oct 21 01:12:17 2016 UTC (0.001 )  Time stamp start 1477012337081534015 end 1477012337080534015  Run 311071, LB 141, lumi 12.08
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:12:17 2016 UTC-Fri Oct 21 01:12:17 2016 UTC (0.001 )  Time stamp start 1477012337776041430 end 1477012337775041430  Run 311071, LB 141, lumi 12.08
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:12:19 2016 UTC-Fri Oct 21 01:12:19 2016 UTC (0.001 )  Time stamp start 1477012339002000940 end 1477012339001000940  Run 311071, LB 141, lumi 12.08
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:12:20 2016 UTC-Fri Oct 21 01:12:20 2016 UTC (0.001 )  Time stamp start 1477012340243670680 end 1477012340242670680  Run 311071, LB 141, lumi 12.08
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:12:21 2016 UTC-Fri Oct 21 01:12:21 2016 UTC (0.001 )  Time stamp start 1477012341156599745 end 1477012341155599745  Run 311071, LB 141, lumi 12.08
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:12:21 2016 UTC-Fri Oct 21 01:12:21 2016 UTC (0.001 )  Time stamp start 1477012341744460840 end 1477012341743460840  Run 311071, LB 141, lumi 12.08
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:12:22 2016 UTC-Fri Oct 21 01:12:22 2016 UTC (0.001 )  Time stamp start 1477012342857752135 end 1477012342856752135  Run 311071, LB 141, lumi 12.08
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:12:23 2016 UTC-Fri Oct 21 01:12:23 2016 UTC (0.001 )  Time stamp start 1477012343532238385 end 1477012343531238385  Run 311071, LB 141, lumi 12.08
Event Veto ['NoiseBurst'], Fri Oct 21 01:12:36 2016 UTC-Fri Oct 21 01:12:36 2016 UTC (0.010 )  Time stamp start 1477012356734923355 end 1477012356724923180  Run 311071, LB 142, lumi 120.48
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:13:34 2016 UTC-Fri Oct 21 01:13:34 2016 UTC (0.001 )  Time stamp start 1477012414617168510 end 1477012414616168510  Run 311071, LB 143, lumi 12.02
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:13:34 2016 UTC-Fri Oct 21 01:13:34 2016 UTC (0.001 )  Time stamp start 1477012414983108090 end 1477012414982108090  Run 311071, LB 143, lumi 12.02
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:13:35 2016 UTC-Fri Oct 21 01:13:35 2016 UTC (0.001 )  Time stamp start 1477012415657100090 end 1477012415656100090  Run 311071, LB 143, lumi 12.02
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:13:36 2016 UTC-Fri Oct 21 01:13:36 2016 UTC (0.001 )  Time stamp start 1477012416376156240 end 1477012416375156240  Run 311071, LB 143, lumi 12.02
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:13:37 2016 UTC-Fri Oct 21 01:13:37 2016 UTC (0.001 )  Time stamp start 1477012417516971545 end 1477012417515971545  Run 311071, LB 143, lumi 12.02
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:13:38 2016 UTC-Fri Oct 21 01:13:38 2016 UTC (0.001 )  Time stamp start 1477012418089704035 end 1477012418088704035  Run 311071, LB 143, lumi 12.02
