Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 328263 to 328263
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
[?1034hDumping EventVeto data from run 328263 to run 328263  lasting from Wed Jun 28 15:53:15 2017 UTC to Thu Jun 29 03:38:13 2017 UTC
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:01:38 2017 UTC-Wed Jun 28 17:01:38 2017 UTC (0.001 )  Time stamp start 1498669298523657745 end 1498669298522657745  Run 328263, LB 70, lumi 0.00
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:23:30 2017 UTC-Wed Jun 28 17:23:30 2017 UTC (0.001 )  Time stamp start 1498670610992562015 end 1498670610991562015  Run 328263, LB 94, lumi 0.00
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:25:49 2017 UTC-Wed Jun 28 17:25:49 2017 UTC (0.001 )  Time stamp start 1498670749500358510 end 1498670749499358510  Run 328263, LB 97, lumi 14.43
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:26:31 2017 UTC-Wed Jun 28 17:26:31 2017 UTC (0.001 )  Time stamp start 1498670791416088840 end 1498670791415088340  Run 328263, LB 98, lumi 14.23
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Wed Jun 28 17:26:49 2017 UTC-Wed Jun 28 17:26:49 2017 UTC (0.001 )  Time stamp start 1498670809972261670 end 1498670809971261670  Run 328263, LB 98, lumi 14.22
Event Veto ['NoiseBurst'], Wed Jun 28 17:27:48 2017 UTC-Wed Jun 28 17:27:48 2017 UTC (0.001 )  Time stamp start 1498670868574929470 end 1498670868573901625  Run 328263, LB 99, lumi 11.47
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:29:47 2017 UTC-Wed Jun 28 17:29:47 2017 UTC (0.001 )  Time stamp start 1498670987474550960 end 1498670987473550660  Run 328263, LB 101, lumi 7.90
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:31:16 2017 UTC-Wed Jun 28 17:31:16 2017 UTC (0.001 )  Time stamp start 1498671076173397430 end 1498671076172397430  Run 328263, LB 104, lumi 7.89
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:31:18 2017 UTC-Wed Jun 28 17:31:18 2017 UTC (0.001 )  Time stamp start 1498671078301819250 end 1498671078300819250  Run 328263, LB 104, lumi 7.89
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:31:19 2017 UTC-Wed Jun 28 17:31:19 2017 UTC (0.001 )  Time stamp start 1498671079022894575 end 1498671079021894575  Run 328263, LB 104, lumi 7.89
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:31:20 2017 UTC-Wed Jun 28 17:31:20 2017 UTC (0.001 )  Time stamp start 1498671080626914050 end 1498671080625914050  Run 328263, LB 104, lumi 7.89
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:31:21 2017 UTC-Wed Jun 28 17:31:21 2017 UTC (0.001 )  Time stamp start 1498671081309026975 end 1498671081308026975  Run 328263, LB 104, lumi 7.89
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:31:22 2017 UTC-Wed Jun 28 17:31:22 2017 UTC (0.001 )  Time stamp start 1498671082616814775 end 1498671082615814775  Run 328263, LB 104, lumi 7.89
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:31:24 2017 UTC-Wed Jun 28 17:31:24 2017 UTC (0.001 )  Time stamp start 1498671084347401540 end 1498671084346401540  Run 328263, LB 104, lumi 7.89
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:31:25 2017 UTC-Wed Jun 28 17:31:25 2017 UTC (0.001 )  Time stamp start 1498671085625991415 end 1498671085624991415  Run 328263, LB 104, lumi 7.89
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:31:27 2017 UTC-Wed Jun 28 17:31:27 2017 UTC (0.001 )  Time stamp start 1498671087986246150 end 1498671087985246150  Run 328263, LB 104, lumi 7.89
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:31:28 2017 UTC-Wed Jun 28 17:31:28 2017 UTC (0.001 )  Time stamp start 1498671088512845330 end 1498671088511845330  Run 328263, LB 104, lumi 7.89
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:31:29 2017 UTC-Wed Jun 28 17:31:29 2017 UTC (0.001 )  Time stamp start 1498671089428393630 end 1498671089427393630  Run 328263, LB 104, lumi 7.89
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:31:30 2017 UTC-Wed Jun 28 17:31:30 2017 UTC (0.001 )  Time stamp start 1498671090031334965 end 1498671090030334965  Run 328263, LB 104, lumi 7.89
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:31:30 2017 UTC-Wed Jun 28 17:31:30 2017 UTC (0.001 )  Time stamp start 1498671090480505815 end 1498671090479505815  Run 328263, LB 104, lumi 7.89
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:31:31 2017 UTC-Wed Jun 28 17:31:31 2017 UTC (0.001 )  Time stamp start 1498671091388308360 end 1498671091387308360  Run 328263, LB 104, lumi 7.89
