Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 328263 to 328263
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
[?1034hDumping EventVeto data from run 328263 to run 328263  lasting from Wed Jun 28 15:53:15 2017 UTC to Thu Jun 29 03:38:13 2017 UTC
Event Veto ['NoiseBurst'], Wed Jun 28 17:28:44 2017 UTC-Wed Jun 28 17:28:44 2017 UTC (0.001 )  Time stamp start 1498670924408484850 end 1498670924407433975  Run 328263, LB 100, lumi 8.30
Event Veto ['NoiseBurst'], Wed Jun 28 17:31:05 2017 UTC-Wed Jun 28 17:31:05 2017 UTC (0.000 )  Time stamp start 1498671065946699890 end 1498671065946696225  Run 328263, LB 103, lumi 0.03
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:33:25 2017 UTC-Wed Jun 28 17:33:25 2017 UTC (0.001 )  Time stamp start 1498671205603240555 end 1498671205602240555  Run 328263, LB 106, lumi 7.88
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:33:26 2017 UTC-Wed Jun 28 17:33:26 2017 UTC (0.001 )  Time stamp start 1498671206801787655 end 1498671206800787655  Run 328263, LB 106, lumi 7.88
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:33:28 2017 UTC-Wed Jun 28 17:33:28 2017 UTC (0.001 )  Time stamp start 1498671208173152785 end 1498671208172152785  Run 328263, LB 106, lumi 7.88
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:33:28 2017 UTC-Wed Jun 28 17:33:28 2017 UTC (0.001 )  Time stamp start 1498671208637772760 end 1498671208636772760  Run 328263, LB 106, lumi 7.88
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:33:30 2017 UTC-Wed Jun 28 17:33:30 2017 UTC (0.001 )  Time stamp start 1498671210416637810 end 1498671210415637810  Run 328263, LB 106, lumi 7.88
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:33:32 2017 UTC-Wed Jun 28 17:33:32 2017 UTC (0.001 )  Time stamp start 1498671212219088620 end 1498671212218088620  Run 328263, LB 106, lumi 7.88
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:33:33 2017 UTC-Wed Jun 28 17:33:33 2017 UTC (0.001 )  Time stamp start 1498671213094070185 end 1498671213093070185  Run 328263, LB 106, lumi 7.88
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:33:33 2017 UTC-Wed Jun 28 17:33:33 2017 UTC (0.001 )  Time stamp start 1498671213754824805 end 1498671213753824805  Run 328263, LB 106, lumi 7.88
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:33:34 2017 UTC-Wed Jun 28 17:33:34 2017 UTC (0.001 )  Time stamp start 1498671214063743530 end 1498671214062743530  Run 328263, LB 106, lumi 7.88
