Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 328333 to 328333
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
[?1034hDumping EventVeto data from run 328333 to run 328333  lasting from Thu Jun 29 05:05:29 2017 UTC to Thu Jun 29 11:56:28 2017 UTC
Event Veto ['MiniNoiseBurst'], Thu Jun 29 05:57:03 2017 UTC-Thu Jun 29 05:57:03 2017 UTC (0.001 )  Time stamp start 1498715823012363885 end 1498715823011363885  Run 328333, LB 57, lumi 0.00
Event Veto ['MiniNoiseBurst'], Thu Jun 29 06:04:32 2017 UTC-Thu Jun 29 06:04:32 2017 UTC (0.001 )  Time stamp start 1498716272906331250 end 1498716272905331250  Run 328333, LB 65, lumi 1.64
Event Veto ['NoiseBurst'], Thu Jun 29 06:06:19 2017 UTC-Thu Jun 29 06:06:19 2017 UTC (0.001 )  Time stamp start 1498716379350491100 end 1498716379349488035  Run 328333, LB 68, lumi 11.98
Event Veto ['NoiseBurst'], Thu Jun 29 06:08:17 2017 UTC-Thu Jun 29 06:08:17 2017 UTC (0.001 )  Time stamp start 1498716497509788790 end 1498716497508788215  Run 328333, LB 70, lumi 15.29
Event Veto ['NoiseBurst'], Thu Jun 29 06:08:28 2017 UTC-Thu Jun 29 06:08:28 2017 UTC (0.001 )  Time stamp start 1498716508912037115 end 1498716508911011595  Run 328333, LB 70, lumi 15.67
Event Veto ['NoiseBurst'], Thu Jun 29 06:08:38 2017 UTC-Thu Jun 29 06:08:38 2017 UTC (0.000 )  Time stamp start 1498716518660584545 end 1498716518660569400  Run 328333, LB 70, lumi 0.23
Event Veto ['NoiseBurst'], Thu Jun 29 06:09:18 2017 UTC-Thu Jun 29 06:09:18 2017 UTC (0.000 )  Time stamp start 1498716558710031675 end 1498716558709707240  Run 328333, LB 71, lumi 4.95
Event Veto ['NoiseBurst'], Thu Jun 29 06:10:01 2017 UTC-Thu Jun 29 06:10:01 2017 UTC (0.000 )  Time stamp start 1498716601992021150 end 1498716601991995950  Run 328333, LB 72, lumi 0.38
Event Veto ['MiniNoiseBurst'], Thu Jun 29 06:10:12 2017 UTC-Thu Jun 29 06:10:12 2017 UTC (0.001 )  Time stamp start 1498716612514459025 end 1498716612513459025  Run 328333, LB 73, lumi 15.24
Event Veto ['MiniNoiseBurst'], Thu Jun 29 06:10:13 2017 UTC-Thu Jun 29 06:10:13 2017 UTC (0.001 )  Time stamp start 1498716613264667755 end 1498716613263667630  Run 328333, LB 73, lumi 15.24
Event Veto ['MiniNoiseBurst'], Thu Jun 29 06:10:21 2017 UTC-Thu Jun 29 06:10:21 2017 UTC (0.001 )  Time stamp start 1498716621375768515 end 1498716621374768515  Run 328333, LB 73, lumi 15.24
Event Veto ['MiniNoiseBurst'], Thu Jun 29 06:10:22 2017 UTC-Thu Jun 29 06:10:22 2017 UTC (0.001 )  Time stamp start 1498716622233411810 end 1498716622232411810  Run 328333, LB 73, lumi 15.24
Event Veto ['MiniNoiseBurst'], Thu Jun 29 06:10:23 2017 UTC-Thu Jun 29 06:10:23 2017 UTC (0.001 )  Time stamp start 1498716623336169070 end 1498716623335169070  Run 328333, LB 73, lumi 15.24
Event Veto ['MiniNoiseBurst'], Thu Jun 29 06:10:23 2017 UTC-Thu Jun 29 06:10:23 2017 UTC (0.001 )  Time stamp start 1498716623993159585 end 1498716623992159585  Run 328333, LB 73, lumi 15.24
Event Veto ['MiniNoiseBurst'], Thu Jun 29 06:10:25 2017 UTC-Thu Jun 29 06:10:25 2017 UTC (0.001 )  Time stamp start 1498716625425524300 end 1498716625424524300  Run 328333, LB 73, lumi 15.24
Event Veto ['MiniNoiseBurst'], Thu Jun 29 06:10:27 2017 UTC-Thu Jun 29 06:10:27 2017 UTC (0.001 )  Time stamp start 1498716627106800805 end 1498716627105800805  Run 328333, LB 73, lumi 15.24
Event Veto ['MiniNoiseBurst'], Thu Jun 29 06:10:28 2017 UTC-Thu Jun 29 06:10:28 2017 UTC (0.001 )  Time stamp start 1498716628026359955 end 1498716628025359955  Run 328333, LB 73, lumi 15.24
Event Veto ['MiniNoiseBurst'], Thu Jun 29 06:10:29 2017 UTC-Thu Jun 29 06:10:29 2017 UTC (0.001 )  Time stamp start 1498716629025247990 end 1498716629024247990  Run 328333, LB 73, lumi 15.24
Event Veto ['MiniNoiseBurst'], Thu Jun 29 06:10:30 2017 UTC-Thu Jun 29 06:10:30 2017 UTC (0.001 )  Time stamp start 1498716630867437525 end 1498716630866437525  Run 328333, LB 73, lumi 15.24
Event Veto ['MiniNoiseBurst'], Thu Jun 29 06:10:36 2017 UTC-Thu Jun 29 06:10:36 2017 UTC (0.001 )  Time stamp start 1498716636619348195 end 1498716636618348195  Run 328333, LB 73, lumi 15.24
Event Veto ['MiniNoiseBurst'], Thu Jun 29 06:10:38 2017 UTC-Thu Jun 29 06:10:38 2017 UTC (0.001 )  Time stamp start 1498716638750023350 end 1498716638749023350  Run 328333, LB 73, lumi 15.24
Event Veto ['MiniNoiseBurst'], Thu Jun 29 06:10:39 2017 UTC-Thu Jun 29 06:10:39 2017 UTC (0.001 )  Time stamp start 1498716639297998375 end 1498716639296998375  Run 328333, LB 73, lumi 15.24
Event Veto ['MiniNoiseBurst'], Thu Jun 29 06:10:39 2017 UTC-Thu Jun 29 06:10:39 2017 UTC (0.001 )  Time stamp start 1498716639836978380 end 1498716639835978380  Run 328333, LB 73, lumi 15.24
Event Veto ['MiniNoiseBurst'], Thu Jun 29 06:10:40 2017 UTC-Thu Jun 29 06:10:40 2017 UTC (0.001 )  Time stamp start 1498716640435021380 end 1498716640434021380  Run 328333, LB 73, lumi 15.24
Event Veto ['MiniNoiseBurst'], Thu Jun 29 06:10:41 2017 UTC-Thu Jun 29 06:10:41 2017 UTC (0.001 )  Time stamp start 1498716641543798710 end 1498716641542798710  Run 328333, LB 73, lumi 15.24
Event Veto ['MiniNoiseBurst'], Thu Jun 29 06:10:43 2017 UTC-Thu Jun 29 06:10:43 2017 UTC (0.001 )  Time stamp start 1498716643239917360 end 1498716643238917360  Run 328333, LB 73, lumi 15.24
Event Veto ['MiniNoiseBurst'], Thu Jun 29 06:10:44 2017 UTC-Thu Jun 29 06:10:44 2017 UTC (0.001 )  Time stamp start 1498716644141893075 end 1498716644140893075  Run 328333, LB 73, lumi 15.24
