Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 329716 to 329716
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
[?1034hDumping EventVeto data from run 329716 to run 329716  lasting from Fri Jul 14 03:19:56 2017 UTC to Fri Jul 14 09:57:23 2017 UTC
Event Veto ['MiniNoiseBurst'], Fri Jul 14 06:04:55 2017 UTC-Fri Jul 14 06:04:55 2017 UTC (0.000 )  Time stamp start 1500012295831283170 end 1500012295831183170  Run 329716, LB 167, lumi 0.00
Event Veto ['NoiseBurst'], Fri Jul 14 07:28:42 2017 UTC-Fri Jul 14 07:28:42 2017 UTC (0.000 )  Time stamp start 1500017322197303365 end 1500017322196980825  Run 329716, LB 254, lumi 1.50
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:32:03 2017 UTC-Fri Jul 14 07:32:03 2017 UTC (0.000 )  Time stamp start 1500017523034063755 end 1500017523033963755  Run 329716, LB 257, lumi 0.27
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:46 2017 UTC-Fri Jul 14 07:33:46 2017 UTC (0.000 )  Time stamp start 1500017626280980010 end 1500017626280880010  Run 329716, LB 259, lumi 0.71
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:46 2017 UTC-Fri Jul 14 07:33:46 2017 UTC (0.000 )  Time stamp start 1500017626353790630 end 1500017626353690455  Run 329716, LB 259, lumi 0.72
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:46 2017 UTC-Fri Jul 14 07:33:46 2017 UTC (0.000 )  Time stamp start 1500017626449426890 end 1500017626449326890  Run 329716, LB 259, lumi 0.71
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:46 2017 UTC-Fri Jul 14 07:33:46 2017 UTC (0.000 )  Time stamp start 1500017626550410815 end 1500017626550310815  Run 329716, LB 259, lumi 0.71
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:46 2017 UTC-Fri Jul 14 07:33:46 2017 UTC (0.000 )  Time stamp start 1500017626639475150 end 1500017626639375150  Run 329716, LB 259, lumi 0.71
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:46 2017 UTC-Fri Jul 14 07:33:46 2017 UTC (0.000 )  Time stamp start 1500017626690872925 end 1500017626690772925  Run 329716, LB 259, lumi 0.71
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:46 2017 UTC-Fri Jul 14 07:33:46 2017 UTC (0.000 )  Time stamp start 1500017626807118195 end 1500017626807018070  Run 329716, LB 259, lumi 0.72
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:46 2017 UTC-Fri Jul 14 07:33:46 2017 UTC (0.000 )  Time stamp start 1500017626934636485 end 1500017626934536485  Run 329716, LB 259, lumi 0.71
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:46 2017 UTC-Fri Jul 14 07:33:46 2017 UTC (0.000 )  Time stamp start 1500017626980684870 end 1500017626980584870  Run 329716, LB 259, lumi 0.71
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:47 2017 UTC-Fri Jul 14 07:33:47 2017 UTC (0.000 )  Time stamp start 1500017627044992505 end 1500017627044892505  Run 329716, LB 259, lumi 0.71
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:47 2017 UTC-Fri Jul 14 07:33:47 2017 UTC (0.000 )  Time stamp start 1500017627115530215 end 1500017627115430215  Run 329716, LB 259, lumi 0.71
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:47 2017 UTC-Fri Jul 14 07:33:47 2017 UTC (0.000 )  Time stamp start 1500017627165776165 end 1500017627165676165  Run 329716, LB 259, lumi 0.71
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:47 2017 UTC-Fri Jul 14 07:33:47 2017 UTC (0.000 )  Time stamp start 1500017627237391600 end 1500017627237291600  Run 329716, LB 259, lumi 0.71
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:47 2017 UTC-Fri Jul 14 07:33:47 2017 UTC (0.000 )  Time stamp start 1500017627306895975 end 1500017627306795975  Run 329716, LB 259, lumi 0.71
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:47 2017 UTC-Fri Jul 14 07:33:47 2017 UTC (0.000 )  Time stamp start 1500017627377529420 end 1500017627377429420  Run 329716, LB 259, lumi 0.71
