Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 310249 to 310249
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
[?1034hDumping EventVeto data from run 310249 to run 310249  lasting from Sun Oct  9 09:54:42 2016 UTC to Mon Oct 10 06:11:42 2016 UTC
Event Veto ['MiniNoiseBurst'], Sun Oct  9 10:22:21 2016 UTC-Sun Oct  9 10:22:21 2016 UTC (0.000 )  Time stamp start 1476008541671541535 end 1476008541671541385  Run 310249, LB 30, lumi 0.00
Event Veto ['MiniNoiseBurst'], Sun Oct  9 12:33:47 2016 UTC-Sun Oct  9 12:33:47 2016 UTC (0.010 )  Time stamp start 1476016427530798300 end 1476016427520798300  Run 310249, LB 166, lumi 74.30
Event Veto ['MiniNoiseBurst'], Sun Oct  9 12:33:53 2016 UTC-Sun Oct  9 12:33:53 2016 UTC (0.010 )  Time stamp start 1476016433240912660 end 1476016433230912660  Run 310249, LB 166, lumi 74.30
Event Veto ['MiniNoiseBurst'], Sun Oct  9 12:33:58 2016 UTC-Sun Oct  9 12:33:58 2016 UTC (0.010 )  Time stamp start 1476016438011202195 end 1476016438001202195  Run 310249, LB 166, lumi 74.30
Event Veto ['MiniNoiseBurst'], Sun Oct  9 12:34:25 2016 UTC-Sun Oct  9 12:34:25 2016 UTC (0.010 )  Time stamp start 1476016465472725585 end 1476016465462725585  Run 310249, LB 167, lumi 71.01
Event Veto ['MiniNoiseBurst'], Sun Oct  9 12:34:30 2016 UTC-Sun Oct  9 12:34:30 2016 UTC (0.010 )  Time stamp start 1476016470366893445 end 1476016470356893445  Run 310249, LB 167, lumi 71.01
Event Veto ['MiniNoiseBurst'], Sun Oct  9 12:34:59 2016 UTC-Sun Oct  9 12:34:59 2016 UTC (0.010 )  Time stamp start 1476016499665164800 end 1476016499655164555  Run 310249, LB 167, lumi 71.02
Event Veto ['MiniNoiseBurst'], Sun Oct  9 12:35:07 2016 UTC-Sun Oct  9 12:35:07 2016 UTC (0.010 )  Time stamp start 1476016507871886020 end 1476016507861886020  Run 310249, LB 168, lumi 67.51
Event Veto ['MiniNoiseBurst'], Sun Oct  9 12:35:28 2016 UTC-Sun Oct  9 12:35:28 2016 UTC (0.010 )  Time stamp start 1476016528556388795 end 1476016528546388795  Run 310249, LB 168, lumi 67.51
Event Veto ['MiniNoiseBurst'], Sun Oct  9 12:35:40 2016 UTC-Sun Oct  9 12:35:40 2016 UTC (0.010 )  Time stamp start 1476016540042536925 end 1476016540032536925  Run 310249, LB 168, lumi 67.51
Event Veto ['MiniNoiseBurst'], Sun Oct  9 12:35:53 2016 UTC-Sun Oct  9 12:35:53 2016 UTC (0.010 )  Time stamp start 1476016553412304255 end 1476016553402304255  Run 310249, LB 168, lumi 67.51
