Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 310634 to 310634
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
[?1034hDumping EventVeto data from run 310634 to run 310634  lasting from Fri Oct 14 18:00:39 2016 UTC to Sat Oct 15 18:10:24 2016 UTC
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:29:40 2016 UTC-Fri Oct 14 18:29:40 2016 UTC (0.001 )  Time stamp start 1476469780877432940 end 1476469780876432765  Run 310634, LB 32, lumi 4.78
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:29:42 2016 UTC-Fri Oct 14 18:29:42 2016 UTC (0.001 )  Time stamp start 1476469782458545305 end 1476469782457545305  Run 310634, LB 32, lumi 4.78
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:30:15 2016 UTC-Fri Oct 14 18:30:15 2016 UTC (0.001 )  Time stamp start 1476469815137315690 end 1476469815136315690  Run 310634, LB 33, lumi 13.01
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:30:16 2016 UTC-Fri Oct 14 18:30:16 2016 UTC (0.001 )  Time stamp start 1476469816707625535 end 1476469816706625535  Run 310634, LB 33, lumi 13.01
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:30:18 2016 UTC-Fri Oct 14 18:30:18 2016 UTC (0.001 )  Time stamp start 1476469818422110410 end 1476469818421110410  Run 310634, LB 33, lumi 13.01
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:30:19 2016 UTC-Fri Oct 14 18:30:19 2016 UTC (0.001 )  Time stamp start 1476469819478375230 end 1476469819477375230  Run 310634, LB 33, lumi 13.01
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:30:21 2016 UTC-Fri Oct 14 18:30:21 2016 UTC (0.001 )  Time stamp start 1476469821424539175 end 1476469821423539175  Run 310634, LB 33, lumi 13.01
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:30:22 2016 UTC-Fri Oct 14 18:30:22 2016 UTC (0.001 )  Time stamp start 1476469822321225275 end 1476469822320225275  Run 310634, LB 33, lumi 13.01
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:30:23 2016 UTC-Fri Oct 14 18:30:23 2016 UTC (0.001 )  Time stamp start 1476469823856344425 end 1476469823855344425  Run 310634, LB 33, lumi 13.01
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:30:25 2016 UTC-Fri Oct 14 18:30:25 2016 UTC (0.000 )  Time stamp start 1476469825720432560 end 1476469825720432385  Run 310634, LB 33, lumi 0.00
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:30:27 2016 UTC-Fri Oct 14 18:30:27 2016 UTC (0.001 )  Time stamp start 1476469827027118525 end 1476469827026118525  Run 310634, LB 33, lumi 13.01
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:30:28 2016 UTC-Fri Oct 14 18:30:28 2016 UTC (0.001 )  Time stamp start 1476469828043877640 end 1476469828042877640  Run 310634, LB 33, lumi 13.01
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:30:30 2016 UTC-Fri Oct 14 18:30:30 2016 UTC (0.001 )  Time stamp start 1476469830127860395 end 1476469830126860395  Run 310634, LB 33, lumi 13.01
Event Veto ['NoiseBurst'], Fri Oct 14 18:30:31 2016 UTC-Fri Oct 14 18:30:31 2016 UTC (0.003 )  Time stamp start 1476469831380309530 end 1476469831377631045  Run 310634, LB 33, lumi 34.85
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:30:39 2016 UTC-Fri Oct 14 18:30:39 2016 UTC (0.001 )  Time stamp start 1476469839903046435 end 1476469839902046435  Run 310634, LB 33, lumi 13.01
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:30:41 2016 UTC-Fri Oct 14 18:30:41 2016 UTC (0.001 )  Time stamp start 1476469841252308240 end 1476469841251308240  Run 310634, LB 33, lumi 13.01
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:30:43 2016 UTC-Fri Oct 14 18:30:43 2016 UTC (0.001 )  Time stamp start 1476469843122764110 end 1476469843121763985  Run 310634, LB 33, lumi 13.01
Event Veto ['NoiseBurst'], Fri Oct 14 18:30:44 2016 UTC-Fri Oct 14 18:30:44 2016 UTC (0.000 )  Time stamp start 1476469844590907545 end 1476469844590882390  Run 310634, LB 33, lumi 0.33
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:30:47 2016 UTC-Fri Oct 14 18:30:47 2016 UTC (0.001 )  Time stamp start 1476469847047555285 end 1476469847046555285  Run 310634, LB 33, lumi 13.01
Event Veto ['NoiseBurst'], Fri Oct 14 18:30:47 2016 UTC-Fri Oct 14 18:30:47 2016 UTC (0.010 )  Time stamp start 1476469847916601190 end 1476469847906600190  Run 310634, LB 33, lumi 130.12
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:31:03 2016 UTC-Fri Oct 14 18:31:03 2016 UTC (0.001 )  Time stamp start 1476469863132956490 end 1476469863131956490  Run 310634, LB 34, lumi 13.15
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:31:05 2016 UTC-Fri Oct 14 18:31:05 2016 UTC (0.001 )  Time stamp start 1476469865096817300 end 1476469865095817300  Run 310634, LB 34, lumi 13.15
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:31:06 2016 UTC-Fri Oct 14 18:31:06 2016 UTC (0.001 )  Time stamp start 1476469866530802215 end 1476469866529802215  Run 310634, LB 34, lumi 13.15
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:31:08 2016 UTC-Fri Oct 14 18:31:08 2016 UTC (0.001 )  Time stamp start 1476469868161748695 end 1476469868160748695  Run 310634, LB 34, lumi 13.15
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:31:10 2016 UTC-Fri Oct 14 18:31:10 2016 UTC (0.001 )  Time stamp start 1476469870384663350 end 1476469870383663350  Run 310634, LB 34, lumi 13.15
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:31:12 2016 UTC-Fri Oct 14 18:31:12 2016 UTC (0.001 )  Time stamp start 1476469872785296340 end 1476469872784296340  Run 310634, LB 34, lumi 13.15
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:31:14 2016 UTC-Fri Oct 14 18:31:14 2016 UTC (0.001 )  Time stamp start 1476469874240147585 end 1476469874239147585  Run 310634, LB 34, lumi 13.15
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:31:15 2016 UTC-Fri Oct 14 18:31:15 2016 UTC (0.001 )  Time stamp start 1476469875992647905 end 1476469875991647905  Run 310634, LB 34, lumi 13.15
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:31:17 2016 UTC-Fri Oct 14 18:31:17 2016 UTC (0.001 )  Time stamp start 1476469877742501400 end 1476469877741501400  Run 310634, LB 34, lumi 13.15
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:31:18 2016 UTC-Fri Oct 14 18:31:18 2016 UTC (0.001 )  Time stamp start 1476469878912996570 end 1476469878911996570  Run 310634, LB 34, lumi 13.15
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:31:20 2016 UTC-Fri Oct 14 18:31:20 2016 UTC (0.001 )  Time stamp start 1476469880398269405 end 1476469880397269205  Run 310634, LB 34, lumi 13.15
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:31:22 2016 UTC-Fri Oct 14 18:31:22 2016 UTC (0.001 )  Time stamp start 1476469882450460020 end 1476469882449460020  Run 310634, LB 34, lumi 13.15
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:31:24 2016 UTC-Fri Oct 14 18:31:24 2016 UTC (0.001 )  Time stamp start 1476469884004281745 end 1476469884003281745  Run 310634, LB 34, lumi 13.15
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:31:25 2016 UTC-Fri Oct 14 18:31:25 2016 UTC (0.001 )  Time stamp start 1476469885241615605 end 1476469885240615605  Run 310634, LB 34, lumi 13.15
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:31:26 2016 UTC-Fri Oct 14 18:31:26 2016 UTC (0.001 )  Time stamp start 1476469886393498150 end 1476469886392498150  Run 310634, LB 34, lumi 13.15
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:31:28 2016 UTC-Fri Oct 14 18:31:28 2016 UTC (0.001 )  Time stamp start 1476469888103922990 end 1476469888102922990  Run 310634, LB 34, lumi 13.15
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:31:29 2016 UTC-Fri Oct 14 18:31:29 2016 UTC (0.001 )  Time stamp start 1476469889539416375 end 1476469889538416375  Run 310634, LB 34, lumi 13.15
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:31:30 2016 UTC-Fri Oct 14 18:31:30 2016 UTC (0.001 )  Time stamp start 1476469890519011740 end 1476469890518011740  Run 310634, LB 34, lumi 13.15
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:31:32 2016 UTC-Fri Oct 14 18:31:32 2016 UTC (0.001 )  Time stamp start 1476469892041652820 end 1476469892040652820  Run 310634, LB 34, lumi 13.15
Event Veto ['NoiseBurst'], Fri Oct 14 18:31:42 2016 UTC-Fri Oct 14 18:31:42 2016 UTC (0.010 )  Time stamp start 1476469902440560285 end 1476469902430559985  Run 310634, LB 34, lumi 131.46
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:32:17 2016 UTC-Fri Oct 14 18:32:17 2016 UTC (0.001 )  Time stamp start 1476469937076967355 end 1476469937075967055  Run 310634, LB 35, lumi 13.05
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:32:19 2016 UTC-Fri Oct 14 18:32:19 2016 UTC (0.001 )  Time stamp start 1476469939001693925 end 1476469939000693925  Run 310634, LB 35, lumi 13.05
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:32:20 2016 UTC-Fri Oct 14 18:32:20 2016 UTC (0.001 )  Time stamp start 1476469940979561780 end 1476469940978561780  Run 310634, LB 35, lumi 13.05
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:32:22 2016 UTC-Fri Oct 14 18:32:22 2016 UTC (0.001 )  Time stamp start 1476469942752874560 end 1476469942751874560  Run 310634, LB 35, lumi 13.05
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:32:24 2016 UTC-Fri Oct 14 18:32:24 2016 UTC (0.001 )  Time stamp start 1476469944373714765 end 1476469944372714765  Run 310634, LB 35, lumi 13.05
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:32:26 2016 UTC-Fri Oct 14 18:32:26 2016 UTC (0.001 )  Time stamp start 1476469946859828370 end 1476469946858828370  Run 310634, LB 35, lumi 13.05
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:32:28 2016 UTC-Fri Oct 14 18:32:28 2016 UTC (0.001 )  Time stamp start 1476469948600273365 end 1476469948599273365  Run 310634, LB 35, lumi 13.05
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:32:30 2016 UTC-Fri Oct 14 18:32:30 2016 UTC (0.001 )  Time stamp start 1476469950928628800 end 1476469950927628800  Run 310634, LB 35, lumi 13.05
Event Veto ['NoiseBurst'], Fri Oct 14 18:32:33 2016 UTC-Fri Oct 14 18:32:33 2016 UTC (0.010 )  Time stamp start 1476469953093412510 end 1476469953083368250  Run 310634, LB 35, lumi 131.08
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:32:34 2016 UTC-Fri Oct 14 18:32:34 2016 UTC (0.001 )  Time stamp start 1476469954271061975 end 1476469954270061975  Run 310634, LB 35, lumi 13.05
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:32:35 2016 UTC-Fri Oct 14 18:32:35 2016 UTC (0.001 )  Time stamp start 1476469955971420865 end 1476469955970420690  Run 310634, LB 35, lumi 13.05
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:33:26 2016 UTC-Fri Oct 14 18:33:26 2016 UTC (0.000 )  Time stamp start 1476470006014351835 end 1476470006014351535  Run 310634, LB 36, lumi 0.00
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:33:47 2016 UTC-Fri Oct 14 18:33:47 2016 UTC (0.001 )  Time stamp start 1476470027296745115 end 1476470027295745115  Run 310634, LB 36, lumi 12.50
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:33:59 2016 UTC-Fri Oct 14 18:33:59 2016 UTC (0.001 )  Time stamp start 1476470039635826990 end 1476470039634826990  Run 310634, LB 36, lumi 12.50
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:34:03 2016 UTC-Fri Oct 14 18:34:03 2016 UTC (0.001 )  Time stamp start 1476470043784381565 end 1476470043783381565  Run 310634, LB 37, lumi 12.55
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:34:07 2016 UTC-Fri Oct 14 18:34:07 2016 UTC (0.001 )  Time stamp start 1476470047528423695 end 1476470047527423695  Run 310634, LB 37, lumi 12.55
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:34:09 2016 UTC-Fri Oct 14 18:34:09 2016 UTC (0.001 )  Time stamp start 1476470049990991705 end 1476470049989991705  Run 310634, LB 37, lumi 12.55
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:34:11 2016 UTC-Fri Oct 14 18:34:11 2016 UTC (0.001 )  Time stamp start 1476470051361871160 end 1476470051360871160  Run 310634, LB 37, lumi 12.55
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:34:13 2016 UTC-Fri Oct 14 18:34:13 2016 UTC (0.001 )  Time stamp start 1476470053624319790 end 1476470053623319790  Run 310634, LB 37, lumi 12.55
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:34:15 2016 UTC-Fri Oct 14 18:34:15 2016 UTC (0.001 )  Time stamp start 1476470055117477430 end 1476470055116477430  Run 310634, LB 37, lumi 12.55
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:34:16 2016 UTC-Fri Oct 14 18:34:16 2016 UTC (0.001 )  Time stamp start 1476470056524651880 end 1476470056523651880  Run 310634, LB 37, lumi 12.55
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:34:18 2016 UTC-Fri Oct 14 18:34:18 2016 UTC (0.001 )  Time stamp start 1476470058174999005 end 1476470058173999005  Run 310634, LB 37, lumi 12.55
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:34:19 2016 UTC-Fri Oct 14 18:34:19 2016 UTC (0.001 )  Time stamp start 1476470059216450945 end 1476470059215450945  Run 310634, LB 37, lumi 12.55
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:34:25 2016 UTC-Fri Oct 14 18:34:25 2016 UTC (0.001 )  Time stamp start 1476470065932195950 end 1476470065931195950  Run 310634, LB 37, lumi 12.55
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:34:27 2016 UTC-Fri Oct 14 18:34:27 2016 UTC (0.001 )  Time stamp start 1476470067779635935 end 1476470067778635935  Run 310634, LB 37, lumi 12.55
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:34:30 2016 UTC-Fri Oct 14 18:34:30 2016 UTC (0.001 )  Time stamp start 1476470070965642340 end 1476470070964642340  Run 310634, LB 37, lumi 12.55
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:34:32 2016 UTC-Fri Oct 14 18:34:32 2016 UTC (0.001 )  Time stamp start 1476470072374644075 end 1476470072373644075  Run 310634, LB 37, lumi 12.55
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:34:34 2016 UTC-Fri Oct 14 18:34:34 2016 UTC (0.001 )  Time stamp start 1476470074756729510 end 1476470074755729510  Run 310634, LB 37, lumi 12.55
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:34:36 2016 UTC-Fri Oct 14 18:34:36 2016 UTC (0.001 )  Time stamp start 1476470076383704880 end 1476470076382704880  Run 310634, LB 37, lumi 12.55
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:34:37 2016 UTC-Fri Oct 14 18:34:37 2016 UTC (0.001 )  Time stamp start 1476470077774671175 end 1476470077773671175  Run 310634, LB 37, lumi 12.55
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:34:40 2016 UTC-Fri Oct 14 18:34:40 2016 UTC (0.001 )  Time stamp start 1476470080120443205 end 1476470080119443205  Run 310634, LB 37, lumi 12.55
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:34:44 2016 UTC-Fri Oct 14 18:34:44 2016 UTC (0.001 )  Time stamp start 1476470084194631575 end 1476470084193631575  Run 310634, LB 37, lumi 12.55
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:34:45 2016 UTC-Fri Oct 14 18:34:45 2016 UTC (0.001 )  Time stamp start 1476470085812744840 end 1476470085811744840  Run 310634, LB 37, lumi 12.55
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:34:50 2016 UTC-Fri Oct 14 18:34:50 2016 UTC (0.001 )  Time stamp start 1476470090429268155 end 1476470090428268155  Run 310634, LB 37, lumi 12.55
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:34:51 2016 UTC-Fri Oct 14 18:34:51 2016 UTC (0.001 )  Time stamp start 1476470091368603830 end 1476470091367603830  Run 310634, LB 37, lumi 12.55
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:34:54 2016 UTC-Fri Oct 14 18:34:54 2016 UTC (0.001 )  Time stamp start 1476470094483771790 end 1476470094482771790  Run 310634, LB 37, lumi 12.55
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:34:56 2016 UTC-Fri Oct 14 18:34:56 2016 UTC (0.001 )  Time stamp start 1476470096158087795 end 1476470096157087795  Run 310634, LB 37, lumi 12.55
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:34:57 2016 UTC-Fri Oct 14 18:34:57 2016 UTC (0.001 )  Time stamp start 1476470097777580165 end 1476470097776580165  Run 310634, LB 37, lumi 12.55
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:35:00 2016 UTC-Fri Oct 14 18:35:00 2016 UTC (0.001 )  Time stamp start 1476470100532304695 end 1476470100531304695  Run 310634, LB 37, lumi 12.55
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:35:02 2016 UTC-Fri Oct 14 18:35:02 2016 UTC (0.001 )  Time stamp start 1476470102641652770 end 1476470102640652770  Run 310634, LB 38, lumi 11.29
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:35:05 2016 UTC-Fri Oct 14 18:35:05 2016 UTC (0.001 )  Time stamp start 1476470105991751735 end 1476470105990751735  Run 310634, LB 38, lumi 11.29
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:35:08 2016 UTC-Fri Oct 14 18:35:08 2016 UTC (0.001 )  Time stamp start 1476470108121825560 end 1476470108120825560  Run 310634, LB 38, lumi 11.29
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:35:12 2016 UTC-Fri Oct 14 18:35:12 2016 UTC (0.001 )  Time stamp start 1476470112572746250 end 1476470112571746250  Run 310634, LB 38, lumi 11.29
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:35:17 2016 UTC-Fri Oct 14 18:35:17 2016 UTC (0.001 )  Time stamp start 1476470117735613200 end 1476470117734613200  Run 310634, LB 38, lumi 11.29
