Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 310872 to 310872
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
[?1034hDumping EventVeto data from run 310872 to run 310872  lasting from Wed Oct 19 01:41:21 2016 UTC to Wed Oct 19 10:14:24 2016 UTC
Event Veto ['MiniNoiseBurst'], Wed Oct 19 02:52:23 2016 UTC-Wed Oct 19 02:52:23 2016 UTC (0.001 )  Time stamp start 1476845543787450415 end 1476845543786450415  Run 310872, LB 72, lumi 0.00
Event Veto ['MiniNoiseBurst'], Wed Oct 19 03:46:56 2016 UTC-Wed Oct 19 03:46:56 2016 UTC (0.001 )  Time stamp start 1476848816709375325 end 1476848816708375325  Run 310872, LB 129, lumi 0.00
Event Veto ['MiniNoiseBurst'], Wed Oct 19 04:06:21 2016 UTC-Wed Oct 19 04:06:21 2016 UTC (0.001 )  Time stamp start 1476849981053703110 end 1476849981052703110  Run 310872, LB 149, lumi 4.46
Event Veto ['MiniNoiseBurst'], Wed Oct 19 04:06:29 2016 UTC-Wed Oct 19 04:06:29 2016 UTC (0.001 )  Time stamp start 1476849989336077010 end 1476849989335077010  Run 310872, LB 149, lumi 4.46
Event Veto ['MiniNoiseBurst'], Wed Oct 19 04:06:30 2016 UTC-Wed Oct 19 04:06:30 2016 UTC (0.001 )  Time stamp start 1476849990047615725 end 1476849990046615725  Run 310872, LB 149, lumi 4.46
Event Veto ['MiniNoiseBurst'], Wed Oct 19 04:06:30 2016 UTC-Wed Oct 19 04:06:30 2016 UTC (0.001 )  Time stamp start 1476849990679695515 end 1476849990678695515  Run 310872, LB 149, lumi 4.46
Event Veto ['MiniNoiseBurst'], Wed Oct 19 04:06:35 2016 UTC-Wed Oct 19 04:06:35 2016 UTC (0.001 )  Time stamp start 1476849995879556435 end 1476849995878556435  Run 310872, LB 149, lumi 4.46
Event Veto ['MiniNoiseBurst'], Wed Oct 19 04:06:36 2016 UTC-Wed Oct 19 04:06:36 2016 UTC (0.001 )  Time stamp start 1476849996916058855 end 1476849996915058855  Run 310872, LB 149, lumi 4.46
Event Veto ['MiniNoiseBurst'], Wed Oct 19 04:06:37 2016 UTC-Wed Oct 19 04:06:37 2016 UTC (0.001 )  Time stamp start 1476849997474834395 end 1476849997473834395  Run 310872, LB 149, lumi 4.46
Event Veto ['MiniNoiseBurst'], Wed Oct 19 04:06:50 2016 UTC-Wed Oct 19 04:06:50 2016 UTC (0.001 )  Time stamp start 1476850010672300880 end 1476850010671300880  Run 310872, LB 149, lumi 4.46
Event Veto ['MiniNoiseBurst'], Wed Oct 19 04:06:51 2016 UTC-Wed Oct 19 04:06:51 2016 UTC (0.001 )  Time stamp start 1476850011927178590 end 1476850011926178590  Run 310872, LB 149, lumi 4.46
Event Veto ['MiniNoiseBurst'], Wed Oct 19 04:06:52 2016 UTC-Wed Oct 19 04:06:52 2016 UTC (0.001 )  Time stamp start 1476850012863017845 end 1476850012862017845  Run 310872, LB 149, lumi 4.46
Event Veto ['MiniNoiseBurst'], Wed Oct 19 04:06:53 2016 UTC-Wed Oct 19 04:06:53 2016 UTC (0.001 )  Time stamp start 1476850013411364750 end 1476850013410364750  Run 310872, LB 149, lumi 4.46
