Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 311071 to 311071
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
[?1034hDumping EventVeto data from run 311071 to run 311071  lasting from Thu Oct 20 22:54:49 2016 UTC to Fri Oct 21 08:49:52 2016 UTC
Event Veto ['MiniNoiseBurst'], Fri Oct 21 00:57:29 2016 UTC-Fri Oct 21 00:57:29 2016 UTC (0.001 )  Time stamp start 1477011449493084080 end 1477011449492084080  Run 311071, LB 126, lumi 0.00
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:05:11 2016 UTC-Fri Oct 21 01:05:11 2016 UTC (0.001 )  Time stamp start 1477011911182412235 end 1477011911181412235  Run 311071, LB 134, lumi 5.30
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:05:12 2016 UTC-Fri Oct 21 01:05:12 2016 UTC (0.001 )  Time stamp start 1477011912441671995 end 1477011912440671995  Run 311071, LB 134, lumi 5.30
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:05:20 2016 UTC-Fri Oct 21 01:05:20 2016 UTC (0.001 )  Time stamp start 1477011920677460005 end 1477011920676460005  Run 311071, LB 134, lumi 5.30
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:05:30 2016 UTC-Fri Oct 21 01:05:30 2016 UTC (0.001 )  Time stamp start 1477011930321511620 end 1477011930320511495  Run 311071, LB 134, lumi 5.30
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:05:31 2016 UTC-Fri Oct 21 01:05:31 2016 UTC (0.001 )  Time stamp start 1477011931803976435 end 1477011931802976435  Run 311071, LB 134, lumi 5.30
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:05:32 2016 UTC-Fri Oct 21 01:05:32 2016 UTC (0.001 )  Time stamp start 1477011932827688215 end 1477011932826688215  Run 311071, LB 134, lumi 5.30
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:05:34 2016 UTC-Fri Oct 21 01:05:34 2016 UTC (0.001 )  Time stamp start 1477011934007724785 end 1477011934006724785  Run 311071, LB 135, lumi 11.65
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:05:34 2016 UTC-Fri Oct 21 01:05:34 2016 UTC (0.001 )  Time stamp start 1477011934967650390 end 1477011934966650390  Run 311071, LB 135, lumi 11.65
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:05:35 2016 UTC-Fri Oct 21 01:05:35 2016 UTC (0.001 )  Time stamp start 1477011935635238060 end 1477011935634238060  Run 311071, LB 135, lumi 11.65
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:05:36 2016 UTC-Fri Oct 21 01:05:36 2016 UTC (0.001 )  Time stamp start 1477011936200283595 end 1477011936199283225  Run 311071, LB 135, lumi 11.65
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:05:36 2016 UTC-Fri Oct 21 01:05:36 2016 UTC (0.001 )  Time stamp start 1477011936828234670 end 1477011936827234670  Run 311071, LB 135, lumi 11.65
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:05:37 2016 UTC-Fri Oct 21 01:05:37 2016 UTC (0.001 )  Time stamp start 1477011937250616465 end 1477011937249616465  Run 311071, LB 135, lumi 11.65
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:05:38 2016 UTC-Fri Oct 21 01:05:38 2016 UTC (0.001 )  Time stamp start 1477011938495906980 end 1477011938494906980  Run 311071, LB 135, lumi 11.65
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:05:38 2016 UTC-Fri Oct 21 01:05:38 2016 UTC (0.001 )  Time stamp start 1477011938949196535 end 1477011938948196535  Run 311071, LB 135, lumi 11.65
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:05:39 2016 UTC-Fri Oct 21 01:05:39 2016 UTC (0.001 )  Time stamp start 1477011939352831895 end 1477011939351831895  Run 311071, LB 135, lumi 11.65
Event Veto ['NoiseBurst'], Fri Oct 21 01:05:40 2016 UTC-Fri Oct 21 01:05:40 2016 UTC (0.014 )  Time stamp start 1477011940368070260 end 1477011940353589405  Run 311071, LB 135, lumi 168.63
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:05:41 2016 UTC-Fri Oct 21 01:05:41 2016 UTC (0.001 )  Time stamp start 1477011941601071475 end 1477011941600071475  Run 311071, LB 135, lumi 11.65
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:05:42 2016 UTC-Fri Oct 21 01:05:42 2016 UTC (0.001 )  Time stamp start 1477011942355301560 end 1477011942354301560  Run 311071, LB 135, lumi 11.65
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:05:42 2016 UTC-Fri Oct 21 01:05:42 2016 UTC (0.002 )  Time stamp start 1477011942811956670 end 1477011942809964755  Run 311071, LB 135, lumi 23.20
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:05:43 2016 UTC-Fri Oct 21 01:05:43 2016 UTC (0.001 )  Time stamp start 1477011943352970580 end 1477011943351970580  Run 311071, LB 135, lumi 11.65
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:05:43 2016 UTC-Fri Oct 21 01:05:43 2016 UTC (0.001 )  Time stamp start 1477011943825840600 end 1477011943824840600  Run 311071, LB 135, lumi 11.65
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:05:44 2016 UTC-Fri Oct 21 01:05:44 2016 UTC (0.001 )  Time stamp start 1477011944439326230 end 1477011944438326055  Run 311071, LB 135, lumi 11.65
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:05:44 2016 UTC-Fri Oct 21 01:05:44 2016 UTC (0.001 )  Time stamp start 1477011944955311900 end 1477011944954311900  Run 311071, LB 135, lumi 11.65
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:05:45 2016 UTC-Fri Oct 21 01:05:45 2016 UTC (0.001 )  Time stamp start 1477011945612768990 end 1477011945611768990  Run 311071, LB 135, lumi 11.65
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:05:46 2016 UTC-Fri Oct 21 01:05:46 2016 UTC (0.001 )  Time stamp start 1477011946082907655 end 1477011946081907655  Run 311071, LB 135, lumi 11.65
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:05:46 2016 UTC-Fri Oct 21 01:05:46 2016 UTC (0.001 )  Time stamp start 1477011946740222850 end 1477011946739222850  Run 311071, LB 135, lumi 11.65
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:05:47 2016 UTC-Fri Oct 21 01:05:47 2016 UTC (0.001 )  Time stamp start 1477011947235820625 end 1477011947234820625  Run 311071, LB 135, lumi 11.65
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:05:47 2016 UTC-Fri Oct 21 01:05:47 2016 UTC (0.001 )  Time stamp start 1477011947667339835 end 1477011947666339835  Run 311071, LB 135, lumi 11.65
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:05:48 2016 UTC-Fri Oct 21 01:05:48 2016 UTC (0.001 )  Time stamp start 1477011948472866295 end 1477011948471866295  Run 311071, LB 135, lumi 11.65
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:05:49 2016 UTC-Fri Oct 21 01:05:49 2016 UTC (0.001 )  Time stamp start 1477011949406720300 end 1477011949405720300  Run 311071, LB 135, lumi 11.65
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:05:49 2016 UTC-Fri Oct 21 01:05:49 2016 UTC (0.001 )  Time stamp start 1477011949861374185 end 1477011949860374185  Run 311071, LB 135, lumi 11.65
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:05:50 2016 UTC-Fri Oct 21 01:05:50 2016 UTC (0.001 )  Time stamp start 1477011950587670665 end 1477011950586670665  Run 311071, LB 135, lumi 11.65
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:05:51 2016 UTC-Fri Oct 21 01:05:51 2016 UTC (0.001 )  Time stamp start 1477011951348401470 end 1477011951347401470  Run 311071, LB 135, lumi 11.65
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:05:52 2016 UTC-Fri Oct 21 01:05:52 2016 UTC (0.001 )  Time stamp start 1477011952175866490 end 1477011952174866490  Run 311071, LB 135, lumi 11.65
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:05:53 2016 UTC-Fri Oct 21 01:05:53 2016 UTC (0.001 )  Time stamp start 1477011953113078965 end 1477011953112078965  Run 311071, LB 135, lumi 11.65
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:05:53 2016 UTC-Fri Oct 21 01:05:53 2016 UTC (0.001 )  Time stamp start 1477011953605035330 end 1477011953604035330  Run 311071, LB 135, lumi 11.65
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:05:53 2016 UTC-Fri Oct 21 01:05:53 2016 UTC (0.001 )  Time stamp start 1477011953959532400 end 1477011953958532400  Run 311071, LB 135, lumi 11.65
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:05:54 2016 UTC-Fri Oct 21 01:05:54 2016 UTC (0.001 )  Time stamp start 1477011954545347610 end 1477011954544347460  Run 311071, LB 135, lumi 11.65
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:05:55 2016 UTC-Fri Oct 21 01:05:55 2016 UTC (0.001 )  Time stamp start 1477011955146313205 end 1477011955145313205  Run 311071, LB 135, lumi 11.65
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:05:55 2016 UTC-Fri Oct 21 01:05:55 2016 UTC (0.001 )  Time stamp start 1477011955923379180 end 1477011955922379180  Run 311071, LB 135, lumi 11.65
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:05:56 2016 UTC-Fri Oct 21 01:05:56 2016 UTC (0.001 )  Time stamp start 1477011956548759080 end 1477011956547759080  Run 311071, LB 135, lumi 11.65
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:05:57 2016 UTC-Fri Oct 21 01:05:57 2016 UTC (0.001 )  Time stamp start 1477011957169206865 end 1477011957168206865  Run 311071, LB 135, lumi 11.65
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:05:57 2016 UTC-Fri Oct 21 01:05:57 2016 UTC (0.001 )  Time stamp start 1477011957869223080 end 1477011957868223080  Run 311071, LB 135, lumi 11.65
