Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 311071 to 311071
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
[?1034hDumping EventVeto data from run 311071 to run 311071  lasting from Thu Oct 20 22:54:49 2016 UTC to Fri Oct 21 08:49:52 2016 UTC
Event Veto ['NoiseBurst'], Fri Oct 21 01:06:06 2016 UTC-Fri Oct 21 01:06:06 2016 UTC (0.010 )  Time stamp start 1477011966369535275 end 1477011966359509200  Run 311071, LB 135, lumi 116.76
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:06:08 2016 UTC-Fri Oct 21 01:06:08 2016 UTC (0.001 )  Time stamp start 1477011968649686795 end 1477011968648686500  Run 311071, LB 135, lumi 11.65
Event Veto ['NoiseBurst'], Fri Oct 21 01:06:09 2016 UTC-Fri Oct 21 01:06:09 2016 UTC (0.000 )  Time stamp start 1477011969145143635 end 1477011969145034625  Run 311071, LB 135, lumi 1.27
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:06:10 2016 UTC-Fri Oct 21 01:06:10 2016 UTC (0.001 )  Time stamp start 1477011970126952705 end 1477011970125952705  Run 311071, LB 135, lumi 11.65
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:06:10 2016 UTC-Fri Oct 21 01:06:10 2016 UTC (0.001 )  Time stamp start 1477011970979483790 end 1477011970978483790  Run 311071, LB 135, lumi 11.65
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:06:11 2016 UTC-Fri Oct 21 01:06:11 2016 UTC (0.001 )  Time stamp start 1477011971589812500 end 1477011971588812500  Run 311071, LB 135, lumi 11.65
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:06:12 2016 UTC-Fri Oct 21 01:06:12 2016 UTC (0.001 )  Time stamp start 1477011972257486125 end 1477011972256486125  Run 311071, LB 135, lumi 11.65
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:06:12 2016 UTC-Fri Oct 21 01:06:12 2016 UTC (0.001 )  Time stamp start 1477011972602491760 end 1477011972601491760  Run 311071, LB 135, lumi 11.65
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:06:13 2016 UTC-Fri Oct 21 01:06:13 2016 UTC (0.001 )  Time stamp start 1477011973898996165 end 1477011973897996165  Run 311071, LB 135, lumi 11.65
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:06:14 2016 UTC-Fri Oct 21 01:06:14 2016 UTC (0.001 )  Time stamp start 1477011974684330565 end 1477011974683330565  Run 311071, LB 135, lumi 11.65
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:06:15 2016 UTC-Fri Oct 21 01:06:15 2016 UTC (0.001 )  Time stamp start 1477011975420478500 end 1477011975419478500  Run 311071, LB 135, lumi 11.65
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:06:16 2016 UTC-Fri Oct 21 01:06:16 2016 UTC (0.001 )  Time stamp start 1477011976108626350 end 1477011976107626350  Run 311071, LB 135, lumi 11.65
