Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 328042 to 328042
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
[?1034hDumping EventVeto data from run 328042 to run 328042  lasting from Tue Jun 27 01:46:59 2017 UTC to Tue Jun 27 10:12:59 2017 UTC
Event Veto ['MiniNoiseBurst'], Tue Jun 27 01:51:22 2017 UTC-Tue Jun 27 01:51:22 2017 UTC (0.001 )  Time stamp start 1498528282101203415 end 1498528282100203415  Run 328042, LB 8, lumi 12.02
Event Veto ['MiniNoiseBurst'], Tue Jun 27 01:51:37 2017 UTC-Tue Jun 27 01:51:37 2017 UTC (0.001 )  Time stamp start 1498528297148314050 end 1498528297147314050  Run 328042, LB 8, lumi 12.02
Event Veto ['MiniNoiseBurst'], Tue Jun 27 01:52:01 2017 UTC-Tue Jun 27 01:52:01 2017 UTC (0.001 )  Time stamp start 1498528321999163635 end 1498528321998163635  Run 328042, LB 8, lumi 12.02
Event Veto ['MiniNoiseBurst'], Tue Jun 27 01:52:11 2017 UTC-Tue Jun 27 01:52:11 2017 UTC (0.001 )  Time stamp start 1498528331935562720 end 1498528331934562720  Run 328042, LB 8, lumi 12.02
Event Veto ['MiniNoiseBurst'], Tue Jun 27 01:52:51 2017 UTC-Tue Jun 27 01:52:51 2017 UTC (0.001 )  Time stamp start 1498528371829855255 end 1498528371828855255  Run 328042, LB 9, lumi 12.00
Event Veto ['MiniNoiseBurst'], Tue Jun 27 01:53:16 2017 UTC-Tue Jun 27 01:53:16 2017 UTC (0.001 )  Time stamp start 1498528396958304390 end 1498528396957304390  Run 328042, LB 10, lumi 11.98
Event Veto ['MiniNoiseBurst'], Tue Jun 27 01:53:46 2017 UTC-Tue Jun 27 01:53:46 2017 UTC (0.001 )  Time stamp start 1498528426707191420 end 1498528426706191420  Run 328042, LB 10, lumi 11.98
Event Veto ['MiniNoiseBurst'], Tue Jun 27 01:54:21 2017 UTC-Tue Jun 27 01:54:21 2017 UTC (0.001 )  Time stamp start 1498528461640212110 end 1498528461639212110  Run 328042, LB 11, lumi 11.97
Event Veto ['MiniNoiseBurst'], Tue Jun 27 01:55:06 2017 UTC-Tue Jun 27 01:55:06 2017 UTC (0.001 )  Time stamp start 1498528506675242995 end 1498528506674242995  Run 328042, LB 11, lumi 11.97
Event Veto ['MiniNoiseBurst'], Tue Jun 27 01:55:36 2017 UTC-Tue Jun 27 01:55:36 2017 UTC (0.001 )  Time stamp start 1498528536662588510 end 1498528536661588510  Run 328042, LB 12, lumi 11.95
Event Veto ['MiniNoiseBurst'], Tue Jun 27 01:55:56 2017 UTC-Tue Jun 27 01:55:56 2017 UTC (0.001 )  Time stamp start 1498528556593505615 end 1498528556592505615  Run 328042, LB 12, lumi 11.95
Event Veto ['MiniNoiseBurst'], Tue Jun 27 01:56:16 2017 UTC-Tue Jun 27 01:56:16 2017 UTC (0.001 )  Time stamp start 1498528576597198095 end 1498528576596198095  Run 328042, LB 13, lumi 11.94
Event Veto ['MiniNoiseBurst'], Tue Jun 27 01:57:06 2017 UTC-Tue Jun 27 01:57:06 2017 UTC (0.001 )  Time stamp start 1498528626395627560 end 1498528626394627560  Run 328042, LB 13, lumi 11.94
Event Veto ['MiniNoiseBurst'], Tue Jun 27 01:57:46 2017 UTC-Tue Jun 27 01:57:46 2017 UTC (0.001 )  Time stamp start 1498528666385585990 end 1498528666384585990  Run 328042, LB 14, lumi 11.92
Event Veto ['MiniNoiseBurst'], Tue Jun 27 01:58:28 2017 UTC-Tue Jun 27 01:58:28 2017 UTC (0.001 )  Time stamp start 1498528708513124370 end 1498528708512124370  Run 328042, LB 16, lumi 11.90
Event Veto ['MiniNoiseBurst'], Tue Jun 27 01:58:30 2017 UTC-Tue Jun 27 01:58:30 2017 UTC (0.001 )  Time stamp start 1498528710247448065 end 1498528710246448065  Run 328042, LB 16, lumi 11.90
Event Veto ['MiniNoiseBurst'], Tue Jun 27 01:58:31 2017 UTC-Tue Jun 27 01:58:31 2017 UTC (0.001 )  Time stamp start 1498528711945587750 end 1498528711944587750  Run 328042, LB 16, lumi 11.90
