Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 329716 to 329716
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
[?1034hDumping EventVeto data from run 329716 to run 329716  lasting from Fri Jul 14 03:19:56 2017 UTC to Fri Jul 14 09:57:23 2017 UTC
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:22:22 2017 UTC-Fri Jul 14 07:22:22 2017 UTC (0.001 )  Time stamp start 1500016942081186165 end 1500016942080186165  Run 329716, LB 247, lumi 0.00
Event Veto ['NoiseBurst'], Fri Jul 14 07:28:42 2017 UTC-Fri Jul 14 07:28:42 2017 UTC (0.000 )  Time stamp start 1500017322197412875 end 1500017322197403915  Run 329716, LB 254, lumi 0.04
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:09 2017 UTC-Fri Jul 14 07:33:09 2017 UTC (0.001 )  Time stamp start 1500017589856751700 end 1500017589855751700  Run 329716, LB 258, lumi 7.16
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:46 2017 UTC-Fri Jul 14 07:33:46 2017 UTC (0.000 )  Time stamp start 1500017626289564160 end 1500017626289464160  Run 329716, LB 259, lumi 0.71
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:46 2017 UTC-Fri Jul 14 07:33:46 2017 UTC (0.000 )  Time stamp start 1500017626375635655 end 1500017626375535655  Run 329716, LB 259, lumi 0.71
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:46 2017 UTC-Fri Jul 14 07:33:46 2017 UTC (0.000 )  Time stamp start 1500017626453713430 end 1500017626453613205  Run 329716, LB 259, lumi 0.72
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:46 2017 UTC-Fri Jul 14 07:33:46 2017 UTC (0.000 )  Time stamp start 1500017626582187930 end 1500017626582087930  Run 329716, LB 259, lumi 0.71
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:46 2017 UTC-Fri Jul 14 07:33:46 2017 UTC (0.000 )  Time stamp start 1500017626647949870 end 1500017626647849695  Run 329716, LB 259, lumi 0.72
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:46 2017 UTC-Fri Jul 14 07:33:46 2017 UTC (0.000 )  Time stamp start 1500017626711351445 end 1500017626711251445  Run 329716, LB 259, lumi 0.71
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:46 2017 UTC-Fri Jul 14 07:33:46 2017 UTC (0.000 )  Time stamp start 1500017626819211815 end 1500017626819111695  Run 329716, LB 259, lumi 0.72
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:46 2017 UTC-Fri Jul 14 07:33:46 2017 UTC (0.000 )  Time stamp start 1500017626938815035 end 1500017626938714860  Run 329716, LB 259, lumi 0.72
