Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 329716 to 329716
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
[?1034hDumping EventVeto data from run 329716 to run 329716  lasting from Fri Jul 14 03:19:56 2017 UTC to Fri Jul 14 09:57:23 2017 UTC
Event Veto ['NoiseBurst'], Fri Jul 14 07:28:42 2017 UTC-Fri Jul 14 07:28:42 2017 UTC (0.000 )  Time stamp start 1500017322196033925 end 1500017322195575065  Run 329716, LB 254, lumi 2.13
Event Veto ['NoiseBurst'], Fri Jul 14 07:28:42 2017 UTC-Fri Jul 14 07:28:42 2017 UTC (0.000 )  Time stamp start 1500017322197963450 end 1500017322197513450  Run 329716, LB 254, lumi 2.09
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:46 2017 UTC-Fri Jul 14 07:33:46 2017 UTC (0.000 )  Time stamp start 1500017626242628650 end 1500017626242528650  Run 329716, LB 259, lumi 0.71
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:46 2017 UTC-Fri Jul 14 07:33:46 2017 UTC (0.000 )  Time stamp start 1500017626297676220 end 1500017626297576095  Run 329716, LB 259, lumi 0.72
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:46 2017 UTC-Fri Jul 14 07:33:46 2017 UTC (0.000 )  Time stamp start 1500017626379755395 end 1500017626379655395  Run 329716, LB 259, lumi 0.71
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:46 2017 UTC-Fri Jul 14 07:33:46 2017 UTC (0.000 )  Time stamp start 1500017626462738910 end 1500017626462638910  Run 329716, LB 259, lumi 0.71
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:46 2017 UTC-Fri Jul 14 07:33:46 2017 UTC (0.000 )  Time stamp start 1500017626603484180 end 1500017626603384180  Run 329716, LB 259, lumi 0.71
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:46 2017 UTC-Fri Jul 14 07:33:46 2017 UTC (0.000 )  Time stamp start 1500017626670313390 end 1500017626670213390  Run 329716, LB 259, lumi 0.71
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:46 2017 UTC-Fri Jul 14 07:33:46 2017 UTC (0.000 )  Time stamp start 1500017626742184770 end 1500017626742084770  Run 329716, LB 259, lumi 0.71
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:46 2017 UTC-Fri Jul 14 07:33:46 2017 UTC (0.000 )  Time stamp start 1500017626827241890 end 1500017626827141740  Run 329716, LB 259, lumi 0.72
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:46 2017 UTC-Fri Jul 14 07:33:46 2017 UTC (0.000 )  Time stamp start 1500017626943129915 end 1500017626943029790  Run 329716, LB 259, lumi 0.72
