Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 302053 to 302053
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 302053 to run 302053  lasting from Tue Jun 14 14:57:24 2016 UTC to Wed Jun 15 11:15:33 2016 UTC
Event Veto ['MiniNoiseBurst'], Tue Jun 14 15:11:41 2016 UTC-Tue Jun 14 15:11:41 2016 UTC (0.001 )  Time stamp start 1465917101889750200 end 1465917101888750000  Run 302053, LB 17, lumi 0.00
Event Veto ['MiniNoiseBurst'], Tue Jun 14 16:16:22 2016 UTC-Tue Jun 14 16:16:22 2016 UTC (0.001 )  Time stamp start 1465920982608547945 end 1465920982607547945  Run 302053, LB 86, lumi 0.00
Event Veto ['MiniNoiseBurst'], Tue Jun 14 16:24:09 2016 UTC-Tue Jun 14 16:24:09 2016 UTC (0.001 )  Time stamp start 1465921449349762245 end 1465921449348762245  Run 302053, LB 94, lumi 0.00
Event Veto ['MiniNoiseBurst'], Tue Jun 14 16:36:50 2016 UTC-Tue Jun 14 16:36:50 2016 UTC (0.001 )  Time stamp start 1465922210807509500 end 1465922210806509500  Run 302053, LB 107, lumi 0.00
Event Veto ['MiniNoiseBurst'], Tue Jun 14 16:41:09 2016 UTC-Tue Jun 14 16:41:09 2016 UTC (0.001 )  Time stamp start 1465922469130623930 end 1465922469129623755  Run 302053, LB 112, lumi 7.29
Event Veto ['MiniNoiseBurst'], Tue Jun 14 16:41:33 2016 UTC-Tue Jun 14 16:41:33 2016 UTC (0.001 )  Time stamp start 1465922493564251715 end 1465922493563251715  Run 302053, LB 112, lumi 7.29
Event Veto ['MiniNoiseBurst'], Tue Jun 14 16:41:39 2016 UTC-Tue Jun 14 16:41:39 2016 UTC (0.001 )  Time stamp start 1465922499236798700 end 1465922499235798375  Run 302053, LB 112, lumi 7.29
Event Veto ['MiniNoiseBurst'], Tue Jun 14 16:41:45 2016 UTC-Tue Jun 14 16:41:45 2016 UTC (0.001 )  Time stamp start 1465922505109235265 end 1465922505108235265  Run 302053, LB 112, lumi 7.29
Event Veto ['MiniNoiseBurst'], Tue Jun 14 16:41:50 2016 UTC-Tue Jun 14 16:41:50 2016 UTC (0.001 )  Time stamp start 1465922510697669940 end 1465922510696669665  Run 302053, LB 112, lumi 7.29
Event Veto ['MiniNoiseBurst'], Tue Jun 14 16:42:02 2016 UTC-Tue Jun 14 16:42:02 2016 UTC (0.001 )  Time stamp start 1465922522262141140 end 1465922522261141140  Run 302053, LB 112, lumi 7.29
Event Veto ['MiniNoiseBurst'], Tue Jun 14 16:42:08 2016 UTC-Tue Jun 14 16:42:08 2016 UTC (0.001 )  Time stamp start 1465922528013140140 end 1465922528012140140  Run 302053, LB 113, lumi 8.61
Event Veto ['MiniNoiseBurst'], Tue Jun 14 16:42:13 2016 UTC-Tue Jun 14 16:42:13 2016 UTC (0.001 )  Time stamp start 1465922533765173790 end 1465922533764173790  Run 302053, LB 113, lumi 8.61
Event Veto ['MiniNoiseBurst'], Tue Jun 14 16:42:42 2016 UTC-Tue Jun 14 16:42:42 2016 UTC (0.001 )  Time stamp start 1465922562467632200 end 1465922562466632200  Run 302053, LB 113, lumi 8.61
Event Veto ['NoiseBurst'], Tue Jun 14 16:42:54 2016 UTC-Tue Jun 14 16:42:54 2016 UTC (0.010 )  Time stamp start 1465922574769057185 end 1465922574759055890  Run 302053, LB 113, lumi 86.16
Event Veto ['NoiseBurst'], Tue Jun 14 16:42:54 2016 UTC-Tue Jun 14 16:42:55 2016 UTC (0.010 )  Time stamp start 1465922575004885230 end 1465922574994883935  Run 302053, LB 113, lumi 86.16
Event Veto ['MiniNoiseBurst'], Tue Jun 14 16:43:00 2016 UTC-Tue Jun 14 16:43:00 2016 UTC (0.001 )  Time stamp start 1465922580008982930 end 1465922580007982730  Run 302053, LB 113, lumi 8.62
Event Veto ['MiniNoiseBurst'], Tue Jun 14 16:43:05 2016 UTC-Tue Jun 14 16:43:05 2016 UTC (0.001 )  Time stamp start 1465922585694043710 end 1465922585693043710  Run 302053, LB 113, lumi 8.61
Event Veto ['MiniNoiseBurst'], Tue Jun 14 16:43:11 2016 UTC-Tue Jun 14 16:43:11 2016 UTC (0.001 )  Time stamp start 1465922591438695615 end 1465922591437695615  Run 302053, LB 114, lumi 8.54
Event Veto ['MiniNoiseBurst'], Tue Jun 14 16:43:17 2016 UTC-Tue Jun 14 16:43:17 2016 UTC (0.001 )  Time stamp start 1465922597427035770 end 1465922597426035770  Run 302053, LB 114, lumi 8.54
Event Veto ['MiniNoiseBurst'], Tue Jun 14 16:43:23 2016 UTC-Tue Jun 14 16:43:23 2016 UTC (0.001 )  Time stamp start 1465922603093234715 end 1465922603092234715  Run 302053, LB 114, lumi 8.54
Event Veto ['MiniNoiseBurst'], Tue Jun 14 16:43:28 2016 UTC-Tue Jun 14 16:43:28 2016 UTC (0.001 )  Time stamp start 1465922608900539895 end 1465922608899539895  Run 302053, LB 114, lumi 8.54
Event Veto ['NoiseBurst'], Tue Jun 14 16:43:30 2016 UTC-Tue Jun 14 16:43:30 2016 UTC (0.010 )  Time stamp start 1465922610313399335 end 1465922610303398340  Run 302053, LB 114, lumi 85.37
Event Veto ['MiniNoiseBurst'], Tue Jun 14 16:43:46 2016 UTC-Tue Jun 14 16:43:46 2016 UTC (0.001 )  Time stamp start 1465922626115637060 end 1465922626114636885  Run 302053, LB 114, lumi 8.54
Event Veto ['MiniNoiseBurst'], Tue Jun 14 16:43:51 2016 UTC-Tue Jun 14 16:43:51 2016 UTC (0.001 )  Time stamp start 1465922631901848760 end 1465922631900848760  Run 302053, LB 114, lumi 8.54
Event Veto ['MiniNoiseBurst'], Tue Jun 14 16:43:55 2016 UTC-Tue Jun 14 16:43:55 2016 UTC (0.001 )  Time stamp start 1465922635593739510 end 1465922635592739510  Run 302053, LB 114, lumi 8.54
Event Veto ['MiniNoiseBurst'], Tue Jun 14 16:44:03 2016 UTC-Tue Jun 14 16:44:03 2016 UTC (0.001 )  Time stamp start 1465922643549281540 end 1465922643548281540  Run 302053, LB 114, lumi 8.54
Event Veto ['MiniNoiseBurst'], Tue Jun 14 16:44:09 2016 UTC-Tue Jun 14 16:44:09 2016 UTC (0.001 )  Time stamp start 1465922649226227640 end 1465922649225227640  Run 302053, LB 115, lumi 9.03
Event Veto ['MiniNoiseBurst'], Tue Jun 14 16:44:14 2016 UTC-Tue Jun 14 16:44:14 2016 UTC (0.001 )  Time stamp start 1465922654807859005 end 1465922654806859005  Run 302053, LB 115, lumi 9.03
Event Veto ['NoiseBurst'], Tue Jun 14 16:44:15 2016 UTC-Tue Jun 14 16:44:15 2016 UTC (0.010 )  Time stamp start 1465922655733835145 end 1465922655723833950  Run 302053, LB 115, lumi 90.32
Event Veto ['MiniNoiseBurst'], Tue Jun 14 16:44:31 2016 UTC-Tue Jun 14 16:44:31 2016 UTC (0.001 )  Time stamp start 1465922671518615310 end 1465922671517615310  Run 302053, LB 115, lumi 9.03
Event Veto ['NoiseBurst'], Tue Jun 14 16:44:40 2016 UTC-Tue Jun 14 16:44:40 2016 UTC (0.010 )  Time stamp start 1465922680099486785 end 1465922680089485665  Run 302053, LB 115, lumi 90.32
Event Veto ['MiniNoiseBurst'], Tue Jun 14 16:44:42 2016 UTC-Tue Jun 14 16:44:42 2016 UTC (0.001 )  Time stamp start 1465922682520726175 end 1465922682519726175  Run 302053, LB 115, lumi 9.03
Event Veto ['MiniNoiseBurst'], Tue Jun 14 16:44:51 2016 UTC-Tue Jun 14 16:44:51 2016 UTC (0.001 )  Time stamp start 1465922691844170875 end 1465922691843170875  Run 302053, LB 115, lumi 9.03
Event Veto ['MiniNoiseBurst'], Tue Jun 14 16:44:53 2016 UTC-Tue Jun 14 16:44:53 2016 UTC (0.001 )  Time stamp start 1465922693427554710 end 1465922693426554710  Run 302053, LB 115, lumi 9.03
Event Veto ['MiniNoiseBurst'], Tue Jun 14 16:45:15 2016 UTC-Tue Jun 14 16:45:15 2016 UTC (0.001 )  Time stamp start 1465922715082609365 end 1465922715081609365  Run 302053, LB 116, lumi 9.16
Event Veto ['MiniNoiseBurst'], Tue Jun 14 16:45:25 2016 UTC-Tue Jun 14 16:45:25 2016 UTC (0.001 )  Time stamp start 1465922725888415080 end 1465922725887415080  Run 302053, LB 116, lumi 9.16
Event Veto ['MiniNoiseBurst'], Tue Jun 14 16:45:36 2016 UTC-Tue Jun 14 16:45:36 2016 UTC (0.001 )  Time stamp start 1465922736611199230 end 1465922736610199230  Run 302053, LB 116, lumi 9.16
Event Veto ['MiniNoiseBurst'], Tue Jun 14 16:45:41 2016 UTC-Tue Jun 14 16:45:41 2016 UTC (0.001 )  Time stamp start 1465922741879342050 end 1465922741878342050  Run 302053, LB 116, lumi 9.16
Event Veto ['MiniNoiseBurst'], Tue Jun 14 16:45:52 2016 UTC-Tue Jun 14 16:45:52 2016 UTC (0.001 )  Time stamp start 1465922752521238800 end 1465922752520238800  Run 302053, LB 116, lumi 9.16
Event Veto ['MiniNoiseBurst'], Tue Jun 14 16:46:03 2016 UTC-Tue Jun 14 16:46:03 2016 UTC (0.001 )  Time stamp start 1465922763318214050 end 1465922763317214050  Run 302053, LB 116, lumi 9.16
Event Veto ['MiniNoiseBurst'], Tue Jun 14 16:46:06 2016 UTC-Tue Jun 14 16:46:06 2016 UTC (0.001 )  Time stamp start 1465922766465452030 end 1465922766464452030  Run 302053, LB 116, lumi 9.16
Event Veto ['MiniNoiseBurst'], Tue Jun 14 16:46:08 2016 UTC-Tue Jun 14 16:46:08 2016 UTC (0.001 )  Time stamp start 1465922768973924280 end 1465922768972924280  Run 302053, LB 117, lumi 9.11
Event Veto ['NoiseBurst'], Tue Jun 14 16:46:15 2016 UTC-Tue Jun 14 16:46:15 2016 UTC (0.010 )  Time stamp start 1465922775179465190 end 1465922775169464890  Run 302053, LB 117, lumi 91.11
Event Veto ['MiniNoiseBurst'], Tue Jun 14 16:46:25 2016 UTC-Tue Jun 14 16:46:25 2016 UTC (0.001 )  Time stamp start 1465922785171169255 end 1465922785170169255  Run 302053, LB 117, lumi 9.11
Event Veto ['MiniNoiseBurst'], Tue Jun 14 16:46:36 2016 UTC-Tue Jun 14 16:46:36 2016 UTC (0.001 )  Time stamp start 1465922796029311965 end 1465922796028311965  Run 302053, LB 117, lumi 9.11
Event Veto ['MiniNoiseBurst'], Tue Jun 14 16:46:41 2016 UTC-Tue Jun 14 16:46:41 2016 UTC (0.001 )  Time stamp start 1465922801428962220 end 1465922801427962020  Run 302053, LB 117, lumi 9.11
Event Veto ['MiniNoiseBurst'], Tue Jun 14 16:46:52 2016 UTC-Tue Jun 14 16:46:52 2016 UTC (0.001 )  Time stamp start 1465922812256300445 end 1465922812255300445  Run 302053, LB 117, lumi 9.11
Event Veto ['MiniNoiseBurst'], Tue Jun 14 16:46:57 2016 UTC-Tue Jun 14 16:46:57 2016 UTC (0.001 )  Time stamp start 1465922817622102650 end 1465922817621102450  Run 302053, LB 117, lumi 9.11
Event Veto ['MiniNoiseBurst'], Tue Jun 14 16:47:08 2016 UTC-Tue Jun 14 16:47:08 2016 UTC (0.001 )  Time stamp start 1465922828934210180 end 1465922828933210180  Run 302053, LB 118, lumi 8.74
Event Veto ['NoiseBurst'], Tue Jun 14 16:47:16 2016 UTC-Tue Jun 14 16:47:16 2016 UTC (0.010 )  Time stamp start 1465922836670891970 end 1465922836660890875  Run 302053, LB 118, lumi 87.37
Event Veto ['MiniNoiseBurst'], Tue Jun 14 16:47:19 2016 UTC-Tue Jun 14 16:47:19 2016 UTC (0.001 )  Time stamp start 1465922839047563505 end 1465922839046563330  Run 302053, LB 118, lumi 8.74
Event Veto ['MiniNoiseBurst'], Tue Jun 14 16:47:25 2016 UTC-Tue Jun 14 16:47:25 2016 UTC (0.001 )  Time stamp start 1465922845207999155 end 1465922845206999155  Run 302053, LB 118, lumi 8.74
Event Veto ['MiniNoiseBurst'], Tue Jun 14 16:47:37 2016 UTC-Tue Jun 14 16:47:37 2016 UTC (0.001 )  Time stamp start 1465922857093739215 end 1465922857092739215  Run 302053, LB 118, lumi 8.74
