Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 302831 to 302831
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 302831 to run 302831  lasting from Sun Jun 26 04:30:12 2016 UTC to Sun Jun 26 06:30:34 2016 UTC
Event Veto ['MiniNoiseBurst'], Sun Jun 26 04:32:44 2016 UTC-Sun Jun 26 04:32:44 2016 UTC (0.001 )  Time stamp start 1466915564569204735 end 1466915564568204735  Run 302831, LB 4, lumi 4.02
Event Veto ['MiniNoiseBurst'], Sun Jun 26 04:32:55 2016 UTC-Sun Jun 26 04:32:55 2016 UTC (0.001 )  Time stamp start 1466915575124753255 end 1466915575123752755  Run 302831, LB 5, lumi 4.02
Event Veto ['NoiseBurst'], Sun Jun 26 04:33:07 2016 UTC-Sun Jun 26 04:33:07 2016 UTC (0.010 )  Time stamp start 1466915587257474940 end 1466915587247474290  Run 302831, LB 5, lumi 40.21
Event Veto ['MiniNoiseBurst'], Sun Jun 26 04:33:22 2016 UTC-Sun Jun 26 04:33:22 2016 UTC (0.001 )  Time stamp start 1466915602918895550 end 1466915602917894875  Run 302831, LB 5, lumi 4.02
Event Veto ['MiniNoiseBurst'], Sun Jun 26 04:33:29 2016 UTC-Sun Jun 26 04:33:29 2016 UTC (0.001 )  Time stamp start 1466915609092174690 end 1466915609091174540  Run 302831, LB 5, lumi 4.02
Event Veto ['MiniNoiseBurst'], Sun Jun 26 04:33:49 2016 UTC-Sun Jun 26 04:33:49 2016 UTC (0.001 )  Time stamp start 1466915629077496195 end 1466915629076496070  Run 302831, LB 6, lumi 4.02
Event Veto ['MiniNoiseBurst'], Sun Jun 26 04:34:03 2016 UTC-Sun Jun 26 04:34:03 2016 UTC (0.001 )  Time stamp start 1466915643222245730 end 1466915643221244430  Run 302831, LB 6, lumi 4.03
Event Veto ['MiniNoiseBurst'], Sun Jun 26 04:34:12 2016 UTC-Sun Jun 26 04:34:12 2016 UTC (0.001 )  Time stamp start 1466915652905365300 end 1466915652904365300  Run 302831, LB 6, lumi 4.02
Event Veto ['MiniNoiseBurst'], Sun Jun 26 04:34:13 2016 UTC-Sun Jun 26 04:34:13 2016 UTC (0.001 )  Time stamp start 1466915653859489500 end 1466915653858489125  Run 302831, LB 6, lumi 4.02
Event Veto ['MiniNoiseBurst'], Sun Jun 26 04:34:36 2016 UTC-Sun Jun 26 04:34:36 2016 UTC (0.001 )  Time stamp start 1466915676919021565 end 1466915676918021440  Run 302831, LB 6, lumi 4.02
Event Veto ['MiniNoiseBurst'], Sun Jun 26 04:34:52 2016 UTC-Sun Jun 26 04:34:52 2016 UTC (0.001 )  Time stamp start 1466915692090762705 end 1466915692089762705  Run 302831, LB 7, lumi 4.02
Event Veto ['MiniNoiseBurst'], Sun Jun 26 04:35:41 2016 UTC-Sun Jun 26 04:35:41 2016 UTC (0.001 )  Time stamp start 1466915741843498355 end 1466915741842498355  Run 302831, LB 7, lumi 4.02
Event Veto ['MiniNoiseBurst'], Sun Jun 26 04:36:06 2016 UTC-Sun Jun 26 04:36:06 2016 UTC (0.001 )  Time stamp start 1466915766482398475 end 1466915766481398100  Run 302831, LB 8, lumi 4.02
Event Veto ['MiniNoiseBurst'], Sun Jun 26 04:37:09 2016 UTC-Sun Jun 26 04:37:09 2016 UTC (0.001 )  Time stamp start 1466915829551496130 end 1466915829550496130  Run 302831, LB 9, lumi 4.01
Event Veto ['MiniNoiseBurst'], Sun Jun 26 04:37:37 2016 UTC-Sun Jun 26 04:37:37 2016 UTC (0.001 )  Time stamp start 1466915857412533700 end 1466915857411533700  Run 302831, LB 9, lumi 4.01
Event Veto ['MiniNoiseBurst'], Sun Jun 26 04:37:48 2016 UTC-Sun Jun 26 04:37:48 2016 UTC (0.001 )  Time stamp start 1466915868828035540 end 1466915868827035165  Run 302831, LB 9, lumi 4.02
Event Veto ['MiniNoiseBurst'], Sun Jun 26 04:38:03 2016 UTC-Sun Jun 26 04:38:03 2016 UTC (0.001 )  Time stamp start 1466915883648401945 end 1466915883647401820  Run 302831, LB 10, lumi 4.01
Event Veto ['MiniNoiseBurst'], Sun Jun 26 04:38:10 2016 UTC-Sun Jun 26 04:38:10 2016 UTC (0.001 )  Time stamp start 1466915890939762980 end 1466915890938762980  Run 302831, LB 10, lumi 4.01
Event Veto ['MiniNoiseBurst'], Sun Jun 26 04:39:08 2016 UTC-Sun Jun 26 04:39:08 2016 UTC (0.001 )  Time stamp start 1466915948178627320 end 1466915948177626945  Run 302831, LB 11, lumi 4.01
Event Veto ['MiniNoiseBurst'], Sun Jun 26 04:39:10 2016 UTC-Sun Jun 26 04:39:10 2016 UTC (0.001 )  Time stamp start 1466915950219823560 end 1466915950218823260  Run 302831, LB 11, lumi 4.01
Event Veto ['MiniNoiseBurst'], Sun Jun 26 04:39:21 2016 UTC-Sun Jun 26 04:39:21 2016 UTC (0.001 )  Time stamp start 1466915961996275635 end 1466915961995275510  Run 302831, LB 11, lumi 4.01
Event Veto ['MiniNoiseBurst'], Sun Jun 26 04:39:32 2016 UTC-Sun Jun 26 04:39:32 2016 UTC (0.001 )  Time stamp start 1466915972068286175 end 1466915972067286175  Run 302831, LB 11, lumi 4.01
Event Veto ['MiniNoiseBurst'], Sun Jun 26 04:39:46 2016 UTC-Sun Jun 26 04:39:46 2016 UTC (0.001 )  Time stamp start 1466915986540686080 end 1466915986539685710  Run 302831, LB 12, lumi 4.01
Event Veto ['MiniNoiseBurst'], Sun Jun 26 04:40:41 2016 UTC-Sun Jun 26 04:40:41 2016 UTC (0.001 )  Time stamp start 1466916041729406890 end 1466916041728406745  Run 302831, LB 12, lumi 4.01
Event Veto ['MiniNoiseBurst'], Sun Jun 26 04:40:52 2016 UTC-Sun Jun 26 04:40:52 2016 UTC (0.001 )  Time stamp start 1466916052209965665 end 1466916052208965665  Run 302831, LB 13, lumi 4.01
Event Veto ['MiniNoiseBurst'], Sun Jun 26 04:41:03 2016 UTC-Sun Jun 26 04:41:03 2016 UTC (0.001 )  Time stamp start 1466916063501197805 end 1466916063500197680  Run 302831, LB 13, lumi 4.01
Event Veto ['MiniNoiseBurst'], Sun Jun 26 04:41:30 2016 UTC-Sun Jun 26 04:41:30 2016 UTC (0.001 )  Time stamp start 1466916090704419705 end 1466916090703419580  Run 302831, LB 13, lumi 4.01
Event Veto ['MiniNoiseBurst'], Sun Jun 26 04:41:40 2016 UTC-Sun Jun 26 04:41:40 2016 UTC (0.001 )  Time stamp start 1466916100037006820 end 1466916100036006400  Run 302831, LB 13, lumi 4.01
Event Veto ['MiniNoiseBurst'], Sun Jun 26 04:42:26 2016 UTC-Sun Jun 26 04:42:26 2016 UTC (0.001 )  Time stamp start 1466916146337641515 end 1466916146336641090  Run 302831, LB 14, lumi 4.01
Event Veto ['MiniNoiseBurst'], Sun Jun 26 04:42:36 2016 UTC-Sun Jun 26 04:42:36 2016 UTC (0.001 )  Time stamp start 1466916156307704830 end 1466916156306704455  Run 302831, LB 14, lumi 4.01
Event Veto ['MiniNoiseBurst'], Sun Jun 26 04:42:45 2016 UTC-Sun Jun 26 04:42:45 2016 UTC (0.001 )  Time stamp start 1466916165218990695 end 1466916165217990695  Run 302831, LB 15, lumi 4.00
Event Veto ['MiniNoiseBurst'], Sun Jun 26 04:42:49 2016 UTC-Sun Jun 26 04:42:49 2016 UTC (0.001 )  Time stamp start 1466916169943883580 end 1466916169942883080  Run 302831, LB 15, lumi 4.01
Event Veto ['MiniNoiseBurst'], Sun Jun 26 04:43:56 2016 UTC-Sun Jun 26 04:43:56 2016 UTC (0.001 )  Time stamp start 1466916236620943125 end 1466916236619943125  Run 302831, LB 16, lumi 4.00
Event Veto ['MiniNoiseBurst'], Sun Jun 26 04:44:10 2016 UTC-Sun Jun 26 04:44:10 2016 UTC (0.001 )  Time stamp start 1466916250198985260 end 1466916250197984885  Run 302831, LB 16, lumi 4.00
Event Veto ['MiniNoiseBurst'], Sun Jun 26 04:44:23 2016 UTC-Sun Jun 26 04:44:23 2016 UTC (0.001 )  Time stamp start 1466916263943052300 end 1466916263942051750  Run 302831, LB 16, lumi 4.00
Event Veto ['MiniNoiseBurst'], Sun Jun 26 04:44:51 2016 UTC-Sun Jun 26 04:44:51 2016 UTC (0.001 )  Time stamp start 1466916291465857505 end 1466916291464857130  Run 302831, LB 17, lumi 4.00
Event Veto ['MiniNoiseBurst'], Sun Jun 26 04:45:01 2016 UTC-Sun Jun 26 04:45:01 2016 UTC (0.001 )  Time stamp start 1466916301600115190 end 1466916301599114820  Run 302831, LB 17, lumi 4.00
Event Veto ['MiniNoiseBurst'], Sun Jun 26 04:45:26 2016 UTC-Sun Jun 26 04:45:26 2016 UTC (0.001 )  Time stamp start 1466916326057682895 end 1466916326056682895  Run 302831, LB 17, lumi 4.00
Event Veto ['MiniNoiseBurst'], Sun Jun 26 04:45:58 2016 UTC-Sun Jun 26 04:45:58 2016 UTC (0.001 )  Time stamp start 1466916358814577305 end 1466916358813576880  Run 302831, LB 18, lumi 4.00
Event Veto ['MiniNoiseBurst'], Sun Jun 26 04:46:26 2016 UTC-Sun Jun 26 04:46:26 2016 UTC (0.001 )  Time stamp start 1466916386443758685 end 1466916386442758315  Run 302831, LB 18, lumi 4.00
Event Veto ['MiniNoiseBurst'], Sun Jun 26 04:47:07 2016 UTC-Sun Jun 26 04:47:07 2016 UTC (0.001 )  Time stamp start 1466916427736046780 end 1466916427735046780  Run 302831, LB 19, lumi 3.99
Event Veto ['MiniNoiseBurst'], Sun Jun 26 04:47:16 2016 UTC-Sun Jun 26 04:47:16 2016 UTC (0.001 )  Time stamp start 1466916436694393175 end 1466916436693393050  Run 302831, LB 19, lumi 3.99
Event Veto ['MiniNoiseBurst'], Sun Jun 26 04:47:49 2016 UTC-Sun Jun 26 04:47:49 2016 UTC (0.001 )  Time stamp start 1466916469474652235 end 1466916469473651860  Run 302831, LB 20, lumi 4.00
Event Veto ['MiniNoiseBurst'], Sun Jun 26 04:48:17 2016 UTC-Sun Jun 26 04:48:17 2016 UTC (0.001 )  Time stamp start 1466916497274871925 end 1466916497273871675  Run 302831, LB 20, lumi 3.99
Event Veto ['MiniNoiseBurst'], Sun Jun 26 04:48:32 2016 UTC-Sun Jun 26 04:48:32 2016 UTC (0.001 )  Time stamp start 1466916512835395325 end 1466916512834395200  Run 302831, LB 20, lumi 3.99
Event Veto ['MiniNoiseBurst'], Sun Jun 26 04:51:26 2016 UTC-Sun Jun 26 04:51:26 2016 UTC (0.001 )  Time stamp start 1466916686645797085 end 1466916686644797085  Run 302831, LB 23, lumi 3.99
Event Veto ['MiniNoiseBurst'], Sun Jun 26 04:51:39 2016 UTC-Sun Jun 26 04:51:39 2016 UTC (0.001 )  Time stamp start 1466916699973864305 end 1466916699972863805  Run 302831, LB 23, lumi 3.99
Event Veto ['MiniNoiseBurst'], Sun Jun 26 04:52:03 2016 UTC-Sun Jun 26 04:52:03 2016 UTC (0.001 )  Time stamp start 1466916723354241980 end 1466916723353241855  Run 302831, LB 24, lumi 3.99
Event Veto ['MiniNoiseBurst'], Sun Jun 26 04:52:14 2016 UTC-Sun Jun 26 04:52:14 2016 UTC (0.001 )  Time stamp start 1466916734540469840 end 1466916734539469840  Run 302831, LB 24, lumi 3.99
