Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 302872 to 302872
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 302872 to run 302872  lasting from Sun Jun 26 12:43:40 2016 UTC to Tue Jun 28 04:49:33 2016 UTC
Event Veto ['MiniNoiseBurst'], Sun Jun 26 12:52:44 2016 UTC-Sun Jun 26 12:52:44 2016 UTC (0.001 )  Time stamp start 1466945564077254515 end 1466945564076254015  Run 302872, LB 10, lumi 0.00
Event Veto ['MiniNoiseBurst'], Sun Jun 26 13:38:20 2016 UTC-Sun Jun 26 13:38:20 2016 UTC (0.001 )  Time stamp start 1466948300572978380 end 1466948300571977305  Run 302872, LB 56, lumi 0.00
Event Veto ['MiniNoiseBurst'], Sun Jun 26 14:39:35 2016 UTC-Sun Jun 26 14:39:35 2016 UTC (0.001 )  Time stamp start 1466951975281568985 end 1466951975280567810  Run 302872, LB 117, lumi 0.00
Event Veto ['MiniNoiseBurst'], Sun Jun 26 15:10:51 2016 UTC-Sun Jun 26 15:10:51 2016 UTC (0.001 )  Time stamp start 1466953851321848105 end 1466953851320848105  Run 302872, LB 152, lumi 0.00
Event Veto ['NoiseBurst'], Sun Jun 26 15:30:49 2016 UTC-Sun Jun 26 15:30:49 2016 UTC (0.010 )  Time stamp start 1466955049763076495 end 1466955049753075495  Run 302872, LB 173, lumi 0.00
Event Veto ['MiniNoiseBurst'], Sun Jun 26 15:34:39 2016 UTC-Sun Jun 26 15:34:39 2016 UTC (0.001 )  Time stamp start 1466955279193427015 end 1466955279192426490  Run 302872, LB 177, lumi 2.33
Event Veto ['MiniNoiseBurst'], Sun Jun 26 15:34:45 2016 UTC-Sun Jun 26 15:34:45 2016 UTC (0.001 )  Time stamp start 1466955285104411550 end 1466955285103411100  Run 302872, LB 178, lumi 10.79
Event Veto ['MiniNoiseBurst'], Sun Jun 26 15:34:54 2016 UTC-Sun Jun 26 15:34:54 2016 UTC (0.001 )  Time stamp start 1466955294338482285 end 1466955294337480910  Run 302872, LB 178, lumi 10.80
Event Veto ['NoiseBurst'], Sun Jun 26 15:35:02 2016 UTC-Sun Jun 26 15:35:02 2016 UTC (0.010 )  Time stamp start 1466955302951331130 end 1466955302941241055  Run 302872, LB 178, lumi 108.82
Event Veto ['MiniNoiseBurst'], Sun Jun 26 15:35:03 2016 UTC-Sun Jun 26 15:35:03 2016 UTC (0.001 )  Time stamp start 1466955303003139305 end 1466955303002138010  Run 302872, LB 178, lumi 10.80
Event Veto ['MiniNoiseBurst'], Sun Jun 26 15:35:12 2016 UTC-Sun Jun 26 15:35:12 2016 UTC (0.001 )  Time stamp start 1466955312548515790 end 1466955312547514495  Run 302872, LB 178, lumi 10.80
