Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 302925 to 302925
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 302925 to run 302925  lasting from Tue Jun 28 12:47:31 2016 UTC to Tue Jun 28 18:36:01 2016 UTC
Event Veto ['NoiseBurst'], Tue Jun 28 12:52:11 2016 UTC-Tue Jun 28 12:52:11 2016 UTC (0.010 )  Time stamp start 1467118331721722640 end 1467118331711678855  Run 302925, LB 10, lumi 78.05
Event Veto ['MiniNoiseBurst'], Tue Jun 28 12:53:52 2016 UTC-Tue Jun 28 12:53:52 2016 UTC (0.001 )  Time stamp start 1467118432455264875 end 1467118432454264350  Run 302925, LB 13, lumi 7.77
Event Veto ['NoiseBurst'], Tue Jun 28 12:54:30 2016 UTC-Tue Jun 28 12:54:30 2016 UTC (0.010 )  Time stamp start 1467118470680607945 end 1467118470670248905  Run 302925, LB 14, lumi 81.69
Event Veto ['MiniNoiseBurst'], Tue Jun 28 12:54:40 2016 UTC-Tue Jun 28 12:54:40 2016 UTC (0.001 )  Time stamp start 1467118480284640125 end 1467118480283639575  Run 302925, LB 14, lumi 7.89
Event Veto ['MiniNoiseBurst'], Tue Jun 28 12:54:55 2016 UTC-Tue Jun 28 12:54:55 2016 UTC (0.001 )  Time stamp start 1467118495562898360 end 1467118495561898065  Run 302925, LB 14, lumi 7.89
Event Veto ['MiniNoiseBurst'], Tue Jun 28 12:54:57 2016 UTC-Tue Jun 28 12:54:57 2016 UTC (0.001 )  Time stamp start 1467118497487341965 end 1467118497486341965  Run 302925, LB 14, lumi 7.89
Event Veto ['NoiseBurst'], Tue Jun 28 12:55:41 2016 UTC-Tue Jun 28 12:55:41 2016 UTC (0.010 )  Time stamp start 1467118541851158595 end 1467118541841097290  Run 302925, LB 15, lumi 79.30
Event Veto ['MiniNoiseBurst'], Tue Jun 28 12:56:11 2016 UTC-Tue Jun 28 12:56:11 2016 UTC (0.001 )  Time stamp start 1467118571063413625 end 1467118571062413250  Run 302925, LB 15, lumi 7.88
Event Veto ['MiniNoiseBurst'], Tue Jun 28 12:56:32 2016 UTC-Tue Jun 28 12:56:32 2016 UTC (0.001 )  Time stamp start 1467118592028106755 end 1467118592027106255  Run 302925, LB 16, lumi 7.88
Event Veto ['MiniNoiseBurst'], Tue Jun 28 12:56:49 2016 UTC-Tue Jun 28 12:56:49 2016 UTC (0.001 )  Time stamp start 1467118609167577860 end 1467118609166577360  Run 302925, LB 16, lumi 7.88
Event Veto ['MiniNoiseBurst'], Tue Jun 28 12:57:03 2016 UTC-Tue Jun 28 12:57:03 2016 UTC (0.001 )  Time stamp start 1467118623346855815 end 1467118623345855815  Run 302925, LB 16, lumi 7.87
Event Veto ['MiniNoiseBurst'], Tue Jun 28 12:57:18 2016 UTC-Tue Jun 28 12:57:18 2016 UTC (0.001 )  Time stamp start 1467118638295956925 end 1467118638294956375  Run 302925, LB 16, lumi 7.88
Event Veto ['MiniNoiseBurst'], Tue Jun 28 12:57:57 2016 UTC-Tue Jun 28 12:57:57 2016 UTC (0.001 )  Time stamp start 1467118677834589940 end 1467118677833589940  Run 302925, LB 17, lumi 7.87
Event Veto ['MiniNoiseBurst'], Tue Jun 28 12:58:18 2016 UTC-Tue Jun 28 12:58:18 2016 UTC (0.001 )  Time stamp start 1467118698867412535 end 1467118698866412535  Run 302925, LB 17, lumi 7.87
Event Veto ['MiniNoiseBurst'], Tue Jun 28 12:58:35 2016 UTC-Tue Jun 28 12:58:35 2016 UTC (0.001 )  Time stamp start 1467118715202515295 end 1467118715201515170  Run 302925, LB 18, lumi 7.87
Event Veto ['MiniNoiseBurst'], Tue Jun 28 12:59:06 2016 UTC-Tue Jun 28 12:59:06 2016 UTC (0.001 )  Time stamp start 1467118746921393560 end 1467118746920393060  Run 302925, LB 18, lumi 7.87
Event Veto ['MiniNoiseBurst'], Tue Jun 28 12:59:22 2016 UTC-Tue Jun 28 12:59:22 2016 UTC (0.001 )  Time stamp start 1467118762767789645 end 1467118762766789395  Run 302925, LB 18, lumi 7.87
