Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 303059 to 303059
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 303059 to run 303059  lasting from Thu Jun 30 15:29:51 2016 UTC to Thu Jun 30 20:18:34 2016 UTC
Event Veto ['MiniNoiseBurst'], Thu Jun 30 15:57:57 2016 UTC-Thu Jun 30 15:57:57 2016 UTC (0.001 )  Time stamp start 1467302277864635575 end 1467302277863634500  Run 303059, LB 29, lumi 0.00
Event Veto ['MiniNoiseBurst'], Thu Jun 30 16:29:27 2016 UTC-Thu Jun 30 16:29:27 2016 UTC (0.001 )  Time stamp start 1467304167182843790 end 1467304167181843790  Run 303059, LB 64, lumi 0.00
Event Veto ['MiniNoiseBurst'], Thu Jun 30 16:32:46 2016 UTC-Thu Jun 30 16:32:46 2016 UTC (0.001 )  Time stamp start 1467304366461442480 end 1467304366460442480  Run 303059, LB 68, lumi 0.00
Event Veto ['MiniNoiseBurst'], Thu Jun 30 16:50:19 2016 UTC-Thu Jun 30 16:50:19 2016 UTC (0.001 )  Time stamp start 1467305419925781185 end 1467305419924779715  Run 303059, LB 86, lumi 10.07
Event Veto ['MiniNoiseBurst'], Thu Jun 30 16:50:26 2016 UTC-Thu Jun 30 16:50:26 2016 UTC (0.001 )  Time stamp start 1467305426154460175 end 1467305426153460175  Run 303059, LB 86, lumi 10.05
Event Veto ['MiniNoiseBurst'], Thu Jun 30 16:50:37 2016 UTC-Thu Jun 30 16:50:37 2016 UTC (0.001 )  Time stamp start 1467305437363811160 end 1467305437362810885  Run 303059, LB 86, lumi 10.05
Event Veto ['MiniNoiseBurst'], Thu Jun 30 16:51:07 2016 UTC-Thu Jun 30 16:51:07 2016 UTC (0.001 )  Time stamp start 1467305467815686290 end 1467305467814684670  Run 303059, LB 86, lumi 10.07
Event Veto ['MiniNoiseBurst'], Thu Jun 30 16:51:27 2016 UTC-Thu Jun 30 16:51:27 2016 UTC (0.001 )  Time stamp start 1467305487306881030 end 1467305487305881030  Run 303059, LB 87, lumi 10.05
Event Veto ['MiniNoiseBurst'], Thu Jun 30 16:51:33 2016 UTC-Thu Jun 30 16:51:33 2016 UTC (0.001 )  Time stamp start 1467305493848844660 end 1467305493847844260  Run 303059, LB 87, lumi 10.05
Event Veto ['MiniNoiseBurst'], Thu Jun 30 16:51:44 2016 UTC-Thu Jun 30 16:51:44 2016 UTC (0.001 )  Time stamp start 1467305504915067930 end 1467305504914067930  Run 303059, LB 87, lumi 10.05
Event Veto ['MiniNoiseBurst'], Thu Jun 30 16:51:50 2016 UTC-Thu Jun 30 16:51:50 2016 UTC (0.001 )  Time stamp start 1467305510918556275 end 1467305510917556275  Run 303059, LB 87, lumi 10.05
