Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 303266 to 303266
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 303266 to run 303266  lasting from Sun Jul  3 20:11:15 2016 UTC to Mon Jul  4 08:28:25 2016 UTC
Event Veto ['MiniNoiseBurst'], Sun Jul  3 20:19:42 2016 UTC-Sun Jul  3 20:19:42 2016 UTC (0.001 )  Time stamp start 1467577182588771585 end 1467577182587771210  Run 303266, LB 26, lumi 9.50
Event Veto ['MiniNoiseBurst'], Sun Jul  3 20:30:27 2016 UTC-Sun Jul  3 20:30:27 2016 UTC (0.001 )  Time stamp start 1467577827284243145 end 1467577827283242845  Run 303266, LB 46, lumi 9.41
Event Veto ['MiniNoiseBurst'], Sun Jul  3 20:30:35 2016 UTC-Sun Jul  3 20:30:35 2016 UTC (0.001 )  Time stamp start 1467577835321082200 end 1467577835320081050  Run 303266, LB 46, lumi 9.42
Event Veto ['MiniNoiseBurst'], Sun Jul  3 20:30:36 2016 UTC-Sun Jul  3 20:30:36 2016 UTC (0.001 )  Time stamp start 1467577836780803160 end 1467577836779803160  Run 303266, LB 46, lumi 9.41
Event Veto ['MiniNoiseBurst'], Sun Jul  3 20:30:57 2016 UTC-Sun Jul  3 20:30:57 2016 UTC (0.001 )  Time stamp start 1467577857867938920 end 1467577857866937675  Run 303266, LB 46, lumi 9.42
Event Veto ['MiniNoiseBurst'], Sun Jul  3 20:31:01 2016 UTC-Sun Jul  3 20:31:01 2016 UTC (0.001 )  Time stamp start 1467577861613180235 end 1467577861612179510  Run 303266, LB 46, lumi 9.41
Event Veto ['MiniNoiseBurst'], Sun Jul  3 20:31:09 2016 UTC-Sun Jul  3 20:31:09 2016 UTC (0.001 )  Time stamp start 1467577869676310530 end 1467577869675309985  Run 303266, LB 46, lumi 9.41
Event Veto ['MiniNoiseBurst'], Sun Jul  3 20:31:09 2016 UTC-Sun Jul  3 20:31:09 2016 UTC (0.001 )  Time stamp start 1467577869818612680 end 1467577869817612680  Run 303266, LB 46, lumi 9.41
Event Veto ['MiniNoiseBurst'], Sun Jul  3 20:31:17 2016 UTC-Sun Jul  3 20:31:17 2016 UTC (0.001 )  Time stamp start 1467577877251390160 end 1467577877250389735  Run 303266, LB 47, lumi 9.40
Event Veto ['MiniNoiseBurst'], Sun Jul  3 20:31:20 2016 UTC-Sun Jul  3 20:31:20 2016 UTC (0.001 )  Time stamp start 1467577880078070225 end 1467577880077070225  Run 303266, LB 47, lumi 9.40
Event Veto ['MiniNoiseBurst'], Sun Jul  3 20:31:25 2016 UTC-Sun Jul  3 20:31:25 2016 UTC (0.001 )  Time stamp start 1467577885653315210 end 1467577885652314835  Run 303266, LB 47, lumi 9.40
Event Veto ['MiniNoiseBurst'], Sun Jul  3 20:31:42 2016 UTC-Sun Jul  3 20:31:42 2016 UTC (0.001 )  Time stamp start 1467577902109268485 end 1467577902108268110  Run 303266, LB 47, lumi 9.40
Event Veto ['MiniNoiseBurst'], Sun Jul  3 20:31:51 2016 UTC-Sun Jul  3 20:31:51 2016 UTC (0.001 )  Time stamp start 1467577911037998315 end 1467577911036998315  Run 303266, LB 47, lumi 9.40
Event Veto ['MiniNoiseBurst'], Sun Jul  3 20:31:59 2016 UTC-Sun Jul  3 20:31:59 2016 UTC (0.001 )  Time stamp start 1467577919837618135 end 1467577919836618135  Run 303266, LB 47, lumi 9.40
Event Veto ['MiniNoiseBurst'], Sun Jul  3 20:32:20 2016 UTC-Sun Jul  3 20:32:20 2016 UTC (0.001 )  Time stamp start 1467577940721692405 end 1467577940720692405  Run 303266, LB 48, lumi 9.40
Event Veto ['MiniNoiseBurst'], Sun Jul  3 20:32:29 2016 UTC-Sun Jul  3 20:32:29 2016 UTC (0.001 )  Time stamp start 1467577949971302385 end 1467577949970302385  Run 303266, LB 48, lumi 9.40
Event Veto ['MiniNoiseBurst'], Sun Jul  3 20:32:34 2016 UTC-Sun Jul  3 20:32:34 2016 UTC (0.001 )  Time stamp start 1467577954186871540 end 1467577954185870990  Run 303266, LB 48, lumi 9.40
Event Veto ['MiniNoiseBurst'], Sun Jul  3 20:32:58 2016 UTC-Sun Jul  3 20:32:58 2016 UTC (0.001 )  Time stamp start 1467577978522458225 end 1467577978521458225  Run 303266, LB 48, lumi 9.40
Event Veto ['MiniNoiseBurst'], Sun Jul  3 20:33:09 2016 UTC-Sun Jul  3 20:33:09 2016 UTC (0.001 )  Time stamp start 1467577989638205515 end 1467577989637205390  Run 303266, LB 48, lumi 9.40
Event Veto ['MiniNoiseBurst'], Sun Jul  3 20:33:20 2016 UTC-Sun Jul  3 20:33:20 2016 UTC (0.001 )  Time stamp start 1467578000737125905 end 1467578000736125530  Run 303266, LB 49, lumi 9.39
Event Veto ['MiniNoiseBurst'], Sun Jul  3 20:33:38 2016 UTC-Sun Jul  3 20:33:38 2016 UTC (0.001 )  Time stamp start 1467578018281814070 end 1467578018280814070  Run 303266, LB 49, lumi 9.39
Event Veto ['MiniNoiseBurst'], Sun Jul  3 20:33:42 2016 UTC-Sun Jul  3 20:33:42 2016 UTC (0.001 )  Time stamp start 1467578022680953115 end 1467578022679952990  Run 303266, LB 49, lumi 9.39
Event Veto ['MiniNoiseBurst'], Sun Jul  3 20:33:45 2016 UTC-Sun Jul  3 20:33:45 2016 UTC (0.001 )  Time stamp start 1467578025300478950 end 1467578025299478950  Run 303266, LB 49, lumi 9.39
Event Veto ['MiniNoiseBurst'], Sun Jul  3 20:33:46 2016 UTC-Sun Jul  3 20:33:46 2016 UTC (0.001 )  Time stamp start 1467578026891459685 end 1467578026890459685  Run 303266, LB 49, lumi 9.39
Event Veto ['MiniNoiseBurst'], Sun Jul  3 20:34:49 2016 UTC-Sun Jul  3 20:34:49 2016 UTC (0.001 )  Time stamp start 1467578089845854445 end 1467578089844853345  Run 303266, LB 51, lumi 9.39
Event Veto ['MiniNoiseBurst'], Sun Jul  3 20:34:54 2016 UTC-Sun Jul  3 20:34:54 2016 UTC (0.001 )  Time stamp start 1467578094212462820 end 1467578094211462695  Run 303266, LB 51, lumi 9.39
Event Veto ['NoiseBurst'], Sun Jul  3 20:34:57 2016 UTC-Sun Jul  3 20:34:57 2016 UTC (0.010 )  Time stamp start 1467578097325795645 end 1467578097315795020  Run 303266, LB 51, lumi 93.84
Event Veto ['MiniNoiseBurst'], Sun Jul  3 20:35:18 2016 UTC-Sun Jul  3 20:35:18 2016 UTC (0.001 )  Time stamp start 1467578118929728990 end 1467578118928728990  Run 303266, LB 52, lumi 9.38
Event Veto ['MiniNoiseBurst'], Sun Jul  3 20:35:19 2016 UTC-Sun Jul  3 20:35:19 2016 UTC (0.001 )  Time stamp start 1467578119034180740 end 1467578119033180615  Run 303266, LB 52, lumi 9.38
Event Veto ['MiniNoiseBurst'], Sun Jul  3 20:35:23 2016 UTC-Sun Jul  3 20:35:23 2016 UTC (0.001 )  Time stamp start 1467578123329128150 end 1467578123328127650  Run 303266, LB 52, lumi 9.38
Event Veto ['MiniNoiseBurst'], Sun Jul  3 20:35:27 2016 UTC-Sun Jul  3 20:35:27 2016 UTC (0.001 )  Time stamp start 1467578127550432850 end 1467578127549432425  Run 303266, LB 52, lumi 9.38
Event Veto ['MiniNoiseBurst'], Sun Jul  3 20:35:31 2016 UTC-Sun Jul  3 20:35:31 2016 UTC (0.001 )  Time stamp start 1467578131740069450 end 1467578131739069075  Run 303266, LB 52, lumi 9.38
Event Veto ['MiniNoiseBurst'], Sun Jul  3 20:35:47 2016 UTC-Sun Jul  3 20:35:47 2016 UTC (0.001 )  Time stamp start 1467578147713886380 end 1467578147712886380  Run 303266, LB 52, lumi 9.38
Event Veto ['MiniNoiseBurst'], Sun Jul  3 20:35:55 2016 UTC-Sun Jul  3 20:35:55 2016 UTC (0.001 )  Time stamp start 1467578155802956020 end 1467578155801955620  Run 303266, LB 52, lumi 9.38
Event Veto ['MiniNoiseBurst'], Sun Jul  3 20:36:12 2016 UTC-Sun Jul  3 20:36:12 2016 UTC (0.001 )  Time stamp start 1467578172074050495 end 1467578172073050495  Run 303266, LB 53, lumi 9.36
Event Veto ['MiniNoiseBurst'], Sun Jul  3 20:36:16 2016 UTC-Sun Jul  3 20:36:16 2016 UTC (0.001 )  Time stamp start 1467578176357354985 end 1467578176356354985  Run 303266, LB 53, lumi 9.36
Event Veto ['MiniNoiseBurst'], Sun Jul  3 20:36:31 2016 UTC-Sun Jul  3 20:36:31 2016 UTC (0.001 )  Time stamp start 1467578191878564590 end 1467578191877564590  Run 303266, LB 53, lumi 9.36
Event Veto ['MiniNoiseBurst'], Sun Jul  3 20:36:48 2016 UTC-Sun Jul  3 20:36:48 2016 UTC (0.001 )  Time stamp start 1467578208486969950 end 1467578208485969950  Run 303266, LB 53, lumi 9.36
Event Veto ['MiniNoiseBurst'], Sun Jul  3 20:37:21 2016 UTC-Sun Jul  3 20:37:21 2016 UTC (0.001 )  Time stamp start 1467578241409166540 end 1467578241408166540  Run 303266, LB 54, lumi 9.36
Event Veto ['MiniNoiseBurst'], Sun Jul  3 20:37:25 2016 UTC-Sun Jul  3 20:37:25 2016 UTC (0.001 )  Time stamp start 1467578245548602425 end 1467578245547602055  Run 303266, LB 54, lumi 9.37
Event Veto ['MiniNoiseBurst'], Sun Jul  3 20:37:29 2016 UTC-Sun Jul  3 20:37:29 2016 UTC (0.001 )  Time stamp start 1467578249842607295 end 1467578249841606920  Run 303266, LB 54, lumi 9.37
Event Veto ['MiniNoiseBurst'], Sun Jul  3 20:37:34 2016 UTC-Sun Jul  3 20:37:34 2016 UTC (0.001 )  Time stamp start 1467578254003730265 end 1467578254002730265  Run 303266, LB 54, lumi 9.36
Event Veto ['MiniNoiseBurst'], Sun Jul  3 20:37:58 2016 UTC-Sun Jul  3 20:37:58 2016 UTC (0.001 )  Time stamp start 1467578278674392300 end 1467578278673392300  Run 303266, LB 54, lumi 9.36
Event Veto ['MiniNoiseBurst'], Sun Jul  3 20:38:06 2016 UTC-Sun Jul  3 20:38:06 2016 UTC (0.001 )  Time stamp start 1467578286520698710 end 1467578286519697415  Run 303266, LB 54, lumi 9.37
Event Veto ['MiniNoiseBurst'], Sun Jul  3 20:38:10 2016 UTC-Sun Jul  3 20:38:10 2016 UTC (0.001 )  Time stamp start 1467578290833005870 end 1467578290832005745  Run 303266, LB 54, lumi 9.36
Event Veto ['MiniNoiseBurst'], Sun Jul  3 20:38:19 2016 UTC-Sun Jul  3 20:38:19 2016 UTC (0.001 )  Time stamp start 1467578299122173845 end 1467578299121173720  Run 303266, LB 55, lumi 9.36
Event Veto ['MiniNoiseBurst'], Sun Jul  3 20:38:44 2016 UTC-Sun Jul  3 20:38:44 2016 UTC (0.001 )  Time stamp start 1467578324487399525 end 1467578324486399150  Run 303266, LB 55, lumi 9.36
Event Veto ['NoiseBurst'], Sun Jul  3 20:39:02 2016 UTC-Sun Jul  3 20:39:02 2016 UTC (0.010 )  Time stamp start 1467578342198935365 end 1467578342188934865  Run 303266, LB 55, lumi 93.55
Event Veto ['MiniNoiseBurst'], Sun Jul  3 20:39:05 2016 UTC-Sun Jul  3 20:39:05 2016 UTC (0.001 )  Time stamp start 1467578345117682280 end 1467578345116682280  Run 303266, LB 55, lumi 9.35
Event Veto ['MiniNoiseBurst'], Sun Jul  3 20:39:26 2016 UTC-Sun Jul  3 20:39:26 2016 UTC (0.001 )  Time stamp start 1467578366100542795 end 1467578366099542545  Run 303266, LB 56, lumi 9.35
Event Veto ['MiniNoiseBurst'], Sun Jul  3 20:40:00 2016 UTC-Sun Jul  3 20:40:00 2016 UTC (0.001 )  Time stamp start 1467578400576177695 end 1467578400575177695  Run 303266, LB 56, lumi 9.34
Event Veto ['MiniNoiseBurst'], Sun Jul  3 20:40:21 2016 UTC-Sun Jul  3 20:40:21 2016 UTC (0.001 )  Time stamp start 1467578421435253560 end 1467578421434253560  Run 303266, LB 57, lumi 9.34
Event Veto ['MiniNoiseBurst'], Sun Jul  3 20:40:30 2016 UTC-Sun Jul  3 20:40:30 2016 UTC (0.001 )  Time stamp start 1467578430396098090 end 1467578430395098090  Run 303266, LB 57, lumi 9.34
Event Veto ['MiniNoiseBurst'], Sun Jul  3 20:40:43 2016 UTC-Sun Jul  3 20:40:43 2016 UTC (0.001 )  Time stamp start 1467578443504897175 end 1467578443503896925  Run 303266, LB 57, lumi 9.34
Event Veto ['MiniNoiseBurst'], Sun Jul  3 20:40:47 2016 UTC-Sun Jul  3 20:40:47 2016 UTC (0.001 )  Time stamp start 1467578447937802080 end 1467578447936801830  Run 303266, LB 57, lumi 9.34
Event Veto ['MiniNoiseBurst'], Sun Jul  3 20:41:12 2016 UTC-Sun Jul  3 20:41:12 2016 UTC (0.001 )  Time stamp start 1467578472978778720 end 1467578472977778145  Run 303266, LB 58, lumi 9.34
