Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 303291 to 303291
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 303291 to run 303291  lasting from Mon Jul  4 10:20:26 2016 UTC to Mon Jul  4 17:57:04 2016 UTC
Event Veto ['MiniNoiseBurst'], Mon Jul  4 11:04:46 2016 UTC-Mon Jul  4 11:04:46 2016 UTC (0.001 )  Time stamp start 1467630286399814410 end 1467630286398814410  Run 303291, LB 51, lumi 0.00
Event Veto ['MiniNoiseBurst'], Mon Jul  4 11:08:12 2016 UTC-Mon Jul  4 11:08:12 2016 UTC (0.001 )  Time stamp start 1467630492593072725 end 1467630492592072725  Run 303291, LB 55, lumi 0.00
Event Veto ['MiniNoiseBurst'], Mon Jul  4 11:11:33 2016 UTC-Mon Jul  4 11:11:33 2016 UTC (0.001 )  Time stamp start 1467630693952451725 end 1467630693951451725  Run 303291, LB 59, lumi 2.92
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Mon Jul  4 11:15:28 2016 UTC-Mon Jul  4 11:15:28 2016 UTC (0.001 )  Time stamp start 1467630928857726110 end 1467630928856726110  Run 303291, LB 64, lumi 9.49
Event Veto ['MiniNoiseBurst'], Mon Jul  4 11:15:56 2016 UTC-Mon Jul  4 11:15:56 2016 UTC (0.001 )  Time stamp start 1467630956240155660 end 1467630956239154335  Run 303291, LB 64, lumi 9.50
Event Veto ['MiniNoiseBurst'], Mon Jul  4 11:16:53 2016 UTC-Mon Jul  4 11:16:53 2016 UTC (0.001 )  Time stamp start 1467631013139797905 end 1467631013138797335  Run 303291, LB 65, lumi 9.16
Event Veto ['MiniNoiseBurst'], Mon Jul  4 11:17:12 2016 UTC-Mon Jul  4 11:17:12 2016 UTC (0.001 )  Time stamp start 1467631032246631805 end 1467631032245630855  Run 303291, LB 66, lumi 9.64
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Mon Jul  4 11:17:17 2016 UTC-Mon Jul  4 11:17:17 2016 UTC (0.001 )  Time stamp start 1467631037836344800 end 1467631037835344800  Run 303291, LB 66, lumi 9.63
Event Veto ['MiniNoiseBurst'], Mon Jul  4 11:17:23 2016 UTC-Mon Jul  4 11:17:23 2016 UTC (0.001 )  Time stamp start 1467631043322255930 end 1467631043321255930  Run 303291, LB 66, lumi 9.63
Event Veto ['MiniNoiseBurst'], Mon Jul  4 11:17:52 2016 UTC-Mon Jul  4 11:17:52 2016 UTC (0.001 )  Time stamp start 1467631072272089885 end 1467631072271089185  Run 303291, LB 66, lumi 9.64
Event Veto ['MiniNoiseBurst'], Mon Jul  4 11:17:57 2016 UTC-Mon Jul  4 11:17:57 2016 UTC (0.001 )  Time stamp start 1467631077927563050 end 1467631077926562750  Run 303291, LB 66, lumi 9.63
Event Veto ['MiniNoiseBurst'], Mon Jul  4 11:18:03 2016 UTC-Mon Jul  4 11:18:03 2016 UTC (0.001 )  Time stamp start 1467631083292194575 end 1467631083291194225  Run 303291, LB 67, lumi 9.67
Event Veto ['MiniNoiseBurst'], Mon Jul  4 11:18:08 2016 UTC-Mon Jul  4 11:18:08 2016 UTC (0.001 )  Time stamp start 1467631088462114145 end 1467631088461113225  Run 303291, LB 67, lumi 9.67
Event Veto ['MiniNoiseBurst'], Mon Jul  4 11:18:13 2016 UTC-Mon Jul  4 11:18:13 2016 UTC (0.001 )  Time stamp start 1467631093663960785 end 1467631093662960660  Run 303291, LB 67, lumi 9.67
Event Veto ['MiniNoiseBurst'], Mon Jul  4 11:18:19 2016 UTC-Mon Jul  4 11:18:19 2016 UTC (0.001 )  Time stamp start 1467631099130354075 end 1467631099129353650  Run 303291, LB 67, lumi 9.67
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Mon Jul  4 11:18:29 2016 UTC-Mon Jul  4 11:18:29 2016 UTC (0.001 )  Time stamp start 1467631109931926765 end 1467631109930926765  Run 303291, LB 67, lumi 9.67
Event Veto ['MiniNoiseBurst'], Mon Jul  4 11:19:33 2016 UTC-Mon Jul  4 11:19:33 2016 UTC (0.001 )  Time stamp start 1467631173280123460 end 1467631173279123160  Run 303291, LB 68, lumi 9.66
Event Veto ['MiniNoiseBurst'], Mon Jul  4 11:19:38 2016 UTC-Mon Jul  4 11:19:38 2016 UTC (0.001 )  Time stamp start 1467631178737070800 end 1467631178736070475  Run 303291, LB 68, lumi 9.66
Event Veto ['MiniNoiseBurst'], Mon Jul  4 11:19:54 2016 UTC-Mon Jul  4 11:19:54 2016 UTC (0.001 )  Time stamp start 1467631194989437725 end 1467631194988436805  Run 303291, LB 68, lumi 9.67
Event Veto ['MiniNoiseBurst'], Mon Jul  4 11:20:00 2016 UTC-Mon Jul  4 11:20:00 2016 UTC (0.001 )  Time stamp start 1467631200658139050 end 1467631200657138925  Run 303291, LB 68, lumi 9.66
Event Veto ['NoiseBurst'], Mon Jul  4 11:20:04 2016 UTC-Mon Jul  4 11:20:04 2016 UTC (0.010 )  Time stamp start 1467631204030271820 end 1467631204020270945  Run 303291, LB 69, lumi 96.44
Event Veto ['NoiseBurst'], Mon Jul  4 11:20:04 2016 UTC-Mon Jul  4 11:20:04 2016 UTC (0.010 )  Time stamp start 1467631204091143090 end 1467631204080999025  Run 303291, LB 69, lumi 97.82
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Mon Jul  4 11:20:06 2016 UTC-Mon Jul  4 11:20:06 2016 UTC (0.001 )  Time stamp start 1467631206504292850 end 1467631206503292850  Run 303291, LB 69, lumi 9.64
Event Veto ['MiniNoiseBurst'], Mon Jul  4 11:20:11 2016 UTC-Mon Jul  4 11:20:11 2016 UTC (0.001 )  Time stamp start 1467631211985399015 end 1467631211984398895  Run 303291, LB 69, lumi 9.64
Event Veto ['MiniNoiseBurst'], Mon Jul  4 11:21:14 2016 UTC-Mon Jul  4 11:21:14 2016 UTC (0.001 )  Time stamp start 1467631274108299705 end 1467631274107298805  Run 303291, LB 70, lumi 9.63
Event Veto ['MiniNoiseBurst'], Mon Jul  4 11:21:20 2016 UTC-Mon Jul  4 11:21:20 2016 UTC (0.001 )  Time stamp start 1467631280410173450 end 1467631280409173150  Run 303291, LB 70, lumi 9.62
Event Veto ['MiniNoiseBurst'], Mon Jul  4 11:21:26 2016 UTC-Mon Jul  4 11:21:26 2016 UTC (0.001 )  Time stamp start 1467631286094483505 end 1467631286093483505  Run 303291, LB 70, lumi 9.62
Event Veto ['MiniNoiseBurst'], Mon Jul  4 11:21:36 2016 UTC-Mon Jul  4 11:21:36 2016 UTC (0.001 )  Time stamp start 1467631296928535545 end 1467631296927534945  Run 303291, LB 70, lumi 9.62
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Mon Jul  4 11:21:42 2016 UTC-Mon Jul  4 11:21:42 2016 UTC (0.001 )  Time stamp start 1467631302876729110 end 1467631302875728985  Run 303291, LB 70, lumi 9.62
Event Veto ['MiniNoiseBurst'], Mon Jul  4 11:21:59 2016 UTC-Mon Jul  4 11:22:00 2016 UTC (0.001 )  Time stamp start 1467631320000450490 end 1467631319999449415  Run 303291, LB 70, lumi 9.63
Event Veto ['NoiseBurst'], Mon Jul  4 11:23:58 2016 UTC-Mon Jul  4 11:23:58 2016 UTC (0.010 )  Time stamp start 1467631438785382225 end 1467631438775306775  Run 303291, LB 73, lumi 96.36
Event Veto ['MiniNoiseBurst'], Mon Jul  4 11:25:40 2016 UTC-Mon Jul  4 11:25:40 2016 UTC (0.001 )  Time stamp start 1467631540387457990 end 1467631540386457990  Run 303291, LB 75, lumi 9.54
Event Veto ['NoiseBurst'], Mon Jul  4 11:25:44 2016 UTC-Mon Jul  4 11:25:44 2016 UTC (0.010 )  Time stamp start 1467631544521517510 end 1467631544511516760  Run 303291, LB 75, lumi 95.46
Event Veto ['MiniNoiseBurst'], Mon Jul  4 11:25:57 2016 UTC-Mon Jul  4 11:25:57 2016 UTC (0.001 )  Time stamp start 1467631557166985040 end 1467631557165984390  Run 303291, LB 75, lumi 9.55
Event Veto ['MiniNoiseBurst'], Mon Jul  4 11:26:27 2016 UTC-Mon Jul  4 11:26:27 2016 UTC (0.001 )  Time stamp start 1467631587234896890 end 1467631587233896240  Run 303291, LB 76, lumi 9.55
Event Veto ['MiniNoiseBurst'], Mon Jul  4 11:26:35 2016 UTC-Mon Jul  4 11:26:35 2016 UTC (0.001 )  Time stamp start 1467631595531621375 end 1467631595530620800  Run 303291, LB 76, lumi 9.55
Event Veto ['MiniNoiseBurst'], Mon Jul  4 11:26:46 2016 UTC-Mon Jul  4 11:26:46 2016 UTC (0.001 )  Time stamp start 1467631606340234340 end 1467631606339233340  Run 303291, LB 76, lumi 9.56
Event Veto ['MiniNoiseBurst'], Mon Jul  4 11:26:57 2016 UTC-Mon Jul  4 11:26:57 2016 UTC (0.001 )  Time stamp start 1467631617688630155 end 1467631617687629730  Run 303291, LB 76, lumi 9.55
Event Veto ['MiniNoiseBurst'], Mon Jul  4 11:27:04 2016 UTC-Mon Jul  4 11:27:04 2016 UTC (0.001 )  Time stamp start 1467631624723367820 end 1467631624722367520  Run 303291, LB 77, lumi 9.37
Event Veto ['MiniNoiseBurst'], Mon Jul  4 11:27:17 2016 UTC-Mon Jul  4 11:27:17 2016 UTC (0.001 )  Time stamp start 1467631637108970390 end 1467631637107970115  Run 303291, LB 77, lumi 9.37
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Mon Jul  4 11:27:29 2016 UTC-Mon Jul  4 11:27:29 2016 UTC (0.001 )  Time stamp start 1467631649578945710 end 1467631649577945585  Run 303291, LB 77, lumi 9.37
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Mon Jul  4 11:27:37 2016 UTC-Mon Jul  4 11:27:37 2016 UTC (0.001 )  Time stamp start 1467631657267426260 end 1467631657266426135  Run 303291, LB 77, lumi 9.37
Event Veto ['MiniNoiseBurst'], Mon Jul  4 11:27:49 2016 UTC-Mon Jul  4 11:27:49 2016 UTC (0.001 )  Time stamp start 1467631669202048505 end 1467631669201047510  Run 303291, LB 77, lumi 9.38
Event Veto ['MiniNoiseBurst'], Mon Jul  4 11:27:57 2016 UTC-Mon Jul  4 11:27:57 2016 UTC (0.001 )  Time stamp start 1467631677526669840 end 1467631677525669715  Run 303291, LB 77, lumi 9.37
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Mon Jul  4 11:28:10 2016 UTC-Mon Jul  4 11:28:10 2016 UTC (0.001 )  Time stamp start 1467631690089125150 end 1467631690088125025  Run 303291, LB 78, lumi 9.18
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Mon Jul  4 11:28:17 2016 UTC-Mon Jul  4 11:28:17 2016 UTC (0.001 )  Time stamp start 1467631697689786560 end 1467631697688786435  Run 303291, LB 78, lumi 9.18
Event Veto ['MiniNoiseBurst'], Mon Jul  4 11:28:29 2016 UTC-Mon Jul  4 11:28:29 2016 UTC (0.001 )  Time stamp start 1467631709643999475 end 1467631709642998230  Run 303291, LB 78, lumi 9.19
Event Veto ['MiniNoiseBurst'], Mon Jul  4 11:28:37 2016 UTC-Mon Jul  4 11:28:37 2016 UTC (0.001 )  Time stamp start 1467631717365222835 end 1467631717364222035  Run 303291, LB 78, lumi 9.18
Event Veto ['MiniNoiseBurst'], Mon Jul  4 11:28:49 2016 UTC-Mon Jul  4 11:28:49 2016 UTC (0.001 )  Time stamp start 1467631729121781780 end 1467631729120780535  Run 303291, LB 78, lumi 9.19
Event Veto ['MiniNoiseBurst'], Mon Jul  4 11:28:57 2016 UTC-Mon Jul  4 11:28:57 2016 UTC (0.001 )  Time stamp start 1467631737566371635 end 1467631737565370440  Run 303291, LB 78, lumi 9.19
