Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 303338 to 303338
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 303338 to run 303338  lasting from Tue Jul  5 23:33:17 2016 UTC to Thu Jul  7 04:20:15 2016 UTC
Event Veto ['DataCorruption'], Tue Jul  5 23:36:49 2016 UTC-Tue Jul  5 23:36:50 2016 UTC (0.839 )  Time stamp start 1467761810460693070 end 1467761809621740635  Run 303338, LBs 4-5, lumi 0.00
Event Veto ['DataCorruption'], Tue Jul  5 23:37:16 2016 UTC-Tue Jul  5 23:37:20 2016 UTC (3.833 )  Time stamp start 1467761840298144395 end 1467761836464839785  Run 303338, LB 6, lumi 0.00
Event Veto ['DataCorruption'], Tue Jul  5 23:37:20 2016 UTC-Tue Jul  5 23:37:24 2016 UTC (4.538 )  Time stamp start 1467761844957788330 end 1467761840419493335  Run 303338, LB 6, lumi 0.00
Event Veto ['DataCorruption'], Tue Jul  5 23:37:25 2016 UTC-Tue Jul  5 23:37:31 2016 UTC (5.990 )  Time stamp start 1467761851088721925 end 1467761845098847950  Run 303338, LB 6, lumi 0.00
Event Veto ['DataCorruption'], Tue Jul  5 23:49:36 2016 UTC-Tue Jul  5 23:49:37 2016 UTC (1.292 )  Time stamp start 1467762577395644340 end 1467762576103414155  Run 303338, LB 19, lumi 0.00
Event Veto ['MiniNoiseBurst'], Tue Jul  5 23:57:28 2016 UTC-Tue Jul  5 23:57:28 2016 UTC (0.001 )  Time stamp start 1467763048644715285 end 1467763048643715285  Run 303338, LB 27, lumi 0.00
Event Veto ['NoiseBurst'], Wed Jul  6 00:23:59 2016 UTC-Wed Jul  6 00:23:59 2016 UTC (0.010 )  Time stamp start 1467764639847373975 end 1467764639837160100  Run 303338, LB 57, lumi 0.00
Event Veto ['MiniNoiseBurst'], Wed Jul  6 00:41:50 2016 UTC-Wed Jul  6 00:41:50 2016 UTC (0.001 )  Time stamp start 1467765710792809035 end 1467765710791808535  Run 303338, LB 76, lumi 0.00
Event Veto ['MiniNoiseBurst'], Wed Jul  6 01:18:45 2016 UTC-Wed Jul  6 01:18:45 2016 UTC (0.001 )  Time stamp start 1467767925296846870 end 1467767925295846120  Run 303338, LB 113, lumi 0.00
Event Veto ['MiniNoiseBurst'], Wed Jul  6 01:47:30 2016 UTC-Wed Jul  6 01:47:30 2016 UTC (0.001 )  Time stamp start 1467769650323376920 end 1467769650322375995  Run 303338, LB 142, lumi 0.00
Event Veto ['MiniNoiseBurst'], Wed Jul  6 02:11:10 2016 UTC-Wed Jul  6 02:11:10 2016 UTC (0.001 )  Time stamp start 1467771070354416910 end 1467771070353415610  Run 303338, LB 167, lumi 0.00
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Wed Jul  6 02:45:34 2016 UTC-Wed Jul  6 02:45:35 2016 UTC (0.001 )  Time stamp start 1467773135000225695 end 1467773134999225695  Run 303338, LB 203, lumi 0.00
Event Veto ['MiniNoiseBurst'], Wed Jul  6 02:50:31 2016 UTC-Wed Jul  6 02:50:31 2016 UTC (0.001 )  Time stamp start 1467773431161911835 end 1467773431160911835  Run 303338, LB 208, lumi 0.00
Event Veto ['MiniNoiseBurst'], Wed Jul  6 02:53:46 2016 UTC-Wed Jul  6 02:53:46 2016 UTC (0.001 )  Time stamp start 1467773626799576990 end 1467773626798576865  Run 303338, LB 211, lumi 1.80
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Wed Jul  6 02:53:55 2016 UTC-Wed Jul  6 02:53:55 2016 UTC (0.001 )  Time stamp start 1467773635013251240 end 1467773635012251240  Run 303338, LB 211, lumi 1.80
Event Veto ['MiniNoiseBurst'], Wed Jul  6 02:54:02 2016 UTC-Wed Jul  6 02:54:02 2016 UTC (0.001 )  Time stamp start 1467773642683539915 end 1467773642682539065  Run 303338, LB 211, lumi 1.80
Event Veto ['MiniNoiseBurst'], Wed Jul  6 02:54:10 2016 UTC-Wed Jul  6 02:54:10 2016 UTC (0.001 )  Time stamp start 1467773650468916015 end 1467773650467916015  Run 303338, LB 211, lumi 1.80
