Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 303499 to 303499
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 303499 to run 303499  lasting from Fri Jul  8 13:21:38 2016 UTC to Sat Jul  9 12:38:34 2016 UTC
Event Veto ['DataCorruption'], Fri Jul  8 13:35:25 2016 UTC-Fri Jul  8 13:35:25 2016 UTC (0.682 )  Time stamp start 1467984925701138650 end 1467984925018765015  Run 303499, LB 17, lumi 0.00
Event Veto ['DataCorruption'], Fri Jul  8 13:42:14 2016 UTC-Fri Jul  8 13:42:16 2016 UTC (2.233 )  Time stamp start 1467985336594602455 end 1467985334361473045  Run 303499, LB 24, lumi 0.00
Event Veto ['DataCorruption'], Fri Jul  8 13:42:16 2016 UTC-Fri Jul  8 13:42:18 2016 UTC (1.678 )  Time stamp start 1467985338474353860 end 1467985336796253225  Run 303499, LB 24, lumi 0.00
Event Veto ['DataCorruption'], Fri Jul  8 13:42:18 2016 UTC-Fri Jul  8 13:42:20 2016 UTC (2.186 )  Time stamp start 1467985340690402990 end 1467985338504747525  Run 303499, LB 24, lumi 0.00
Event Veto ['DataCorruption'], Fri Jul  8 13:42:20 2016 UTC-Fri Jul  8 13:42:21 2016 UTC (0.791 )  Time stamp start 1467985341593960060 end 1467985340803277730  Run 303499, LB 24, lumi 0.00
Event Veto ['DataCorruption'], Fri Jul  8 13:42:21 2016 UTC-Fri Jul  8 13:42:22 2016 UTC (1.153 )  Time stamp start 1467985342789971035 end 1467985341637207320  Run 303499, LBs 24-25, lumi 0.00
Event Veto ['DataCorruption'], Fri Jul  8 13:42:23 2016 UTC-Fri Jul  8 13:42:23 2016 UTC (0.814 )  Time stamp start 1467985343874791885 end 1467985343060842840  Run 303499, LB 25, lumi 0.00
Event Veto ['DataCorruption'], Fri Jul  8 13:42:24 2016 UTC-Fri Jul  8 13:42:26 2016 UTC (2.066 )  Time stamp start 1467985346103428955 end 1467985344037725970  Run 303499, LB 25, lumi 0.00
Event Veto ['DataCorruption'], Fri Jul  8 13:42:26 2016 UTC-Fri Jul  8 13:42:27 2016 UTC (1.018 )  Time stamp start 1467985347254707820 end 1467985346236285475  Run 303499, LB 25, lumi 0.00
Event Veto ['DataCorruption'], Fri Jul  8 13:42:27 2016 UTC-Fri Jul  8 13:42:29 2016 UTC (2.419 )  Time stamp start 1467985349863873615 end 1467985347445343640  Run 303499, LB 25, lumi 0.00
Event Veto ['DataCorruption'], Fri Jul  8 13:42:29 2016 UTC-Fri Jul  8 13:42:30 2016 UTC (0.881 )  Time stamp start 1467985350822986600 end 1467985349941492860  Run 303499, LB 25, lumi 0.00
