Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 304243 to 304243
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 304243 to run 304243  lasting from Fri Jul 22 16:46:25 2016 UTC to Sat Jul 23 11:02:54 2016 UTC
Event Veto ['MiniNoiseBurst'], Fri Jul 22 16:54:27 2016 UTC-Fri Jul 22 16:54:27 2016 UTC (0.001 )  Time stamp start 1469206467390657105 end 1469206467389655585  Run 304243, LB 13, lumi 0.00
Event Veto ['MiniNoiseBurst'], Fri Jul 22 17:03:31 2016 UTC-Fri Jul 22 17:03:31 2016 UTC (0.001 )  Time stamp start 1469207011358979070 end 1469207011357978795  Run 304243, LB 22, lumi 0.00
Event Veto ['MiniNoiseBurst'], Fri Jul 22 17:12:53 2016 UTC-Fri Jul 22 17:12:53 2016 UTC (0.001 )  Time stamp start 1469207573053753125 end 1469207573052751775  Run 304243, LB 31, lumi 0.00
Event Veto ['MiniNoiseBurst'], Fri Jul 22 17:33:22 2016 UTC-Fri Jul 22 17:33:22 2016 UTC (0.001 )  Time stamp start 1469208802718543140 end 1469208802717543140  Run 304243, LB 53, lumi 0.00
Event Veto ['MiniNoiseBurst'], Fri Jul 22 17:55:57 2016 UTC-Fri Jul 22 17:55:57 2016 UTC (0.001 )  Time stamp start 1469210157168817045 end 1469210157167815700  Run 304243, LB 77, lumi 0.00
Event Veto ['MiniNoiseBurst'], Fri Jul 22 18:02:41 2016 UTC-Fri Jul 22 18:02:41 2016 UTC (0.001 )  Time stamp start 1469210561345327840 end 1469210561344326615  Run 304243, LB 84, lumi 0.56
Event Veto ['MiniNoiseBurst'], Fri Jul 22 18:03:19 2016 UTC-Fri Jul 22 18:03:19 2016 UTC (0.001 )  Time stamp start 1469210599483827345 end 1469210599482825850  Run 304243, LB 85, lumi 9.92
Event Veto ['MiniNoiseBurst'], Fri Jul 22 18:03:24 2016 UTC-Fri Jul 22 18:03:24 2016 UTC (0.001 )  Time stamp start 1469210604987839325 end 1469210604986838875  Run 304243, LB 85, lumi 9.90
Event Veto ['NoiseBurst'], Fri Jul 22 18:03:52 2016 UTC-Fri Jul 22 18:03:52 2016 UTC (0.010 )  Time stamp start 1469210632246618750 end 1469210632236444395  Run 304243, LB 86, lumi 102.93
Event Veto ['MiniNoiseBurst'], Fri Jul 22 18:03:52 2016 UTC-Fri Jul 22 18:03:52 2016 UTC (0.001 )  Time stamp start 1469210632888895300 end 1469210632887894205  Run 304243, LB 86, lumi 10.13
Event Veto ['MiniNoiseBurst'], Fri Jul 22 18:03:58 2016 UTC-Fri Jul 22 18:03:58 2016 UTC (0.001 )  Time stamp start 1469210638454397205 end 1469210638453397030  Run 304243, LB 86, lumi 10.12
Event Veto ['MiniNoiseBurst'], Fri Jul 22 18:04:08 2016 UTC-Fri Jul 22 18:04:08 2016 UTC (0.001 )  Time stamp start 1469210648673600670 end 1469210648672600345  Run 304243, LB 86, lumi 10.12
Event Veto ['MiniNoiseBurst'], Fri Jul 22 18:04:24 2016 UTC-Fri Jul 22 18:04:24 2016 UTC (0.001 )  Time stamp start 1469210664119167510 end 1469210664118167135  Run 304243, LB 86, lumi 10.12
Event Veto ['MiniNoiseBurst'], Fri Jul 22 18:04:34 2016 UTC-Fri Jul 22 18:04:34 2016 UTC (0.001 )  Time stamp start 1469210674776249760 end 1469210674775249585  Run 304243, LB 86, lumi 10.12
Event Veto ['MiniNoiseBurst'], Fri Jul 22 18:04:45 2016 UTC-Fri Jul 22 18:04:45 2016 UTC (0.001 )  Time stamp start 1469210685777298810 end 1469210685776298560  Run 304243, LB 87, lumi 10.29
Event Veto ['MiniNoiseBurst'], Fri Jul 22 18:04:51 2016 UTC-Fri Jul 22 18:04:51 2016 UTC (0.001 )  Time stamp start 1469210691353467975 end 1469210691352466555  Run 304243, LB 87, lumi 10.30
Event Veto ['MiniNoiseBurst'], Fri Jul 22 18:05:00 2016 UTC-Fri Jul 22 18:05:00 2016 UTC (0.001 )  Time stamp start 1469210700220958235 end 1469210700219958235  Run 304243, LB 87, lumi 10.29
Event Veto ['MiniNoiseBurst'], Fri Jul 22 18:05:01 2016 UTC-Fri Jul 22 18:05:01 2016 UTC (0.001 )  Time stamp start 1469210701194110420 end 1469210701193109225  Run 304243, LB 87, lumi 10.30
Event Veto ['MiniNoiseBurst'], Fri Jul 22 18:05:12 2016 UTC-Fri Jul 22 18:05:12 2016 UTC (0.001 )  Time stamp start 1469210712323448585 end 1469210712322447565  Run 304243, LB 87, lumi 10.30
Event Veto ['MiniNoiseBurst'], Fri Jul 22 18:05:23 2016 UTC-Fri Jul 22 18:05:23 2016 UTC (0.001 )  Time stamp start 1469210723867816725 end 1469210723866816525  Run 304243, LB 87, lumi 10.29
Event Veto ['MiniNoiseBurst'], Fri Jul 22 18:05:29 2016 UTC-Fri Jul 22 18:05:29 2016 UTC (0.001 )  Time stamp start 1469210729230806025 end 1469210729229804855  Run 304243, LB 87, lumi 10.30
Event Veto ['MiniNoiseBurst'], Fri Jul 22 18:05:39 2016 UTC-Fri Jul 22 18:05:39 2016 UTC (0.001 )  Time stamp start 1469210739733103425 end 1469210739732103150  Run 304243, LB 87, lumi 10.29
Event Veto ['MiniNoiseBurst'], Fri Jul 22 18:05:50 2016 UTC-Fri Jul 22 18:05:50 2016 UTC (0.001 )  Time stamp start 1469210750505439280 end 1469210750504438105  Run 304243, LB 88, lumi 9.99
Event Veto ['NoiseBurst'], Fri Jul 22 18:05:53 2016 UTC-Fri Jul 22 18:05:53 2016 UTC (0.010 )  Time stamp start 1469210753861641935 end 1469210753851410615  Run 304243, LB 88, lumi 102.06
Event Veto ['MiniNoiseBurst'], Fri Jul 22 18:06:01 2016 UTC-Fri Jul 22 18:06:01 2016 UTC (0.001 )  Time stamp start 1469210761298702140 end 1469210761297701445  Run 304243, LB 88, lumi 9.98
Event Veto ['MiniNoiseBurst'], Fri Jul 22 18:06:17 2016 UTC-Fri Jul 22 18:06:17 2016 UTC (0.001 )  Time stamp start 1469210777258436770 end 1469210777257436445  Run 304243, LB 88, lumi 9.98
Event Veto ['MiniNoiseBurst'], Fri Jul 22 18:06:27 2016 UTC-Fri Jul 22 18:06:27 2016 UTC (0.001 )  Time stamp start 1469210787259927075 end 1469210787258927075  Run 304243, LB 88, lumi 9.98
Event Veto ['MiniNoiseBurst'], Fri Jul 22 18:07:05 2016 UTC-Fri Jul 22 18:07:05 2016 UTC (0.001 )  Time stamp start 1469210825335559000 end 1469210825334559000  Run 304243, LB 89, lumi 9.65
Event Veto ['MiniNoiseBurst'], Fri Jul 22 18:07:28 2016 UTC-Fri Jul 22 18:07:28 2016 UTC (0.001 )  Time stamp start 1469210848045454385 end 1469210848044453160  Run 304243, LB 89, lumi 9.66
Event Veto ['MiniNoiseBurst'], Fri Jul 22 18:07:39 2016 UTC-Fri Jul 22 18:07:39 2016 UTC (0.001 )  Time stamp start 1469210859944867000 end 1469210859943865575  Run 304243, LB 89, lumi 9.66
Event Veto ['NoiseBurst'], Fri Jul 22 18:07:40 2016 UTC-Fri Jul 22 18:07:40 2016 UTC (0.010 )  Time stamp start 1469210860625812030 end 1469210860615811905  Run 304243, LB 89, lumi 96.51
Event Veto ['MiniNoiseBurst'], Fri Jul 22 18:07:51 2016 UTC-Fri Jul 22 18:07:51 2016 UTC (0.001 )  Time stamp start 1469210871217688360 end 1469210871216688360  Run 304243, LB 90, lumi 10.12
Event Veto ['MiniNoiseBurst'], Fri Jul 22 18:07:56 2016 UTC-Fri Jul 22 18:07:56 2016 UTC (0.001 )  Time stamp start 1469210876312464850 end 1469210876311463950  Run 304243, LB 90, lumi 10.13
Event Veto ['MiniNoiseBurst'], Fri Jul 22 18:07:58 2016 UTC-Fri Jul 22 18:07:58 2016 UTC (0.001 )  Time stamp start 1469210878060872505 end 1469210878059872505  Run 304243, LB 90, lumi 10.12
