Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 305571 to 305571
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 305571 to run 305571  lasting from Thu Aug  4 11:18:32 2016 UTC to Thu Aug  4 13:36:41 2016 UTC
Event Veto ['MiniNoiseBurst'], Thu Aug  4 11:31:49 2016 UTC-Thu Aug  4 11:31:49 2016 UTC (0.001 )  Time stamp start 1470310309937903755 end 1470310309936903205  Run 305571, LB 14, lumi 0.00
Event Veto ['MiniNoiseBurst'], Thu Aug  4 12:03:28 2016 UTC-Thu Aug  4 12:03:28 2016 UTC (0.001 )  Time stamp start 1470312208245989875 end 1470312208244989875  Run 305571, LB 48, lumi 0.00
Event Veto ['MiniNoiseBurst'], Thu Aug  4 12:05:18 2016 UTC-Thu Aug  4 12:05:18 2016 UTC (0.001 )  Time stamp start 1470312318400115915 end 1470312318399115915  Run 305571, LB 50, lumi 0.00
Event Veto ['MiniNoiseBurst'], Thu Aug  4 12:06:47 2016 UTC-Thu Aug  4 12:06:47 2016 UTC (0.001 )  Time stamp start 1470312407266354255 end 1470312407265354255  Run 305571, LB 51, lumi 0.00
Event Veto ['MiniNoiseBurst'], Thu Aug  4 12:14:24 2016 UTC-Thu Aug  4 12:14:24 2016 UTC (0.001 )  Time stamp start 1470312864224417710 end 1470312864223417290  Run 305571, LB 59, lumi 0.00
Event Veto ['MiniNoiseBurst'], Thu Aug  4 12:23:22 2016 UTC-Thu Aug  4 12:23:22 2016 UTC (0.001 )  Time stamp start 1470313402591093610 end 1470313402590093610  Run 305571, LB 68, lumi 3.82
Event Veto ['MiniNoiseBurst'], Thu Aug  4 12:23:28 2016 UTC-Thu Aug  4 12:23:28 2016 UTC (0.001 )  Time stamp start 1470313408737744990 end 1470313408736744990  Run 305571, LB 69, lumi 8.52
Event Veto ['NoiseBurst'], Thu Aug  4 12:23:39 2016 UTC-Thu Aug  4 12:23:39 2016 UTC (0.010 )  Time stamp start 1470313419649339290 end 1470313419639338390  Run 305571, LB 69, lumi 85.23
Event Veto ['NoiseBurst'], Thu Aug  4 12:23:45 2016 UTC-Thu Aug  4 12:23:45 2016 UTC (0.010 )  Time stamp start 1470313425721589335 end 1470313425711588635  Run 305571, LB 69, lumi 85.22
Event Veto ['MiniNoiseBurst'], Thu Aug  4 12:24:05 2016 UTC-Thu Aug  4 12:24:05 2016 UTC (0.001 )  Time stamp start 1470313445548006905 end 1470313445547006580  Run 305571, LB 69, lumi 8.52
Event Veto ['NoiseBurst'], Thu Aug  4 12:24:09 2016 UTC-Thu Aug  4 12:24:09 2016 UTC (0.010 )  Time stamp start 1470313449198051685 end 1470313449188050715  Run 305571, LB 69, lumi 85.23
Event Veto ['MiniNoiseBurst'], Thu Aug  4 12:24:11 2016 UTC-Thu Aug  4 12:24:11 2016 UTC (0.001 )  Time stamp start 1470313451654464735 end 1470313451653464735  Run 305571, LB 69, lumi 8.52
Event Veto ['MiniNoiseBurst'], Thu Aug  4 12:24:23 2016 UTC-Thu Aug  4 12:24:23 2016 UTC (0.001 )  Time stamp start 1470313463486747280 end 1470313463485747280  Run 305571, LB 70, lumi 9.21
Event Veto ['MiniNoiseBurst'], Thu Aug  4 12:24:29 2016 UTC-Thu Aug  4 12:24:29 2016 UTC (0.001 )  Time stamp start 1470313469531632725 end 1470313469530632525  Run 305571, LB 70, lumi 9.21
Event Veto ['NoiseBurst'], Thu Aug  4 12:24:34 2016 UTC-Thu Aug  4 12:24:34 2016 UTC (0.010 )  Time stamp start 1470313474541963225 end 1470313474531962950  Run 305571, LB 70, lumi 92.10
Event Veto ['MiniNoiseBurst'], Thu Aug  4 12:24:41 2016 UTC-Thu Aug  4 12:24:41 2016 UTC (0.001 )  Time stamp start 1470313481021229800 end 1470313481020229800  Run 305571, LB 70, lumi 9.21
Event Veto ['NoiseBurst'], Thu Aug  4 12:24:51 2016 UTC-Thu Aug  4 12:24:51 2016 UTC (0.010 )  Time stamp start 1470313491728801240 end 1470313491718800820  Run 305571, LB 70, lumi 92.10
Event Veto ['MiniNoiseBurst'], Thu Aug  4 12:24:58 2016 UTC-Thu Aug  4 12:24:58 2016 UTC (0.001 )  Time stamp start 1470313498768031840 end 1470313498767031840  Run 305571, LB 70, lumi 9.21
Event Veto ['MiniNoiseBurst'], Thu Aug  4 12:25:10 2016 UTC-Thu Aug  4 12:25:10 2016 UTC (0.001 )  Time stamp start 1470313510272442765 end 1470313510271441645  Run 305571, LB 70, lumi 9.22
Event Veto ['MiniNoiseBurst'], Thu Aug  4 12:25:22 2016 UTC-Thu Aug  4 12:25:22 2016 UTC (0.001 )  Time stamp start 1470313522212626010 end 1470313522211625885  Run 305571, LB 70, lumi 9.21
Event Veto ['MiniNoiseBurst'], Thu Aug  4 12:25:44 2016 UTC-Thu Aug  4 12:25:44 2016 UTC (0.001 )  Time stamp start 1470313544849067720 end 1470313544848067720  Run 305571, LB 71, lumi 9.33
Event Veto ['NoiseBurst'], Thu Aug  4 12:26:00 2016 UTC-Thu Aug  4 12:26:00 2016 UTC (0.010 )  Time stamp start 1470313560600962595 end 1470313560590961775  Run 305571, LB 71, lumi 93.27
Event Veto ['NoiseBurst'], Thu Aug  4 12:26:10 2016 UTC-Thu Aug  4 12:26:10 2016 UTC (0.010 )  Time stamp start 1470313570473503785 end 1470313570463503190  Run 305571, LB 71, lumi 93.27
Event Veto ['MiniNoiseBurst'], Thu Aug  4 12:26:34 2016 UTC-Thu Aug  4 12:26:34 2016 UTC (0.001 )  Time stamp start 1470313594390305955 end 1470313594389305955  Run 305571, LB 72, lumi 8.93
Event Veto ['MiniNoiseBurst'], Thu Aug  4 12:26:58 2016 UTC-Thu Aug  4 12:26:58 2016 UTC (0.001 )  Time stamp start 1470313618035705330 end 1470313618034704430  Run 305571, LB 72, lumi 8.94
Event Veto ['MiniNoiseBurst'], Thu Aug  4 12:27:08 2016 UTC-Thu Aug  4 12:27:08 2016 UTC (0.001 )  Time stamp start 1470313628549466250 end 1470313628548465800  Run 305571, LB 72, lumi 8.93
Event Veto ['MiniNoiseBurst'], Thu Aug  4 12:27:14 2016 UTC-Thu Aug  4 12:27:14 2016 UTC (0.001 )  Time stamp start 1470313634708297160 end 1470313634707297160  Run 305571, LB 72, lumi 8.93
Event Veto ['MiniNoiseBurst'], Thu Aug  4 12:27:36 2016 UTC-Thu Aug  4 12:27:36 2016 UTC (0.001 )  Time stamp start 1470313656226864915 end 1470313656225863815  Run 305571, LB 73, lumi 9.52
Event Veto ['MiniNoiseBurst'], Thu Aug  4 12:27:45 2016 UTC-Thu Aug  4 12:27:45 2016 UTC (0.001 )  Time stamp start 1470313665342267680 end 1470313665341267680  Run 305571, LB 73, lumi 9.51
Event Veto ['MiniNoiseBurst'], Thu Aug  4 12:27:50 2016 UTC-Thu Aug  4 12:27:50 2016 UTC (0.001 )  Time stamp start 1470313670993728105 end 1470313670992728105  Run 305571, LB 73, lumi 9.51
Event Veto ['MiniNoiseBurst'], Thu Aug  4 12:27:56 2016 UTC-Thu Aug  4 12:27:56 2016 UTC (0.001 )  Time stamp start 1470313676495808350 end 1470313676494808100  Run 305571, LB 73, lumi 9.51
Event Veto ['MiniNoiseBurst'], Thu Aug  4 12:28:07 2016 UTC-Thu Aug  4 12:28:07 2016 UTC (0.001 )  Time stamp start 1470313687795014535 end 1470313687794014160  Run 305571, LB 73, lumi 9.51
Event Veto ['MiniNoiseBurst'], Thu Aug  4 12:28:13 2016 UTC-Thu Aug  4 12:28:13 2016 UTC (0.001 )  Time stamp start 1470313693333050565 end 1470313693332050265  Run 305571, LB 73, lumi 9.51
Event Veto ['MiniNoiseBurst'], Thu Aug  4 12:28:24 2016 UTC-Thu Aug  4 12:28:24 2016 UTC (0.001 )  Time stamp start 1470313704244877240 end 1470313704243877240  Run 305571, LB 74, lumi 8.22
Event Veto ['MiniNoiseBurst'], Thu Aug  4 12:28:30 2016 UTC-Thu Aug  4 12:28:30 2016 UTC (0.001 )  Time stamp start 1470313710989813320 end 1470313710988812995  Run 305571, LB 74, lumi 8.22
Event Veto ['MiniNoiseBurst'], Thu Aug  4 12:28:37 2016 UTC-Thu Aug  4 12:28:37 2016 UTC (0.001 )  Time stamp start 1470313717643502990 end 1470313717642502990  Run 305571, LB 74, lumi 8.22
Event Veto ['NoiseBurst'], Thu Aug  4 12:28:52 2016 UTC-Thu Aug  4 12:28:52 2016 UTC (0.010 )  Time stamp start 1470313732929696090 end 1470313732919555940  Run 305571, LB 74, lumi 83.33
Event Veto ['MiniNoiseBurst'], Thu Aug  4 12:29:07 2016 UTC-Thu Aug  4 12:29:07 2016 UTC (0.001 )  Time stamp start 1470313747052167530 end 1470313747051166185  Run 305571, LB 74, lumi 8.23
Event Veto ['MiniNoiseBurst'], Thu Aug  4 12:29:29 2016 UTC-Thu Aug  4 12:29:29 2016 UTC (0.001 )  Time stamp start 1470313769058572435 end 1470313769057572435  Run 305571, LB 75, lumi 9.99
Event Veto ['MiniNoiseBurst'], Thu Aug  4 12:29:44 2016 UTC-Thu Aug  4 12:29:44 2016 UTC (0.001 )  Time stamp start 1470313784300987930 end 1470313784299986780  Run 305571, LB 75, lumi 10.00
Event Veto ['MiniNoiseBurst'], Thu Aug  4 12:30:12 2016 UTC-Thu Aug  4 12:30:12 2016 UTC (0.001 )  Time stamp start 1470313812768431125 end 1470313812767431125  Run 305571, LB 75, lumi 9.99
Event Veto ['NoiseBurst'], Thu Aug  4 12:30:16 2016 UTC-Thu Aug  4 12:30:16 2016 UTC (0.010 )  Time stamp start 1470313816080357300 end 1470313816070094895  Run 305571, LB 75, lumi 102.53
Event Veto ['MiniNoiseBurst'], Thu Aug  4 12:30:27 2016 UTC-Thu Aug  4 12:30:27 2016 UTC (0.001 )  Time stamp start 1470313827996466485 end 1470313827995466090  Run 305571, LB 76, lumi 9.99
Event Veto ['MiniNoiseBurst'], Thu Aug  4 12:30:33 2016 UTC-Thu Aug  4 12:30:33 2016 UTC (0.001 )  Time stamp start 1470313833091377470 end 1470313833090376245  Run 305571, LB 76, lumi 10.00
Event Veto ['MiniNoiseBurst'], Thu Aug  4 12:30:38 2016 UTC-Thu Aug  4 12:30:38 2016 UTC (0.001 )  Time stamp start 1470313838220907105 end 1470313838219907105  Run 305571, LB 76, lumi 9.98
Event Veto ['MiniNoiseBurst'], Thu Aug  4 12:30:49 2016 UTC-Thu Aug  4 12:30:49 2016 UTC (0.001 )  Time stamp start 1470313849097002450 end 1470313849096002155  Run 305571, LB 76, lumi 9.99
Event Veto ['MiniNoiseBurst'], Thu Aug  4 12:30:59 2016 UTC-Thu Aug  4 12:30:59 2016 UTC (0.001 )  Time stamp start 1470313859186958005 end 1470313859185958005  Run 305571, LB 76, lumi 9.98
Event Veto ['MiniNoiseBurst'], Thu Aug  4 12:31:32 2016 UTC-Thu Aug  4 12:31:32 2016 UTC (0.001 )  Time stamp start 1470313892309550100 end 1470313892308550100  Run 305571, LB 77, lumi 9.97
Event Veto ['MiniNoiseBurst'], Thu Aug  4 12:32:08 2016 UTC-Thu Aug  4 12:32:08 2016 UTC (0.001 )  Time stamp start 1470313928207625145 end 1470313928206625145  Run 305571, LB 77, lumi 9.97
Event Veto ['MiniNoiseBurst'], Thu Aug  4 12:32:13 2016 UTC-Thu Aug  4 12:32:13 2016 UTC (0.001 )  Time stamp start 1470313933272217735 end 1470313933271217360  Run 305571, LB 77, lumi 9.97
Event Veto ['MiniNoiseBurst'], Thu Aug  4 12:32:22 2016 UTC-Thu Aug  4 12:32:22 2016 UTC (0.001 )  Time stamp start 1470313942324753745 end 1470313942323753745  Run 305571, LB 77, lumi 9.97
Event Veto ['MiniNoiseBurst'], Thu Aug  4 12:32:37 2016 UTC-Thu Aug  4 12:32:37 2016 UTC (0.001 )  Time stamp start 1470313957510239560 end 1470313957509239560  Run 305571, LB 78, lumi 9.96
Event Veto ['MiniNoiseBurst'], Thu Aug  4 12:32:42 2016 UTC-Thu Aug  4 12:32:42 2016 UTC (0.001 )  Time stamp start 1470313962837533605 end 1470313962836533605  Run 305571, LB 78, lumi 9.96
Event Veto ['MiniNoiseBurst'], Thu Aug  4 12:32:52 2016 UTC-Thu Aug  4 12:32:52 2016 UTC (0.001 )  Time stamp start 1470313972728182645 end 1470313972727182645  Run 305571, LB 79, lumi 9.94
Event Veto ['MiniNoiseBurst'], Thu Aug  4 12:33:02 2016 UTC-Thu Aug  4 12:33:02 2016 UTC (0.001 )  Time stamp start 1470313982604249850 end 1470313982603249850  Run 305571, LB 79, lumi 9.94
Event Veto ['MiniNoiseBurst'], Thu Aug  4 12:33:41 2016 UTC-Thu Aug  4 12:33:41 2016 UTC (0.001 )  Time stamp start 1470314021300113555 end 1470314021299113555  Run 305571, LB 81, lumi 9.94
Event Veto ['NoiseBurst'], Thu Aug  4 12:33:45 2016 UTC-Thu Aug  4 12:33:45 2016 UTC (0.010 )  Time stamp start 1470314025957926400 end 1470314025947926275  Run 305571, LB 81, lumi 99.41
Event Veto ['MiniNoiseBurst'], Thu Aug  4 12:33:46 2016 UTC-Thu Aug  4 12:33:46 2016 UTC (0.001 )  Time stamp start 1470314026347578260 end 1470314026346578260  Run 305571, LB 81, lumi 9.94
Event Veto ['MiniNoiseBurst'], Thu Aug  4 12:33:51 2016 UTC-Thu Aug  4 12:33:51 2016 UTC (0.001 )  Time stamp start 1470314031197734560 end 1470314031196734560  Run 305571, LB 81, lumi 9.94
Event Veto ['MiniNoiseBurst'], Thu Aug  4 12:34:01 2016 UTC-Thu Aug  4 12:34:01 2016 UTC (0.001 )  Time stamp start 1470314041093578270 end 1470314041092578270  Run 305571, LB 81, lumi 9.94
Event Veto ['MiniNoiseBurst'], Thu Aug  4 12:34:16 2016 UTC-Thu Aug  4 12:34:16 2016 UTC (0.001 )  Time stamp start 1470314056482261490 end 1470314056481261490  Run 305571, LB 81, lumi 9.94
Event Veto ['MiniNoiseBurst'], Thu Aug  4 12:34:31 2016 UTC-Thu Aug  4 12:34:31 2016 UTC (0.001 )  Time stamp start 1470314071059378395 end 1470314071058378395  Run 305571, LB 82, lumi 9.93
Event Veto ['MiniNoiseBurst'], Thu Aug  4 12:34:36 2016 UTC-Thu Aug  4 12:34:36 2016 UTC (0.001 )  Time stamp start 1470314076151208060 end 1470314076150208060  Run 305571, LB 82, lumi 9.93
Event Veto ['MiniNoiseBurst'], Thu Aug  4 12:35:11 2016 UTC-Thu Aug  4 12:35:11 2016 UTC (0.001 )  Time stamp start 1470314111318417685 end 1470314111317416785  Run 305571, LB 82, lumi 9.94
Event Veto ['MiniNoiseBurst'], Thu Aug  4 12:35:21 2016 UTC-Thu Aug  4 12:35:21 2016 UTC (0.001 )  Time stamp start 1470314121268320765 end 1470314121267320520  Run 305571, LB 82, lumi 9.93
Event Veto ['MiniNoiseBurst'], Thu Aug  4 12:35:26 2016 UTC-Thu Aug  4 12:35:26 2016 UTC (0.001 )  Time stamp start 1470314126330374670 end 1470314126329374670  Run 305571, LB 83, lumi 9.91
Event Veto ['MiniNoiseBurst'], Thu Aug  4 12:35:36 2016 UTC-Thu Aug  4 12:35:36 2016 UTC (0.001 )  Time stamp start 1470314136193538820 end 1470314136192538820  Run 305571, LB 83, lumi 9.91
Event Veto ['MiniNoiseBurst'], Thu Aug  4 12:35:40 2016 UTC-Thu Aug  4 12:35:40 2016 UTC (0.001 )  Time stamp start 1470314140966120475 end 1470314140965119325  Run 305571, LB 83, lumi 9.92
Event Veto ['MiniNoiseBurst'], Thu Aug  4 12:36:10 2016 UTC-Thu Aug  4 12:36:10 2016 UTC (0.001 )  Time stamp start 1470314170664975320 end 1470314170663975320  Run 305571, LB 83, lumi 9.91
Event Veto ['MiniNoiseBurst'], Thu Aug  4 12:36:15 2016 UTC-Thu Aug  4 12:36:15 2016 UTC (0.001 )  Time stamp start 1470314175623894590 end 1470314175622894590  Run 305571, LB 83, lumi 9.91
Event Veto ['MiniNoiseBurst'], Thu Aug  4 12:36:30 2016 UTC-Thu Aug  4 12:36:30 2016 UTC (0.001 )  Time stamp start 1470314190158355930 end 1470314190157355930  Run 305571, LB 84, lumi 9.89
Event Veto ['NoiseBurst'], Thu Aug  4 12:36:44 2016 UTC-Thu Aug  4 12:36:44 2016 UTC (0.010 )  Time stamp start 1470314204816870145 end 1470314204806869645  Run 305571, LB 84, lumi 98.93
Event Veto ['MiniNoiseBurst'], Thu Aug  4 12:36:59 2016 UTC-Thu Aug  4 12:36:59 2016 UTC (0.001 )  Time stamp start 1470314219983575730 end 1470314219982575730  Run 305571, LB 84, lumi 9.89
Event Veto ['MiniNoiseBurst'], Thu Aug  4 12:37:08 2016 UTC-Thu Aug  4 12:37:08 2016 UTC (0.001 )  Time stamp start 1470314228496102140 end 1470314228495101890  Run 305571, LB 84, lumi 9.89
Event Veto ['MiniNoiseBurst'], Thu Aug  4 12:37:23 2016 UTC-Thu Aug  4 12:37:23 2016 UTC (0.001 )  Time stamp start 1470314243198335105 end 1470314243197334855  Run 305571, LB 84, lumi 9.89
Event Veto ['MiniNoiseBurst'], Thu Aug  4 12:37:28 2016 UTC-Thu Aug  4 12:37:28 2016 UTC (0.001 )  Time stamp start 1470314248009161950 end 1470314248008161650  Run 305571, LB 85, lumi 9.88
Event Veto ['MiniNoiseBurst'], Thu Aug  4 12:37:36 2016 UTC-Thu Aug  4 12:37:36 2016 UTC (0.001 )  Time stamp start 1470314256633676415 end 1470314256632676415  Run 305571, LB 85, lumi 9.87
Event Veto ['MiniNoiseBurst'], Thu Aug  4 12:37:51 2016 UTC-Thu Aug  4 12:37:51 2016 UTC (0.001 )  Time stamp start 1470314271294892805 end 1470314271293892560  Run 305571, LB 85, lumi 9.88
Event Veto ['NoiseBurst'], Thu Aug  4 12:38:04 2016 UTC-Thu Aug  4 12:38:04 2016 UTC (0.010 )  Time stamp start 1470314284572459095 end 1470314284562458970  Run 305571, LB 85, lumi 98.75
Event Veto ['MiniNoiseBurst'], Thu Aug  4 12:38:11 2016 UTC-Thu Aug  4 12:38:11 2016 UTC (0.001 )  Time stamp start 1470314291550379760 end 1470314291549378660  Run 305571, LB 85, lumi 9.89
Event Veto ['MiniNoiseBurst'], Thu Aug  4 12:38:16 2016 UTC-Thu Aug  4 12:38:16 2016 UTC (0.001 )  Time stamp start 1470314296617768350 end 1470314296616768225  Run 305571, LB 85, lumi 9.88
Event Veto ['MiniNoiseBurst'], Thu Aug  4 12:38:21 2016 UTC-Thu Aug  4 12:38:21 2016 UTC (0.001 )  Time stamp start 1470314301299066820 end 1470314301298066820  Run 305571, LB 85, lumi 9.87
Event Veto ['MiniNoiseBurst'], Thu Aug  4 12:38:26 2016 UTC-Thu Aug  4 12:38:26 2016 UTC (0.001 )  Time stamp start 1470314306535572255 end 1470314306534572130  Run 305571, LB 86, lumi 9.86
Event Veto ['MiniNoiseBurst'], Thu Aug  4 12:38:35 2016 UTC-Thu Aug  4 12:38:35 2016 UTC (0.001 )  Time stamp start 1470314315212236690 end 1470314315211236690  Run 305571, LB 86, lumi 9.86
Event Veto ['MiniNoiseBurst'], Thu Aug  4 12:38:44 2016 UTC-Thu Aug  4 12:38:44 2016 UTC (0.001 )  Time stamp start 1470314324165155145 end 1470314324164155145  Run 305571, LB 86, lumi 9.86
Event Veto ['MiniNoiseBurst'], Thu Aug  4 12:38:53 2016 UTC-Thu Aug  4 12:38:53 2016 UTC (0.001 )  Time stamp start 1470314333833151715 end 1470314333832150440  Run 305571, LB 86, lumi 9.87
Event Veto ['MiniNoiseBurst'], Thu Aug  4 12:38:58 2016 UTC-Thu Aug  4 12:38:58 2016 UTC (0.001 )  Time stamp start 1470314338749425900 end 1470314338748425900  Run 305571, LB 86, lumi 9.86
Event Veto ['MiniNoiseBurst'], Thu Aug  4 12:39:23 2016 UTC-Thu Aug  4 12:39:23 2016 UTC (0.001 )  Time stamp start 1470314363332266555 end 1470314363331266555  Run 305571, LB 86, lumi 9.86
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Thu Aug  4 12:39:27 2016 UTC-Thu Aug  4 12:39:27 2016 UTC (0.001 )  Time stamp start 1470314367368074925 end 1470314367367074925  Run 305571, LB 87, lumi 9.84
Event Veto ['MiniNoiseBurst'], Thu Aug  4 12:39:28 2016 UTC-Thu Aug  4 12:39:28 2016 UTC (0.001 )  Time stamp start 1470314368747385110 end 1470314368746385110  Run 305571, LB 87, lumi 9.84
Event Veto ['MiniNoiseBurst'], Thu Aug  4 12:39:37 2016 UTC-Thu Aug  4 12:39:37 2016 UTC (0.001 )  Time stamp start 1470314377354397080 end 1470314377353396305  Run 305571, LB 87, lumi 9.85
Event Veto ['MiniNoiseBurst'], Thu Aug  4 12:40:01 2016 UTC-Thu Aug  4 12:40:01 2016 UTC (0.001 )  Time stamp start 1470314401971019390 end 1470314401970019390  Run 305571, LB 87, lumi 9.84
Event Veto ['MiniNoiseBurst'], Thu Aug  4 12:40:26 2016 UTC-Thu Aug  4 12:40:26 2016 UTC (0.001 )  Time stamp start 1470314426242012895 end 1470314426241012895  Run 305571, LB 88, lumi 9.83
Event Veto ['MiniNoiseBurst'], Thu Aug  4 12:40:35 2016 UTC-Thu Aug  4 12:40:35 2016 UTC (0.001 )  Time stamp start 1470314435431802750 end 1470314435430802375  Run 305571, LB 88, lumi 9.83
Event Veto ['MiniNoiseBurst'], Thu Aug  4 12:40:45 2016 UTC-Thu Aug  4 12:40:45 2016 UTC (0.001 )  Time stamp start 1470314445385835955 end 1470314445384835955  Run 305571, LB 88, lumi 9.83
Event Veto ['MiniNoiseBurst'], Thu Aug  4 12:40:50 2016 UTC-Thu Aug  4 12:40:50 2016 UTC (0.001 )  Time stamp start 1470314450243861315 end 1470314450242861315  Run 305571, LB 88, lumi 9.83
Event Veto ['MiniNoiseBurst'], Thu Aug  4 12:40:59 2016 UTC-Thu Aug  4 12:40:59 2016 UTC (0.001 )  Time stamp start 1470314459740588265 end 1470314459739587765  Run 305571, LB 88, lumi 9.83
Event Veto ['MiniNoiseBurst'], Thu Aug  4 12:41:46 2016 UTC-Thu Aug  4 12:41:46 2016 UTC (0.001 )  Time stamp start 1470314506314511870 end 1470314506313511870  Run 305571, LB 89, lumi 9.80
Event Veto ['MiniNoiseBurst'], Thu Aug  4 12:42:04 2016 UTC-Thu Aug  4 12:42:04 2016 UTC (0.001 )  Time stamp start 1470314524824339910 end 1470314524823339910  Run 305571, LB 90, lumi 9.78
Event Veto ['MiniNoiseBurst'], Thu Aug  4 12:42:20 2016 UTC-Thu Aug  4 12:42:20 2016 UTC (0.001 )  Time stamp start 1470314540084610530 end 1470314540083610530  Run 305571, LB 90, lumi 9.78
Event Veto ['NoiseBurst'], Thu Aug  4 12:42:41 2016 UTC-Thu Aug  4 12:42:41 2016 UTC (0.010 )  Time stamp start 1470314561375968415 end 1470314561365765370  Run 305571, LB 90, lumi 99.84
Event Veto ['MiniNoiseBurst'], Thu Aug  4 12:43:19 2016 UTC-Thu Aug  4 12:43:19 2016 UTC (0.001 )  Time stamp start 1470314599278890405 end 1470314599277890405  Run 305571, LB 91, lumi 9.79
Event Veto ['MiniNoiseBurst'], Thu Aug  4 12:43:48 2016 UTC-Thu Aug  4 12:43:48 2016 UTC (0.001 )  Time stamp start 1470314628908461315 end 1470314628907461190  Run 305571, LB 91, lumi 9.79
Event Veto ['MiniNoiseBurst'], Thu Aug  4 12:43:58 2016 UTC-Thu Aug  4 12:43:58 2016 UTC (0.001 )  Time stamp start 1470314638899708420 end 1470314638898708420  Run 305571, LB 92, lumi 9.78
Event Veto ['MiniNoiseBurst'], Thu Aug  4 12:44:13 2016 UTC-Thu Aug  4 12:44:13 2016 UTC (0.001 )  Time stamp start 1470314653741757550 end 1470314653740757550  Run 305571, LB 92, lumi 9.78
Event Veto ['MiniNoiseBurst'], Thu Aug  4 12:44:18 2016 UTC-Thu Aug  4 12:44:18 2016 UTC (0.001 )  Time stamp start 1470314658836998655 end 1470314658835998655  Run 305571, LB 92, lumi 9.78
Event Veto ['MiniNoiseBurst'], Thu Aug  4 12:44:34 2016 UTC-Thu Aug  4 12:44:34 2016 UTC (0.001 )  Time stamp start 1470314674377757540 end 1470314674376757540  Run 305571, LB 92, lumi 9.78
Event Veto ['MiniNoiseBurst'], Thu Aug  4 12:44:54 2016 UTC-Thu Aug  4 12:44:54 2016 UTC (0.001 )  Time stamp start 1470314694342968750 end 1470314694341968750  Run 305571, LB 92, lumi 9.78
Event Veto ['MiniNoiseBurst'], Thu Aug  4 12:45:29 2016 UTC-Thu Aug  4 12:45:29 2016 UTC (0.001 )  Time stamp start 1470314729707535535 end 1470314729706535290  Run 305571, LB 93, lumi 9.78
Event Veto ['MiniNoiseBurst'], Thu Aug  4 12:45:34 2016 UTC-Thu Aug  4 12:45:34 2016 UTC (0.001 )  Time stamp start 1470314734521281720 end 1470314734520281720  Run 305571, LB 93, lumi 9.78
Event Veto ['NoiseBurst'], Thu Aug  4 12:45:50 2016 UTC-Thu Aug  4 12:45:50 2016 UTC (0.010 )  Time stamp start 1470314750584511530 end 1470314750574511405  Run 305571, LB 93, lumi 97.76
Event Veto ['MiniNoiseBurst'], Thu Aug  4 12:45:54 2016 UTC-Thu Aug  4 12:45:54 2016 UTC (0.001 )  Time stamp start 1470314754166056185 end 1470314754165056185  Run 305571, LB 93, lumi 9.78
Event Veto ['MiniNoiseBurst'], Thu Aug  4 12:46:03 2016 UTC-Thu Aug  4 12:46:03 2016 UTC (0.001 )  Time stamp start 1470314763930272740 end 1470314763929272740  Run 305571, LB 94, lumi 9.74
Event Veto ['MiniNoiseBurst'], Thu Aug  4 12:46:08 2016 UTC-Thu Aug  4 12:46:08 2016 UTC (0.001 )  Time stamp start 1470314768923115410 end 1470314768922115410  Run 305571, LB 94, lumi 9.74
Event Veto ['MiniNoiseBurst'], Thu Aug  4 12:46:19 2016 UTC-Thu Aug  4 12:46:19 2016 UTC (0.001 )  Time stamp start 1470314779100422480 end 1470314779099422480  Run 305571, LB 94, lumi 9.74
Event Veto ['MiniNoiseBurst'], Thu Aug  4 12:46:55 2016 UTC-Thu Aug  4 12:46:55 2016 UTC (0.001 )  Time stamp start 1470314815300164270 end 1470314815299164270  Run 305571, LB 94, lumi 9.74
