Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 305618 to 305618
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 305618 to run 305618  lasting from Thu Aug  4 20:15:58 2016 UTC to Fri Aug  5 12:21:15 2016 UTC
Event Veto ['MiniNoiseBurst'], Thu Aug  4 20:21:18 2016 UTC-Thu Aug  4 20:21:18 2016 UTC (0.001 )  Time stamp start 1470342078943446580 end 1470342078942446155  Run 305618, LB 6, lumi 0.00
Event Veto ['MiniNoiseBurst'], Thu Aug  4 21:15:35 2016 UTC-Thu Aug  4 21:15:35 2016 UTC (0.001 )  Time stamp start 1470345335300073060 end 1470345335299072560  Run 305618, LB 60, lumi 0.00
Event Veto ['MiniNoiseBurst'], Thu Aug  4 22:22:06 2016 UTC-Thu Aug  4 22:22:06 2016 UTC (0.001 )  Time stamp start 1470349326550414465 end 1470349326549413970  Run 305618, LB 127, lumi 0.00
Event Veto ['MiniNoiseBurst'], Thu Aug  4 22:47:11 2016 UTC-Thu Aug  4 22:47:11 2016 UTC (0.001 )  Time stamp start 1470350831390763180 end 1470350831389763180  Run 305618, LB 153, lumi 0.00
Event Veto ['MiniNoiseBurst'], Thu Aug  4 22:55:45 2016 UTC-Thu Aug  4 22:55:45 2016 UTC (0.001 )  Time stamp start 1470351345972352835 end 1470351345971352835  Run 305618, LB 162, lumi 0.00
Event Veto ['MiniNoiseBurst'], Thu Aug  4 23:05:29 2016 UTC-Thu Aug  4 23:05:29 2016 UTC (0.001 )  Time stamp start 1470351929368213665 end 1470351929367213665  Run 305618, LB 172, lumi 0.00
Event Veto ['MiniNoiseBurst'], Thu Aug  4 23:15:40 2016 UTC-Thu Aug  4 23:15:40 2016 UTC (0.001 )  Time stamp start 1470352540783104845 end 1470352540782104845  Run 305618, LB 182, lumi 2.86
Event Veto ['MiniNoiseBurst'], Thu Aug  4 23:15:46 2016 UTC-Thu Aug  4 23:15:46 2016 UTC (0.001 )  Time stamp start 1470352546087519925 end 1470352546086518950  Run 305618, LB 182, lumi 2.87
Event Veto ['MiniNoiseBurst'], Thu Aug  4 23:15:55 2016 UTC-Thu Aug  4 23:15:56 2016 UTC (0.001 )  Time stamp start 1470352556000695205 end 1470352555999694930  Run 305618, LB 183, lumi 8.81
Event Veto ['NoiseBurst'], Thu Aug  4 23:16:05 2016 UTC-Thu Aug  4 23:16:05 2016 UTC (0.010 )  Time stamp start 1470352565919391070 end 1470352565909390895  Run 305618, LB 183, lumi 88.11
Event Veto ['MiniNoiseBurst'], Thu Aug  4 23:16:05 2016 UTC-Thu Aug  4 23:16:05 2016 UTC (0.001 )  Time stamp start 1470352565934236280 end 1470352565933236280  Run 305618, LB 183, lumi 8.81
Event Veto ['MiniNoiseBurst'], Thu Aug  4 23:16:11 2016 UTC-Thu Aug  4 23:16:11 2016 UTC (0.001 )  Time stamp start 1470352571018687855 end 1470352571017687655  Run 305618, LB 183, lumi 8.81
Event Veto ['MiniNoiseBurst'], Thu Aug  4 23:16:25 2016 UTC-Thu Aug  4 23:16:25 2016 UTC (0.001 )  Time stamp start 1470352585342461990 end 1470352585341461990  Run 305618, LB 183, lumi 8.81
Event Veto ['MiniNoiseBurst'], Thu Aug  4 23:17:14 2016 UTC-Thu Aug  4 23:17:14 2016 UTC (0.001 )  Time stamp start 1470352634020629125 end 1470352634019629125  Run 305618, LB 184, lumi 9.25
Event Veto ['MiniNoiseBurst'], Thu Aug  4 23:17:47 2016 UTC-Thu Aug  4 23:17:47 2016 UTC (0.001 )  Time stamp start 1470352667137070345 end 1470352667136069970  Run 305618, LB 184, lumi 9.25
Event Veto ['NoiseBurst'], Thu Aug  4 23:17:54 2016 UTC-Thu Aug  4 23:17:54 2016 UTC (0.010 )  Time stamp start 1470352674920989090 end 1470352674910958200  Run 305618, LB 185, lumi 90.67
Event Veto ['MiniNoiseBurst'], Thu Aug  4 23:17:57 2016 UTC-Thu Aug  4 23:17:57 2016 UTC (0.001 )  Time stamp start 1470352677956225505 end 1470352677955225505  Run 305618, LB 185, lumi 9.04
Event Veto ['NoiseBurst'], Thu Aug  4 23:18:05 2016 UTC-Thu Aug  4 23:18:05 2016 UTC (0.010 )  Time stamp start 1470352685349327635 end 1470352685339327010  Run 305618, LB 185, lumi 90.40
Event Veto ['MiniNoiseBurst'], Thu Aug  4 23:18:08 2016 UTC-Thu Aug  4 23:18:08 2016 UTC (0.001 )  Time stamp start 1470352688299067275 end 1470352688298067075  Run 305618, LB 185, lumi 9.04
Event Veto ['MiniNoiseBurst'], Thu Aug  4 23:18:23 2016 UTC-Thu Aug  4 23:18:23 2016 UTC (0.001 )  Time stamp start 1470352703336312340 end 1470352703335311840  Run 305618, LB 185, lumi 9.04
Event Veto ['NoiseBurst'], Thu Aug  4 23:18:46 2016 UTC-Thu Aug  4 23:18:46 2016 UTC (0.010 )  Time stamp start 1470352726185630135 end 1470352726175629310  Run 305618, LB 185, lumi 90.40
Event Veto ['MiniNoiseBurst'], Thu Aug  4 23:18:48 2016 UTC-Thu Aug  4 23:18:48 2016 UTC (0.001 )  Time stamp start 1470352728943556795 end 1470352728942555570  Run 305618, LB 185, lumi 9.05
Event Veto ['MiniNoiseBurst'], Thu Aug  4 23:18:54 2016 UTC-Thu Aug  4 23:18:54 2016 UTC (0.001 )  Time stamp start 1470352734501671595 end 1470352734500671595  Run 305618, LB 186, lumi 9.06
Event Veto ['MiniNoiseBurst'], Thu Aug  4 23:19:00 2016 UTC-Thu Aug  4 23:19:00 2016 UTC (0.001 )  Time stamp start 1470352740363049385 end 1470352740362049385  Run 305618, LB 186, lumi 9.06
Event Veto ['MiniNoiseBurst'], Thu Aug  4 23:19:06 2016 UTC-Thu Aug  4 23:19:06 2016 UTC (0.001 )  Time stamp start 1470352746817923745 end 1470352746816923470  Run 305618, LB 186, lumi 9.06
Event Veto ['NoiseBurst'], Thu Aug  4 23:19:30 2016 UTC-Thu Aug  4 23:19:30 2016 UTC (0.010 )  Time stamp start 1470352770913450260 end 1470352770903449390  Run 305618, LB 186, lumi 90.61
Event Veto ['MiniNoiseBurst'], Thu Aug  4 23:19:31 2016 UTC-Thu Aug  4 23:19:31 2016 UTC (0.001 )  Time stamp start 1470352771538376765 end 1470352771537375865  Run 305618, LB 186, lumi 9.07
Event Veto ['MiniNoiseBurst'], Thu Aug  4 23:19:36 2016 UTC-Thu Aug  4 23:19:36 2016 UTC (0.001 )  Time stamp start 1470352776352645410 end 1470352776351645085  Run 305618, LB 186, lumi 9.06
Event Veto ['MiniNoiseBurst'], Thu Aug  4 23:19:45 2016 UTC-Thu Aug  4 23:19:45 2016 UTC (0.001 )  Time stamp start 1470352785753027270 end 1470352785752026095  Run 305618, LB 186, lumi 9.07
Event Veto ['MiniNoiseBurst'], Thu Aug  4 23:20:00 2016 UTC-Thu Aug  4 23:20:00 2016 UTC (0.001 )  Time stamp start 1470352800662033515 end 1470352800661033240  Run 305618, LB 187, lumi 8.65
Event Veto ['MiniNoiseBurst'], Thu Aug  4 23:20:16 2016 UTC-Thu Aug  4 23:20:16 2016 UTC (0.001 )  Time stamp start 1470352816321015910 end 1470352816320014660  Run 305618, LB 187, lumi 8.66
Event Veto ['MiniNoiseBurst'], Thu Aug  4 23:20:38 2016 UTC-Thu Aug  4 23:20:38 2016 UTC (0.001 )  Time stamp start 1470352838816048985 end 1470352838815048710  Run 305618, LB 187, lumi 8.65
Event Veto ['MiniNoiseBurst'], Thu Aug  4 23:20:44 2016 UTC-Thu Aug  4 23:20:44 2016 UTC (0.001 )  Time stamp start 1470352844844206755 end 1470352844843206580  Run 305618, LB 187, lumi 8.65
Event Veto ['MiniNoiseBurst'], Thu Aug  4 23:21:02 2016 UTC-Thu Aug  4 23:21:02 2016 UTC (0.001 )  Time stamp start 1470352862122417745 end 1470352862121417445  Run 305618, LB 188, lumi 9.62
Event Veto ['MiniNoiseBurst'], Thu Aug  4 23:21:30 2016 UTC-Thu Aug  4 23:21:30 2016 UTC (0.001 )  Time stamp start 1470352890535057375 end 1470352890534056930  Run 305618, LB 188, lumi 9.62
Event Veto ['MiniNoiseBurst'], Thu Aug  4 23:21:40 2016 UTC-Thu Aug  4 23:21:40 2016 UTC (0.001 )  Time stamp start 1470352900179694930 end 1470352900178694930  Run 305618, LB 188, lumi 9.62
Event Veto ['MiniNoiseBurst'], Thu Aug  4 23:21:48 2016 UTC-Thu Aug  4 23:21:48 2016 UTC (0.001 )  Time stamp start 1470352908415030885 end 1470352908414030385  Run 305618, LB 188, lumi 9.62
Event Veto ['MiniNoiseBurst'], Thu Aug  4 23:22:11 2016 UTC-Thu Aug  4 23:22:11 2016 UTC (0.001 )  Time stamp start 1470352931563579030 end 1470352931562579030  Run 305618, LB 189, lumi 9.80
Event Veto ['MiniNoiseBurst'], Thu Aug  4 23:22:16 2016 UTC-Thu Aug  4 23:22:16 2016 UTC (0.001 )  Time stamp start 1470352936549604000 end 1470352936548604000  Run 305618, LB 189, lumi 9.80
Event Veto ['MiniNoiseBurst'], Thu Aug  4 23:22:21 2016 UTC-Thu Aug  4 23:22:21 2016 UTC (0.001 )  Time stamp start 1470352941272147140 end 1470352941271145915  Run 305618, LB 189, lumi 9.82
Event Veto ['MiniNoiseBurst'], Thu Aug  4 23:22:26 2016 UTC-Thu Aug  4 23:22:26 2016 UTC (0.001 )  Time stamp start 1470352946148137605 end 1470352946147137455  Run 305618, LB 189, lumi 9.81
Event Veto ['MiniNoiseBurst'], Thu Aug  4 23:22:31 2016 UTC-Thu Aug  4 23:22:31 2016 UTC (0.001 )  Time stamp start 1470352951085199790 end 1470352951084199420  Run 305618, LB 189, lumi 9.81
Event Veto ['MiniNoiseBurst'], Thu Aug  4 23:22:41 2016 UTC-Thu Aug  4 23:22:41 2016 UTC (0.001 )  Time stamp start 1470352961175796440 end 1470352961174796440  Run 305618, LB 189, lumi 9.80
Event Veto ['MiniNoiseBurst'], Thu Aug  4 23:23:10 2016 UTC-Thu Aug  4 23:23:10 2016 UTC (0.001 )  Time stamp start 1470352990321243995 end 1470352990320243495  Run 305618, LB 190, lumi 9.78
Event Veto ['MiniNoiseBurst'], Thu Aug  4 23:23:19 2016 UTC-Thu Aug  4 23:23:19 2016 UTC (0.001 )  Time stamp start 1470352999716525325 end 1470352999715524155  Run 305618, LB 190, lumi 9.78
Event Veto ['MiniNoiseBurst'], Thu Aug  4 23:23:29 2016 UTC-Thu Aug  4 23:23:29 2016 UTC (0.001 )  Time stamp start 1470353009316003590 end 1470353009315003215  Run 305618, LB 190, lumi 9.77
Event Veto ['MiniNoiseBurst'], Thu Aug  4 23:23:34 2016 UTC-Thu Aug  4 23:23:34 2016 UTC (0.001 )  Time stamp start 1470353014094088045 end 1470353014093086675  Run 305618, LB 190, lumi 9.78
Event Veto ['MiniNoiseBurst'], Thu Aug  4 23:23:38 2016 UTC-Thu Aug  4 23:23:38 2016 UTC (0.001 )  Time stamp start 1470353018837984080 end 1470353018836983780  Run 305618, LB 190, lumi 9.77
