Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 305727 to 305727
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 305727 to run 305727  lasting from Sun Aug  7 01:31:39 2016 UTC to Sun Aug  7 05:36:22 2016 UTC
Event Veto ['NoiseBurst'], Sun Aug  7 01:36:19 2016 UTC-Sun Aug  7 01:36:19 2016 UTC (0.010 )  Time stamp start 1470533779120324495 end 1470533779110304085  Run 305727, LB 8, lumi 53.94
Event Veto ['MiniNoiseBurst'], Sun Aug  7 01:37:26 2016 UTC-Sun Aug  7 01:37:26 2016 UTC (0.001 )  Time stamp start 1470533846276350965 end 1470533846275350715  Run 305727, LB 9, lumi 0.00
Event Veto ['MiniNoiseBurst'], Sun Aug  7 01:38:00 2016 UTC-Sun Aug  7 01:38:00 2016 UTC (0.001 )  Time stamp start 1470533880868108190 end 1470533880867108190  Run 305727, LB 10, lumi 0.00
Event Veto ['MiniNoiseBurst'], Sun Aug  7 01:38:23 2016 UTC-Sun Aug  7 01:38:23 2016 UTC (0.001 )  Time stamp start 1470533903954988795 end 1470533903953988795  Run 305727, LB 11, lumi 5.38
Event Veto ['MiniNoiseBurst'], Sun Aug  7 01:39:31 2016 UTC-Sun Aug  7 01:39:31 2016 UTC (0.001 )  Time stamp start 1470533971650610860 end 1470533971649610860  Run 305727, LB 16, lumi 5.37
Event Veto ['MiniNoiseBurst'], Sun Aug  7 01:40:26 2016 UTC-Sun Aug  7 01:40:26 2016 UTC (0.001 )  Time stamp start 1470534026724733500 end 1470534026723733500  Run 305727, LB 17, lumi 5.37
Event Veto ['MiniNoiseBurst'], Sun Aug  7 01:40:38 2016 UTC-Sun Aug  7 01:40:38 2016 UTC (0.001 )  Time stamp start 1470534038438044405 end 1470534038437044405  Run 305727, LB 17, lumi 5.37
Event Veto ['MiniNoiseBurst'], Sun Aug  7 01:41:33 2016 UTC-Sun Aug  7 01:41:33 2016 UTC (0.001 )  Time stamp start 1470534093446518735 end 1470534093445518735  Run 305727, LB 18, lumi 5.37
Event Veto ['MiniNoiseBurst'], Sun Aug  7 01:41:44 2016 UTC-Sun Aug  7 01:41:44 2016 UTC (0.001 )  Time stamp start 1470534104328891355 end 1470534104327891355  Run 305727, LB 18, lumi 5.37
Event Veto ['MiniNoiseBurst'], Sun Aug  7 01:42:06 2016 UTC-Sun Aug  7 01:42:06 2016 UTC (0.001 )  Time stamp start 1470534126958556545 end 1470534126957556295  Run 305727, LB 19, lumi 5.37
Event Veto ['MiniNoiseBurst'], Sun Aug  7 01:42:17 2016 UTC-Sun Aug  7 01:42:17 2016 UTC (0.001 )  Time stamp start 1470534137756376870 end 1470534137755376500  Run 305727, LB 19, lumi 5.37
Event Veto ['MiniNoiseBurst'], Sun Aug  7 01:42:49 2016 UTC-Sun Aug  7 01:42:49 2016 UTC (0.001 )  Time stamp start 1470534169909121005 end 1470534169908121005  Run 305727, LB 19, lumi 5.37
Event Veto ['MiniNoiseBurst'], Sun Aug  7 01:44:06 2016 UTC-Sun Aug  7 01:44:06 2016 UTC (0.001 )  Time stamp start 1470534246956415600 end 1470534246955415350  Run 305727, LB 21, lumi 5.36
Event Veto ['MiniNoiseBurst'], Sun Aug  7 01:44:17 2016 UTC-Sun Aug  7 01:44:17 2016 UTC (0.001 )  Time stamp start 1470534257613797745 end 1470534257612797745  Run 305727, LB 21, lumi 5.36
Event Veto ['MiniNoiseBurst'], Sun Aug  7 01:44:39 2016 UTC-Sun Aug  7 01:44:39 2016 UTC (0.001 )  Time stamp start 1470534279629510685 end 1470534279628510685  Run 305727, LB 21, lumi 5.36
Event Veto ['MiniNoiseBurst'], Sun Aug  7 01:44:49 2016 UTC-Sun Aug  7 01:44:49 2016 UTC (0.001 )  Time stamp start 1470534289979442650 end 1470534289978442650  Run 305727, LB 21, lumi 5.36
Event Veto ['MiniNoiseBurst'], Sun Aug  7 01:45:10 2016 UTC-Sun Aug  7 01:45:10 2016 UTC (0.001 )  Time stamp start 1470534310992443510 end 1470534310991443510  Run 305727, LB 22, lumi 5.36
Event Veto ['NoiseBurst'], Sun Aug  7 01:45:30 2016 UTC-Sun Aug  7 01:45:30 2016 UTC (0.010 )  Time stamp start 1470534330699768960 end 1470534330689609175  Run 305727, LB 22, lumi 54.41
Event Veto ['MiniNoiseBurst'], Sun Aug  7 01:45:44 2016 UTC-Sun Aug  7 01:45:44 2016 UTC (0.001 )  Time stamp start 1470534344388794945 end 1470534344387794945  Run 305727, LB 22, lumi 5.36
Event Veto ['MiniNoiseBurst'], Sun Aug  7 01:45:47 2016 UTC-Sun Aug  7 01:45:47 2016 UTC (0.001 )  Time stamp start 1470534347954180360 end 1470534347953180360  Run 305727, LB 22, lumi 5.36
Event Veto ['MiniNoiseBurst'], Sun Aug  7 01:45:55 2016 UTC-Sun Aug  7 01:45:55 2016 UTC (0.001 )  Time stamp start 1470534355310130590 end 1470534355309130590  Run 305727, LB 22, lumi 5.36
