Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 306278 to 306278
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 306278 to run 306278  lasting from Sat Aug 13 13:41:29 2016 UTC to Sun Aug 14 07:04:50 2016 UTC
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Sat Aug 13 13:50:44 2016 UTC-Sat Aug 13 13:50:44 2016 UTC (0.001 )  Time stamp start 1471096244031690730 end 1471096244030690730  Run 306278, LB 13, lumi 0.00
Event Veto ['MiniNoiseBurst'], Sat Aug 13 14:01:22 2016 UTC-Sat Aug 13 14:01:22 2016 UTC (0.001 )  Time stamp start 1471096882484009655 end 1471096882483009655  Run 306278, LB 23, lumi 0.00
Event Veto ['MiniNoiseBurst'], Sat Aug 13 14:10:54 2016 UTC-Sat Aug 13 14:10:54 2016 UTC (0.001 )  Time stamp start 1471097454040316850 end 1471097454039316850  Run 306278, LB 34, lumi 0.00
Event Veto ['MiniNoiseBurst'], Sat Aug 13 14:13:00 2016 UTC-Sat Aug 13 14:13:00 2016 UTC (0.001 )  Time stamp start 1471097580538649780 end 1471097580537649280  Run 306278, LB 36, lumi 0.00
Event Veto ['MiniNoiseBurst'], Sat Aug 13 14:21:52 2016 UTC-Sat Aug 13 14:21:52 2016 UTC (0.001 )  Time stamp start 1471098112094707540 end 1471098112093707540  Run 306278, LB 45, lumi 0.00
Event Veto ['MiniNoiseBurst'], Sat Aug 13 14:22:46 2016 UTC-Sat Aug 13 14:22:46 2016 UTC (0.001 )  Time stamp start 1471098166154193220 end 1471098166153193220  Run 306278, LB 46, lumi 0.00
Event Veto ['MiniNoiseBurst'], Sat Aug 13 14:25:35 2016 UTC-Sat Aug 13 14:25:35 2016 UTC (0.001 )  Time stamp start 1471098335120164935 end 1471098335119163460  Run 306278, LB 48, lumi 0.00
Event Veto ['MiniNoiseBurst'], Sat Aug 13 14:33:31 2016 UTC-Sat Aug 13 14:33:31 2016 UTC (0.001 )  Time stamp start 1471098811578291175 end 1471098811577290930  Run 306278, LB 57, lumi 4.02
Event Veto ['MiniNoiseBurst'], Sat Aug 13 14:33:36 2016 UTC-Sat Aug 13 14:33:36 2016 UTC (0.001 )  Time stamp start 1471098816799409525 end 1471098816798409525  Run 306278, LB 57, lumi 4.02
Event Veto ['MiniNoiseBurst'], Sat Aug 13 14:33:42 2016 UTC-Sat Aug 13 14:33:42 2016 UTC (0.001 )  Time stamp start 1471098822117982390 end 1471098822116981090  Run 306278, LB 57, lumi 4.02
Event Veto ['MiniNoiseBurst'], Sat Aug 13 14:33:47 2016 UTC-Sat Aug 13 14:33:47 2016 UTC (0.001 )  Time stamp start 1471098827411218455 end 1471098827410218455  Run 306278, LB 57, lumi 4.02
Event Veto ['MiniNoiseBurst'], Sat Aug 13 14:33:50 2016 UTC-Sat Aug 13 14:33:50 2016 UTC (0.001 )  Time stamp start 1471098830564166475 end 1471098830563166475  Run 306278, LB 57, lumi 4.02
Event Veto ['MiniNoiseBurst'], Sat Aug 13 14:33:52 2016 UTC-Sat Aug 13 14:33:52 2016 UTC (0.001 )  Time stamp start 1471098832652548870 end 1471098832651548870  Run 306278, LB 57, lumi 4.02
Event Veto ['NoiseBurst'], Sat Aug 13 14:33:56 2016 UTC-Sat Aug 13 14:33:56 2016 UTC (0.010 )  Time stamp start 1471098836643622895 end 1471098836633622220  Run 306278, LB 57, lumi 40.20
Event Veto ['MiniNoiseBurst'], Sat Aug 13 14:33:57 2016 UTC-Sat Aug 13 14:33:57 2016 UTC (0.001 )  Time stamp start 1471098837920605495 end 1471098837919605495  Run 306278, LB 57, lumi 4.02
Event Veto ['MiniNoiseBurst'], Sat Aug 13 14:34:03 2016 UTC-Sat Aug 13 14:34:03 2016 UTC (0.001 )  Time stamp start 1471098843252445440 end 1471098843251445440  Run 306278, LB 57, lumi 4.02
Event Veto ['MiniNoiseBurst'], Sat Aug 13 14:34:08 2016 UTC-Sat Aug 13 14:34:08 2016 UTC (0.001 )  Time stamp start 1471098848417728595 end 1471098848416728345  Run 306278, LB 57, lumi 4.02
Event Veto ['MiniNoiseBurst'], Sat Aug 13 14:34:13 2016 UTC-Sat Aug 13 14:34:13 2016 UTC (0.001 )  Time stamp start 1471098853777594565 end 1471098853776593540  Run 306278, LB 58, lumi 10.38
Event Veto ['MiniNoiseBurst'], Sat Aug 13 14:34:18 2016 UTC-Sat Aug 13 14:34:18 2016 UTC (0.001 )  Time stamp start 1471098858968173580 end 1471098858967172355  Run 306278, LB 58, lumi 10.39
Event Veto ['MiniNoiseBurst'], Sat Aug 13 14:34:24 2016 UTC-Sat Aug 13 14:34:24 2016 UTC (0.001 )  Time stamp start 1471098864474420720 end 1471098864473420395  Run 306278, LB 58, lumi 10.38
Event Veto ['MiniNoiseBurst'], Sat Aug 13 14:34:34 2016 UTC-Sat Aug 13 14:34:34 2016 UTC (0.001 )  Time stamp start 1471098874879978275 end 1471098874878976980  Run 306278, LB 58, lumi 10.39
Event Veto ['MiniNoiseBurst'], Sat Aug 13 14:34:40 2016 UTC-Sat Aug 13 14:34:40 2016 UTC (0.001 )  Time stamp start 1471098880067366965 end 1471098880066366965  Run 306278, LB 58, lumi 10.37
Event Veto ['MiniNoiseBurst'], Sat Aug 13 14:34:45 2016 UTC-Sat Aug 13 14:34:45 2016 UTC (0.001 )  Time stamp start 1471098885226407670 end 1471098885225407670  Run 306278, LB 58, lumi 10.37
Event Veto ['MiniNoiseBurst'], Sat Aug 13 14:34:50 2016 UTC-Sat Aug 13 14:34:50 2016 UTC (0.001 )  Time stamp start 1471098890528048290 end 1471098890527047315  Run 306278, LB 58, lumi 10.38
Event Veto ['MiniNoiseBurst'], Sat Aug 13 14:34:55 2016 UTC-Sat Aug 13 14:34:55 2016 UTC (0.001 )  Time stamp start 1471098895798063845 end 1471098895797063845  Run 306278, LB 58, lumi 10.37
Event Veto ['MiniNoiseBurst'], Sat Aug 13 14:35:01 2016 UTC-Sat Aug 13 14:35:01 2016 UTC (0.001 )  Time stamp start 1471098901248271055 end 1471098901247271055  Run 306278, LB 58, lumi 10.37
