Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 306384 to 306384
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 306384 to run 306384  lasting from Mon Aug 15 18:22:31 2016 UTC to Tue Aug 16 08:30:40 2016 UTC
Event Veto ['MiniNoiseBurst'], Mon Aug 15 18:56:10 2016 UTC-Mon Aug 15 18:56:10 2016 UTC (0.010 )  Time stamp start 1471287370746496220 end 1471287370736495795  Run 306384, LB 36, lumi 0.00
Event Veto ['MiniNoiseBurst'], Mon Aug 15 19:43:08 2016 UTC-Mon Aug 15 19:43:08 2016 UTC (0.010 )  Time stamp start 1471290188810760920 end 1471290188800760670  Run 306384, LB 83, lumi 0.00
Event Veto ['MiniNoiseBurst'], Mon Aug 15 19:47:44 2016 UTC-Mon Aug 15 19:47:44 2016 UTC (0.010 )  Time stamp start 1471290464639711360 end 1471290464629710935  Run 306384, LB 88, lumi 0.00
Event Veto ['MiniNoiseBurst'], Mon Aug 15 20:40:20 2016 UTC-Mon Aug 15 20:40:20 2016 UTC (0.010 )  Time stamp start 1471293620493762975 end 1471293620483762475  Run 306384, LB 140, lumi 0.00
Event Veto ['MiniNoiseBurst'], Mon Aug 15 21:30:55 2016 UTC-Mon Aug 15 21:30:55 2016 UTC (0.010 )  Time stamp start 1471296655188059920 end 1471296655178059420  Run 306384, LB 191, lumi 0.00
Event Veto ['MiniNoiseBurst'], Mon Aug 15 22:27:53 2016 UTC-Mon Aug 15 22:27:53 2016 UTC (0.010 )  Time stamp start 1471300073136368880 end 1471300073126368385  Run 306384, LB 248, lumi 0.00
Event Veto ['MiniNoiseBurst'], Mon Aug 15 23:08:04 2016 UTC-Mon Aug 15 23:08:04 2016 UTC (0.010 )  Time stamp start 1471302484044608960 end 1471302484034608960  Run 306384, LB 291, lumi 0.00
Event Veto ['NoiseBurst'], Mon Aug 15 23:09:57 2016 UTC-Mon Aug 15 23:09:57 2016 UTC (0.010 )  Time stamp start 1471302597995080415 end 1471302597985079915  Run 306384, LB 293, lumi 0.00
Event Veto ['MiniNoiseBurst'], Mon Aug 15 23:18:05 2016 UTC-Mon Aug 15 23:18:05 2016 UTC (0.010 )  Time stamp start 1471303085653948155 end 1471303085643948155  Run 306384, LB 302, lumi 71.21
Event Veto ['MiniNoiseBurst'], Mon Aug 15 23:18:12 2016 UTC-Mon Aug 15 23:18:12 2016 UTC (0.010 )  Time stamp start 1471303092937811740 end 1471303092927811740  Run 306384, LB 302, lumi 71.21
Event Veto ['MiniNoiseBurst'], Mon Aug 15 23:18:16 2016 UTC-Mon Aug 15 23:18:16 2016 UTC (0.010 )  Time stamp start 1471303096209944600 end 1471303096199944475  Run 306384, LB 302, lumi 71.21
Event Veto ['MiniNoiseBurst'], Mon Aug 15 23:18:21 2016 UTC-Mon Aug 15 23:18:21 2016 UTC (0.010 )  Time stamp start 1471303101861339250 end 1471303101851338805  Run 306384, LB 302, lumi 71.21
Event Veto ['MiniNoiseBurst'], Mon Aug 15 23:18:27 2016 UTC-Mon Aug 15 23:18:27 2016 UTC (0.010 )  Time stamp start 1471303107960713590 end 1471303107950713140  Run 306384, LB 303, lumi 79.56
Event Veto ['MiniNoiseBurst'], Mon Aug 15 23:18:29 2016 UTC-Mon Aug 15 23:18:29 2016 UTC (0.010 )  Time stamp start 1471303109396113270 end 1471303109386113270  Run 306384, LB 303, lumi 79.56
Event Veto ['MiniNoiseBurst'], Mon Aug 15 23:18:34 2016 UTC-Mon Aug 15 23:18:34 2016 UTC (0.010 )  Time stamp start 1471303114127481820 end 1471303114117480525  Run 306384, LB 303, lumi 79.57
Event Veto ['MiniNoiseBurst'], Mon Aug 15 23:18:39 2016 UTC-Mon Aug 15 23:18:39 2016 UTC (0.010 )  Time stamp start 1471303119921206975 end 1471303119911206975  Run 306384, LB 303, lumi 79.56
Event Veto ['MiniNoiseBurst'], Mon Aug 15 23:18:45 2016 UTC-Mon Aug 15 23:18:45 2016 UTC (0.017 )  Time stamp start 1471303125325441020 end 1471303125308415915  Run 306384, LB 303, lumi 135.45
Event Veto ['MiniNoiseBurst'], Mon Aug 15 23:18:56 2016 UTC-Mon Aug 15 23:18:56 2016 UTC (0.010 )  Time stamp start 1471303136306466905 end 1471303136296466510  Run 306384, LB 303, lumi 79.56
Event Veto ['MiniNoiseBurst'], Mon Aug 15 23:19:02 2016 UTC-Mon Aug 15 23:19:02 2016 UTC (0.010 )  Time stamp start 1471303142387168885 end 1471303142377168885  Run 306384, LB 303, lumi 79.56
Event Veto ['MiniNoiseBurst'], Mon Aug 15 23:19:12 2016 UTC-Mon Aug 15 23:19:12 2016 UTC (0.010 )  Time stamp start 1471303152586757805 end 1471303152576756705  Run 306384, LB 303, lumi 79.57
Event Veto ['MiniNoiseBurst'], Mon Aug 15 23:19:18 2016 UTC-Mon Aug 15 23:19:18 2016 UTC (0.018 )  Time stamp start 1471303158793552165 end 1471303158775560265  Run 306384, LB 303, lumi 143.15
Event Veto ['MiniNoiseBurst'], Mon Aug 15 23:19:24 2016 UTC-Mon Aug 15 23:19:24 2016 UTC (0.010 )  Time stamp start 1471303164905346805 end 1471303164895346805  Run 306384, LB 304, lumi 77.15
Event Veto ['MiniNoiseBurst'], Mon Aug 15 23:19:30 2016 UTC-Mon Aug 15 23:19:31 2016 UTC (0.030 )  Time stamp start 1471303171010113845 end 1471303170980606705  Run 306384, LB 304, lumi 227.65
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Mon Aug 15 23:19:31 2016 UTC-Mon Aug 15 23:19:31 2016 UTC (0.010 )  Time stamp start 1471303171481310315 end 1471303171471310315  Run 306384, LB 304, lumi 77.15
Event Veto ['MiniNoiseBurst'], Mon Aug 15 23:19:35 2016 UTC-Mon Aug 15 23:19:35 2016 UTC (0.010 )  Time stamp start 1471303175741553030 end 1471303175731551785  Run 306384, LB 304, lumi 77.16
Event Veto ['MiniNoiseBurst'], Mon Aug 15 23:19:41 2016 UTC-Mon Aug 15 23:19:41 2016 UTC (0.010 )  Time stamp start 1471303181845953795 end 1471303181835953795  Run 306384, LB 304, lumi 77.15
Event Veto ['NoiseBurst'], Mon Aug 15 23:19:46 2016 UTC-Mon Aug 15 23:19:46 2016 UTC (0.010 )  Time stamp start 1471303186133191520 end 1471303186122915585  Run 306384, LB 304, lumi 79.28
