Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 306655 to 306655
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 306655 to run 306655  lasting from Fri Aug 19 14:36:13 2016 UTC to Fri Aug 19 19:22:16 2016 UTC
Event Veto ['MiniNoiseBurst'], Fri Aug 19 14:43:46 2016 UTC-Fri Aug 19 14:43:46 2016 UTC (0.010 )  Time stamp start 1471617826808572825 end 1471617826798571725  Run 306655, LB 11, lumi 0.00
Event Veto ['MiniNoiseBurst'], Fri Aug 19 15:01:08 2016 UTC-Fri Aug 19 15:01:08 2016 UTC (0.010 )  Time stamp start 1471618868583289870 end 1471618868573289870  Run 306655, LB 30, lumi 0.00
Event Veto ['MiniNoiseBurst'], Fri Aug 19 15:30:48 2016 UTC-Fri Aug 19 15:30:48 2016 UTC (0.010 )  Time stamp start 1471620648475229070 end 1471620648465229070  Run 306655, LB 59, lumi 2.18
Event Veto ['MiniNoiseBurst'], Fri Aug 19 15:30:56 2016 UTC-Fri Aug 19 15:30:56 2016 UTC (0.010 )  Time stamp start 1471620656150221220 end 1471620656140221220  Run 306655, LB 60, lumi 48.85
Event Veto ['MiniNoiseBurst'], Fri Aug 19 15:31:25 2016 UTC-Fri Aug 19 15:31:25 2016 UTC (0.010 )  Time stamp start 1471620685976101490 end 1471620685966101490  Run 306655, LB 61, lumi 49.37
Event Veto ['MiniNoiseBurst'], Fri Aug 19 15:31:33 2016 UTC-Fri Aug 19 15:31:33 2016 UTC (0.010 )  Time stamp start 1471620693317121395 end 1471620693307121395  Run 306655, LB 61, lumi 49.37
Event Veto ['MiniNoiseBurst'], Fri Aug 19 15:31:47 2016 UTC-Fri Aug 19 15:31:47 2016 UTC (0.010 )  Time stamp start 1471620707769195055 end 1471620707759194680  Run 306655, LB 61, lumi 49.37
Event Veto ['MiniNoiseBurst'], Fri Aug 19 15:31:55 2016 UTC-Fri Aug 19 15:31:55 2016 UTC (0.010 )  Time stamp start 1471620715232478850 end 1471620715222478650  Run 306655, LB 61, lumi 49.37
Event Veto ['MiniNoiseBurst'], Fri Aug 19 15:32:09 2016 UTC-Fri Aug 19 15:32:09 2016 UTC (0.010 )  Time stamp start 1471620729920279315 end 1471620729910279315  Run 306655, LB 61, lumi 49.37
Event Veto ['MiniNoiseBurst'], Fri Aug 19 15:32:17 2016 UTC-Fri Aug 19 15:32:17 2016 UTC (0.010 )  Time stamp start 1471620737604623175 end 1471620737594623175  Run 306655, LB 61, lumi 49.37
Event Veto ['MiniNoiseBurst'], Fri Aug 19 15:32:24 2016 UTC-Fri Aug 19 15:32:24 2016 UTC (0.010 )  Time stamp start 1471620744635314835 end 1471620744625314835  Run 306655, LB 62, lumi 47.35
Event Veto ['MiniNoiseBurst'], Fri Aug 19 15:32:31 2016 UTC-Fri Aug 19 15:32:31 2016 UTC (0.010 )  Time stamp start 1471620751720136425 end 1471620751710136425  Run 306655, LB 62, lumi 47.35
Event Veto ['MiniNoiseBurst'], Fri Aug 19 15:32:39 2016 UTC-Fri Aug 19 15:32:39 2016 UTC (0.010 )  Time stamp start 1471620759371725180 end 1471620759361725180  Run 306655, LB 62, lumi 47.35
Event Veto ['MiniNoiseBurst'], Fri Aug 19 15:32:54 2016 UTC-Fri Aug 19 15:32:54 2016 UTC (0.010 )  Time stamp start 1471620774918188095 end 1471620774908188095  Run 306655, LB 62, lumi 47.35
Event Veto ['MiniNoiseBurst'], Fri Aug 19 15:33:02 2016 UTC-Fri Aug 19 15:33:02 2016 UTC (0.010 )  Time stamp start 1471620782666782310 end 1471620782656782310  Run 306655, LB 62, lumi 47.35
Event Veto ['MiniNoiseBurst'], Fri Aug 19 15:33:35 2016 UTC-Fri Aug 19 15:33:35 2016 UTC (0.010 )  Time stamp start 1471620815105350940 end 1471620815095350615  Run 306655, LB 63, lumi 42.24
Event Veto ['MiniNoiseBurst'], Fri Aug 19 15:33:49 2016 UTC-Fri Aug 19 15:33:49 2016 UTC (0.010 )  Time stamp start 1471620829972800130 end 1471620829962799930  Run 306655, LB 63, lumi 42.24
Event Veto ['MiniNoiseBurst'], Fri Aug 19 15:33:59 2016 UTC-Fri Aug 19 15:33:59 2016 UTC (0.010 )  Time stamp start 1471620839076109970 end 1471620839066109970  Run 306655, LB 63, lumi 42.24
Event Veto ['MiniNoiseBurst'], Fri Aug 19 15:34:08 2016 UTC-Fri Aug 19 15:34:08 2016 UTC (0.010 )  Time stamp start 1471620848027382530 end 1471620848017382530  Run 306655, LB 63, lumi 42.24
Event Veto ['MiniNoiseBurst'], Fri Aug 19 15:34:52 2016 UTC-Fri Aug 19 15:34:52 2016 UTC (0.010 )  Time stamp start 1471620892081044875 end 1471620892071044875  Run 306655, LB 64, lumi 41.54
Event Veto ['MiniNoiseBurst'], Fri Aug 19 15:35:00 2016 UTC-Fri Aug 19 15:35:00 2016 UTC (0.010 )  Time stamp start 1471620900827308950 end 1471620900817308950  Run 306655, LB 64, lumi 41.54
Event Veto ['MiniNoiseBurst'], Fri Aug 19 15:35:27 2016 UTC-Fri Aug 19 15:35:27 2016 UTC (0.010 )  Time stamp start 1471620927048941685 end 1471620927038941440  Run 306655, LB 65, lumi 38.74
Event Veto ['MiniNoiseBurst'], Fri Aug 19 15:35:36 2016 UTC-Fri Aug 19 15:35:36 2016 UTC (0.010 )  Time stamp start 1471620936806763610 end 1471620936796763410  Run 306655, LB 65, lumi 38.74
Event Veto ['MiniNoiseBurst'], Fri Aug 19 15:36:00 2016 UTC-Fri Aug 19 15:36:00 2016 UTC (0.010 )  Time stamp start 1471620960545748905 end 1471620960535748580  Run 306655, LB 65, lumi 38.74
Event Veto ['MiniNoiseBurst'], Fri Aug 19 15:36:08 2016 UTC-Fri Aug 19 15:36:08 2016 UTC (0.010 )  Time stamp start 1471620968819461955 end 1471620968809460735  Run 306655, LB 65, lumi 38.75
Event Veto ['MiniNoiseBurst'], Fri Aug 19 15:36:16 2016 UTC-Fri Aug 19 15:36:16 2016 UTC (0.010 )  Time stamp start 1471620976179854340 end 1471620976169854115  Run 306655, LB 65, lumi 38.74
Event Veto ['MiniNoiseBurst'], Fri Aug 19 15:36:23 2016 UTC-Fri Aug 19 15:36:23 2016 UTC (0.010 )  Time stamp start 1471620983464899755 end 1471620983454899755  Run 306655, LB 66, lumi 51.65
Event Veto ['MiniNoiseBurst'], Fri Aug 19 15:36:35 2016 UTC-Fri Aug 19 15:36:35 2016 UTC (0.010 )  Time stamp start 1471620995804780735 end 1471620995794780310  Run 306655, LB 66, lumi 51.65
Event Veto ['MiniNoiseBurst'], Fri Aug 19 15:36:49 2016 UTC-Fri Aug 19 15:36:49 2016 UTC (0.010 )  Time stamp start 1471621009485939795 end 1471621009475939795  Run 306655, LB 66, lumi 51.65
Event Veto ['MiniNoiseBurst'], Fri Aug 19 15:37:04 2016 UTC-Fri Aug 19 15:37:04 2016 UTC (0.010 )  Time stamp start 1471621024325288210 end 1471621024315288210  Run 306655, LB 66, lumi 51.65
Event Veto ['MiniNoiseBurst'], Fri Aug 19 15:37:12 2016 UTC-Fri Aug 19 15:37:12 2016 UTC (0.010 )  Time stamp start 1471621032273522950 end 1471621032263522750  Run 306655, LB 66, lumi 51.65
Event Veto ['MiniNoiseBurst'], Fri Aug 19 15:37:18 2016 UTC-Fri Aug 19 15:37:18 2016 UTC (0.010 )  Time stamp start 1471621038497080495 end 1471621038487079325  Run 306655, LB 66, lumi 51.65
Event Veto ['MiniNoiseBurst'], Fri Aug 19 15:37:24 2016 UTC-Fri Aug 19 15:37:24 2016 UTC (0.010 )  Time stamp start 1471621044662736110 end 1471621044652736110  Run 306655, LB 67, lumi 59.52
Event Veto ['MiniNoiseBurst'], Fri Aug 19 15:37:36 2016 UTC-Fri Aug 19 15:37:36 2016 UTC (0.010 )  Time stamp start 1471621056190598940 end 1471621056180598940  Run 306655, LB 67, lumi 59.52
Event Veto ['MiniNoiseBurst'], Fri Aug 19 15:37:42 2016 UTC-Fri Aug 19 15:37:42 2016 UTC (0.010 )  Time stamp start 1471621062317676315 end 1471621062307676315  Run 306655, LB 67, lumi 59.52
Event Veto ['MiniNoiseBurst'], Fri Aug 19 15:37:53 2016 UTC-Fri Aug 19 15:37:53 2016 UTC (0.010 )  Time stamp start 1471621073784021825 end 1471621073774021825  Run 306655, LB 67, lumi 59.52
Event Veto ['MiniNoiseBurst'], Fri Aug 19 15:37:59 2016 UTC-Fri Aug 19 15:37:59 2016 UTC (0.010 )  Time stamp start 1471621079956874480 end 1471621079946874230  Run 306655, LB 67, lumi 59.52
Event Veto ['MiniNoiseBurst'], Fri Aug 19 15:38:06 2016 UTC-Fri Aug 19 15:38:06 2016 UTC (0.010 )  Time stamp start 1471621086338537130 end 1471621086328537130  Run 306655, LB 67, lumi 59.52
Event Veto ['MiniNoiseBurst'], Fri Aug 19 15:38:31 2016 UTC-Fri Aug 19 15:38:31 2016 UTC (0.015 )  Time stamp start 1471621111923826215 end 1471621111908692000  Run 306655, LB 68, lumi 89.95
Event Veto ['MiniNoiseBurst'], Fri Aug 19 15:38:38 2016 UTC-Fri Aug 19 15:38:38 2016 UTC (0.010 )  Time stamp start 1471621118311092280 end 1471621118301092280  Run 306655, LB 68, lumi 59.43
Event Veto ['MiniNoiseBurst'], Fri Aug 19 15:38:43 2016 UTC-Fri Aug 19 15:38:43 2016 UTC (0.010 )  Time stamp start 1471621123842312370 end 1471621123832312370  Run 306655, LB 68, lumi 59.43
Event Veto ['MiniNoiseBurst'], Fri Aug 19 15:38:50 2016 UTC-Fri Aug 19 15:38:50 2016 UTC (0.010 )  Time stamp start 1471621130120355100 end 1471621130110354775  Run 306655, LB 68, lumi 59.43
Event Veto ['NoiseBurst'], Fri Aug 19 15:38:51 2016 UTC-Fri Aug 19 15:38:51 2016 UTC (0.010 )  Time stamp start 1471621131773001205 end 1471621131762732310  Run 306655, LB 68, lumi 61.03
Event Veto ['MiniNoiseBurst'], Fri Aug 19 15:38:56 2016 UTC-Fri Aug 19 15:38:56 2016 UTC (0.010 )  Time stamp start 1471621136349225980 end 1471621136339225655  Run 306655, LB 68, lumi 59.43
Event Veto ['MiniNoiseBurst'], Fri Aug 19 15:39:09 2016 UTC-Fri Aug 19 15:39:09 2016 UTC (0.010 )  Time stamp start 1471621149164697130 end 1471621149154697130  Run 306655, LB 68, lumi 59.43
Event Veto ['MiniNoiseBurst'], Fri Aug 19 15:39:15 2016 UTC-Fri Aug 19 15:39:15 2016 UTC (0.010 )  Time stamp start 1471621155757600655 end 1471621155747600655  Run 306655, LB 68, lumi 59.43
Event Veto ['MiniNoiseBurst'], Fri Aug 19 15:39:41 2016 UTC-Fri Aug 19 15:39:41 2016 UTC (0.010 )  Time stamp start 1471621181290553795 end 1471621181280553795  Run 306655, LB 69, lumi 59.34
Event Veto ['MiniNoiseBurst'], Fri Aug 19 15:39:53 2016 UTC-Fri Aug 19 15:39:53 2016 UTC (0.010 )  Time stamp start 1471621193809406630 end 1471621193799406630  Run 306655, LB 69, lumi 59.34
Event Veto ['MiniNoiseBurst'], Fri Aug 19 15:40:37 2016 UTC-Fri Aug 19 15:40:37 2016 UTC (0.010 )  Time stamp start 1471621237029219255 end 1471621237019218160  Run 306655, LB 70, lumi 59.27
Event Veto ['MiniNoiseBurst'], Fri Aug 19 15:40:49 2016 UTC-Fri Aug 19 15:40:49 2016 UTC (0.010 )  Time stamp start 1471621249305790225 end 1471621249295790225  Run 306655, LB 70, lumi 59.27
Event Veto ['MiniNoiseBurst'], Fri Aug 19 15:41:08 2016 UTC-Fri Aug 19 15:41:08 2016 UTC (0.010 )  Time stamp start 1471621268183356720 end 1471621268173355620  Run 306655, LB 70, lumi 59.27
Event Veto ['MiniNoiseBurst'], Fri Aug 19 15:41:14 2016 UTC-Fri Aug 19 15:41:14 2016 UTC (0.010 )  Time stamp start 1471621274518414830 end 1471621274508414830  Run 306655, LB 70, lumi 59.27
Event Veto ['MiniNoiseBurst'], Fri Aug 19 15:41:58 2016 UTC-Fri Aug 19 15:41:58 2016 UTC (0.010 )  Time stamp start 1471621318810490080 end 1471621318800490080  Run 306655, LB 72, lumi 59.06
