Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 306714 to 306714
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 306714 to run 306714  lasting from Sat Aug 20 17:54:07 2016 UTC to Sun Aug 21 04:37:18 2016 UTC
Event Veto ['MiniNoiseBurst'], Sat Aug 20 21:10:37 2016 UTC-Sat Aug 20 21:10:37 2016 UTC (0.010 )  Time stamp start 1471727437197855330 end 1471727437187855330  Run 306714, LB 201, lumi 0.00
Event Veto ['MiniNoiseBurst'], Sat Aug 20 21:23:45 2016 UTC-Sat Aug 20 21:23:45 2016 UTC (0.010 )  Time stamp start 1471728225752585420 end 1471728225742585420  Run 306714, LB 215, lumi 0.00
Event Veto ['MiniNoiseBurst'], Sat Aug 20 21:23:57 2016 UTC-Sat Aug 20 21:23:57 2016 UTC (0.010 )  Time stamp start 1471728237864007025 end 1471728237854007025  Run 306714, LB 215, lumi 0.00
Event Veto ['MiniNoiseBurst'], Sat Aug 20 21:24:40 2016 UTC-Sat Aug 20 21:24:40 2016 UTC (0.010 )  Time stamp start 1471728280529095760 end 1471728280519095760  Run 306714, LB 216, lumi 0.00
Event Veto ['MiniNoiseBurst'], Sat Aug 20 21:39:02 2016 UTC-Sat Aug 20 21:39:02 2016 UTC (0.010 )  Time stamp start 1471729142455646765 end 1471729142445646765  Run 306714, LB 230, lumi 0.00
Event Veto ['MiniNoiseBurst'], Sat Aug 20 21:43:56 2016 UTC-Sat Aug 20 21:43:56 2016 UTC (0.010 )  Time stamp start 1471729436663325400 end 1471729436653325400  Run 306714, LB 235, lumi 0.00
Event Veto ['MiniNoiseBurst'], Sat Aug 20 21:47:39 2016 UTC-Sat Aug 20 21:47:39 2016 UTC (0.010 )  Time stamp start 1471729659412766545 end 1471729659402766545  Run 306714, LB 239, lumi 37.45
Event Veto ['MiniNoiseBurst'], Sat Aug 20 21:47:52 2016 UTC-Sat Aug 20 21:47:52 2016 UTC (0.010 )  Time stamp start 1471729672537946710 end 1471729672527946710  Run 306714, LB 239, lumi 37.45
Event Veto ['MiniNoiseBurst'], Sat Aug 20 21:47:59 2016 UTC-Sat Aug 20 21:47:59 2016 UTC (0.010 )  Time stamp start 1471729679123555525 end 1471729679113555525  Run 306714, LB 239, lumi 37.45
Event Veto ['MiniNoiseBurst'], Sat Aug 20 21:48:12 2016 UTC-Sat Aug 20 21:48:12 2016 UTC (0.010 )  Time stamp start 1471729692130542965 end 1471729692120542965  Run 306714, LB 239, lumi 37.45
Event Veto ['MiniNoiseBurst'], Sat Aug 20 21:48:24 2016 UTC-Sat Aug 20 21:48:24 2016 UTC (0.010 )  Time stamp start 1471729704674799345 end 1471729704664799345  Run 306714, LB 240, lumi 85.38
Event Veto ['MiniNoiseBurst'], Sat Aug 20 21:48:37 2016 UTC-Sat Aug 20 21:48:37 2016 UTC (0.010 )  Time stamp start 1471729717262399400 end 1471729717252399400  Run 306714, LB 240, lumi 85.38
Event Veto ['MiniNoiseBurst'], Sat Aug 20 21:48:49 2016 UTC-Sat Aug 20 21:48:49 2016 UTC (0.010 )  Time stamp start 1471729729808023830 end 1471729729798023830  Run 306714, LB 240, lumi 85.38
