Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 307195 to 307195
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 307195 to run 307195  lasting from Thu Aug 25 16:41:18 2016 UTC to Fri Aug 26 04:57:00 2016 UTC
Event Veto ['MiniNoiseBurst'], Thu Aug 25 17:19:33 2016 UTC-Thu Aug 25 17:19:33 2016 UTC (0.000 )  Time stamp start 1472145573818855250 end 1472145573818855125  Run 307195, LB 40, lumi 0.00
Event Veto ['MiniNoiseBurst'], Thu Aug 25 17:19:33 2016 UTC-Thu Aug 25 17:19:33 2016 UTC (0.010 )  Time stamp start 1472145573828855375 end 1472145573818855250  Run 307195, LB 40, lumi 0.00
Event Veto ['MiniNoiseBurst'], Thu Aug 25 17:19:33 2016 UTC-Thu Aug 25 17:19:33 2016 UTC (0.000 )  Time stamp start 1472145573828855775 end 1472145573828855375  Run 307195, LB 40, lumi 0.00
Event Veto ['MiniNoiseBurst'], Thu Aug 25 18:37:51 2016 UTC-Thu Aug 25 18:37:51 2016 UTC (0.010 )  Time stamp start 1472150271313633290 end 1472150271303633040  Run 307195, LB 118, lumi 0.00
Event Veto ['MiniNoiseBurst'], Thu Aug 25 18:37:51 2016 UTC-Thu Aug 25 18:37:51 2016 UTC (0.000 )  Time stamp start 1472150271313633565 end 1472150271313633290  Run 307195, LB 118, lumi 0.00
Event Veto ['MiniNoiseBurst'], Thu Aug 25 20:52:28 2016 UTC-Thu Aug 25 20:52:28 2016 UTC (0.010 )  Time stamp start 1472158348533020495 end 1472158348523020495  Run 307195, LB 257, lumi 57.47
Event Veto ['MiniNoiseBurst'], Thu Aug 25 20:52:34 2016 UTC-Thu Aug 25 20:52:34 2016 UTC (0.010 )  Time stamp start 1472158354229719470 end 1472158354219719470  Run 307195, LB 257, lumi 57.47
Event Veto ['MiniNoiseBurst'], Thu Aug 25 20:52:56 2016 UTC-Thu Aug 25 20:52:56 2016 UTC (0.010 )  Time stamp start 1472158376780258470 end 1472158376770258345  Run 307195, LB 257, lumi 57.48
Event Veto ['MiniNoiseBurst'], Thu Aug 25 20:52:56 2016 UTC-Thu Aug 25 20:52:56 2016 UTC (0.000 )  Time stamp start 1472158376780259515 end 1472158376780258470  Run 307195, LB 257, lumi 0.01
Event Veto ['MiniNoiseBurst'], Thu Aug 25 20:53:01 2016 UTC-Thu Aug 25 20:53:01 2016 UTC (0.010 )  Time stamp start 1472158381861344020 end 1472158381851344020  Run 307195, LB 257, lumi 57.47
Event Veto ['MiniNoiseBurst'], Thu Aug 25 20:53:06 2016 UTC-Thu Aug 25 20:53:06 2016 UTC (0.010 )  Time stamp start 1472158386848228580 end 1472158386838228580  Run 307195, LB 257, lumi 57.47
Event Veto ['MiniNoiseBurst'], Thu Aug 25 20:53:11 2016 UTC-Thu Aug 25 20:53:11 2016 UTC (0.010 )  Time stamp start 1472158391754354850 end 1472158391744354850  Run 307195, LB 257, lumi 57.47
Event Veto ['MiniNoiseBurst'], Thu Aug 25 20:53:16 2016 UTC-Thu Aug 25 20:53:16 2016 UTC (0.010 )  Time stamp start 1472158396293322380 end 1472158396283322205  Run 307195, LB 257, lumi 57.48
Event Veto ['MiniNoiseBurst'], Thu Aug 25 20:53:25 2016 UTC-Thu Aug 25 20:53:25 2016 UTC (0.010 )  Time stamp start 1472158405541167930 end 1472158405531167730  Run 307195, LB 258, lumi 81.16
Event Veto ['MiniNoiseBurst'], Thu Aug 25 20:53:25 2016 UTC-Thu Aug 25 20:53:25 2016 UTC (0.000 )  Time stamp start 1472158405541168105 end 1472158405541167930  Run 307195, LB 258, lumi 0.00
Event Veto ['NoiseBurst'], Thu Aug 25 20:53:27 2016 UTC-Thu Aug 25 20:53:27 2016 UTC (0.010 )  Time stamp start 1472158407525598260 end 1472158407515598085  Run 307195, LB 258, lumi 81.16
Event Veto ['MiniNoiseBurst'], Thu Aug 25 20:53:30 2016 UTC-Thu Aug 25 20:53:30 2016 UTC (0.010 )  Time stamp start 1472158410126864075 end 1472158410116863950  Run 307195, LB 258, lumi 81.16
Event Veto ['MiniNoiseBurst'], Thu Aug 25 20:53:30 2016 UTC-Thu Aug 25 20:53:30 2016 UTC (0.000 )  Time stamp start 1472158410126864325 end 1472158410126864075  Run 307195, LB 258, lumi 0.00
Event Veto ['MiniNoiseBurst'], Thu Aug 25 20:53:34 2016 UTC-Thu Aug 25 20:53:34 2016 UTC (0.010 )  Time stamp start 1472158414701039245 end 1472158414691039245  Run 307195, LB 258, lumi 81.16
Event Veto ['MiniNoiseBurst'], Thu Aug 25 20:53:39 2016 UTC-Thu Aug 25 20:53:39 2016 UTC (0.010 )  Time stamp start 1472158419247642570 end 1472158419237642570  Run 307195, LB 258, lumi 81.16
