Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 307306 to 307306
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 307306 to run 307306  lasting from Sat Aug 27 08:42:12 2016 UTC to Sat Aug 27 15:42:35 2016 UTC
Event Veto ['MiniNoiseBurst'], Sat Aug 27 09:03:50 2016 UTC-Sat Aug 27 09:03:50 2016 UTC (0.010 )  Time stamp start 1472288630875872950 end 1472288630865872950  Run 307306, LB 26, lumi 34.25
Event Veto ['MiniNoiseBurst'], Sat Aug 27 09:04:07 2016 UTC-Sat Aug 27 09:04:07 2016 UTC (0.010 )  Time stamp start 1472288647985028380 end 1472288647975028380  Run 307306, LB 26, lumi 34.25
Event Veto ['MiniNoiseBurst'], Sat Aug 27 09:04:11 2016 UTC-Sat Aug 27 09:04:11 2016 UTC (0.010 )  Time stamp start 1472288651366961600 end 1472288651356961275  Run 307306, LB 26, lumi 34.25
Event Veto ['MiniNoiseBurst'], Sat Aug 27 09:04:18 2016 UTC-Sat Aug 27 09:04:18 2016 UTC (0.010 )  Time stamp start 1472288658251272895 end 1472288658241272570  Run 307306, LB 26, lumi 34.25
Event Veto ['MiniNoiseBurst'], Sat Aug 27 09:04:25 2016 UTC-Sat Aug 27 09:04:25 2016 UTC (0.010 )  Time stamp start 1472288665312940420 end 1472288665302940220  Run 307306, LB 26, lumi 34.25
Event Veto ['MiniNoiseBurst'], Sat Aug 27 09:04:29 2016 UTC-Sat Aug 27 09:04:29 2016 UTC (0.010 )  Time stamp start 1472288669064436700 end 1472288669054436450  Run 307306, LB 27, lumi 104.76
Event Veto ['MiniNoiseBurst'], Sat Aug 27 09:04:35 2016 UTC-Sat Aug 27 09:04:35 2016 UTC (0.010 )  Time stamp start 1472288675252021575 end 1472288675242021575  Run 307306, LB 27, lumi 104.76
Event Veto ['NoiseBurst'], Sat Aug 27 09:04:37 2016 UTC-Sat Aug 27 09:04:37 2016 UTC (0.010 )  Time stamp start 1472288677429474015 end 1472288677419306920  Run 307306, LB 27, lumi 106.51
Event Veto ['MiniNoiseBurst'], Sat Aug 27 09:04:38 2016 UTC-Sat Aug 27 09:04:38 2016 UTC (0.010 )  Time stamp start 1472288678781973115 end 1472288678771972790  Run 307306, LB 27, lumi 104.76
Event Veto ['MiniNoiseBurst'], Sat Aug 27 09:04:45 2016 UTC-Sat Aug 27 09:04:45 2016 UTC (0.010 )  Time stamp start 1472288685842317300 end 1472288685832316855  Run 307306, LB 27, lumi 104.77
Event Veto ['NoiseBurst'], Sat Aug 27 09:05:00 2016 UTC-Sat Aug 27 09:05:00 2016 UTC (0.013 )  Time stamp start 1472288700815694660 end 1472288700802332920  Run 307306, LB 27, lumi 139.98
Event Veto ['NoiseBurst'], Sat Aug 27 09:05:07 2016 UTC-Sat Aug 27 09:05:07 2016 UTC (0.010 )  Time stamp start 1472288707525968330 end 1472288707515967335  Run 307306, LB 27, lumi 104.77
Event Veto ['MiniNoiseBurst'], Sat Aug 27 09:05:13 2016 UTC-Sat Aug 27 09:05:13 2016 UTC (0.010 )  Time stamp start 1472288713034944915 end 1472288713024943740  Run 307306, LB 27, lumi 104.77
Event Veto ['MiniNoiseBurst'], Sat Aug 27 09:05:53 2016 UTC-Sat Aug 27 09:05:53 2016 UTC (0.010 )  Time stamp start 1472288753144097620 end 1472288753134097495  Run 307306, LB 28, lumi 104.25
Event Veto ['MiniNoiseBurst'], Sat Aug 27 09:05:56 2016 UTC-Sat Aug 27 09:05:56 2016 UTC (0.010 )  Time stamp start 1472288756589957480 end 1472288756579957305  Run 307306, LB 28, lumi 104.25
Event Veto ['MiniNoiseBurst'], Sat Aug 27 09:06:00 2016 UTC-Sat Aug 27 09:06:00 2016 UTC (0.010 )  Time stamp start 1472288760105362365 end 1472288760095361970  Run 307306, LB 28, lumi 104.26
Event Veto ['MiniNoiseBurst'], Sat Aug 27 09:06:07 2016 UTC-Sat Aug 27 09:06:07 2016 UTC (0.010 )  Time stamp start 1472288767061280545 end 1472288767051280545  Run 307306, LB 28, lumi 104.25
Event Veto ['NoiseBurst'], Sat Aug 27 09:06:08 2016 UTC-Sat Aug 27 09:06:08 2016 UTC (0.010 )  Time stamp start 1472288768846845855 end 1472288768836712740  Run 307306, LB 28, lumi 105.64
Event Veto ['MiniNoiseBurst'], Sat Aug 27 09:06:10 2016 UTC-Sat Aug 27 09:06:10 2016 UTC (0.010 )  Time stamp start 1472288770488979710 end 1472288770478979585  Run 307306, LB 28, lumi 104.25
Event Veto ['MiniNoiseBurst'], Sat Aug 27 09:06:24 2016 UTC-Sat Aug 27 09:06:24 2016 UTC (0.010 )  Time stamp start 1472288784505321020 end 1472288784495321020  Run 307306, LB 28, lumi 104.25
Event Veto ['NoiseBurst'], Sat Aug 27 09:06:55 2016 UTC-Sat Aug 27 09:06:55 2016 UTC (0.010 )  Time stamp start 1472288815145942230 end 1472288815135928180  Run 307306, LB 29, lumi 104.22
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Sat Aug 27 09:07:00 2016 UTC-Sat Aug 27 09:07:00 2016 UTC (0.010 )  Time stamp start 1472288820374761820 end 1472288820364761820  Run 307306, LB 29, lumi 104.08
Event Veto ['MiniNoiseBurst'], Sat Aug 27 09:07:02 2016 UTC-Sat Aug 27 09:07:02 2016 UTC (0.010 )  Time stamp start 1472288822931286495 end 1472288822921286170  Run 307306, LB 29, lumi 104.08
Event Veto ['NoiseBurst'], Sat Aug 27 09:07:32 2016 UTC-Sat Aug 27 09:07:32 2016 UTC (0.010 )  Time stamp start 1472288852597137240 end 1472288852587136470  Run 307306, LB 30, lumi 98.78
Event Veto ['MiniNoiseBurst'], Sat Aug 27 09:08:05 2016 UTC-Sat Aug 27 09:08:05 2016 UTC (0.010 )  Time stamp start 1472288885044540250 end 1472288885034540000  Run 307306, LB 30, lumi 98.78
Event Veto ['NoiseBurst'], Sat Aug 27 09:08:13 2016 UTC-Sat Aug 27 09:08:13 2016 UTC (0.010 )  Time stamp start 1472288893910555950 end 1472288893900555100  Run 307306, LB 30, lumi 98.78
Event Veto ['NoiseBurst'], Sat Aug 27 09:08:25 2016 UTC-Sat Aug 27 09:08:25 2016 UTC (0.010 )  Time stamp start 1472288905653212855 end 1472288905643169690  Run 307306, LB 30, lumi 99.20
Event Veto ['NoiseBurst'], Sat Aug 27 09:09:02 2016 UTC-Sat Aug 27 09:09:02 2016 UTC (0.010 )  Time stamp start 1472288942722547610 end 1472288942712545390  Run 307306, LB 31, lumi 102.72
Event Veto ['MiniNoiseBurst'], Sat Aug 27 09:09:31 2016 UTC-Sat Aug 27 09:09:31 2016 UTC (0.010 )  Time stamp start 1472288971011774765 end 1472288971001774640  Run 307306, LB 32, lumi 103.69
Event Veto ['MiniNoiseBurst'], Sat Aug 27 09:10:50 2016 UTC-Sat Aug 27 09:10:50 2016 UTC (0.010 )  Time stamp start 1472289050127029250 end 1472289050117029250  Run 307306, LB 33, lumi 107.78
Event Veto ['MiniNoiseBurst'], Sat Aug 27 09:10:59 2016 UTC-Sat Aug 27 09:10:59 2016 UTC (0.010 )  Time stamp start 1472289059906216650 end 1472289059896216650  Run 307306, LB 34, lumi 108.04
