Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 307619 to 307619
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 307619 to run 307619  lasting from Thu Sep  1 21:23:25 2016 UTC to Fri Sep  2 01:31:50 2016 UTC
Event Veto ['MiniNoiseBurst'], Thu Sep  1 21:46:02 2016 UTC-Thu Sep  1 21:46:02 2016 UTC (0.010 )  Time stamp start 1472766362097637435 end 1472766362087636435  Run 307619, LB 28, lumi 0.00
Event Veto ['MiniNoiseBurst'], Thu Sep  1 21:55:25 2016 UTC-Thu Sep  1 21:55:25 2016 UTC (0.010 )  Time stamp start 1472766925933993055 end 1472766925923991885  Run 307619, LB 37, lumi 0.00
Event Veto ['MiniNoiseBurst'], Thu Sep  1 22:03:08 2016 UTC-Thu Sep  1 22:03:08 2016 UTC (0.010 )  Time stamp start 1472767388160219070 end 1472767388150218000  Run 307619, LB 45, lumi 0.00
Event Veto ['MiniNoiseBurst'], Thu Sep  1 22:12:41 2016 UTC-Thu Sep  1 22:12:41 2016 UTC (0.010 )  Time stamp start 1472767961637315010 end 1472767961627313935  Run 307619, LB 55, lumi 0.00
Event Veto ['MiniNoiseBurst'], Thu Sep  1 22:22:57 2016 UTC-Thu Sep  1 22:22:57 2016 UTC (0.010 )  Time stamp start 1472768577476999265 end 1472768577466998515  Run 307619, LB 65, lumi 0.00
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Thu Sep  1 22:34:02 2016 UTC-Thu Sep  1 22:34:02 2016 UTC (0.010 )  Time stamp start 1472769242756625605 end 1472769242746625605  Run 307619, LB 79, lumi 0.00
Event Veto ['MiniNoiseBurst'], Thu Sep  1 22:42:54 2016 UTC-Thu Sep  1 22:42:54 2016 UTC (0.010 )  Time stamp start 1472769774766049510 end 1472769774756049385  Run 307619, LB 88, lumi 0.00
Event Veto ['MiniNoiseBurst'], Thu Sep  1 22:43:03 2016 UTC-Thu Sep  1 22:43:03 2016 UTC (0.010 )  Time stamp start 1472769783466211685 end 1472769783456211685  Run 307619, LB 88, lumi 0.00
Event Veto ['MiniNoiseBurst'], Thu Sep  1 22:54:30 2016 UTC-Thu Sep  1 22:54:30 2016 UTC (0.010 )  Time stamp start 1472770470782417670 end 1472770470772416920  Run 307619, LB 101, lumi 0.00
Event Veto ['MiniNoiseBurst'], Thu Sep  1 22:59:43 2016 UTC-Thu Sep  1 22:59:43 2016 UTC (0.010 )  Time stamp start 1472770783390268085 end 1472770783380268085  Run 307619, LB 106, lumi 0.00
Event Veto ['MiniNoiseBurst'], Thu Sep  1 23:02:33 2016 UTC-Thu Sep  1 23:02:33 2016 UTC (0.010 )  Time stamp start 1472770953116764815 end 1472770953106764815  Run 307619, LB 109, lumi 0.00
Event Veto ['MiniNoiseBurst'], Thu Sep  1 23:04:49 2016 UTC-Thu Sep  1 23:04:49 2016 UTC (0.010 )  Time stamp start 1472771089938260000 end 1472771089928258825  Run 307619, LB 111, lumi 0.00
Event Veto ['MiniNoiseBurst'], Thu Sep  1 23:06:29 2016 UTC-Thu Sep  1 23:06:29 2016 UTC (0.010 )  Time stamp start 1472771189434275015 end 1472771189424275015  Run 307619, LB 113, lumi 0.00
Event Veto ['MiniNoiseBurst'], Thu Sep  1 23:13:03 2016 UTC-Thu Sep  1 23:13:03 2016 UTC (0.010 )  Time stamp start 1472771583825843045 end 1472771583815841870  Run 307619, LB 120, lumi 16.10
Event Veto ['MiniNoiseBurst'], Thu Sep  1 23:13:06 2016 UTC-Thu Sep  1 23:13:06 2016 UTC (0.013 )  Time stamp start 1472771586930459045 end 1472771586917768460  Run 307619, LB 120, lumi 20.43
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Thu Sep  1 23:13:15 2016 UTC-Thu Sep  1 23:13:15 2016 UTC (0.017 )  Time stamp start 1472771595255917400 end 1472771595239151910  Run 307619, LB 120, lumi 26.99
Event Veto ['MiniNoiseBurst'], Thu Sep  1 23:13:18 2016 UTC-Thu Sep  1 23:13:18 2016 UTC (0.010 )  Time stamp start 1472771598626727385 end 1472771598616726935  Run 307619, LB 120, lumi 16.10
Event Veto ['MiniNoiseBurst'], Thu Sep  1 23:13:22 2016 UTC-Thu Sep  1 23:13:22 2016 UTC (0.010 )  Time stamp start 1472771602146372475 end 1472771602136372350  Run 307619, LB 120, lumi 16.10
Event Veto ['NoiseBurst'], Thu Sep  1 23:13:24 2016 UTC-Thu Sep  1 23:13:24 2016 UTC (0.010 )  Time stamp start 1472771604042848900 end 1472771604032848400  Run 307619, LB 120, lumi 16.10
Event Veto ['MiniNoiseBurst'], Thu Sep  1 23:13:29 2016 UTC-Thu Sep  1 23:13:29 2016 UTC (0.010 )  Time stamp start 1472771609582585985 end 1472771609572585860  Run 307619, LB 121, lumi 91.73
Event Veto ['MiniNoiseBurst'], Thu Sep  1 23:13:33 2016 UTC-Thu Sep  1 23:13:33 2016 UTC (0.010 )  Time stamp start 1472771613866796995 end 1472771613856796125  Run 307619, LB 121, lumi 91.74
Event Veto ['MiniNoiseBurst'], Thu Sep  1 23:13:37 2016 UTC-Thu Sep  1 23:13:37 2016 UTC (0.010 )  Time stamp start 1472771617625566685 end 1472771617615565435  Run 307619, LB 122, lumi 91.39
Event Veto ['MiniNoiseBurst'], Thu Sep  1 23:13:40 2016 UTC-Thu Sep  1 23:13:40 2016 UTC (0.011 )  Time stamp start 1472771620958541965 end 1472771620947351065  Run 307619, LB 122, lumi 102.26
Event Veto ['MiniNoiseBurst'], Thu Sep  1 23:13:42 2016 UTC-Thu Sep  1 23:13:42 2016 UTC (0.010 )  Time stamp start 1472771622439826700 end 1472771622429826700  Run 307619, LB 122, lumi 91.38
Event Veto ['MiniNoiseBurst'], Thu Sep  1 23:13:45 2016 UTC-Thu Sep  1 23:13:45 2016 UTC (0.010 )  Time stamp start 1472771625134432660 end 1472771625124432535  Run 307619, LB 122, lumi 91.38
Event Veto ['MiniNoiseBurst'], Thu Sep  1 23:13:48 2016 UTC-Thu Sep  1 23:13:48 2016 UTC (0.010 )  Time stamp start 1472771628487598725 end 1472771628477598600  Run 307619, LB 122, lumi 91.38
Event Veto ['MiniNoiseBurst'], Thu Sep  1 23:13:51 2016 UTC-Thu Sep  1 23:13:52 2016 UTC (0.010 )  Time stamp start 1472771632006279245 end 1472771631996279120  Run 307619, LB 122, lumi 91.38
Event Veto ['MiniNoiseBurst'], Thu Sep  1 23:13:56 2016 UTC-Thu Sep  1 23:13:56 2016 UTC (0.010 )  Time stamp start 1472771636240615225 end 1472771636230615050  Run 307619, LB 122, lumi 91.38
Event Veto ['MiniNoiseBurst'], Thu Sep  1 23:15:29 2016 UTC-Thu Sep  1 23:15:29 2016 UTC (0.010 )  Time stamp start 1472771729342621755 end 1472771729332621755  Run 307619, LB 123, lumi 90.96
Event Veto ['MiniNoiseBurst'], Thu Sep  1 23:15:30 2016 UTC-Thu Sep  1 23:15:30 2016 UTC (0.010 )  Time stamp start 1472771730933812130 end 1472771730923812005  Run 307619, LB 123, lumi 90.96
Event Veto ['MiniNoiseBurst'], Thu Sep  1 23:15:34 2016 UTC-Thu Sep  1 23:15:34 2016 UTC (0.010 )  Time stamp start 1472771734393757360 end 1472771734383757235  Run 307619, LB 123, lumi 90.96
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Thu Sep  1 23:15:38 2016 UTC-Thu Sep  1 23:15:38 2016 UTC (0.010 )  Time stamp start 1472771738584610165 end 1472771738574610165  Run 307619, LB 124, lumi 91.91
Event Veto ['NoiseBurst'], Thu Sep  1 23:15:38 2016 UTC-Thu Sep  1 23:15:38 2016 UTC (0.010 )  Time stamp start 1472771738966601050 end 1472771738956600030  Run 307619, LB 124, lumi 91.92
Event Veto ['MiniNoiseBurst'], Thu Sep  1 23:15:42 2016 UTC-Thu Sep  1 23:15:42 2016 UTC (0.010 )  Time stamp start 1472771742119227095 end 1472771742109226970  Run 307619, LB 124, lumi 91.91
Event Veto ['NoiseBurst'], Thu Sep  1 23:15:42 2016 UTC-Thu Sep  1 23:15:42 2016 UTC (0.010 )  Time stamp start 1472771742942454155 end 1472771742932279175  Run 307619, LB 124, lumi 93.51
Event Veto ['MiniNoiseBurst'], Thu Sep  1 23:15:45 2016 UTC-Thu Sep  1 23:15:45 2016 UTC (0.010 )  Time stamp start 1472771745805728660 end 1472771745795727535  Run 307619, LB 124, lumi 91.92
Event Veto ['NoiseBurst'], Thu Sep  1 23:15:46 2016 UTC-Thu Sep  1 23:15:46 2016 UTC (0.010 )  Time stamp start 1472771746107950835 end 1472771746097946645  Run 307619, LB 124, lumi 91.95
Event Veto ['MiniNoiseBurst'], Thu Sep  1 23:15:49 2016 UTC-Thu Sep  1 23:15:49 2016 UTC (0.010 )  Time stamp start 1472771749238461865 end 1472771749228461465  Run 307619, LB 124, lumi 91.91
Event Veto ['MiniNoiseBurst'], Thu Sep  1 23:15:53 2016 UTC-Thu Sep  1 23:15:53 2016 UTC (0.010 )  Time stamp start 1472771753379720505 end 1472771753369719505  Run 307619, LB 124, lumi 91.92
Event Veto ['NoiseBurst'], Thu Sep  1 23:15:53 2016 UTC-Thu Sep  1 23:15:53 2016 UTC (0.010 )  Time stamp start 1472771753759428575 end 1472771753749333140  Run 307619, LB 124, lumi 92.78
Event Veto ['MiniNoiseBurst'], Thu Sep  1 23:15:56 2016 UTC-Thu Sep  1 23:15:56 2016 UTC (0.010 )  Time stamp start 1472771756712082245 end 1472771756702081550  Run 307619, LB 124, lumi 91.91
Event Veto ['MiniNoiseBurst'], Thu Sep  1 23:16:00 2016 UTC-Thu Sep  1 23:16:00 2016 UTC (0.010 )  Time stamp start 1472771760338625685 end 1472771760328625560  Run 307619, LB 124, lumi 91.91
