Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 309375 to 309375
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 309375 to run 309375  lasting from Mon Sep 26 04:38:55 2016 UTC to Mon Sep 26 11:45:36 2016 UTC
Event Veto ['MiniNoiseBurst'], Mon Sep 26 05:20:04 2016 UTC-Mon Sep 26 05:20:04 2016 UTC (0.010 )  Time stamp start 1474867204541511105 end 1474867204531510180  Run 309375, LB 42, lumi 0.00
Event Veto ['MiniNoiseBurst'], Mon Sep 26 07:15:06 2016 UTC-Mon Sep 26 07:15:06 2016 UTC (0.010 )  Time stamp start 1474874106436819400 end 1474874106426819400  Run 309375, LB 161, lumi 0.00
Event Veto ['MiniNoiseBurst'], Mon Sep 26 07:24:18 2016 UTC-Mon Sep 26 07:24:18 2016 UTC (0.010 )  Time stamp start 1474874658710001535 end 1474874658700001535  Run 309375, LB 171, lumi 40.34
Event Veto ['MiniNoiseBurst'], Mon Sep 26 07:24:20 2016 UTC-Mon Sep 26 07:24:20 2016 UTC (0.010 )  Time stamp start 1474874660630923690 end 1474874660620923690  Run 309375, LB 171, lumi 40.34
Event Veto ['MiniNoiseBurst'], Mon Sep 26 07:24:50 2016 UTC-Mon Sep 26 07:24:50 2016 UTC (0.010 )  Time stamp start 1474874690762626020 end 1474874690752626020  Run 309375, LB 172, lumi 40.26
Event Veto ['MiniNoiseBurst'], Mon Sep 26 07:25:05 2016 UTC-Mon Sep 26 07:25:05 2016 UTC (0.010 )  Time stamp start 1474874705558147330 end 1474874705548147330  Run 309375, LB 172, lumi 40.26
Event Veto ['MiniNoiseBurst'], Mon Sep 26 07:25:20 2016 UTC-Mon Sep 26 07:25:20 2016 UTC (0.010 )  Time stamp start 1474874720570805775 end 1474874720560805525  Run 309375, LB 172, lumi 40.26
Event Veto ['MiniNoiseBurst'], Mon Sep 26 07:25:36 2016 UTC-Mon Sep 26 07:25:36 2016 UTC (0.010 )  Time stamp start 1474874736721914890 end 1474874736711914465  Run 309375, LB 173, lumi 32.04
Event Veto ['MiniNoiseBurst'], Mon Sep 26 07:25:54 2016 UTC-Mon Sep 26 07:25:54 2016 UTC (0.010 )  Time stamp start 1474874754740842280 end 1474874754730841880  Run 309375, LB 173, lumi 32.04
Event Veto ['MiniNoiseBurst'], Mon Sep 26 07:26:14 2016 UTC-Mon Sep 26 07:26:14 2016 UTC (0.010 )  Time stamp start 1474874774915637625 end 1474874774905637625  Run 309375, LB 173, lumi 32.04
Event Veto ['MiniNoiseBurst'], Mon Sep 26 07:26:33 2016 UTC-Mon Sep 26 07:26:33 2016 UTC (0.010 )  Time stamp start 1474874793352598200 end 1474874793342598200  Run 309375, LB 174, lumi 40.17
Event Veto ['MiniNoiseBurst'], Mon Sep 26 07:26:49 2016 UTC-Mon Sep 26 07:26:49 2016 UTC (0.010 )  Time stamp start 1474874809490749475 end 1474874809480749250  Run 309375, LB 174, lumi 40.17
Event Veto ['MiniNoiseBurst'], Mon Sep 26 07:27:04 2016 UTC-Mon Sep 26 07:27:04 2016 UTC (0.010 )  Time stamp start 1474874824164099260 end 1474874824154099260  Run 309375, LB 174, lumi 40.17
Event Veto ['NoiseBurst'], Mon Sep 26 07:27:31 2016 UTC-Mon Sep 26 07:27:31 2016 UTC (0.010 )  Time stamp start 1474874851663059745 end 1474874851653059270  Run 309375, LB 175, lumi 55.42
Event Veto ['MiniNoiseBurst'], Mon Sep 26 07:27:40 2016 UTC-Mon Sep 26 07:27:40 2016 UTC (0.010 )  Time stamp start 1474874860556425185 end 1474874860546425185  Run 309375, LB 175, lumi 55.42
Event Veto ['MiniNoiseBurst'], Mon Sep 26 07:27:51 2016 UTC-Mon Sep 26 07:27:51 2016 UTC (0.010 )  Time stamp start 1474874871784848710 end 1474874871774848710  Run 309375, LB 175, lumi 55.42
Event Veto ['MiniNoiseBurst'], Mon Sep 26 07:28:02 2016 UTC-Mon Sep 26 07:28:02 2016 UTC (0.010 )  Time stamp start 1474874882713347375 end 1474874882703347375  Run 309375, LB 175, lumi 55.42
Event Veto ['MiniNoiseBurst'], Mon Sep 26 07:28:24 2016 UTC-Mon Sep 26 07:28:24 2016 UTC (0.010 )  Time stamp start 1474874904459524835 end 1474874904449523665  Run 309375, LB 176, lumi 55.49
Event Veto ['MiniNoiseBurst'], Mon Sep 26 07:28:46 2016 UTC-Mon Sep 26 07:28:46 2016 UTC (0.010 )  Time stamp start 1474874926116967710 end 1474874926106967710  Run 309375, LB 176, lumi 55.49
Event Veto ['MiniNoiseBurst'], Mon Sep 26 07:28:56 2016 UTC-Mon Sep 26 07:28:56 2016 UTC (0.010 )  Time stamp start 1474874936936736710 end 1474874936926736710  Run 309375, LB 176, lumi 55.49
Event Veto ['MiniNoiseBurst'], Mon Sep 26 07:29:29 2016 UTC-Mon Sep 26 07:29:29 2016 UTC (0.010 )  Time stamp start 1474874969353354740 end 1474874969343354615  Run 309375, LB 177, lumi 48.07
Event Veto ['NoiseBurst'], Mon Sep 26 07:29:30 2016 UTC-Mon Sep 26 07:29:30 2016 UTC (0.010 )  Time stamp start 1474874970636946690 end 1474874970626946440  Run 309375, LB 177, lumi 48.07
Event Veto ['MiniNoiseBurst'], Mon Sep 26 07:29:38 2016 UTC-Mon Sep 26 07:29:38 2016 UTC (0.010 )  Time stamp start 1474874978726648595 end 1474874978716648595  Run 309375, LB 177, lumi 48.07
Event Veto ['MiniNoiseBurst'], Mon Sep 26 07:29:43 2016 UTC-Mon Sep 26 07:29:43 2016 UTC (0.010 )  Time stamp start 1474874983348285795 end 1474874983338285345  Run 309375, LB 177, lumi 48.07
Event Veto ['MiniNoiseBurst'], Mon Sep 26 07:29:57 2016 UTC-Mon Sep 26 07:29:57 2016 UTC (0.010 )  Time stamp start 1474874997348785875 end 1474874997338785750  Run 309375, LB 177, lumi 48.07
Event Veto ['MiniNoiseBurst'], Mon Sep 26 07:30:08 2016 UTC-Mon Sep 26 07:30:08 2016 UTC (0.010 )  Time stamp start 1474875008381321215 end 1474875008371321215  Run 309375, LB 177, lumi 48.07
Event Veto ['MiniNoiseBurst'], Mon Sep 26 07:30:18 2016 UTC-Mon Sep 26 07:30:18 2016 UTC (0.010 )  Time stamp start 1474875018203208890 end 1474875018193207670  Run 309375, LB 178, lumi 55.41
Event Veto ['MiniNoiseBurst'], Mon Sep 26 07:30:27 2016 UTC-Mon Sep 26 07:30:27 2016 UTC (0.010 )  Time stamp start 1474875027471836785 end 1474875027461836610  Run 309375, LB 178, lumi 55.40
Event Veto ['MiniNoiseBurst'], Mon Sep 26 07:30:31 2016 UTC-Mon Sep 26 07:30:31 2016 UTC (0.010 )  Time stamp start 1474875031691331130 end 1474875031681331130  Run 309375, LB 178, lumi 55.40
Event Veto ['MiniNoiseBurst'], Mon Sep 26 07:30:44 2016 UTC-Mon Sep 26 07:30:44 2016 UTC (0.010 )  Time stamp start 1474875044641536415 end 1474875044631536095  Run 309375, LB 178, lumi 55.40
Event Veto ['NoiseBurst'], Mon Sep 26 07:30:44 2016 UTC-Mon Sep 26 07:30:44 2016 UTC (0.019 )  Time stamp start 1474875044879403050 end 1474875044860484780  Run 309375, LB 178, lumi 104.81
Event Veto ['MiniNoiseBurst'], Mon Sep 26 07:30:53 2016 UTC-Mon Sep 26 07:30:53 2016 UTC (0.010 )  Time stamp start 1474875053466547285 end 1474875053456547285  Run 309375, LB 178, lumi 55.40
Event Veto ['MiniNoiseBurst'], Mon Sep 26 07:31:03 2016 UTC-Mon Sep 26 07:31:03 2016 UTC (0.010 )  Time stamp start 1474875063350988440 end 1474875063340988440  Run 309375, LB 178, lumi 55.40
Event Veto ['MiniNoiseBurst'], Mon Sep 26 07:31:34 2016 UTC-Mon Sep 26 07:31:34 2016 UTC (0.010 )  Time stamp start 1474875094404524955 end 1474875094394523580  Run 309375, LB 179, lumi 43.19
Event Veto ['MiniNoiseBurst'], Mon Sep 26 07:31:49 2016 UTC-Mon Sep 26 07:31:49 2016 UTC (0.010 )  Time stamp start 1474875109882420860 end 1474875109872420490  Run 309375, LB 179, lumi 43.18
Event Veto ['MiniNoiseBurst'], Mon Sep 26 07:32:12 2016 UTC-Mon Sep 26 07:32:12 2016 UTC (0.010 )  Time stamp start 1474875132864536505 end 1474875132854536210  Run 309375, LB 179, lumi 43.18
Event Veto ['MiniNoiseBurst'], Mon Sep 26 07:32:16 2016 UTC-Mon Sep 26 07:32:16 2016 UTC (0.010 )  Time stamp start 1474875136108403915 end 1474875136098403915  Run 309375, LB 179, lumi 43.18
Event Veto ['MiniNoiseBurst'], Mon Sep 26 07:32:21 2016 UTC-Mon Sep 26 07:32:21 2016 UTC (0.010 )  Time stamp start 1474875141388047650 end 1474875141378047650  Run 309375, LB 180, lumi 69.65
Event Veto ['MiniNoiseBurst'], Mon Sep 26 07:32:30 2016 UTC-Mon Sep 26 07:32:30 2016 UTC (0.017 )  Time stamp start 1474875150059812145 end 1474875150043159855  Run 309375, LB 180, lumi 115.98
Event Veto ['MiniNoiseBurst'], Mon Sep 26 07:32:32 2016 UTC-Mon Sep 26 07:32:32 2016 UTC (0.025 )  Time stamp start 1474875152090325760 end 1474875152065211925  Run 309375, LB 180, lumi 174.92
Event Veto ['MiniNoiseBurst'], Mon Sep 26 07:32:38 2016 UTC-Mon Sep 26 07:32:38 2016 UTC (0.010 )  Time stamp start 1474875158702664245 end 1474875158692663900  Run 309375, LB 180, lumi 69.65
Event Veto ['MiniNoiseBurst'], Mon Sep 26 07:32:47 2016 UTC-Mon Sep 26 07:32:47 2016 UTC (0.022 )  Time stamp start 1474875167224979600 end 1474875167202997655  Run 309375, LB 180, lumi 153.10
Event Veto ['MiniNoiseBurst'], Mon Sep 26 07:33:03 2016 UTC-Mon Sep 26 07:33:03 2016 UTC (0.010 )  Time stamp start 1474875183169266345 end 1474875183159266345  Run 309375, LB 180, lumi 69.65
Event Veto ['MiniNoiseBurst'], Mon Sep 26 07:33:11 2016 UTC-Mon Sep 26 07:33:11 2016 UTC (0.010 )  Time stamp start 1474875191751726425 end 1474875191741726105  Run 309375, LB 180, lumi 69.65
