Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 309390 to 309390
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 309390 to run 309390  lasting from Mon Sep 26 13:01:35 2016 UTC to Tue Sep 27 07:15:36 2016 UTC
Event Veto ['MiniNoiseBurst'], Mon Sep 26 13:09:16 2016 UTC-Mon Sep 26 13:09:16 2016 UTC (0.010 )  Time stamp start 1474895356393043950 end 1474895356383042325  Run 309390, LB 9, lumi 0.00
Event Veto ['MiniNoiseBurst'], Mon Sep 26 13:41:21 2016 UTC-Mon Sep 26 13:41:21 2016 UTC (0.010 )  Time stamp start 1474897281523012235 end 1474897281513011985  Run 309390, LB 41, lumi 0.00
Event Veto ['MiniNoiseBurst'], Mon Sep 26 13:59:48 2016 UTC-Mon Sep 26 13:59:48 2016 UTC (0.010 )  Time stamp start 1474898388656118870 end 1474898388646118870  Run 309390, LB 62, lumi 0.00
Event Veto ['MiniNoiseBurst'], Mon Sep 26 14:03:50 2016 UTC-Mon Sep 26 14:03:50 2016 UTC (0.010 )  Time stamp start 1474898630999490820 end 1474898630989490820  Run 309390, LB 66, lumi 0.00
Event Veto ['MiniNoiseBurst'], Mon Sep 26 14:08:14 2016 UTC-Mon Sep 26 14:08:14 2016 UTC (0.010 )  Time stamp start 1474898894297461510 end 1474898894287461510  Run 309390, LB 71, lumi 0.00
Event Veto ['MiniNoiseBurst'], Mon Sep 26 14:12:38 2016 UTC-Mon Sep 26 14:12:38 2016 UTC (0.010 )  Time stamp start 1474899158670251910 end 1474899158660251910  Run 309390, LB 76, lumi 0.00
Event Veto ['MiniNoiseBurst'], Mon Sep 26 14:19:20 2016 UTC-Mon Sep 26 14:19:20 2016 UTC (0.010 )  Time stamp start 1474899560785382875 end 1474899560775382875  Run 309390, LB 82, lumi 0.00
Event Veto ['MiniNoiseBurst'], Mon Sep 26 14:27:24 2016 UTC-Mon Sep 26 14:27:24 2016 UTC (0.010 )  Time stamp start 1474900044466535730 end 1474900044456535730  Run 309390, LB 91, lumi 0.00
Event Veto ['MiniNoiseBurst'], Mon Sep 26 14:34:09 2016 UTC-Mon Sep 26 14:34:09 2016 UTC (0.017 )  Time stamp start 1474900449790868730 end 1474900449773572580  Run 309390, LB 98, lumi 76.61
Event Veto ['MiniNoiseBurst'], Mon Sep 26 14:34:19 2016 UTC-Mon Sep 26 14:34:19 2016 UTC (0.010 )  Time stamp start 1474900459032773000 end 1474900459022773000  Run 309390, LB 98, lumi 44.29
Event Veto ['MiniNoiseBurst'], Mon Sep 26 14:34:23 2016 UTC-Mon Sep 26 14:34:23 2016 UTC (0.010 )  Time stamp start 1474900463686623185 end 1474900463676623185  Run 309390, LB 98, lumi 44.29
Event Veto ['NoiseBurst'], Mon Sep 26 14:34:24 2016 UTC-Mon Sep 26 14:34:24 2016 UTC (0.012 )  Time stamp start 1474900464720123695 end 1474900464708308675  Run 309390, LB 98, lumi 52.33
Event Veto ['MiniNoiseBurst'], Mon Sep 26 14:34:28 2016 UTC-Mon Sep 26 14:34:28 2016 UTC (0.010 )  Time stamp start 1474900468291647220 end 1474900468281294890  Run 309390, LB 98, lumi 45.85
Event Veto ['NoiseBurst'], Mon Sep 26 14:34:34 2016 UTC-Mon Sep 26 14:34:34 2016 UTC (0.010 )  Time stamp start 1474900474835496600 end 1474900474825495575  Run 309390, LB 98, lumi 44.30
Event Veto ['NoiseBurst'], Mon Sep 26 14:34:38 2016 UTC-Mon Sep 26 14:34:38 2016 UTC (0.010 )  Time stamp start 1474900478307323630 end 1474900478297323035  Run 309390, LB 98, lumi 44.30
Event Veto ['MiniNoiseBurst'], Mon Sep 26 14:34:46 2016 UTC-Mon Sep 26 14:34:46 2016 UTC (0.010 )  Time stamp start 1474900486888476580 end 1474900486878476205  Run 309390, LB 99, lumi 103.02
Event Veto ['MiniNoiseBurst'], Mon Sep 26 14:34:51 2016 UTC-Mon Sep 26 14:34:51 2016 UTC (0.010 )  Time stamp start 1474900491123674735 end 1474900491113674735  Run 309390, LB 99, lumi 103.01
Event Veto ['MiniNoiseBurst'], Mon Sep 26 14:34:51 2016 UTC-Mon Sep 26 14:34:51 2016 UTC (0.010 )  Time stamp start 1474900491578149740 end 1474900491568149540  Run 309390, LB 99, lumi 103.02
Event Veto ['MiniNoiseBurst'], Mon Sep 26 14:34:56 2016 UTC-Mon Sep 26 14:34:56 2016 UTC (0.010 )  Time stamp start 1474900496278728920 end 1474900496268728920  Run 309390, LB 99, lumi 103.01
Event Veto ['MiniNoiseBurst'], Mon Sep 26 14:35:00 2016 UTC-Mon Sep 26 14:35:00 2016 UTC (0.010 )  Time stamp start 1474900500937421995 end 1474900500927421995  Run 309390, LB 99, lumi 103.01
Event Veto ['MiniNoiseBurst'], Mon Sep 26 14:35:05 2016 UTC-Mon Sep 26 14:35:05 2016 UTC (0.010 )  Time stamp start 1474900505655116580 end 1474900505645116580  Run 309390, LB 99, lumi 103.01
Event Veto ['MiniNoiseBurst'], Mon Sep 26 14:35:10 2016 UTC-Mon Sep 26 14:35:10 2016 UTC (0.010 )  Time stamp start 1474900510385878120 end 1474900510375878120  Run 309390, LB 99, lumi 103.01
Event Veto ['MiniNoiseBurst'], Mon Sep 26 14:35:19 2016 UTC-Mon Sep 26 14:35:19 2016 UTC (0.010 )  Time stamp start 1474900519813311950 end 1474900519803311705  Run 309390, LB 99, lumi 103.02
Event Veto ['NoiseBurst'], Mon Sep 26 14:35:28 2016 UTC-Mon Sep 26 14:35:28 2016 UTC (0.010 )  Time stamp start 1474900528530928655 end 1474900528520928030  Run 309390, LB 99, lumi 103.02
Event Veto ['MiniNoiseBurst'], Mon Sep 26 14:35:28 2016 UTC-Mon Sep 26 14:35:28 2016 UTC (0.010 )  Time stamp start 1474900528728321890 end 1474900528718321890  Run 309390, LB 99, lumi 103.01
Event Veto ['MiniNoiseBurst'], Mon Sep 26 14:35:33 2016 UTC-Mon Sep 26 14:35:33 2016 UTC (0.010 )  Time stamp start 1474900533026743975 end 1474900533016743975  Run 309390, LB 99, lumi 103.01
Event Veto ['MiniNoiseBurst'], Mon Sep 26 14:35:37 2016 UTC-Mon Sep 26 14:35:37 2016 UTC (0.010 )  Time stamp start 1474900537245323765 end 1474900537235255175  Run 309390, LB 99, lumi 103.72
Event Veto ['MiniNoiseBurst'], Mon Sep 26 14:35:41 2016 UTC-Mon Sep 26 14:35:41 2016 UTC (0.010 )  Time stamp start 1474900541424531140 end 1474900541414531140  Run 309390, LB 99, lumi 103.01
Event Veto ['MiniNoiseBurst'], Mon Sep 26 14:35:49 2016 UTC-Mon Sep 26 14:35:49 2016 UTC (0.010 )  Time stamp start 1474900549486578410 end 1474900549476578010  Run 309390, LB 100, lumi 114.06
Event Veto ['MiniNoiseBurst'], Mon Sep 26 14:35:53 2016 UTC-Mon Sep 26 14:35:53 2016 UTC (0.010 )  Time stamp start 1474900553551196020 end 1474900553541196020  Run 309390, LB 100, lumi 114.05
Event Veto ['NoiseBurst'], Mon Sep 26 14:35:54 2016 UTC-Mon Sep 26 14:35:54 2016 UTC (0.025 )  Time stamp start 1474900554341105025 end 1474900554316509015  Run 309390, LB 100, lumi 280.53
Event Veto ['MiniNoiseBurst'], Mon Sep 26 14:35:57 2016 UTC-Mon Sep 26 14:35:57 2016 UTC (0.016 )  Time stamp start 1474900557528634075 end 1474900557512481570  Run 309390, LB 100, lumi 184.23
Event Veto ['MiniNoiseBurst'], Mon Sep 26 14:36:01 2016 UTC-Mon Sep 26 14:36:01 2016 UTC (0.010 )  Time stamp start 1474900561339325735 end 1474900561329325735  Run 309390, LB 100, lumi 114.05
Event Veto ['MiniNoiseBurst'], Mon Sep 26 14:36:05 2016 UTC-Mon Sep 26 14:36:05 2016 UTC (0.016 )  Time stamp start 1474900565193624705 end 1474900565177228455  Run 309390, LB 100, lumi 187.01
Event Veto ['MiniNoiseBurst'], Mon Sep 26 14:36:05 2016 UTC-Mon Sep 26 14:36:05 2016 UTC (0.011 )  Time stamp start 1474900565287809780 end 1474900565276483450  Run 309390, LB 100, lumi 129.18
Event Veto ['MiniNoiseBurst'], Mon Sep 26 14:36:13 2016 UTC-Mon Sep 26 14:36:13 2016 UTC (0.019 )  Time stamp start 1474900573117232520 end 1474900573098005785  Run 309390, LB 100, lumi 219.29
Event Veto ['MiniNoiseBurst'], Mon Sep 26 14:36:16 2016 UTC-Mon Sep 26 14:36:16 2016 UTC (0.010 )  Time stamp start 1474900576993660950 end 1474900576983660950  Run 309390, LB 100, lumi 114.05
Event Veto ['MiniNoiseBurst'], Mon Sep 26 14:36:21 2016 UTC-Mon Sep 26 14:36:21 2016 UTC (0.010 )  Time stamp start 1474900581091489265 end 1474900581081489265  Run 309390, LB 100, lumi 114.05
Event Veto ['MiniNoiseBurst'], Mon Sep 26 14:36:25 2016 UTC-Mon Sep 26 14:36:25 2016 UTC (0.010 )  Time stamp start 1474900585195145425 end 1474900585185145300  Run 309390, LB 100, lumi 114.06
Event Veto ['MiniNoiseBurst'], Mon Sep 26 14:36:29 2016 UTC-Mon Sep 26 14:36:29 2016 UTC (0.014 )  Time stamp start 1474900589275746605 end 1474900589261804835  Run 309390, LB 100, lumi 159.01
Event Veto ['MiniNoiseBurst'], Mon Sep 26 14:36:30 2016 UTC-Mon Sep 26 14:36:30 2016 UTC (0.010 )  Time stamp start 1474900590915263225 end 1474900590905263225  Run 309390, LB 100, lumi 114.05
Event Veto ['MiniNoiseBurst'], Mon Sep 26 14:36:33 2016 UTC-Mon Sep 26 14:36:33 2016 UTC (0.010 )  Time stamp start 1474900593461488355 end 1474900593451488355  Run 309390, LB 100, lumi 114.05
Event Veto ['MiniNoiseBurst'], Mon Sep 26 14:36:37 2016 UTC-Mon Sep 26 14:36:37 2016 UTC (0.017 )  Time stamp start 1474900597801081305 end 1474900597784500920  Run 309390, LB 100, lumi 189.11
Event Veto ['MiniNoiseBurst'], Mon Sep 26 14:36:42 2016 UTC-Mon Sep 26 14:36:42 2016 UTC (0.010 )  Time stamp start 1474900602247698980 end 1474900602237698605  Run 309390, LB 100, lumi 114.06
Event Veto ['MiniNoiseBurst'], Mon Sep 26 14:36:46 2016 UTC-Mon Sep 26 14:36:46 2016 UTC (0.010 )  Time stamp start 1474900606619780985 end 1474900606609780985  Run 309390, LB 101, lumi 91.56
Event Veto ['MiniNoiseBurst'], Mon Sep 26 14:36:51 2016 UTC-Mon Sep 26 14:36:51 2016 UTC (0.010 )  Time stamp start 1474900611138913420 end 1474900611128913420  Run 309390, LB 101, lumi 91.56
Event Veto ['MiniNoiseBurst'], Mon Sep 26 14:36:55 2016 UTC-Mon Sep 26 14:36:55 2016 UTC (0.010 )  Time stamp start 1474900615799539605 end 1474900615789539605  Run 309390, LB 101, lumi 91.56
Event Veto ['MiniNoiseBurst'], Mon Sep 26 14:37:00 2016 UTC-Mon Sep 26 14:37:00 2016 UTC (0.010 )  Time stamp start 1474900620534816580 end 1474900620524816580  Run 309390, LB 101, lumi 91.56
Event Veto ['MiniNoiseBurst'], Mon Sep 26 14:37:05 2016 UTC-Mon Sep 26 14:37:05 2016 UTC (0.010 )  Time stamp start 1474900625263745510 end 1474900625253745310  Run 309390, LB 101, lumi 91.57
Event Veto ['MiniNoiseBurst'], Mon Sep 26 14:37:09 2016 UTC-Mon Sep 26 14:37:09 2016 UTC (0.010 )  Time stamp start 1474900629822425570 end 1474900629812425570  Run 309390, LB 101, lumi 91.56
Event Veto ['MiniNoiseBurst'], Mon Sep 26 14:37:14 2016 UTC-Mon Sep 26 14:37:14 2016 UTC (0.010 )  Time stamp start 1474900634454944965 end 1474900634444944965  Run 309390, LB 101, lumi 91.56
