Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 310015 to 310015
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 310015 to run 310015  lasting from Thu Oct  6 08:50:51 2016 UTC to Thu Oct  6 12:28:18 2016 UTC
Event Veto ['MiniNoiseBurst'], Thu Oct  6 10:04:48 2016 UTC-Thu Oct  6 10:04:48 2016 UTC (0.001 )  Time stamp start 1475748288684069625 end 1475748288683069625  Run 310015, LB 76, lumi 0.00
Event Veto ['MiniNoiseBurst'], Thu Oct  6 10:28:07 2016 UTC-Thu Oct  6 10:28:07 2016 UTC (0.010 )  Time stamp start 1475749687931668460 end 1475749687921668460  Run 310015, LB 101, lumi 0.00
Event Veto ['MiniNoiseBurst'], Thu Oct  6 10:29:01 2016 UTC-Thu Oct  6 10:29:01 2016 UTC (0.010 )  Time stamp start 1475749741740326295 end 1475749741730326295  Run 310015, LB 102, lumi 0.00
Event Veto ['MiniNoiseBurst'], Thu Oct  6 10:31:13 2016 UTC-Thu Oct  6 10:31:13 2016 UTC (0.010 )  Time stamp start 1475749873093268155 end 1475749873083268155  Run 310015, LB 104, lumi 0.00
Event Veto ['MiniNoiseBurst'], Thu Oct  6 10:44:23 2016 UTC-Thu Oct  6 10:44:23 2016 UTC (0.010 )  Time stamp start 1475750663725575395 end 1475750663715575395  Run 310015, LB 118, lumi 42.22
Event Veto ['NoiseBurst'], Thu Oct  6 10:44:26 2016 UTC-Thu Oct  6 10:44:26 2016 UTC (0.013 )  Time stamp start 1475750666418123925 end 1475750666405424180  Run 310015, LB 118, lumi 53.61
Event Veto ['MiniNoiseBurst'], Thu Oct  6 10:44:30 2016 UTC-Thu Oct  6 10:44:30 2016 UTC (0.010 )  Time stamp start 1475750670599253125 end 1475750670589253125  Run 310015, LB 118, lumi 42.22
Event Veto ['MiniNoiseBurst'], Thu Oct  6 10:44:32 2016 UTC-Thu Oct  6 10:44:32 2016 UTC (0.010 )  Time stamp start 1475750672567750220 end 1475750672557750220  Run 310015, LB 118, lumi 42.22
Event Veto ['NoiseBurst'], Thu Oct  6 10:44:33 2016 UTC-Thu Oct  6 10:44:33 2016 UTC (0.016 )  Time stamp start 1475750673087374055 end 1475750673071463250  Run 310015, LB 118, lumi 67.17
Event Veto ['MiniNoiseBurst'], Thu Oct  6 10:44:36 2016 UTC-Thu Oct  6 10:44:36 2016 UTC (0.010 )  Time stamp start 1475750676961878945 end 1475750676951878945  Run 310015, LB 118, lumi 42.22
Event Veto ['MiniNoiseBurst'], Thu Oct  6 10:44:40 2016 UTC-Thu Oct  6 10:44:40 2016 UTC (0.010 )  Time stamp start 1475750680576441495 end 1475750680566441495  Run 310015, LB 118, lumi 42.22
Event Veto ['NoiseBurst'], Thu Oct  6 10:44:41 2016 UTC-Thu Oct  6 10:44:41 2016 UTC (0.010 )  Time stamp start 1475750681579411630 end 1475750681569410885  Run 310015, LB 118, lumi 42.22
Event Veto ['MiniNoiseBurst'], Thu Oct  6 10:44:45 2016 UTC-Thu Oct  6 10:44:45 2016 UTC (0.010 )  Time stamp start 1475750685657378155 end 1475750685647378155  Run 310015, LB 119, lumi 83.71
Event Veto ['NoiseBurst'], Thu Oct  6 10:44:56 2016 UTC-Thu Oct  6 10:44:56 2016 UTC (0.010 )  Time stamp start 1475750696722682885 end 1475750696712670210  Run 310015, LB 119, lumi 83.81
Event Veto ['MiniNoiseBurst'], Thu Oct  6 10:44:58 2016 UTC-Thu Oct  6 10:44:58 2016 UTC (0.010 )  Time stamp start 1475750698740198305 end 1475750698730198305  Run 310015, LB 119, lumi 83.71
Event Veto ['MiniNoiseBurst'], Thu Oct  6 10:45:03 2016 UTC-Thu Oct  6 10:45:03 2016 UTC (0.010 )  Time stamp start 1475750703163485565 end 1475750703153061275  Run 310015, LB 119, lumi 87.26
Event Veto ['MiniNoiseBurst'], Thu Oct  6 10:45:07 2016 UTC-Thu Oct  6 10:45:07 2016 UTC (0.010 )  Time stamp start 1475750707420688545 end 1475750707410688545  Run 310015, LB 119, lumi 83.71
Event Veto ['MiniNoiseBurst'], Thu Oct  6 10:45:28 2016 UTC-Thu Oct  6 10:45:28 2016 UTC (0.010 )  Time stamp start 1475750728814548965 end 1475750728804548965  Run 310015, LB 119, lumi 83.71
Event Veto ['MiniNoiseBurst'], Thu Oct  6 10:45:30 2016 UTC-Thu Oct  6 10:45:30 2016 UTC (0.010 )  Time stamp start 1475750730654174970 end 1475750730644174970  Run 310015, LB 119, lumi 83.71
Event Veto ['NoiseBurst'], Thu Oct  6 10:45:32 2016 UTC-Thu Oct  6 10:45:32 2016 UTC (0.010 )  Time stamp start 1475750732568503135 end 1475750732558489490  Run 310015, LB 119, lumi 83.82
Event Veto ['MiniNoiseBurst'], Thu Oct  6 10:45:37 2016 UTC-Thu Oct  6 10:45:37 2016 UTC (0.010 )  Time stamp start 1475750737395061690 end 1475750737385061690  Run 310015, LB 119, lumi 83.71
Event Veto ['NoiseBurst'], Thu Oct  6 10:45:40 2016 UTC-Thu Oct  6 10:45:40 2016 UTC (0.010 )  Time stamp start 1475750740418599100 end 1475750740408596230  Run 310015, LB 119, lumi 83.73
Event Veto ['MiniNoiseBurst'], Thu Oct  6 10:45:41 2016 UTC-Thu Oct  6 10:45:41 2016 UTC (0.015 )  Time stamp start 1475750741735195920 end 1475750741720216775  Run 310015, LB 119, lumi 125.39
Event Veto ['MiniNoiseBurst'], Thu Oct  6 10:45:55 2016 UTC-Thu Oct  6 10:45:55 2016 UTC (0.010 )  Time stamp start 1475750755453440100 end 1475750755443440100  Run 310015, LB 120, lumi 81.41
Event Veto ['MiniNoiseBurst'], Thu Oct  6 10:46:06 2016 UTC-Thu Oct  6 10:46:06 2016 UTC (0.010 )  Time stamp start 1475750766672287315 end 1475750766662287315  Run 310015, LB 120, lumi 81.41
Event Veto ['MiniNoiseBurst'], Thu Oct  6 10:46:09 2016 UTC-Thu Oct  6 10:46:09 2016 UTC (0.010 )  Time stamp start 1475750769255839685 end 1475750769245839685  Run 310015, LB 120, lumi 81.41
Event Veto ['MiniNoiseBurst'], Thu Oct  6 10:46:21 2016 UTC-Thu Oct  6 10:46:21 2016 UTC (0.014 )  Time stamp start 1475750781770688880 end 1475750781756926485  Run 310015, LB 120, lumi 112.04
Event Veto ['MiniNoiseBurst'], Thu Oct  6 10:46:25 2016 UTC-Thu Oct  6 10:46:25 2016 UTC (0.022 )  Time stamp start 1475750785973488470 end 1475750785951905740  Run 310015, LB 120, lumi 175.71
Event Veto ['MiniNoiseBurst'], Thu Oct  6 10:46:31 2016 UTC-Thu Oct  6 10:46:31 2016 UTC (0.010 )  Time stamp start 1475750791469392635 end 1475750791459392635  Run 310015, LB 120, lumi 81.41
Event Veto ['MiniNoiseBurst'], Thu Oct  6 10:46:32 2016 UTC-Thu Oct  6 10:46:32 2016 UTC (0.010 )  Time stamp start 1475750792148216310 end 1475750792138216310  Run 310015, LB 120, lumi 81.41
Event Veto ['MiniNoiseBurst'], Thu Oct  6 10:46:32 2016 UTC-Thu Oct  6 10:46:32 2016 UTC (0.010 )  Time stamp start 1475750792823327490 end 1475750792813327490  Run 310015, LB 120, lumi 81.41
Event Veto ['MiniNoiseBurst'], Thu Oct  6 10:46:33 2016 UTC-Thu Oct  6 10:46:33 2016 UTC (0.010 )  Time stamp start 1475750793409095955 end 1475750793399095955  Run 310015, LB 120, lumi 81.41
Event Veto ['MiniNoiseBurst'], Thu Oct  6 10:46:34 2016 UTC-Thu Oct  6 10:46:34 2016 UTC (0.010 )  Time stamp start 1475750794579214570 end 1475750794569214570  Run 310015, LB 120, lumi 81.41
Event Veto ['MiniNoiseBurst'], Thu Oct  6 10:46:34 2016 UTC-Thu Oct  6 10:46:34 2016 UTC (0.010 )  Time stamp start 1475750794719780750 end 1475750794709780750  Run 310015, LB 120, lumi 81.41
Event Veto ['MiniNoiseBurst'], Thu Oct  6 10:46:35 2016 UTC-Thu Oct  6 10:46:35 2016 UTC (0.010 )  Time stamp start 1475750795145132005 end 1475750795135132005  Run 310015, LB 120, lumi 81.41
Event Veto ['MiniNoiseBurst'], Thu Oct  6 10:46:36 2016 UTC-Thu Oct  6 10:46:36 2016 UTC (0.010 )  Time stamp start 1475750796152707920 end 1475750796142707920  Run 310015, LB 120, lumi 81.41
Event Veto ['MiniNoiseBurst'], Thu Oct  6 10:46:36 2016 UTC-Thu Oct  6 10:46:36 2016 UTC (0.010 )  Time stamp start 1475750796635769890 end 1475750796625769890  Run 310015, LB 120, lumi 81.41
