Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 310247 to 310247
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 310247 to run 310247  lasting from Sun Oct  9 01:34:32 2016 UTC to Sun Oct  9 09:41:02 2016 UTC
Event Veto ['MiniNoiseBurst'], Sun Oct  9 02:33:32 2016 UTC-Sun Oct  9 02:33:32 2016 UTC (0.004 )  Time stamp start 1475980412160749560 end 1475980412156249560  Run 310247, LB 61, lumi 0.00
Event Veto ['MiniNoiseBurst', 'DataCorruption'], Sun Oct  9 02:33:32 2016 UTC-Sun Oct  9 02:33:32 2016 UTC (0.001 )  Time stamp start 1475980412161750780 end 1475980412160749560  Run 310247, LB 61, lumi 0.00
Event Veto ['DataCorruption'], Sun Oct  9 02:33:32 2016 UTC-Sun Oct  9 04:31:37 2016 UTC (7085.322 )  Time stamp start 1475987497484016165 end 1475980412161750780  Run 310247, LBs 61-182, lumi 1079.73
Event Veto ['MiniNoiseBurst', 'DataCorruption'], Sun Oct  9 04:31:37 2016 UTC-Sun Oct  9 04:31:37 2016 UTC (0.001 )  Time stamp start 1475987497485016315 end 1475987497484016165  Run 310247, LB 182, lumi 0.00
Event Veto ['DataCorruption'], Sun Oct  9 04:31:37 2016 UTC-Sun Oct  9 05:36:52 2016 UTC (3914.990 )  Time stamp start 1475991412474817435 end 1475987497485016315  Run 310247, LBs 182-252, lumi 555.92
Event Veto ['MiniNoiseBurst', 'DataCorruption'], Sun Oct  9 05:36:52 2016 UTC-Sun Oct  9 05:36:52 2016 UTC (0.001 )  Time stamp start 1475991412475817585 end 1475991412474817435  Run 310247, LB 252, lumi 0.00
Event Veto ['DataCorruption'], Sun Oct  9 05:36:52 2016 UTC-Sun Oct  9 08:27:32 2016 UTC (10239.723 )  Time stamp start 1476001652198988425 end 1475991412475817585  Run 310247, LBs 252-427, lumi 83105.48
Event Veto ['MiniNoiseBurst', 'DataCorruption'], Sun Oct  9 08:27:32 2016 UTC-Sun Oct  9 08:27:32 2016 UTC (0.001 )  Time stamp start 1476001652199988425 end 1476001652198988425  Run 310247, LB 427, lumi 2.46
Event Veto ['DataCorruption'], Sun Oct  9 08:27:32 2016 UTC-Sun Oct  9 08:27:36 2016 UTC (4.315 )  Time stamp start 1476001656515262185 end 1476001652199988425  Run 310247, LB 427, lumi 10606.50
Event Veto ['MiniNoiseBurst', 'DataCorruption'], Sun Oct  9 08:27:36 2016 UTC-Sun Oct  9 08:27:36 2016 UTC (0.001 )  Time stamp start 1476001656516262385 end 1476001656515262185  Run 310247, LB 427, lumi 2.46
