Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 311287 to 311287
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 311287 to run 311287  lasting from Sun Oct 23 02:42:08 2016 UTC to Sun Oct 23 19:40:54 2016 UTC
Event Veto ['MiniNoiseBurst'], Sun Oct 23 02:49:05 2016 UTC-Sun Oct 23 02:49:05 2016 UTC (0.000 )  Time stamp start 1477190945458976815 end 1477190945458976515  Run 311287, LB 11, lumi 0.00
Event Veto ['MiniNoiseBurst'], Sun Oct 23 02:49:05 2016 UTC-Sun Oct 23 02:49:05 2016 UTC (0.001 )  Time stamp start 1477190945459976815 end 1477190945458976815  Run 311287, LB 11, lumi 0.00
Event Veto ['MiniNoiseBurst'], Sun Oct 23 03:26:59 2016 UTC-Sun Oct 23 03:26:59 2016 UTC (0.000 )  Time stamp start 1477193219122347450 end 1477193219122347150  Run 311287, LB 56, lumi 0.00
Event Veto ['MiniNoiseBurst'], Sun Oct 23 03:26:59 2016 UTC-Sun Oct 23 03:26:59 2016 UTC (0.001 )  Time stamp start 1477193219123347450 end 1477193219122347450  Run 311287, LB 56, lumi 0.00
Event Veto ['MiniNoiseBurst'], Sun Oct 23 03:28:07 2016 UTC-Sun Oct 23 03:28:07 2016 UTC (0.001 )  Time stamp start 1477193287361491480 end 1477193287360491480  Run 311287, LB 57, lumi 0.00
Event Veto ['MiniNoiseBurst'], Sun Oct 23 03:32:52 2016 UTC-Sun Oct 23 03:32:52 2016 UTC (0.001 )  Time stamp start 1477193572533374510 end 1477193572532374510  Run 311287, LB 61, lumi 0.00
Event Veto ['MiniNoiseBurst'], Sun Oct 23 03:33:08 2016 UTC-Sun Oct 23 03:33:08 2016 UTC (0.001 )  Time stamp start 1477193588885254075 end 1477193588884254075  Run 311287, LB 62, lumi 6.09
Event Veto ['MiniNoiseBurst'], Sun Oct 23 03:33:09 2016 UTC-Sun Oct 23 03:33:09 2016 UTC (0.001 )  Time stamp start 1477193589572491645 end 1477193589571491645  Run 311287, LB 62, lumi 6.09
Event Veto ['MiniNoiseBurst'], Sun Oct 23 03:33:12 2016 UTC-Sun Oct 23 03:33:12 2016 UTC (0.001 )  Time stamp start 1477193592908527600 end 1477193592907527600  Run 311287, LB 62, lumi 6.09
Event Veto ['MiniNoiseBurst'], Sun Oct 23 03:33:14 2016 UTC-Sun Oct 23 03:33:14 2016 UTC (0.001 )  Time stamp start 1477193594171465970 end 1477193594170465970  Run 311287, LB 62, lumi 6.09
Event Veto ['NoiseBurst'], Sun Oct 23 03:33:14 2016 UTC-Sun Oct 23 03:33:14 2016 UTC (0.009 )  Time stamp start 1477193594689194395 end 1477193594680413680  Run 311287, LB 62, lumi 53.49
