Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 311321 to 311321
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 311321 to run 311321  lasting from Sun Oct 23 20:48:42 2016 UTC to Mon Oct 24 13:46:58 2016 UTC
Event Veto ['MiniNoiseBurst'], Sun Oct 23 20:54:32 2016 UTC-Sun Oct 23 20:54:32 2016 UTC (0.001 )  Time stamp start 1477256072792029965 end 1477256072791029965  Run 311321, LB 7, lumi 0.00
Event Veto ['MiniNoiseBurst'], Sun Oct 23 21:14:23 2016 UTC-Sun Oct 23 21:14:23 2016 UTC (0.001 )  Time stamp start 1477257263816975470 end 1477257263815975470  Run 311321, LB 29, lumi 0.00
Event Veto ['MiniNoiseBurst'], Sun Oct 23 21:32:36 2016 UTC-Sun Oct 23 21:32:36 2016 UTC (0.001 )  Time stamp start 1477258356020015855 end 1477258356019015855  Run 311321, LB 48, lumi 0.00
Event Veto ['MiniNoiseBurst'], Sun Oct 23 21:56:44 2016 UTC-Sun Oct 23 21:56:44 2016 UTC (0.001 )  Time stamp start 1477259804151353680 end 1477259804150353680  Run 311321, LB 72, lumi 0.00
Event Veto ['MiniNoiseBurst'], Sun Oct 23 21:57:52 2016 UTC-Sun Oct 23 21:57:52 2016 UTC (0.001 )  Time stamp start 1477259872387547410 end 1477259872386547410  Run 311321, LB 73, lumi 0.00
Event Veto ['MiniNoiseBurst'], Sun Oct 23 22:01:47 2016 UTC-Sun Oct 23 22:01:47 2016 UTC (0.001 )  Time stamp start 1477260107575803895 end 1477260107574803895  Run 311321, LB 77, lumi 0.00
Event Veto ['MiniNoiseBurst'], Sun Oct 23 22:07:33 2016 UTC-Sun Oct 23 22:07:33 2016 UTC (0.001 )  Time stamp start 1477260453297967215 end 1477260453296967215  Run 311321, LB 83, lumi 0.00
Event Veto ['MiniNoiseBurst'], Sun Oct 23 22:07:41 2016 UTC-Sun Oct 23 22:07:41 2016 UTC (0.001 )  Time stamp start 1477260461261931915 end 1477260461260931915  Run 311321, LB 83, lumi 0.00
Event Veto ['NoiseBurst'], Sun Oct 23 22:23:47 2016 UTC-Sun Oct 23 22:23:47 2016 UTC (0.010 )  Time stamp start 1477261427519449270 end 1477261427509448145  Run 311321, LB 99, lumi 27.65
Event Veto ['MiniNoiseBurst'], Sun Oct 23 22:23:49 2016 UTC-Sun Oct 23 22:23:49 2016 UTC (0.001 )  Time stamp start 1477261429129480850 end 1477261429128480555  Run 311321, LB 99, lumi 2.77
Event Veto ['MiniNoiseBurst'], Sun Oct 23 22:23:49 2016 UTC-Sun Oct 23 22:23:49 2016 UTC (0.001 )  Time stamp start 1477261429409902140 end 1477261429408902140  Run 311321, LB 99, lumi 2.76
