Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 331462 to 331462
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 331462 to run 331462  lasting from Tue Aug  1 21:31:30 2017 UTC to Wed Aug  2 08:35:05 2017 UTC
Event Veto ['MiniNoiseBurst'], Tue Aug  1 23:45:15 2017 UTC-Tue Aug  1 23:45:15 2017 UTC (0.001 )  Time stamp start 1501631115568277035 end 1501631115567277035  Run 331462, LB 137, lumi 0.00
Event Veto ['MiniNoiseBurst'], Tue Aug  1 23:54:39 2017 UTC-Tue Aug  1 23:54:39 2017 UTC (0.001 )  Time stamp start 1501631679120326575 end 1501631679119326575  Run 331462, LB 148, lumi 0.00
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Wed Aug  2 01:59:13 2017 UTC-Wed Aug  2 01:59:13 2017 UTC (0.001 )  Time stamp start 1501639153167413715 end 1501639153166413715  Run 331462, LB 277, lumi 0.00
Event Veto ['MiniNoiseBurst'], Wed Aug  2 02:00:59 2017 UTC-Wed Aug  2 02:00:59 2017 UTC (0.001 )  Time stamp start 1501639259785563910 end 1501639259784563910  Run 331462, LB 279, lumi 0.00
Event Veto ['MiniNoiseBurst'], Wed Aug  2 02:05:22 2017 UTC-Wed Aug  2 02:05:22 2017 UTC (0.001 )  Time stamp start 1501639522058651965 end 1501639522057651965  Run 331462, LB 283, lumi 0.00
Event Veto ['MiniNoiseBurst'], Wed Aug  2 02:07:48 2017 UTC-Wed Aug  2 02:07:48 2017 UTC (0.001 )  Time stamp start 1501639668846227150 end 1501639668845227150  Run 331462, LB 286, lumi 0.00
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Wed Aug  2 02:12:48 2017 UTC-Wed Aug  2 02:12:48 2017 UTC (0.001 )  Time stamp start 1501639968473411670 end 1501639968472411670  Run 331462, LB 291, lumi 0.00
Event Veto ['MiniNoiseBurst'], Wed Aug  2 04:20:23 2017 UTC-Wed Aug  2 04:20:23 2017 UTC (0.001 )  Time stamp start 1501647623152602955 end 1501647623151602955  Run 331462, LB 423, lumi 0.00
Event Veto ['MiniNoiseBurst'], Wed Aug  2 04:20:39 2017 UTC-Wed Aug  2 04:20:39 2017 UTC (0.001 )  Time stamp start 1501647639226045720 end 1501647639225045720  Run 331462, LB 423, lumi 0.00
Event Veto ['MiniNoiseBurst'], Wed Aug  2 04:22:44 2017 UTC-Wed Aug  2 04:22:44 2017 UTC (0.001 )  Time stamp start 1501647764753134320 end 1501647764752134320  Run 331462, LB 425, lumi 0.00
Event Veto ['MiniNoiseBurst'], Wed Aug  2 04:24:00 2017 UTC-Wed Aug  2 04:24:00 2017 UTC (0.001 )  Time stamp start 1501647840202463160 end 1501647840201463160  Run 331462, LB 426, lumi 0.00
Event Veto ['MiniNoiseBurst'], Wed Aug  2 04:28:13 2017 UTC-Wed Aug  2 04:28:13 2017 UTC (0.001 )  Time stamp start 1501648093993102390 end 1501648093992102390  Run 331462, LB 431, lumi 0.00
Event Veto ['MiniNoiseBurst'], Wed Aug  2 04:31:53 2017 UTC-Wed Aug  2 04:31:53 2017 UTC (0.001 )  Time stamp start 1501648313913482070 end 1501648313912482070  Run 331462, LB 434, lumi 0.00
Event Veto ['MiniNoiseBurst'], Wed Aug  2 04:35:31 2017 UTC-Wed Aug  2 04:35:31 2017 UTC (0.001 )  Time stamp start 1501648531025597330 end 1501648531024597330  Run 331462, LB 438, lumi 0.00
Event Veto ['MiniNoiseBurst'], Wed Aug  2 04:39:31 2017 UTC-Wed Aug  2 04:39:31 2017 UTC (0.002 )  Time stamp start 1501648771507846935 end 1501648771506233195  Run 331462, LB 443, lumi 21.83
Event Veto ['MiniNoiseBurst'], Wed Aug  2 04:39:32 2017 UTC-Wed Aug  2 04:39:32 2017 UTC (0.001 )  Time stamp start 1501648772430417045 end 1501648772429417045  Run 331462, LB 443, lumi 13.53
Event Veto ['MiniNoiseBurst'], Wed Aug  2 04:39:38 2017 UTC-Wed Aug  2 04:39:38 2017 UTC (0.001 )  Time stamp start 1501648778919746425 end 1501648778918746425  Run 331462, LB 443, lumi 13.53
Event Veto ['MiniNoiseBurst'], Wed Aug  2 04:40:12 2017 UTC-Wed Aug  2 04:40:12 2017 UTC (0.001 )  Time stamp start 1501648812373145970 end 1501648812372145970  Run 331462, LB 443, lumi 13.53
Event Veto ['NoiseBurst'], Wed Aug  2 04:40:43 2017 UTC-Wed Aug  2 04:40:43 2017 UTC (0.001 )  Time stamp start 1501648843912796320 end 1501648843911796195  Run 331462, LB 444, lumi 14.21
Event Veto ['NoiseBurst'], Wed Aug  2 04:40:48 2017 UTC-Wed Aug  2 04:40:48 2017 UTC (0.001 )  Time stamp start 1501648848525770705 end 1501648848524770555  Run 331462, LB 444, lumi 14.21
Event Veto ['MiniNoiseBurst'], Wed Aug  2 04:41:40 2017 UTC-Wed Aug  2 04:41:40 2017 UTC (0.001 )  Time stamp start 1501648900907794985 end 1501648900906794860  Run 331462, LB 445, lumi 13.72
Event Veto ['MiniNoiseBurst'], Wed Aug  2 04:41:50 2017 UTC-Wed Aug  2 04:41:50 2017 UTC (0.001 )  Time stamp start 1501648910584863310 end 1501648910583863310  Run 331462, LB 445, lumi 13.72
Event Veto ['NoiseBurst'], Wed Aug  2 04:43:43 2017 UTC-Wed Aug  2 04:43:43 2017 UTC (0.001 )  Time stamp start 1501649023951084795 end 1501649023950084670  Run 331462, LB 447, lumi 15.95
Event Veto ['NoiseBurst'], Wed Aug  2 04:44:05 2017 UTC-Wed Aug  2 04:44:05 2017 UTC (0.001 )  Time stamp start 1501649045075088725 end 1501649045074088605  Run 331462, LB 447, lumi 15.95
Event Veto ['NoiseBurst'], Wed Aug  2 04:44:14 2017 UTC-Wed Aug  2 04:44:14 2017 UTC (0.001 )  Time stamp start 1501649054999024685 end 1501649054998024535  Run 331462, LB 447, lumi 15.95
Event Veto ['NoiseBurst'], Wed Aug  2 04:44:19 2017 UTC-Wed Aug  2 04:44:19 2017 UTC (0.001 )  Time stamp start 1501649059120421995 end 1501649059119421845  Run 331462, LB 447, lumi 15.95
Event Veto ['MiniNoiseBurst'], Wed Aug  2 04:46:42 2017 UTC-Wed Aug  2 04:46:42 2017 UTC (0.001 )  Time stamp start 1501649202492429900 end 1501649202491429900  Run 331462, LB 450, lumi 15.88
Event Veto ['MiniNoiseBurst'], Wed Aug  2 04:46:43 2017 UTC-Wed Aug  2 04:46:43 2017 UTC (0.001 )  Time stamp start 1501649203583838600 end 1501649203582838600  Run 331462, LB 450, lumi 15.88
Event Veto ['MiniNoiseBurst'], Wed Aug  2 04:47:15 2017 UTC-Wed Aug  2 04:47:15 2017 UTC (0.001 )  Time stamp start 1501649235660245325 end 1501649235659245325  Run 331462, LB 450, lumi 15.88
Event Veto ['MiniNoiseBurst'], Wed Aug  2 04:48:34 2017 UTC-Wed Aug  2 04:48:34 2017 UTC (0.001 )  Time stamp start 1501649314417769610 end 1501649314416769610  Run 331462, LB 452, lumi 15.81
Event Veto ['MiniNoiseBurst'], Wed Aug  2 04:48:49 2017 UTC-Wed Aug  2 04:48:49 2017 UTC (0.001 )  Time stamp start 1501649329582862675 end 1501649329581862675  Run 331462, LB 452, lumi 15.81
