Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 331860 to 331860
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 331860 to run 331860  lasting from Mon Aug  7 01:55:57 2017 UTC to Mon Aug  7 12:00:48 2017 UTC
Event Veto ['MiniNoiseBurst'], Mon Aug  7 02:21:39 2017 UTC-Mon Aug  7 02:21:39 2017 UTC (0.001 )  Time stamp start 1502072499301877230 end 1502072499300876605  Run 331860, LB 30, lumi 0.00
Event Veto ['MiniNoiseBurst'], Mon Aug  7 02:34:08 2017 UTC-Mon Aug  7 02:34:08 2017 UTC (0.001 )  Time stamp start 1502073248742919710 end 1502073248741919710  Run 331860, LB 43, lumi 0.00
Event Veto ['MiniNoiseBurst'], Mon Aug  7 02:34:13 2017 UTC-Mon Aug  7 02:34:13 2017 UTC (0.001 )  Time stamp start 1502073253963526175 end 1502073253962526175  Run 331860, LB 43, lumi 0.00
Event Veto ['MiniNoiseBurst'], Mon Aug  7 02:37:26 2017 UTC-Mon Aug  7 02:37:26 2017 UTC (0.001 )  Time stamp start 1502073446236020450 end 1502073446235020450  Run 331860, LB 48, lumi 0.00
Event Veto ['MiniNoiseBurst'], Mon Aug  7 02:39:13 2017 UTC-Mon Aug  7 02:39:13 2017 UTC (0.001 )  Time stamp start 1502073553345377375 end 1502073553344377375  Run 331860, LB 49, lumi 0.00
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Mon Aug  7 02:49:25 2017 UTC-Mon Aug  7 02:49:25 2017 UTC (0.001 )  Time stamp start 1502074165372219645 end 1502074165371219470  Run 331860, LB 60, lumi 1.57
Event Veto ['MiniNoiseBurst'], Mon Aug  7 02:49:28 2017 UTC-Mon Aug  7 02:49:28 2017 UTC (0.001 )  Time stamp start 1502074168180278590 end 1502074168179278465  Run 331860, LB 60, lumi 1.57
Event Veto ['MiniNoiseBurst'], Mon Aug  7 02:49:33 2017 UTC-Mon Aug  7 02:49:33 2017 UTC (0.001 )  Time stamp start 1502074173743412840 end 1502074173742411690  Run 331860, LB 60, lumi 1.57
Event Veto ['MiniNoiseBurst'], Mon Aug  7 02:49:42 2017 UTC-Mon Aug  7 02:49:42 2017 UTC (0.001 )  Time stamp start 1502074182561743345 end 1502074182560742100  Run 331860, LB 61, lumi 11.91
Event Veto ['MiniNoiseBurst'], Mon Aug  7 02:49:48 2017 UTC-Mon Aug  7 02:49:48 2017 UTC (0.001 )  Time stamp start 1502074188514424305 end 1502074188513423110  Run 331860, LB 61, lumi 11.91
Event Veto ['MiniNoiseBurst'], Mon Aug  7 02:50:31 2017 UTC-Mon Aug  7 02:50:31 2017 UTC (0.001 )  Time stamp start 1502074231127858310 end 1502074231126857860  Run 331860, LB 61, lumi 11.90
Event Veto ['MiniNoiseBurst'], Mon Aug  7 02:51:47 2017 UTC-Mon Aug  7 02:51:47 2017 UTC (0.001 )  Time stamp start 1502074307289076120 end 1502074307288076120  Run 331860, LB 63, lumi 12.98
Event Veto ['MiniNoiseBurst'], Mon Aug  7 02:53:57 2017 UTC-Mon Aug  7 02:53:57 2017 UTC (0.001 )  Time stamp start 1502074437080886155 end 1502074437079885660  Run 331860, LB 65, lumi 14.96
Event Veto ['MiniNoiseBurst'], Mon Aug  7 02:54:07 2017 UTC-Mon Aug  7 02:54:07 2017 UTC (0.001 )  Time stamp start 1502074447295542745 end 1502074447294542745  Run 331860, LB 65, lumi 14.95
Event Veto ['MiniNoiseBurst'], Mon Aug  7 02:55:27 2017 UTC-Mon Aug  7 02:55:27 2017 UTC (0.001 )  Time stamp start 1502074527101527450 end 1502074527100527450  Run 331860, LB 68, lumi 14.91
Event Veto ['MiniNoiseBurst'], Mon Aug  7 02:57:22 2017 UTC-Mon Aug  7 02:57:22 2017 UTC (0.001 )  Time stamp start 1502074642718073250 end 1502074642717073250  Run 331860, LB 70, lumi 14.85
Event Veto ['MiniNoiseBurst'], Mon Aug  7 02:57:52 2017 UTC-Mon Aug  7 02:57:52 2017 UTC (0.001 )  Time stamp start 1502074672913262575 end 1502074672912262575  Run 331860, LB 71, lumi 14.79
Event Veto ['NoiseBurst'], Mon Aug  7 02:57:55 2017 UTC-Mon Aug  7 02:57:55 2017 UTC (0.001 )  Time stamp start 1502074675348831435 end 1502074675347830815  Run 331860, LB 71, lumi 14.80
Event Veto ['MiniNoiseBurst'], Mon Aug  7 02:58:23 2017 UTC-Mon Aug  7 02:58:23 2017 UTC (0.001 )  Time stamp start 1502074703634129620 end 1502074703633129620  Run 331860, LB 71, lumi 14.79
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Mon Aug  7 02:58:46 2017 UTC-Mon Aug  7 02:58:46 2017 UTC (0.001 )  Time stamp start 1502074726114765235 end 1502074726113765235  Run 331860, LB 73, lumi 14.75
Event Veto ['MiniNoiseBurst'], Mon Aug  7 02:59:04 2017 UTC-Mon Aug  7 02:59:04 2017 UTC (0.001 )  Time stamp start 1502074744704724455 end 1502074744703724280  Run 331860, LB 73, lumi 14.75
Event Veto ['MiniNoiseBurst'], Mon Aug  7 02:59:13 2017 UTC-Mon Aug  7 02:59:13 2017 UTC (0.001 )  Time stamp start 1502074753291898210 end 1502074753290898210  Run 331860, LB 73, lumi 14.75
Event Veto ['MiniNoiseBurst'], Mon Aug  7 02:59:41 2017 UTC-Mon Aug  7 02:59:41 2017 UTC (0.001 )  Time stamp start 1502074781720989105 end 1502074781719989105  Run 331860, LB 74, lumi 14.70
Event Veto ['MiniNoiseBurst'], Mon Aug  7 02:59:57 2017 UTC-Mon Aug  7 02:59:57 2017 UTC (0.001 )  Time stamp start 1502074797112500455 end 1502074797111500030  Run 331860, LB 74, lumi 14.71
