Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 331875 to 331875
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 331875 to run 331875  lasting from Mon Aug  7 14:31:27 2017 UTC to Tue Aug  8 08:21:29 2017 UTC
Event Veto ['MiniNoiseBurst'], Mon Aug  7 14:36:10 2017 UTC-Mon Aug  7 14:36:10 2017 UTC (0.001 )  Time stamp start 1502116570550378365 end 1502116570549377415  Run 331875, LB 7, lumi 0.00
Event Veto ['MiniNoiseBurst'], Mon Aug  7 14:42:28 2017 UTC-Mon Aug  7 14:42:28 2017 UTC (0.001 )  Time stamp start 1502116948713224675 end 1502116948712223630  Run 331875, LB 13, lumi 0.00
Event Veto ['MiniNoiseBurst'], Mon Aug  7 14:49:02 2017 UTC-Mon Aug  7 14:49:02 2017 UTC (0.001 )  Time stamp start 1502117342970989145 end 1502117342969988745  Run 331875, LB 21, lumi 0.00
Event Veto ['MiniNoiseBurst'], Mon Aug  7 14:55:30 2017 UTC-Mon Aug  7 14:55:30 2017 UTC (0.001 )  Time stamp start 1502117730741503425 end 1502117730740502900  Run 331875, LB 27, lumi 0.00
Event Veto ['MiniNoiseBurst'], Mon Aug  7 15:02:39 2017 UTC-Mon Aug  7 15:02:39 2017 UTC (0.001 )  Time stamp start 1502118159894455920 end 1502118159893455620  Run 331875, LB 34, lumi 0.00
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Mon Aug  7 15:10:02 2017 UTC-Mon Aug  7 15:10:02 2017 UTC (0.001 )  Time stamp start 1502118602907889645 end 1502118602906889645  Run 331875, LB 42, lumi 0.00
Event Veto ['MiniNoiseBurst'], Mon Aug  7 15:16:42 2017 UTC-Mon Aug  7 15:16:42 2017 UTC (0.001 )  Time stamp start 1502119002121097085 end 1502119002120097085  Run 331875, LB 50, lumi 0.00
Event Veto ['MiniNoiseBurst'], Mon Aug  7 15:18:41 2017 UTC-Mon Aug  7 15:18:41 2017 UTC (0.001 )  Time stamp start 1502119121320828990 end 1502119121319828320  Run 331875, LB 52, lumi 0.00
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Mon Aug  7 15:27:25 2017 UTC-Mon Aug  7 15:27:25 2017 UTC (0.001 )  Time stamp start 1502119645309160495 end 1502119645308160495  Run 331875, LB 60, lumi 0.00
Event Veto ['MiniNoiseBurst'], Mon Aug  7 15:28:40 2017 UTC-Mon Aug  7 15:28:40 2017 UTC (0.001 )  Time stamp start 1502119720963881455 end 1502119720962880335  Run 331875, LB 62, lumi 9.86
Event Veto ['MiniNoiseBurst'], Mon Aug  7 15:28:44 2017 UTC-Mon Aug  7 15:28:44 2017 UTC (0.001 )  Time stamp start 1502119724593240410 end 1502119724592240410  Run 331875, LB 62, lumi 9.85
Event Veto ['MiniNoiseBurst'], Mon Aug  7 15:28:44 2017 UTC-Mon Aug  7 15:28:44 2017 UTC (0.001 )  Time stamp start 1502119724900865440 end 1502119724899865140  Run 331875, LB 62, lumi 9.85
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Mon Aug  7 15:28:48 2017 UTC-Mon Aug  7 15:28:48 2017 UTC (0.001 )  Time stamp start 1502119728135663955 end 1502119728134663805  Run 331875, LB 62, lumi 9.85
