Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 331905 to 331905
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 331905 to run 331905  lasting from Tue Aug  8 09:45:00 2017 UTC to Tue Aug  8 11:56:32 2017 UTC
Event Veto ['MiniNoiseBurst'], Tue Aug  8 10:30:06 2017 UTC-Tue Aug  8 10:30:06 2017 UTC (0.001 )  Time stamp start 1502188206316069535 end 1502188206315069535  Run 331905, LB 49, lumi 0.00
Event Veto ['MiniNoiseBurst'], Tue Aug  8 10:35:24 2017 UTC-Tue Aug  8 10:35:24 2017 UTC (0.001 )  Time stamp start 1502188524282868830 end 1502188524281868830  Run 331905, LB 54, lumi 0.00
Event Veto ['MiniNoiseBurst'], Tue Aug  8 10:41:08 2017 UTC-Tue Aug  8 10:41:08 2017 UTC (0.001 )  Time stamp start 1502188868332271705 end 1502188868331271705  Run 331905, LB 60, lumi 3.18
Event Veto ['MiniNoiseBurst'], Tue Aug  8 10:41:34 2017 UTC-Tue Aug  8 10:41:34 2017 UTC (0.001 )  Time stamp start 1502188894692110585 end 1502188894691110585  Run 331905, LB 61, lumi 12.35
Event Veto ['MiniNoiseBurst'], Tue Aug  8 10:42:14 2017 UTC-Tue Aug  8 10:42:14 2017 UTC (0.001 )  Time stamp start 1502188934815669755 end 1502188934814669755  Run 331905, LB 61, lumi 12.35
Event Veto ['MiniNoiseBurst'], Tue Aug  8 10:42:28 2017 UTC-Tue Aug  8 10:42:28 2017 UTC (0.001 )  Time stamp start 1502188948779178610 end 1502188948778178610  Run 331905, LB 62, lumi 11.38
Event Veto ['NoiseBurst'], Tue Aug  8 10:43:32 2017 UTC-Tue Aug  8 10:43:32 2017 UTC (0.001 )  Time stamp start 1502189012507973350 end 1502189012506972400  Run 331905, LB 63, lumi 13.56
Event Veto ['MiniNoiseBurst'], Tue Aug  8 10:43:32 2017 UTC-Tue Aug  8 10:43:32 2017 UTC (0.001 )  Time stamp start 1502189012859493795 end 1502189012858493795  Run 331905, LB 63, lumi 13.55
Event Veto ['MiniNoiseBurst'], Tue Aug  8 10:43:37 2017 UTC-Tue Aug  8 10:43:37 2017 UTC (0.001 )  Time stamp start 1502189017235532320 end 1502189017234532320  Run 331905, LB 63, lumi 13.55
Event Veto ['MiniNoiseBurst'], Tue Aug  8 10:43:54 2017 UTC-Tue Aug  8 10:43:54 2017 UTC (0.001 )  Time stamp start 1502189034842727095 end 1502189034841727095  Run 331905, LB 63, lumi 13.55
Event Veto ['NoiseBurst'], Tue Aug  8 10:44:16 2017 UTC-Tue Aug  8 10:44:16 2017 UTC (0.002 )  Time stamp start 1502189056301714860 end 1502189056300058305  Run 331905, LB 63, lumi 22.45
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Tue Aug  8 10:44:50 2017 UTC-Tue Aug  8 10:44:50 2017 UTC (0.001 )  Time stamp start 1502189090362944715 end 1502189090361944065  Run 331905, LB 65, lumi 15.18
Event Veto ['NoiseBurst'], Tue Aug  8 10:45:08 2017 UTC-Tue Aug  8 10:45:08 2017 UTC (0.003 )  Time stamp start 1502189108561511950 end 1502189108558541940  Run 331905, LB 65, lumi 45.04
Event Veto ['NoiseBurst'], Tue Aug  8 10:48:33 2017 UTC-Tue Aug  8 10:48:33 2017 UTC (0.001 )  Time stamp start 1502189313665195310 end 1502189313664194560  Run 331905, LB 69, lumi 15.08
Event Veto ['MiniNoiseBurst'], Tue Aug  8 10:49:17 2017 UTC-Tue Aug  8 10:49:17 2017 UTC (0.001 )  Time stamp start 1502189357458008405 end 1502189357457008405  Run 331905, LB 69, lumi 15.06
Event Veto ['MiniNoiseBurst'], Tue Aug  8 10:49:34 2017 UTC-Tue Aug  8 10:49:34 2017 UTC (0.001 )  Time stamp start 1502189374178053975 end 1502189374177053600  Run 331905, LB 70, lumi 15.03
Event Veto ['MiniNoiseBurst'], Tue Aug  8 10:49:59 2017 UTC-Tue Aug  8 10:49:59 2017 UTC (0.001 )  Time stamp start 1502189399918269645 end 1502189399917269645  Run 331905, LB 70, lumi 15.02
Event Veto ['MiniNoiseBurst'], Tue Aug  8 10:50:06 2017 UTC-Tue Aug  8 10:50:06 2017 UTC (0.001 )  Time stamp start 1502189406633327080 end 1502189406632327080  Run 331905, LB 70, lumi 15.02
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Tue Aug  8 10:50:34 2017 UTC-Tue Aug  8 10:50:34 2017 UTC (0.001 )  Time stamp start 1502189434558735765 end 1502189434557735765  Run 331905, LB 71, lumi 14.99
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Tue Aug  8 10:50:35 2017 UTC-Tue Aug  8 10:50:35 2017 UTC (0.001 )  Time stamp start 1502189435786200220 end 1502189435785200095  Run 331905, LB 71, lumi 14.99
Event Veto ['MiniNoiseBurst'], Tue Aug  8 10:50:37 2017 UTC-Tue Aug  8 10:50:37 2017 UTC (0.001 )  Time stamp start 1502189437323457400 end 1502189437322457400  Run 331905, LB 71, lumi 14.99
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Tue Aug  8 10:50:38 2017 UTC-Tue Aug  8 10:50:38 2017 UTC (0.001 )  Time stamp start 1502189438785641895 end 1502189438784641895  Run 331905, LB 71, lumi 14.99
Event Veto ['MiniNoiseBurst'], Tue Aug  8 10:50:40 2017 UTC-Tue Aug  8 10:50:40 2017 UTC (0.001 )  Time stamp start 1502189440021633135 end 1502189440020909615  Run 331905, LB 71, lumi 10.84
Event Veto ['MiniNoiseBurst'], Tue Aug  8 10:50:40 2017 UTC-Tue Aug  8 10:50:40 2017 UTC (0.001 )  Time stamp start 1502189440022633260 end 1502189440021633135  Run 331905, LB 71, lumi 14.99
Event Veto ['NoiseBurst'], Tue Aug  8 10:50:41 2017 UTC-Tue Aug  8 10:50:41 2017 UTC (0.002 )  Time stamp start 1502189441087479095 end 1502189441085748535  Run 331905, LB 71, lumi 25.94
Event Veto ['MiniNoiseBurst'], Tue Aug  8 10:50:41 2017 UTC-Tue Aug  8 10:50:41 2017 UTC (0.001 )  Time stamp start 1502189441662796625 end 1502189441661795700  Run 331905, LB 71, lumi 15.00
Event Veto ['NoiseBurst'], Tue Aug  8 10:50:41 2017 UTC-Tue Aug  8 10:50:41 2017 UTC (0.001 )  Time stamp start 1502189441907889415 end 1502189441906889040  Run 331905, LB 71, lumi 14.99
Event Veto ['MiniNoiseBurst'], Tue Aug  8 10:50:42 2017 UTC-Tue Aug  8 10:50:42 2017 UTC (0.001 )  Time stamp start 1502189442566815280 end 1502189442565814780  Run 331905, LB 71, lumi 14.99
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Tue Aug  8 10:50:43 2017 UTC-Tue Aug  8 10:50:43 2017 UTC (0.001 )  Time stamp start 1502189443200261770 end 1502189443199261770  Run 331905, LB 71, lumi 14.99
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Tue Aug  8 10:50:44 2017 UTC-Tue Aug  8 10:50:44 2017 UTC (0.001 )  Time stamp start 1502189444786962660 end 1502189444785962660  Run 331905, LB 71, lumi 14.99
Event Veto ['MiniNoiseBurst'], Tue Aug  8 10:50:45 2017 UTC-Tue Aug  8 10:50:45 2017 UTC (0.001 )  Time stamp start 1502189445324332835 end 1502189445323332835  Run 331905, LB 71, lumi 14.99
Event Veto ['MiniNoiseBurst'], Tue Aug  8 10:50:46 2017 UTC-Tue Aug  8 10:50:46 2017 UTC (0.001 )  Time stamp start 1502189446278461205 end 1502189446277461080  Run 331905, LB 71, lumi 14.99
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Tue Aug  8 10:50:47 2017 UTC-Tue Aug  8 10:50:47 2017 UTC (0.001 )  Time stamp start 1502189447913060825 end 1502189447912060825  Run 331905, LB 71, lumi 14.99
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Tue Aug  8 10:50:49 2017 UTC-Tue Aug  8 10:50:49 2017 UTC (0.001 )  Time stamp start 1502189449487979255 end 1502189449486979255  Run 331905, LB 71, lumi 14.99
Event Veto ['NoiseBurst'], Tue Aug  8 10:50:50 2017 UTC-Tue Aug  8 10:50:50 2017 UTC (0.001 )  Time stamp start 1502189450092238870 end 1502189450091238095  Run 331905, LB 71, lumi 15.00
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Tue Aug  8 10:50:51 2017 UTC-Tue Aug  8 10:50:51 2017 UTC (0.001 )  Time stamp start 1502189451018171630 end 1502189451017171630  Run 331905, LB 71, lumi 14.99
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Tue Aug  8 10:50:52 2017 UTC-Tue Aug  8 10:50:52 2017 UTC (0.001 )  Time stamp start 1502189452712864515 end 1502189452711864515  Run 331905, LB 71, lumi 14.99
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Tue Aug  8 10:50:54 2017 UTC-Tue Aug  8 10:50:54 2017 UTC (0.001 )  Time stamp start 1502189454239262035 end 1502189454238261910  Run 331905, LB 71, lumi 14.99
Event Veto ['MiniNoiseBurst'], Tue Aug  8 10:50:56 2017 UTC-Tue Aug  8 10:50:56 2017 UTC (0.001 )  Time stamp start 1502189456272338295 end 1502189456271337175  Run 331905, LB 71, lumi 15.00
Event Veto ['MiniNoiseBurst'], Tue Aug  8 10:50:58 2017 UTC-Tue Aug  8 10:50:58 2017 UTC (0.001 )  Time stamp start 1502189458043300400 end 1502189458042299030  Run 331905, LB 71, lumi 15.01
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Tue Aug  8 10:50:59 2017 UTC-Tue Aug  8 10:50:59 2017 UTC (0.001 )  Time stamp start 1502189459653465115 end 1502189459652465115  Run 331905, LB 71, lumi 14.99
Event Veto ['MiniNoiseBurst'], Tue Aug  8 10:51:01 2017 UTC-Tue Aug  8 10:51:01 2017 UTC (0.001 )  Time stamp start 1502189461282524125 end 1502189461281523550  Run 331905, LB 71, lumi 15.00
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Tue Aug  8 10:51:02 2017 UTC-Tue Aug  8 10:51:02 2017 UTC (0.001 )  Time stamp start 1502189462901826550 end 1502189462900826425  Run 331905, LB 71, lumi 14.99
Event Veto ['MiniNoiseBurst'], Tue Aug  8 10:51:05 2017 UTC-Tue Aug  8 10:51:05 2017 UTC (0.001 )  Time stamp start 1502189465158716415 end 1502189465157716415  Run 331905, LB 71, lumi 14.99
Event Veto ['MiniNoiseBurst'], Tue Aug  8 10:51:06 2017 UTC-Tue Aug  8 10:51:06 2017 UTC (0.001 )  Time stamp start 1502189466216696155 end 1502189466215695280  Run 331905, LB 71, lumi 15.00
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Tue Aug  8 10:51:07 2017 UTC-Tue Aug  8 10:51:07 2017 UTC (0.001 )  Time stamp start 1502189467700631230 end 1502189467699631110  Run 331905, LB 72, lumi 14.95
Event Veto ['MiniNoiseBurst'], Tue Aug  8 10:51:09 2017 UTC-Tue Aug  8 10:51:09 2017 UTC (0.001 )  Time stamp start 1502189469318972905 end 1502189469317972780  Run 331905, LB 72, lumi 14.95
Event Veto ['MiniNoiseBurst'], Tue Aug  8 10:51:10 2017 UTC-Tue Aug  8 10:51:10 2017 UTC (0.001 )  Time stamp start 1502189470755142185 end 1502189470754142060  Run 331905, LB 72, lumi 14.95
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Tue Aug  8 10:51:11 2017 UTC-Tue Aug  8 10:51:11 2017 UTC (0.001 )  Time stamp start 1502189471940404630 end 1502189471939404630  Run 331905, LB 72, lumi 14.95
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Tue Aug  8 10:51:13 2017 UTC-Tue Aug  8 10:51:13 2017 UTC (0.001 )  Time stamp start 1502189473426725850 end 1502189473425725725  Run 331905, LB 72, lumi 14.95
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Tue Aug  8 10:51:14 2017 UTC-Tue Aug  8 10:51:14 2017 UTC (0.001 )  Time stamp start 1502189474935125575 end 1502189474934125575  Run 331905, LB 72, lumi 14.95
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Tue Aug  8 10:51:16 2017 UTC-Tue Aug  8 10:51:16 2017 UTC (0.001 )  Time stamp start 1502189476317025650 end 1502189476316025530  Run 331905, LB 72, lumi 14.95
Event Veto ['MiniNoiseBurst'], Tue Aug  8 10:51:17 2017 UTC-Tue Aug  8 10:51:17 2017 UTC (0.001 )  Time stamp start 1502189477681981330 end 1502189477680980085  Run 331905, LB 72, lumi 14.97
Event Veto ['MiniNoiseBurst'], Tue Aug  8 10:51:19 2017 UTC-Tue Aug  8 10:51:19 2017 UTC (0.001 )  Time stamp start 1502189479282964275 end 1502189479281963325  Run 331905, LB 72, lumi 14.96
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Tue Aug  8 10:51:20 2017 UTC-Tue Aug  8 10:51:20 2017 UTC (0.001 )  Time stamp start 1502189480844407630 end 1502189480843407505  Run 331905, LB 72, lumi 14.95
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Tue Aug  8 10:51:22 2017 UTC-Tue Aug  8 10:51:22 2017 UTC (0.001 )  Time stamp start 1502189482050717145 end 1502189482049717020  Run 331905, LB 72, lumi 14.95
Event Veto ['MiniNoiseBurst'], Tue Aug  8 10:51:23 2017 UTC-Tue Aug  8 10:51:23 2017 UTC (0.001 )  Time stamp start 1502189483446770280 end 1502189483445769405  Run 331905, LB 72, lumi 14.96
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Tue Aug  8 10:51:24 2017 UTC-Tue Aug  8 10:51:24 2017 UTC (0.001 )  Time stamp start 1502189484815529870 end 1502189484814529745  Run 331905, LB 72, lumi 14.95
Event Veto ['MiniNoiseBurst'], Tue Aug  8 10:51:26 2017 UTC-Tue Aug  8 10:51:26 2017 UTC (0.001 )  Time stamp start 1502189486196110380 end 1502189486195109955  Run 331905, LB 72, lumi 14.96
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Tue Aug  8 10:51:27 2017 UTC-Tue Aug  8 10:51:27 2017 UTC (0.001 )  Time stamp start 1502189487861769855 end 1502189487860769855  Run 331905, LB 72, lumi 14.95
Event Veto ['MiniNoiseBurst'], Tue Aug  8 10:51:29 2017 UTC-Tue Aug  8 10:51:29 2017 UTC (0.001 )  Time stamp start 1502189489134081265 end 1502189489133081140  Run 331905, LB 72, lumi 14.95
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Tue Aug  8 10:51:30 2017 UTC-Tue Aug  8 10:51:30 2017 UTC (0.001 )  Time stamp start 1502189490794923675 end 1502189490793923550  Run 331905, LB 72, lumi 14.95
Event Veto ['MiniNoiseBurst'], Tue Aug  8 10:51:32 2017 UTC-Tue Aug  8 10:51:32 2017 UTC (0.001 )  Time stamp start 1502189492192195780 end 1502189492191194955  Run 331905, LB 72, lumi 14.96
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Tue Aug  8 10:51:33 2017 UTC-Tue Aug  8 10:51:33 2017 UTC (0.001 )  Time stamp start 1502189493836929820 end 1502189493835929820  Run 331905, LB 72, lumi 14.95
