Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 331975 to 331975
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 331975 to run 331975  lasting from Wed Aug  9 03:25:56 2017 UTC to Wed Aug  9 19:24:48 2017 UTC
Event Veto ['MiniNoiseBurst'], Wed Aug  9 04:32:36 2017 UTC-Wed Aug  9 04:32:36 2017 UTC (0.001 )  Time stamp start 1502253156985863310 end 1502253156984863310  Run 331975, LB 72, lumi 0.00
Event Veto ['MiniNoiseBurst'], Wed Aug  9 04:38:23 2017 UTC-Wed Aug  9 04:38:23 2017 UTC (0.001 )  Time stamp start 1502253503951468565 end 1502253503950467395  Run 331975, LB 78, lumi 0.00
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Wed Aug  9 04:45:57 2017 UTC-Wed Aug  9 04:45:57 2017 UTC (0.001 )  Time stamp start 1502253957963861750 end 1502253957962861750  Run 331975, LB 86, lumi 1.16
Event Veto ['MiniNoiseBurst'], Wed Aug  9 04:45:59 2017 UTC-Wed Aug  9 04:45:59 2017 UTC (0.001 )  Time stamp start 1502253959725588035 end 1502253959724587865  Run 331975, LB 86, lumi 1.16
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Wed Aug  9 04:46:03 2017 UTC-Wed Aug  9 04:46:03 2017 UTC (0.001 )  Time stamp start 1502253963672490235 end 1502253963671490110  Run 331975, LB 87, lumi 12.00
Event Veto ['MiniNoiseBurst'], Wed Aug  9 04:46:05 2017 UTC-Wed Aug  9 04:46:05 2017 UTC (0.001 )  Time stamp start 1502253965608712535 end 1502253965607711210  Run 331975, LB 87, lumi 12.01
Event Veto ['MiniNoiseBurst'], Wed Aug  9 04:46:07 2017 UTC-Wed Aug  9 04:46:07 2017 UTC (0.001 )  Time stamp start 1502253967549163060 end 1502253967548162190  Run 331975, LB 87, lumi 12.01
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Wed Aug  9 04:46:09 2017 UTC-Wed Aug  9 04:46:09 2017 UTC (0.001 )  Time stamp start 1502253969591391320 end 1502253969590391320  Run 331975, LB 87, lumi 12.00
Event Veto ['MiniNoiseBurst'], Wed Aug  9 04:46:11 2017 UTC-Wed Aug  9 04:46:11 2017 UTC (0.001 )  Time stamp start 1502253971507289475 end 1502253971506289125  Run 331975, LB 87, lumi 12.00
Event Veto ['MiniNoiseBurst'], Wed Aug  9 04:46:15 2017 UTC-Wed Aug  9 04:46:15 2017 UTC (0.001 )  Time stamp start 1502253975398233525 end 1502253975397232455  Run 331975, LB 87, lumi 12.01
Event Veto ['MiniNoiseBurst'], Wed Aug  9 04:46:17 2017 UTC-Wed Aug  9 04:46:17 2017 UTC (0.001 )  Time stamp start 1502253977438626985 end 1502253977437625735  Run 331975, LB 87, lumi 12.01
Event Veto ['MiniNoiseBurst'], Wed Aug  9 04:46:19 2017 UTC-Wed Aug  9 04:46:19 2017 UTC (0.001 )  Time stamp start 1502253979422096055 end 1502253979421095255  Run 331975, LB 87, lumi 12.01
Event Veto ['MiniNoiseBurst'], Wed Aug  9 04:46:21 2017 UTC-Wed Aug  9 04:46:21 2017 UTC (0.001 )  Time stamp start 1502253981159004140 end 1502253981158003840  Run 331975, LB 87, lumi 12.00
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Wed Aug  9 04:46:24 2017 UTC-Wed Aug  9 04:46:24 2017 UTC (0.001 )  Time stamp start 1502253984787325340 end 1502253984786325340  Run 331975, LB 87, lumi 12.00
Event Veto ['MiniNoiseBurst'], Wed Aug  9 04:46:26 2017 UTC-Wed Aug  9 04:46:26 2017 UTC (0.001 )  Time stamp start 1502253986680139990 end 1502253986679138920  Run 331975, LB 87, lumi 12.01
Event Veto ['MiniNoiseBurst'], Wed Aug  9 04:46:28 2017 UTC-Wed Aug  9 04:46:28 2017 UTC (0.001 )  Time stamp start 1502253988667074120 end 1502253988666073995  Run 331975, LB 87, lumi 12.00
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Wed Aug  9 04:46:30 2017 UTC-Wed Aug  9 04:46:30 2017 UTC (0.001 )  Time stamp start 1502253990413976325 end 1502253990412976325  Run 331975, LB 87, lumi 12.00
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Wed Aug  9 04:46:32 2017 UTC-Wed Aug  9 04:46:32 2017 UTC (0.001 )  Time stamp start 1502253992218075180 end 1502253992217075180  Run 331975, LB 87, lumi 12.00
Event Veto ['MiniNoiseBurst'], Wed Aug  9 04:46:34 2017 UTC-Wed Aug  9 04:46:34 2017 UTC (0.001 )  Time stamp start 1502253994259369860 end 1502253994258369435  Run 331975, LB 87, lumi 12.00
Event Veto ['MiniNoiseBurst'], Wed Aug  9 04:46:38 2017 UTC-Wed Aug  9 04:46:38 2017 UTC (0.001 )  Time stamp start 1502253998119036210 end 1502253998118035465  Run 331975, LB 87, lumi 12.01
Event Veto ['MiniNoiseBurst'], Wed Aug  9 04:46:40 2017 UTC-Wed Aug  9 04:46:40 2017 UTC (0.001 )  Time stamp start 1502254000433741065 end 1502254000432740840  Run 331975, LB 87, lumi 12.00
Event Veto ['MiniNoiseBurst'], Wed Aug  9 04:46:42 2017 UTC-Wed Aug  9 04:46:42 2017 UTC (0.001 )  Time stamp start 1502254002359202460 end 1502254002358201215  Run 331975, LB 87, lumi 12.01
Event Veto ['MiniNoiseBurst'], Wed Aug  9 04:46:44 2017 UTC-Wed Aug  9 04:46:44 2017 UTC (0.001 )  Time stamp start 1502254004334463885 end 1502254004333462765  Run 331975, LB 87, lumi 12.01
Event Veto ['MiniNoiseBurst'], Wed Aug  9 04:46:46 2017 UTC-Wed Aug  9 04:46:46 2017 UTC (0.001 )  Time stamp start 1502254006584366455 end 1502254006583365630  Run 331975, LB 87, lumi 12.01
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Wed Aug  9 04:46:48 2017 UTC-Wed Aug  9 04:46:48 2017 UTC (0.001 )  Time stamp start 1502254008362116005 end 1502254008361116005  Run 331975, LB 87, lumi 12.00
Event Veto ['MiniNoiseBurst'], Wed Aug  9 04:46:50 2017 UTC-Wed Aug  9 04:46:50 2017 UTC (0.001 )  Time stamp start 1502254010200011110 end 1502254010199010610  Run 331975, LB 87, lumi 12.00
Event Veto ['MiniNoiseBurst'], Wed Aug  9 04:46:52 2017 UTC-Wed Aug  9 04:46:52 2017 UTC (0.001 )  Time stamp start 1502254012224088310 end 1502254012223088185  Run 331975, LB 87, lumi 12.00
Event Veto ['MiniNoiseBurst'], Wed Aug  9 04:46:54 2017 UTC-Wed Aug  9 04:46:54 2017 UTC (0.001 )  Time stamp start 1502254014118402945 end 1502254014117402820  Run 331975, LB 87, lumi 12.00
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Wed Aug  9 04:46:56 2017 UTC-Wed Aug  9 04:46:56 2017 UTC (0.001 )  Time stamp start 1502254016207029275 end 1502254016206029275  Run 331975, LB 87, lumi 12.00
Event Veto ['MiniNoiseBurst'], Wed Aug  9 04:46:58 2017 UTC-Wed Aug  9 04:46:58 2017 UTC (0.001 )  Time stamp start 1502254018115550195 end 1502254018114550195  Run 331975, LB 87, lumi 12.00
Event Veto ['MiniNoiseBurst'], Wed Aug  9 04:46:59 2017 UTC-Wed Aug  9 04:46:59 2017 UTC (0.001 )  Time stamp start 1502254019995047515 end 1502254019994046665  Run 331975, LB 87, lumi 12.01
Event Veto ['MiniNoiseBurst'], Wed Aug  9 04:47:01 2017 UTC-Wed Aug  9 04:47:01 2017 UTC (0.001 )  Time stamp start 1502254021844182050 end 1502254021843181255  Run 331975, LB 87, lumi 12.01
Event Veto ['MiniNoiseBurst'], Wed Aug  9 04:47:04 2017 UTC-Wed Aug  9 04:47:04 2017 UTC (0.001 )  Time stamp start 1502254024384624355 end 1502254024383624055  Run 331975, LB 88, lumi 11.89
Event Veto ['MiniNoiseBurst'], Wed Aug  9 04:47:07 2017 UTC-Wed Aug  9 04:47:07 2017 UTC (0.001 )  Time stamp start 1502254027025311860 end 1502254027024310590  Run 331975, LB 88, lumi 11.90
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Wed Aug  9 04:47:12 2017 UTC-Wed Aug  9 04:47:12 2017 UTC (0.001 )  Time stamp start 1502254032395232565 end 1502254032394232565  Run 331975, LB 88, lumi 11.89
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Wed Aug  9 04:47:17 2017 UTC-Wed Aug  9 04:47:17 2017 UTC (0.001 )  Time stamp start 1502254037477900345 end 1502254037476900345  Run 331975, LB 88, lumi 11.89
