Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 333426 to 333426
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 333426 to run 333426  lasting from Thu Aug 17 10:02:29 2017 UTC to Thu Aug 17 13:07:44 2017 UTC
Event Veto ['MiniNoiseBurst'], Thu Aug 17 10:45:28 2017 UTC-Thu Aug 17 10:45:28 2017 UTC (0.001 )  Time stamp start 1502966728084165715 end 1502966728083165715  Run 333426, LB 47, lumi 0.00
Event Veto ['MiniNoiseBurst'], Thu Aug 17 10:55:59 2017 UTC-Thu Aug 17 10:55:59 2017 UTC (0.001 )  Time stamp start 1502967359381192840 end 1502967359380192840  Run 333426, LB 58, lumi 0.00
Event Veto ['MiniNoiseBurst'], Thu Aug 17 11:03:24 2017 UTC-Thu Aug 17 11:03:24 2017 UTC (0.000 )  Time stamp start 1502967804993948275 end 1502967804993947700  Run 333426, LB 66, lumi 0.01
Event Veto ['MiniNoiseBurst'], Thu Aug 17 11:03:24 2017 UTC-Thu Aug 17 11:03:24 2017 UTC (0.001 )  Time stamp start 1502967804994948275 end 1502967804993948275  Run 333426, LB 66, lumi 9.94
Event Veto ['MiniNoiseBurst'], Thu Aug 17 11:03:54 2017 UTC-Thu Aug 17 11:03:54 2017 UTC (0.001 )  Time stamp start 1502967834190232385 end 1502967834189232385  Run 333426, LB 66, lumi 9.94
Event Veto ['MiniNoiseBurst'], Thu Aug 17 11:03:56 2017 UTC-Thu Aug 17 11:03:56 2017 UTC (0.001 )  Time stamp start 1502967836833831920 end 1502967836832831920  Run 333426, LB 66, lumi 9.94
Event Veto ['MiniNoiseBurst'], Thu Aug 17 11:04:00 2017 UTC-Thu Aug 17 11:04:00 2017 UTC (0.001 )  Time stamp start 1502967840682803845 end 1502967840681803845  Run 333426, LB 66, lumi 9.94
Event Veto ['MiniNoiseBurst'], Thu Aug 17 11:04:08 2017 UTC-Thu Aug 17 11:04:08 2017 UTC (0.001 )  Time stamp start 1502967848175605330 end 1502967848174605330  Run 333426, LB 66, lumi 9.94
Event Veto ['MiniNoiseBurst'], Thu Aug 17 11:04:13 2017 UTC-Thu Aug 17 11:04:13 2017 UTC (0.001 )  Time stamp start 1502967853396061900 end 1502967853395061530  Run 333426, LB 67, lumi 9.67
Event Veto ['MiniNoiseBurst'], Thu Aug 17 11:04:22 2017 UTC-Thu Aug 17 11:04:22 2017 UTC (0.001 )  Time stamp start 1502967862032021720 end 1502967862031021395  Run 333426, LB 67, lumi 9.67
Event Veto ['MiniNoiseBurst'], Thu Aug 17 11:04:32 2017 UTC-Thu Aug 17 11:04:32 2017 UTC (0.000 )  Time stamp start 1502967872144851780 end 1502967872144851080  Run 333426, LB 67, lumi 0.01
Event Veto ['MiniNoiseBurst'], Thu Aug 17 11:04:32 2017 UTC-Thu Aug 17 11:04:32 2017 UTC (0.001 )  Time stamp start 1502967872145851780 end 1502967872144851780  Run 333426, LB 67, lumi 9.67
Event Veto ['MiniNoiseBurst'], Thu Aug 17 11:04:42 2017 UTC-Thu Aug 17 11:04:42 2017 UTC (0.001 )  Time stamp start 1502967882489042190 end 1502967882488041765  Run 333426, LB 67, lumi 9.67
Event Veto ['MiniNoiseBurst'], Thu Aug 17 11:05:02 2017 UTC-Thu Aug 17 11:05:02 2017 UTC (0.000 )  Time stamp start 1502967902047215250 end 1502967902047214430  Run 333426, LB 67, lumi 0.01
Event Veto ['MiniNoiseBurst'], Thu Aug 17 11:05:02 2017 UTC-Thu Aug 17 11:05:02 2017 UTC (0.001 )  Time stamp start 1502967902048215250 end 1502967902047215250  Run 333426, LB 67, lumi 9.67
Event Veto ['MiniNoiseBurst'], Thu Aug 17 11:05:22 2017 UTC-Thu Aug 17 11:05:22 2017 UTC (0.001 )  Time stamp start 1502967922780055695 end 1502967922779055695  Run 333426, LB 68, lumi 10.23
Event Veto ['MiniNoiseBurst'], Thu Aug 17 11:06:17 2017 UTC-Thu Aug 17 11:06:17 2017 UTC (0.001 )  Time stamp start 1502967977740035070 end 1502967977739034200  Run 333426, LB 69, lumi 10.24
Event Veto ['MiniNoiseBurst'], Thu Aug 17 11:06:42 2017 UTC-Thu Aug 17 11:06:42 2017 UTC (0.001 )  Time stamp start 1502968002577592690 end 1502968002576592690  Run 333426, LB 69, lumi 10.23
Event Veto ['MiniNoiseBurst'], Thu Aug 17 11:06:54 2017 UTC-Thu Aug 17 11:06:54 2017 UTC (0.001 )  Time stamp start 1502968014812905305 end 1502968014811905305  Run 333426, LB 69, lumi 10.23
