Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 333904 to 333904
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 333904 to run 333904  lasting from Tue Aug 22 20:52:45 2017 UTC to Wed Aug 23 05:15:26 2017 UTC
Event Veto ['MiniNoiseBurst'], Tue Aug 22 21:46:43 2017 UTC-Tue Aug 22 21:46:43 2017 UTC (0.001 )  Time stamp start 1503438403024623715 end 1503438403023623340  Run 333904, LB 56, lumi 0.00
Event Veto ['MiniNoiseBurst'], Tue Aug 22 22:40:21 2017 UTC-Tue Aug 22 22:40:21 2017 UTC (0.001 )  Time stamp start 1503441621080239670 end 1503441621079239670  Run 333904, LB 111, lumi 0.00
Event Veto ['MiniNoiseBurst'], Tue Aug 22 22:53:22 2017 UTC-Tue Aug 22 22:53:22 2017 UTC (0.001 )  Time stamp start 1503442402963140815 end 1503442402962140815  Run 333904, LB 125, lumi 0.00
Event Veto ['MiniNoiseBurst'], Tue Aug 22 23:07:23 2017 UTC-Tue Aug 22 23:07:23 2017 UTC (0.001 )  Time stamp start 1503443243330543515 end 1503443243329543515  Run 333904, LB 140, lumi 2.37
Event Veto ['MiniNoiseBurst'], Tue Aug 22 23:07:24 2017 UTC-Tue Aug 22 23:07:24 2017 UTC (0.001 )  Time stamp start 1503443244835459430 end 1503443244834459430  Run 333904, LB 140, lumi 2.37
Event Veto ['MiniNoiseBurst'], Tue Aug 22 23:07:32 2017 UTC-Tue Aug 22 23:07:32 2017 UTC (0.001 )  Time stamp start 1503443252085516995 end 1503443252084516995  Run 333904, LB 140, lumi 2.37
Event Veto ['MiniNoiseBurst'], Tue Aug 22 23:07:54 2017 UTC-Tue Aug 22 23:07:54 2017 UTC (0.001 )  Time stamp start 1503443274254056805 end 1503443274253056485  Run 333904, LB 140, lumi 2.37
Event Veto ['MiniNoiseBurst'], Tue Aug 22 23:08:05 2017 UTC-Tue Aug 22 23:08:05 2017 UTC (0.001 )  Time stamp start 1503443285878790810 end 1503443285877790560  Run 333904, LB 141, lumi 8.64
Event Veto ['MiniNoiseBurst'], Tue Aug 22 23:08:21 2017 UTC-Tue Aug 22 23:08:21 2017 UTC (0.001 )  Time stamp start 1503443301778457925 end 1503443301777457925  Run 333904, LB 141, lumi 8.63
Event Veto ['NoiseBurst'], Tue Aug 22 23:08:41 2017 UTC-Tue Aug 22 23:08:41 2017 UTC (0.001 )  Time stamp start 1503443321424663790 end 1503443321423207690  Run 333904, LB 141, lumi 12.57
Event Veto ['MiniNoiseBurst'], Tue Aug 22 23:08:54 2017 UTC-Tue Aug 22 23:08:54 2017 UTC (0.001 )  Time stamp start 1503443334544466725 end 1503443334543466325  Run 333904, LB 141, lumi 8.64
Event Veto ['MiniNoiseBurst'], Tue Aug 22 23:09:18 2017 UTC-Tue Aug 22 23:09:18 2017 UTC (0.001 )  Time stamp start 1503443358185022255 end 1503443358184021580  Run 333904, LB 142, lumi 8.74
Event Veto ['MiniNoiseBurst'], Tue Aug 22 23:09:41 2017 UTC-Tue Aug 22 23:09:41 2017 UTC (0.000 )  Time stamp start 1503443381650354205 end 1503443381650353960  Run 333904, LB 143, lumi 0.00
Event Veto ['MiniNoiseBurst'], Tue Aug 22 23:09:41 2017 UTC-Tue Aug 22 23:09:41 2017 UTC (0.001 )  Time stamp start 1503443381651354530 end 1503443381650354205  Run 333904, LB 143, lumi 9.25
Event Veto ['MiniNoiseBurst'], Tue Aug 22 23:10:04 2017 UTC-Tue Aug 22 23:10:04 2017 UTC (0.001 )  Time stamp start 1503443404600252180 end 1503443404599252180  Run 333904, LB 143, lumi 9.25
Event Veto ['MiniNoiseBurst'], Tue Aug 22 23:10:15 2017 UTC-Tue Aug 22 23:10:15 2017 UTC (0.001 )  Time stamp start 1503443415779229595 end 1503443415778229595  Run 333904, LB 143, lumi 9.25
Event Veto ['MiniNoiseBurst'], Tue Aug 22 23:10:49 2017 UTC-Tue Aug 22 23:10:49 2017 UTC (0.001 )  Time stamp start 1503443449796666470 end 1503443449795666095  Run 333904, LB 145, lumi 9.28
Event Veto ['MiniNoiseBurst'], Tue Aug 22 23:11:23 2017 UTC-Tue Aug 22 23:11:23 2017 UTC (0.001 )  Time stamp start 1503443483136983555 end 1503443483135983555  Run 333904, LB 145, lumi 9.27
Event Veto ['MiniNoiseBurst'], Tue Aug 22 23:11:27 2017 UTC-Tue Aug 22 23:11:27 2017 UTC (0.001 )  Time stamp start 1503443487290715110 end 1503443487289715110  Run 333904, LB 145, lumi 9.27
Event Veto ['MiniNoiseBurst'], Tue Aug 22 23:11:56 2017 UTC-Tue Aug 22 23:11:56 2017 UTC (0.001 )  Time stamp start 1503443516200727160 end 1503443516199726685  Run 333904, LB 146, lumi 9.25
Event Veto ['MiniNoiseBurst'], Tue Aug 22 23:12:07 2017 UTC-Tue Aug 22 23:12:07 2017 UTC (0.001 )  Time stamp start 1503443527156126310 end 1503443527155125585  Run 333904, LB 146, lumi 9.25
Event Veto ['NoiseBurst'], Tue Aug 22 23:13:48 2017 UTC-Tue Aug 22 23:13:48 2017 UTC (0.001 )  Time stamp start 1503443628303426970 end 1503443628302287995  Run 333904, LB 148, lumi 10.48
Event Veto ['MiniNoiseBurst'], Tue Aug 22 23:13:56 2017 UTC-Tue Aug 22 23:13:56 2017 UTC (0.001 )  Time stamp start 1503443636337802555 end 1503443636336802555  Run 333904, LB 149, lumi 7.74
Event Veto ['MiniNoiseBurst'], Tue Aug 22 23:15:18 2017 UTC-Tue Aug 22 23:15:18 2017 UTC (0.001 )  Time stamp start 1503443718911305200 end 1503443718910305200  Run 333904, LB 150, lumi 7.15
Event Veto ['MiniNoiseBurst'], Tue Aug 22 23:15:45 2017 UTC-Tue Aug 22 23:15:45 2017 UTC (0.001 )  Time stamp start 1503443745486570015 end 1503443745485570015  Run 333904, LB 150, lumi 7.15
Event Veto ['MiniNoiseBurst'], Tue Aug 22 23:16:13 2017 UTC-Tue Aug 22 23:16:13 2017 UTC (0.001 )  Time stamp start 1503443773496426115 end 1503443773495425965  Run 333904, LB 151, lumi 7.18
Event Veto ['MiniNoiseBurst'], Tue Aug 22 23:16:56 2017 UTC-Tue Aug 22 23:16:56 2017 UTC (0.000 )  Time stamp start 1503443816650285550 end 1503443816650285300  Run 333904, LB 152, lumi 0.00
Event Veto ['MiniNoiseBurst'], Tue Aug 22 23:16:56 2017 UTC-Tue Aug 22 23:16:56 2017 UTC (0.001 )  Time stamp start 1503443816651285925 end 1503443816650285550  Run 333904, LB 152, lumi 6.71
Event Veto ['MiniNoiseBurst'], Tue Aug 22 23:17:43 2017 UTC-Tue Aug 22 23:17:43 2017 UTC (0.001 )  Time stamp start 1503443863471027850 end 1503443863470027850  Run 333904, LB 152, lumi 6.71
Event Veto ['MiniNoiseBurst'], Tue Aug 22 23:17:58 2017 UTC-Tue Aug 22 23:17:58 2017 UTC (0.001 )  Time stamp start 1503443878950150030 end 1503443878949150030  Run 333904, LB 153, lumi 6.42
Event Veto ['MiniNoiseBurst'], Tue Aug 22 23:18:15 2017 UTC-Tue Aug 22 23:18:15 2017 UTC (0.001 )  Time stamp start 1503443895077558200 end 1503443895076557650  Run 333904, LB 153, lumi 6.42
Event Veto ['MiniNoiseBurst'], Tue Aug 22 23:18:29 2017 UTC-Tue Aug 22 23:18:29 2017 UTC (0.001 )  Time stamp start 1503443909986981290 end 1503443909985980745  Run 333904, LB 154, lumi 6.40
Event Veto ['MiniNoiseBurst'], Tue Aug 22 23:18:45 2017 UTC-Tue Aug 22 23:18:45 2017 UTC (0.001 )  Time stamp start 1503443925892968265 end 1503443925891968090  Run 333904, LB 154, lumi 6.39
Event Veto ['MiniNoiseBurst'], Tue Aug 22 23:18:53 2017 UTC-Tue Aug 22 23:18:53 2017 UTC (0.001 )  Time stamp start 1503443933139224315 end 1503443933138224315  Run 333904, LB 154, lumi 6.39
Event Veto ['MiniNoiseBurst'], Tue Aug 22 23:19:01 2017 UTC-Tue Aug 22 23:19:01 2017 UTC (0.001 )  Time stamp start 1503443941353917175 end 1503443941352917175  Run 333904, LB 154, lumi 6.39
Event Veto ['MiniNoiseBurst'], Tue Aug 22 23:19:17 2017 UTC-Tue Aug 22 23:19:17 2017 UTC (0.001 )  Time stamp start 1503443957771552175 end 1503443957770551680  Run 333904, LB 154, lumi 6.40
Event Veto ['MiniNoiseBurst'], Tue Aug 22 23:19:33 2017 UTC-Tue Aug 22 23:19:33 2017 UTC (0.000 )  Time stamp start 1503443973307768840 end 1503443973307768390  Run 333904, LB 155, lumi 0.00
Event Veto ['MiniNoiseBurst'], Tue Aug 22 23:19:33 2017 UTC-Tue Aug 22 23:19:33 2017 UTC (0.001 )  Time stamp start 1503443973308769215 end 1503443973307768840  Run 333904, LB 155, lumi 6.37
Event Veto ['MiniNoiseBurst'], Tue Aug 22 23:20:05 2017 UTC-Tue Aug 22 23:20:05 2017 UTC (0.001 )  Time stamp start 1503444005214651630 end 1503444005213651005  Run 333904, LB 155, lumi 6.37
Event Veto ['MiniNoiseBurst'], Tue Aug 22 23:20:37 2017 UTC-Tue Aug 22 23:20:37 2017 UTC (0.001 )  Time stamp start 1503444037118748395 end 1503444037117748395  Run 333904, LB 156, lumi 6.34
