Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 334317 to 334317
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 334317 to run 334317  lasting from Sun Aug 27 08:17:39 2017 UTC to Sun Aug 27 13:06:07 2017 UTC
Event Veto ['MiniNoiseBurst'], Sun Aug 27 09:16:09 2017 UTC-Sun Aug 27 09:16:09 2017 UTC (0.001 )  Time stamp start 1503825369875582930 end 1503825369874582930  Run 334317, LB 65, lumi 0.00
Event Veto ['MiniNoiseBurst'], Sun Aug 27 09:28:24 2017 UTC-Sun Aug 27 09:28:24 2017 UTC (0.001 )  Time stamp start 1503826104742282730 end 1503826104741281935  Run 334317, LB 78, lumi 2.05
Event Veto ['MiniNoiseBurst'], Sun Aug 27 09:28:54 2017 UTC-Sun Aug 27 09:28:54 2017 UTC (0.001 )  Time stamp start 1503826134578687870 end 1503826134577687870  Run 334317, LB 79, lumi 6.50
Event Veto ['MiniNoiseBurst'], Sun Aug 27 09:29:24 2017 UTC-Sun Aug 27 09:29:24 2017 UTC (0.000 )  Time stamp start 1503826164348304920 end 1503826164348304500  Run 334317, LB 79, lumi 0.00
Event Veto ['MiniNoiseBurst'], Sun Aug 27 09:29:24 2017 UTC-Sun Aug 27 09:29:24 2017 UTC (0.001 )  Time stamp start 1503826164349305120 end 1503826164348304920  Run 334317, LB 79, lumi 6.50
Event Veto ['MiniNoiseBurst'], Sun Aug 27 09:29:53 2017 UTC-Sun Aug 27 09:29:53 2017 UTC (0.001 )  Time stamp start 1503826193066282285 end 1503826193065281960  Run 334317, LB 80, lumi 6.29
Event Veto ['NoiseBurst'], Sun Aug 27 09:30:27 2017 UTC-Sun Aug 27 09:30:27 2017 UTC (0.001 )  Time stamp start 1503826227456312405 end 1503826227455311580  Run 334317, LB 80, lumi 6.29
Event Veto ['MiniNoiseBurst'], Sun Aug 27 09:30:38 2017 UTC-Sun Aug 27 09:30:38 2017 UTC (0.001 )  Time stamp start 1503826238112573345 end 1503826238111572870  Run 334317, LB 80, lumi 6.29
Event Veto ['MiniNoiseBurst'], Sun Aug 27 09:30:52 2017 UTC-Sun Aug 27 09:30:52 2017 UTC (0.001 )  Time stamp start 1503826252121852610 end 1503826252120852610  Run 334317, LB 80, lumi 6.29
Event Veto ['MiniNoiseBurst'], Sun Aug 27 09:31:05 2017 UTC-Sun Aug 27 09:31:05 2017 UTC (0.001 )  Time stamp start 1503826265158745520 end 1503826265157744720  Run 334317, LB 81, lumi 7.22
Event Veto ['MiniNoiseBurst'], Sun Aug 27 09:31:44 2017 UTC-Sun Aug 27 09:31:44 2017 UTC (0.001 )  Time stamp start 1503826304412675770 end 1503826304411675020  Run 334317, LB 81, lumi 7.22
Event Veto ['MiniNoiseBurst'], Sun Aug 27 09:33:10 2017 UTC-Sun Aug 27 09:33:10 2017 UTC (0.001 )  Time stamp start 1503826390184464505 end 1503826390183464505  Run 334317, LB 83, lumi 7.19
Event Veto ['MiniNoiseBurst'], Sun Aug 27 09:33:34 2017 UTC-Sun Aug 27 09:33:34 2017 UTC (0.001 )  Time stamp start 1503826414650006740 end 1503826414649006740  Run 334317, LB 83, lumi 7.19
Event Veto ['MiniNoiseBurst'], Sun Aug 27 09:33:53 2017 UTC-Sun Aug 27 09:33:53 2017 UTC (0.001 )  Time stamp start 1503826433006244290 end 1503826433005244165  Run 334317, LB 84, lumi 7.20
Event Veto ['MiniNoiseBurst'], Sun Aug 27 09:34:06 2017 UTC-Sun Aug 27 09:34:06 2017 UTC (0.001 )  Time stamp start 1503826446451661395 end 1503826446450661270  Run 334317, LB 84, lumi 7.20
Event Veto ['MiniNoiseBurst'], Sun Aug 27 09:34:19 2017 UTC-Sun Aug 27 09:34:19 2017 UTC (0.001 )  Time stamp start 1503826459408445615 end 1503826459407444940  Run 334317, LB 84, lumi 7.21
Event Veto ['MiniNoiseBurst'], Sun Aug 27 09:34:41 2017 UTC-Sun Aug 27 09:34:41 2017 UTC (0.001 )  Time stamp start 1503826481760558940 end 1503826481759558940  Run 334317, LB 84, lumi 7.20
Event Veto ['MiniNoiseBurst'], Sun Aug 27 09:35:37 2017 UTC-Sun Aug 27 09:35:37 2017 UTC (0.001 )  Time stamp start 1503826537646836365 end 1503826537645836365  Run 334317, LB 85, lumi 7.18
Event Veto ['MiniNoiseBurst'], Sun Aug 27 09:35:47 2017 UTC-Sun Aug 27 09:35:47 2017 UTC (0.001 )  Time stamp start 1503826547163373595 end 1503826547162373595  Run 334317, LB 85, lumi 7.18
Event Veto ['MiniNoiseBurst'], Sun Aug 27 09:35:50 2017 UTC-Sun Aug 27 09:35:50 2017 UTC (0.001 )  Time stamp start 1503826550158161755 end 1503826550157161305  Run 334317, LB 85, lumi 7.18
Event Veto ['MiniNoiseBurst'], Sun Aug 27 09:36:28 2017 UTC-Sun Aug 27 09:36:28 2017 UTC (0.001 )  Time stamp start 1503826588152203565 end 1503826588151203565  Run 334317, LB 86, lumi 7.15
Event Veto ['MiniNoiseBurst'], Sun Aug 27 09:36:33 2017 UTC-Sun Aug 27 09:36:33 2017 UTC (0.001 )  Time stamp start 1503826593902324370 end 1503826593901324370  Run 334317, LB 86, lumi 7.15
Event Veto ['MiniNoiseBurst'], Sun Aug 27 09:36:53 2017 UTC-Sun Aug 27 09:36:53 2017 UTC (0.001 )  Time stamp start 1503826613661336585 end 1503826613660336585  Run 334317, LB 87, lumi 7.13
Event Veto ['MiniNoiseBurst'], Sun Aug 27 09:36:55 2017 UTC-Sun Aug 27 09:36:55 2017 UTC (0.001 )  Time stamp start 1503826615069647145 end 1503826615068646595  Run 334317, LB 87, lumi 7.13
Event Veto ['MiniNoiseBurst'], Sun Aug 27 09:37:27 2017 UTC-Sun Aug 27 09:37:27 2017 UTC (0.000 )  Time stamp start 1503826647016824890 end 1503826647016824515  Run 334317, LB 88, lumi 0.00
Event Veto ['MiniNoiseBurst'], Sun Aug 27 09:37:27 2017 UTC-Sun Aug 27 09:37:27 2017 UTC (0.001 )  Time stamp start 1503826647017825140 end 1503826647016824890  Run 334317, LB 88, lumi 7.12
Event Veto ['MiniNoiseBurst'], Sun Aug 27 09:38:07 2017 UTC-Sun Aug 27 09:38:07 2017 UTC (0.001 )  Time stamp start 1503826687422440310 end 1503826687421440310  Run 334317, LB 89, lumi 7.11
Event Veto ['MiniNoiseBurst'], Sun Aug 27 09:39:03 2017 UTC-Sun Aug 27 09:39:03 2017 UTC (0.001 )  Time stamp start 1503826743922043685 end 1503826743921043435  Run 334317, LB 90, lumi 7.10
Event Veto ['NoiseBurst'], Sun Aug 27 09:39:20 2017 UTC-Sun Aug 27 09:39:20 2017 UTC (0.001 )  Time stamp start 1503826760143742800 end 1503826760142520415  Run 334317, LB 91, lumi 8.66
Event Veto ['MiniNoiseBurst'], Sun Aug 27 09:40:32 2017 UTC-Sun Aug 27 09:40:32 2017 UTC (0.001 )  Time stamp start 1503826832564934205 end 1503826832563933680  Run 334317, LB 92, lumi 7.07
Event Veto ['MiniNoiseBurst'], Sun Aug 27 09:40:46 2017 UTC-Sun Aug 27 09:40:46 2017 UTC (0.001 )  Time stamp start 1503826846290737140 end 1503826846289736515  Run 334317, LB 92, lumi 7.07
Event Veto ['MiniNoiseBurst'], Sun Aug 27 09:40:58 2017 UTC-Sun Aug 27 09:40:58 2017 UTC (0.000 )  Time stamp start 1503826858840188410 end 1503826858840188035  Run 334317, LB 92, lumi 0.00
Event Veto ['MiniNoiseBurst'], Sun Aug 27 09:40:58 2017 UTC-Sun Aug 27 09:40:58 2017 UTC (0.001 )  Time stamp start 1503826858841188660 end 1503826858840188410  Run 334317, LB 92, lumi 7.06
Event Veto ['MiniNoiseBurst'], Sun Aug 27 09:41:42 2017 UTC-Sun Aug 27 09:41:42 2017 UTC (0.001 )  Time stamp start 1503826902145428400 end 1503826902144428400  Run 334317, LB 93, lumi 7.04
Event Veto ['NoiseBurst'], Sun Aug 27 09:42:24 2017 UTC-Sun Aug 27 09:42:24 2017 UTC (0.001 )  Time stamp start 1503826944367438095 end 1503826944366437845  Run 334317, LB 94, lumi 7.02
Event Veto ['MiniNoiseBurst'], Sun Aug 27 09:42:56 2017 UTC-Sun Aug 27 09:42:56 2017 UTC (0.001 )  Time stamp start 1503826976672801225 end 1503826976671801225  Run 334317, LB 94, lumi 7.02
Event Veto ['MiniNoiseBurst'], Sun Aug 27 09:43:00 2017 UTC-Sun Aug 27 09:43:00 2017 UTC (0.001 )  Time stamp start 1503826980950089730 end 1503826980949089730  Run 334317, LB 94, lumi 7.02
Event Veto ['MiniNoiseBurst'], Sun Aug 27 09:43:26 2017 UTC-Sun Aug 27 09:43:26 2017 UTC (0.001 )  Time stamp start 1503827006794544570 end 1503827006793543895  Run 334317, LB 95, lumi 6.82
Event Veto ['NoiseBurst'], Sun Aug 27 09:43:33 2017 UTC-Sun Aug 27 09:43:33 2017 UTC (0.001 )  Time stamp start 1503827013411740895 end 1503827013410740025  Run 334317, LB 95, lumi 6.82
Event Veto ['NoiseBurst'], Sun Aug 27 09:43:57 2017 UTC-Sun Aug 27 09:43:57 2017 UTC (0.001 )  Time stamp start 1503827037248114530 end 1503827037247113910  Run 334317, LB 95, lumi 6.82
Event Veto ['NoiseBurst'], Sun Aug 27 09:44:04 2017 UTC-Sun Aug 27 09:44:04 2017 UTC (0.001 )  Time stamp start 1503827044513572415 end 1503827044512571920  Run 334317, LB 95, lumi 6.82
Event Veto ['MiniNoiseBurst'], Sun Aug 27 09:44:23 2017 UTC-Sun Aug 27 09:44:23 2017 UTC (0.001 )  Time stamp start 1503827063003664795 end 1503827063002664795  Run 334317, LB 96, lumi 6.89
Event Veto ['MiniNoiseBurst'], Sun Aug 27 09:45:33 2017 UTC-Sun Aug 27 09:45:33 2017 UTC (0.001 )  Time stamp start 1503827133712487475 end 1503827133711487475  Run 334317, LB 97, lumi 6.67
Event Veto ['NoiseBurst'], Sun Aug 27 09:45:45 2017 UTC-Sun Aug 27 09:45:45 2017 UTC (0.001 )  Time stamp start 1503827145191344580 end 1503827145190343955  Run 334317, LB 98, lumi 7.07
Event Veto ['NoiseBurst'], Sun Aug 27 09:45:55 2017 UTC-Sun Aug 27 09:45:55 2017 UTC (0.001 )  Time stamp start 1503827155849289945 end 1503827155848289820  Run 334317, LB 99, lumi 7.06
Event Veto ['MiniNoiseBurst'], Sun Aug 27 09:46:29 2017 UTC-Sun Aug 27 09:46:29 2017 UTC (0.001 )  Time stamp start 1503827189125638000 end 1503827189124638000  Run 334317, LB 99, lumi 7.06
Event Veto ['MiniNoiseBurst'], Sun Aug 27 09:46:42 2017 UTC-Sun Aug 27 09:46:42 2017 UTC (0.001 )  Time stamp start 1503827202349611505 end 1503827202348611505  Run 334317, LB 99, lumi 7.06
Event Veto ['MiniNoiseBurst'], Sun Aug 27 09:48:51 2017 UTC-Sun Aug 27 09:48:51 2017 UTC (0.001 )  Time stamp start 1503827331769684030 end 1503827331768684030  Run 334317, LB 103, lumi 7.03
Event Veto ['MiniNoiseBurst'], Sun Aug 27 09:48:57 2017 UTC-Sun Aug 27 09:48:57 2017 UTC (0.001 )  Time stamp start 1503827337144494215 end 1503827337143494215  Run 334317, LB 103, lumi 7.03
Event Veto ['MiniNoiseBurst'], Sun Aug 27 09:49:05 2017 UTC-Sun Aug 27 09:49:05 2017 UTC (0.001 )  Time stamp start 1503827345437692250 end 1503827345436691600  Run 334317, LB 103, lumi 7.04
Event Veto ['MiniNoiseBurst'], Sun Aug 27 09:49:42 2017 UTC-Sun Aug 27 09:49:42 2017 UTC (0.001 )  Time stamp start 1503827382712557540 end 1503827382711557540  Run 334317, LB 103, lumi 7.03
Event Veto ['MiniNoiseBurst'], Sun Aug 27 09:50:24 2017 UTC-Sun Aug 27 09:50:24 2017 UTC (0.001 )  Time stamp start 1503827424663986895 end 1503827424662986895  Run 334317, LB 104, lumi 7.02
Event Veto ['MiniNoiseBurst'], Sun Aug 27 09:51:39 2017 UTC-Sun Aug 27 09:51:39 2017 UTC (0.001 )  Time stamp start 1503827499671076115 end 1503827499670075440  Run 334317, LB 105, lumi 7.02
Event Veto ['MiniNoiseBurst'], Sun Aug 27 09:51:47 2017 UTC-Sun Aug 27 09:51:47 2017 UTC (0.001 )  Time stamp start 1503827507950755640 end 1503827507949755640  Run 334317, LB 106, lumi 7.00
Event Veto ['MiniNoiseBurst'], Sun Aug 27 09:51:52 2017 UTC-Sun Aug 27 09:51:52 2017 UTC (0.001 )  Time stamp start 1503827512718099825 end 1503827512717099575  Run 334317, LB 106, lumi 7.00
Event Veto ['MiniNoiseBurst'], Sun Aug 27 09:52:06 2017 UTC-Sun Aug 27 09:52:06 2017 UTC (0.001 )  Time stamp start 1503827526517988000 end 1503827526516987200  Run 334317, LB 106, lumi 7.01
Event Veto ['MiniNoiseBurst'], Sun Aug 27 09:52:19 2017 UTC-Sun Aug 27 09:52:19 2017 UTC (0.001 )  Time stamp start 1503827539451198635 end 1503827539450197840  Run 334317, LB 107, lumi 7.00
Event Veto ['MiniNoiseBurst'], Sun Aug 27 09:52:32 2017 UTC-Sun Aug 27 09:52:32 2017 UTC (0.001 )  Time stamp start 1503827552959221965 end 1503827552958221215  Run 334317, LB 107, lumi 7.00
Event Veto ['MiniNoiseBurst'], Sun Aug 27 09:52:38 2017 UTC-Sun Aug 27 09:52:38 2017 UTC (0.001 )  Time stamp start 1503827558593020305 end 1503827558592019930  Run 334317, LB 107, lumi 6.99
Event Veto ['MiniNoiseBurst'], Sun Aug 27 09:53:38 2017 UTC-Sun Aug 27 09:53:38 2017 UTC (0.001 )  Time stamp start 1503827618721504905 end 1503827618720504110  Run 334317, LB 108, lumi 6.99
Event Veto ['MiniNoiseBurst'], Sun Aug 27 09:53:55 2017 UTC-Sun Aug 27 09:53:55 2017 UTC (0.001 )  Time stamp start 1503827635650237745 end 1503827635649237745  Run 334317, LB 109, lumi 6.97
Event Veto ['MiniNoiseBurst'], Sun Aug 27 09:54:05 2017 UTC-Sun Aug 27 09:54:05 2017 UTC (0.001 )  Time stamp start 1503827645791427945 end 1503827645790427570  Run 334317, LB 109, lumi 6.97
Event Veto ['MiniNoiseBurst'], Sun Aug 27 09:54:20 2017 UTC-Sun Aug 27 09:54:20 2017 UTC (0.001 )  Time stamp start 1503827660078749175 end 1503827660077748625  Run 334317, LB 109, lumi 6.97
Event Veto ['MiniNoiseBurst'], Sun Aug 27 09:55:03 2017 UTC-Sun Aug 27 09:55:03 2017 UTC (0.001 )  Time stamp start 1503827703368684685 end 1503827703367684435  Run 334317, LB 110, lumi 6.96
Event Veto ['MiniNoiseBurst'], Sun Aug 27 09:55:16 2017 UTC-Sun Aug 27 09:55:16 2017 UTC (0.001 )  Time stamp start 1503827716348674490 end 1503827716347674490  Run 334317, LB 111, lumi 6.95
Event Veto ['MiniNoiseBurst'], Sun Aug 27 09:55:29 2017 UTC-Sun Aug 27 09:55:29 2017 UTC (0.001 )  Time stamp start 1503827729525054160 end 1503827729524054160  Run 334317, LB 111, lumi 6.95
Event Veto ['MiniNoiseBurst'], Sun Aug 27 09:56:48 2017 UTC-Sun Aug 27 09:56:48 2017 UTC (0.001 )  Time stamp start 1503827808290561250 end 1503827808289561250  Run 334317, LB 113, lumi 6.93
Event Veto ['MiniNoiseBurst'], Sun Aug 27 09:57:09 2017 UTC-Sun Aug 27 09:57:09 2017 UTC (0.001 )  Time stamp start 1503827829081410920 end 1503827829080410550  Run 334317, LB 113, lumi 6.94
Event Veto ['MiniNoiseBurst'], Sun Aug 27 09:58:14 2017 UTC-Sun Aug 27 09:58:14 2017 UTC (0.001 )  Time stamp start 1503827894658526215 end 1503827894657525290  Run 334317, LB 114, lumi 6.93
