Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 334637 to 334637
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 334637 to run 334637  lasting from Fri Sep  1 15:47:30 2017 UTC to Sat Sep  2 00:25:11 2017 UTC
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Fri Sep  1 18:26:30 2017 UTC-Fri Sep  1 18:26:30 2017 UTC (0.001 )  Time stamp start 1504290390511840970 end 1504290390510840970  Run 334637, LB 168, lumi 0.00
Event Veto ['MiniNoiseBurst'], Fri Sep  1 18:32:10 2017 UTC-Fri Sep  1 18:32:10 2017 UTC (0.001 )  Time stamp start 1504290730937900665 end 1504290730936900665  Run 334637, LB 174, lumi 0.00
Event Veto ['MiniNoiseBurst'], Fri Sep  1 18:34:25 2017 UTC-Fri Sep  1 18:34:25 2017 UTC (0.001 )  Time stamp start 1504290865582491845 end 1504290865581490595  Run 334637, LB 176, lumi 1.71
Event Veto ['MiniNoiseBurst'], Fri Sep  1 18:34:27 2017 UTC-Fri Sep  1 18:34:27 2017 UTC (0.001 )  Time stamp start 1504290867865071905 end 1504290867864070730  Run 334637, LB 176, lumi 1.71
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Fri Sep  1 18:34:30 2017 UTC-Fri Sep  1 18:34:30 2017 UTC (0.001 )  Time stamp start 1504290870795429955 end 1504290870794429955  Run 334637, LB 176, lumi 1.71
Event Veto ['MiniNoiseBurst'], Fri Sep  1 18:34:33 2017 UTC-Fri Sep  1 18:34:33 2017 UTC (0.001 )  Time stamp start 1504290873456374655 end 1504290873455373635  Run 334637, LB 176, lumi 1.71
Event Veto ['MiniNoiseBurst'], Fri Sep  1 18:34:36 2017 UTC-Fri Sep  1 18:34:36 2017 UTC (0.001 )  Time stamp start 1504290876696883245 end 1504290876695882670  Run 334637, LB 176, lumi 1.71
Event Veto ['MiniNoiseBurst'], Fri Sep  1 18:34:40 2017 UTC-Fri Sep  1 18:34:40 2017 UTC (0.001 )  Time stamp start 1504290880362464185 end 1504290880361463290  Run 334637, LB 176, lumi 1.71
Event Veto ['NoiseBurst'], Fri Sep  1 18:34:55 2017 UTC-Fri Sep  1 18:34:55 2017 UTC (0.001 )  Time stamp start 1504290895093684705 end 1504290895092509800  Run 334637, LB 176, lumi 2.01
Event Veto ['MiniNoiseBurst'], Fri Sep  1 18:35:04 2017 UTC-Fri Sep  1 18:35:04 2017 UTC (0.001 )  Time stamp start 1504290904346675685 end 1504290904345674335  Run 334637, LB 177, lumi 6.27
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Fri Sep  1 18:35:08 2017 UTC-Fri Sep  1 18:35:08 2017 UTC (0.001 )  Time stamp start 1504290908099981355 end 1504290908098981355  Run 334637, LB 177, lumi 6.27
Event Veto ['MiniNoiseBurst'], Fri Sep  1 18:35:11 2017 UTC-Fri Sep  1 18:35:11 2017 UTC (0.001 )  Time stamp start 1504290911362575965 end 1504290911361575165  Run 334637, LB 177, lumi 6.27
Event Veto ['MiniNoiseBurst'], Fri Sep  1 18:35:14 2017 UTC-Fri Sep  1 18:35:14 2017 UTC (0.001 )  Time stamp start 1504290914859634170 end 1504290914858633000  Run 334637, LB 177, lumi 6.27
Event Veto ['MiniNoiseBurst'], Fri Sep  1 18:35:20 2017 UTC-Fri Sep  1 18:35:20 2017 UTC (0.001 )  Time stamp start 1504290920322627470 end 1504290920321626170  Run 334637, LB 177, lumi 6.27
Event Veto ['MiniNoiseBurst'], Fri Sep  1 18:35:23 2017 UTC-Fri Sep  1 18:35:23 2017 UTC (0.001 )  Time stamp start 1504290923811386165 end 1504290923810385090  Run 334637, LB 177, lumi 6.27
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Fri Sep  1 18:35:27 2017 UTC-Fri Sep  1 18:35:27 2017 UTC (0.001 )  Time stamp start 1504290927204489710 end 1504290927203489710  Run 334637, LB 177, lumi 6.27
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Fri Sep  1 18:35:32 2017 UTC-Fri Sep  1 18:35:32 2017 UTC (0.001 )  Time stamp start 1504290932545240100 end 1504290932544239950  Run 334637, LB 177, lumi 6.27
Event Veto ['MiniNoiseBurst'], Fri Sep  1 18:35:37 2017 UTC-Fri Sep  1 18:35:37 2017 UTC (0.001 )  Time stamp start 1504290937034763505 end 1504290937033762380  Run 334637, LB 177, lumi 6.27
Event Veto ['MiniNoiseBurst'], Fri Sep  1 18:35:41 2017 UTC-Fri Sep  1 18:35:41 2017 UTC (0.001 )  Time stamp start 1504290941072722130 end 1504290941071720860  Run 334637, LB 177, lumi 6.27
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Fri Sep  1 18:35:45 2017 UTC-Fri Sep  1 18:35:45 2017 UTC (0.001 )  Time stamp start 1504290945240982255 end 1504290945239982130  Run 334637, LB 177, lumi 6.27
Event Veto ['MiniNoiseBurst'], Fri Sep  1 18:35:49 2017 UTC-Fri Sep  1 18:35:49 2017 UTC (0.001 )  Time stamp start 1504290949352757870 end 1504290949351756875  Run 334637, LB 177, lumi 6.27
Event Veto ['MiniNoiseBurst'], Fri Sep  1 18:35:54 2017 UTC-Fri Sep  1 18:35:54 2017 UTC (0.001 )  Time stamp start 1504290954217595810 end 1504290954216594515  Run 334637, LB 177, lumi 6.27
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Fri Sep  1 18:35:57 2017 UTC-Fri Sep  1 18:35:57 2017 UTC (0.001 )  Time stamp start 1504290957569580615 end 1504290957568580615  Run 334637, LB 177, lumi 6.27
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Fri Sep  1 18:36:01 2017 UTC-Fri Sep  1 18:36:01 2017 UTC (0.001 )  Time stamp start 1504290961648675425 end 1504290961647675425  Run 334637, LB 178, lumi 5.99
Event Veto ['MiniNoiseBurst'], Fri Sep  1 18:36:05 2017 UTC-Fri Sep  1 18:36:05 2017 UTC (0.001 )  Time stamp start 1504290965297802355 end 1504290965296801055  Run 334637, LB 178, lumi 5.99
Event Veto ['MiniNoiseBurst'], Fri Sep  1 18:36:09 2017 UTC-Fri Sep  1 18:36:09 2017 UTC (0.001 )  Time stamp start 1504290969155273895 end 1504290969154272920  Run 334637, LB 178, lumi 5.99
Event Veto ['MiniNoiseBurst'], Fri Sep  1 18:36:12 2017 UTC-Fri Sep  1 18:36:12 2017 UTC (0.001 )  Time stamp start 1504290972462654860 end 1504290972461653960  Run 334637, LB 178, lumi 5.99
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Fri Sep  1 18:36:16 2017 UTC-Fri Sep  1 18:36:16 2017 UTC (0.001 )  Time stamp start 1504290976385684315 end 1504290976384684195  Run 334637, LB 178, lumi 5.99
Event Veto ['MiniNoiseBurst'], Fri Sep  1 18:36:21 2017 UTC-Fri Sep  1 18:36:21 2017 UTC (0.001 )  Time stamp start 1504290981338985580 end 1504290981337984330  Run 334637, LB 178, lumi 5.99
Event Veto ['MiniNoiseBurst'], Fri Sep  1 18:36:24 2017 UTC-Fri Sep  1 18:36:24 2017 UTC (0.001 )  Time stamp start 1504290984606054455 end 1504290984605054155  Run 334637, LB 178, lumi 5.99
Event Veto ['MiniNoiseBurst'], Fri Sep  1 18:36:28 2017 UTC-Fri Sep  1 18:36:28 2017 UTC (0.001 )  Time stamp start 1504290988422881340 end 1504290988421880045  Run 334637, LB 178, lumi 5.99
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Fri Sep  1 18:36:32 2017 UTC-Fri Sep  1 18:36:32 2017 UTC (0.001 )  Time stamp start 1504290992502541965 end 1504290992501541965  Run 334637, LB 178, lumi 5.99
Event Veto ['MiniNoiseBurst'], Fri Sep  1 18:36:38 2017 UTC-Fri Sep  1 18:36:38 2017 UTC (0.001 )  Time stamp start 1504290998336620425 end 1504290998335619625  Run 334637, LB 178, lumi 5.99
Event Veto ['MiniNoiseBurst'], Fri Sep  1 18:36:42 2017 UTC-Fri Sep  1 18:36:42 2017 UTC (0.001 )  Time stamp start 1504291002052409540 end 1504291002051409290  Run 334637, LB 178, lumi 5.99
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Fri Sep  1 18:36:45 2017 UTC-Fri Sep  1 18:36:45 2017 UTC (0.001 )  Time stamp start 1504291005418956015 end 1504291005417956015  Run 334637, LB 178, lumi 5.99
Event Veto ['MiniNoiseBurst'], Fri Sep  1 18:36:50 2017 UTC-Fri Sep  1 18:36:50 2017 UTC (0.001 )  Time stamp start 1504291010126637435 end 1504291010125636835  Run 334637, LB 178, lumi 5.99
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Fri Sep  1 18:36:55 2017 UTC-Fri Sep  1 18:36:55 2017 UTC (0.001 )  Time stamp start 1504291015140194155 end 1504291015139194155  Run 334637, LB 178, lumi 5.99
Event Veto ['NoiseBurst'], Fri Sep  1 18:37:12 2017 UTC-Fri Sep  1 18:37:12 2017 UTC (0.001 )  Time stamp start 1504291032139041855 end 1504291032138041210  Run 334637, LB 179, lumi 6.34
Event Veto ['MiniNoiseBurst'], Fri Sep  1 18:38:20 2017 UTC-Fri Sep  1 18:38:20 2017 UTC (0.001 )  Time stamp start 1504291100409924230 end 1504291100408924080  Run 334637, LB 180, lumi 7.32
Event Veto ['MiniNoiseBurst'], Fri Sep  1 18:38:23 2017 UTC-Fri Sep  1 18:38:23 2017 UTC (0.001 )  Time stamp start 1504291103343830225 end 1504291103342829525  Run 334637, LB 180, lumi 7.32
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Fri Sep  1 18:38:25 2017 UTC-Fri Sep  1 18:38:25 2017 UTC (0.001 )  Time stamp start 1504291105563003270 end 1504291105562003270  Run 334637, LB 180, lumi 7.31
Event Veto ['MiniNoiseBurst'], Fri Sep  1 18:38:40 2017 UTC-Fri Sep  1 18:38:40 2017 UTC (0.001 )  Time stamp start 1504291120698603745 end 1504291120697602570  Run 334637, LB 180, lumi 7.32
Event Veto ['MiniNoiseBurst'], Fri Sep  1 18:38:44 2017 UTC-Fri Sep  1 18:38:44 2017 UTC (0.001 )  Time stamp start 1504291124528806770 end 1504291124527806420  Run 334637, LB 180, lumi 7.32
Event Veto ['MiniNoiseBurst'], Fri Sep  1 18:38:48 2017 UTC-Fri Sep  1 18:38:48 2017 UTC (0.001 )  Time stamp start 1504291128176772815 end 1504291128175771840  Run 334637, LB 180, lumi 7.32
Event Veto ['MiniNoiseBurst'], Fri Sep  1 18:38:51 2017 UTC-Fri Sep  1 18:38:51 2017 UTC (0.001 )  Time stamp start 1504291131214450005 end 1504291131213448835  Run 334637, LB 180, lumi 7.32
Event Veto ['MiniNoiseBurst'], Fri Sep  1 18:38:51 2017 UTC-Fri Sep  1 18:38:51 2017 UTC (0.001 )  Time stamp start 1504291131965295155 end 1504291131964295155  Run 334637, LB 180, lumi 7.31
Event Veto ['MiniNoiseBurst'], Fri Sep  1 18:38:54 2017 UTC-Fri Sep  1 18:38:54 2017 UTC (0.001 )  Time stamp start 1504291134099373405 end 1504291134098373280  Run 334637, LB 180, lumi 7.32
Event Veto ['MiniNoiseBurst'], Fri Sep  1 18:38:57 2017 UTC-Fri Sep  1 18:38:57 2017 UTC (0.001 )  Time stamp start 1504291137311357535 end 1504291137310356290  Run 334637, LB 180, lumi 7.32
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Fri Sep  1 18:39:00 2017 UTC-Fri Sep  1 18:39:00 2017 UTC (0.001 )  Time stamp start 1504291140343357140 end 1504291140342357140  Run 334637, LB 180, lumi 7.31
Event Veto ['MiniNoiseBurst'], Fri Sep  1 18:39:04 2017 UTC-Fri Sep  1 18:39:04 2017 UTC (0.001 )  Time stamp start 1504291144216475835 end 1504291144215474590  Run 334637, LB 181, lumi 7.31
Event Veto ['MiniNoiseBurst'], Fri Sep  1 18:39:08 2017 UTC-Fri Sep  1 18:39:08 2017 UTC (0.001 )  Time stamp start 1504291148024176415 end 1504291148023175465  Run 334637, LB 181, lumi 7.30
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Fri Sep  1 18:39:11 2017 UTC-Fri Sep  1 18:39:11 2017 UTC (0.001 )  Time stamp start 1504291151725704785 end 1504291151724704785  Run 334637, LB 181, lumi 7.30
Event Veto ['MiniNoiseBurst'], Fri Sep  1 18:39:42 2017 UTC-Fri Sep  1 18:39:42 2017 UTC (0.001 )  Time stamp start 1504291182987696905 end 1504291182986695710  Run 334637, LB 181, lumi 7.31
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Fri Sep  1 18:39:46 2017 UTC-Fri Sep  1 18:39:46 2017 UTC (0.001 )  Time stamp start 1504291186181926965 end 1504291186180926965  Run 334637, LB 181, lumi 7.30
Event Veto ['MiniNoiseBurst'], Fri Sep  1 18:40:02 2017 UTC-Fri Sep  1 18:40:02 2017 UTC (0.001 )  Time stamp start 1504291202420781350 end 1504291202419780455  Run 334637, LB 181, lumi 7.30
Event Veto ['MiniNoiseBurst'], Fri Sep  1 18:40:05 2017 UTC-Fri Sep  1 18:40:05 2017 UTC (0.001 )  Time stamp start 1504291205272299330 end 1504291205271298280  Run 334637, LB 182, lumi 7.28
Event Veto ['MiniNoiseBurst'], Fri Sep  1 18:40:08 2017 UTC-Fri Sep  1 18:40:08 2017 UTC (0.001 )  Time stamp start 1504291208025529105 end 1504291208024528160  Run 334637, LB 182, lumi 7.28
Event Veto ['MiniNoiseBurst'], Fri Sep  1 18:40:10 2017 UTC-Fri Sep  1 18:40:10 2017 UTC (0.001 )  Time stamp start 1504291210977961750 end 1504291210976960675  Run 334637, LB 182, lumi 7.28
Event Veto ['MiniNoiseBurst'], Fri Sep  1 18:40:17 2017 UTC-Fri Sep  1 18:40:17 2017 UTC (0.001 )  Time stamp start 1504291217409038600 end 1504291217408037755  Run 334637, LB 182, lumi 7.28
Event Veto ['MiniNoiseBurst'], Fri Sep  1 18:40:21 2017 UTC-Fri Sep  1 18:40:21 2017 UTC (0.001 )  Time stamp start 1504291221336116990 end 1504291221335116445  Run 334637, LB 182, lumi 7.27
Event Veto ['MiniNoiseBurst'], Fri Sep  1 18:40:24 2017 UTC-Fri Sep  1 18:40:24 2017 UTC (0.001 )  Time stamp start 1504291224330624590 end 1504291224329623415  Run 334637, LB 182, lumi 7.28
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Fri Sep  1 18:40:39 2017 UTC-Fri Sep  1 18:40:39 2017 UTC (0.001 )  Time stamp start 1504291239860311265 end 1504291239859311265  Run 334637, LB 183, lumi 7.24
Event Veto ['MiniNoiseBurst'], Fri Sep  1 18:40:43 2017 UTC-Fri Sep  1 18:40:43 2017 UTC (0.001 )  Time stamp start 1504291243538435270 end 1504291243537434820  Run 334637, LB 183, lumi 7.25
Event Veto ['MiniNoiseBurst'], Fri Sep  1 18:40:45 2017 UTC-Fri Sep  1 18:40:45 2017 UTC (0.001 )  Time stamp start 1504291245977131135 end 1504291245976130135  Run 334637, LB 183, lumi 7.25
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Fri Sep  1 18:40:49 2017 UTC-Fri Sep  1 18:40:49 2017 UTC (0.001 )  Time stamp start 1504291249698717155 end 1504291249697717155  Run 334637, LB 183, lumi 7.24
Event Veto ['MiniNoiseBurst'], Fri Sep  1 18:40:53 2017 UTC-Fri Sep  1 18:40:53 2017 UTC (0.001 )  Time stamp start 1504291253258483680 end 1504291253257482785  Run 334637, LB 183, lumi 7.25
Event Veto ['MiniNoiseBurst'], Fri Sep  1 18:40:56 2017 UTC-Fri Sep  1 18:40:56 2017 UTC (0.001 )  Time stamp start 1504291256176534180 end 1504291256175532955  Run 334637, LB 183, lumi 7.25
Event Veto ['MiniNoiseBurst'], Fri Sep  1 18:41:00 2017 UTC-Fri Sep  1 18:41:00 2017 UTC (0.002 )  Time stamp start 1504291260230815330 end 1504291260229164565  Run 334637, LB 183, lumi 11.96
Event Veto ['MiniNoiseBurst'], Fri Sep  1 18:41:36 2017 UTC-Fri Sep  1 18:41:36 2017 UTC (0.001 )  Time stamp start 1504291296048147885 end 1504291296047146585  Run 334637, LB 184, lumi 7.25
Event Veto ['MiniNoiseBurst'], Fri Sep  1 18:41:39 2017 UTC-Fri Sep  1 18:41:39 2017 UTC (0.001 )  Time stamp start 1504291299749126565 end 1504291299748125570  Run 334637, LB 184, lumi 7.24
Event Veto ['MiniNoiseBurst'], Fri Sep  1 18:41:43 2017 UTC-Fri Sep  1 18:41:43 2017 UTC (0.001 )  Time stamp start 1504291303332800070 end 1504291303331799195  Run 334637, LB 184, lumi 7.24
Event Veto ['MiniNoiseBurst'], Fri Sep  1 18:41:46 2017 UTC-Fri Sep  1 18:41:46 2017 UTC (0.001 )  Time stamp start 1504291306743103255 end 1504291306742102260  Run 334637, LB 184, lumi 7.24
Event Veto ['MiniNoiseBurst'], Fri Sep  1 18:41:49 2017 UTC-Fri Sep  1 18:41:49 2017 UTC (0.001 )  Time stamp start 1504291309698363690 end 1504291309697363365  Run 334637, LB 184, lumi 7.24
