Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 335177 to 335177
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 335177 to run 335177  lasting from Sun Sep 10 21:20:14 2017 UTC to Mon Sep 11 16:38:32 2017 UTC
Event Veto ['NoiseBurst'], Mon Sep 11 03:24:05 2017 UTC-Mon Sep 11 03:24:05 2017 UTC (0.001 )  Time stamp start 1505100245277991985 end 1505100245276991210  Run 335177, LB 369, lumi 6.74
Event Veto ['NoiseBurst'], Mon Sep 11 03:24:42 2017 UTC-Mon Sep 11 03:24:42 2017 UTC (0.001 )  Time stamp start 1505100282619778225 end 1505100282618777625  Run 335177, LB 369, lumi 6.74
Event Veto ['MiniNoiseBurst'], Mon Sep 11 03:28:06 2017 UTC-Mon Sep 11 03:28:06 2017 UTC (0.001 )  Time stamp start 1505100486835038555 end 1505100486834038555  Run 335177, LB 373, lumi 10.26
Event Veto ['MiniNoiseBurst'], Mon Sep 11 03:28:30 2017 UTC-Mon Sep 11 03:28:30 2017 UTC (0.001 )  Time stamp start 1505100510189786580 end 1505100510188786580  Run 335177, LB 373, lumi 10.26
Event Veto ['NoiseBurst'], Mon Sep 11 03:30:07 2017 UTC-Mon Sep 11 03:30:07 2017 UTC (0.001 )  Time stamp start 1505100607767659360 end 1505100607766658860  Run 335177, LB 375, lumi 10.22
Event Veto ['MiniNoiseBurst'], Mon Sep 11 03:30:32 2017 UTC-Mon Sep 11 03:30:32 2017 UTC (0.001 )  Time stamp start 1505100632226851015 end 1505100632225851015  Run 335177, LB 376, lumi 10.20
Event Veto ['MiniNoiseBurst'], Mon Sep 11 03:30:33 2017 UTC-Mon Sep 11 03:30:33 2017 UTC (0.001 )  Time stamp start 1505100633475758135 end 1505100633474758135  Run 335177, LB 376, lumi 10.20
Event Veto ['MiniNoiseBurst'], Mon Sep 11 03:30:34 2017 UTC-Mon Sep 11 03:30:34 2017 UTC (0.001 )  Time stamp start 1505100634744196670 end 1505100634743196670  Run 335177, LB 376, lumi 10.20
Event Veto ['MiniNoiseBurst'], Mon Sep 11 03:30:36 2017 UTC-Mon Sep 11 03:30:36 2017 UTC (0.001 )  Time stamp start 1505100636169986125 end 1505100636168986125  Run 335177, LB 376, lumi 10.20
Event Veto ['MiniNoiseBurst'], Mon Sep 11 03:30:37 2017 UTC-Mon Sep 11 03:30:37 2017 UTC (0.001 )  Time stamp start 1505100637497061595 end 1505100637496061595  Run 335177, LB 376, lumi 10.20
Event Veto ['MiniNoiseBurst'], Mon Sep 11 03:30:38 2017 UTC-Mon Sep 11 03:30:38 2017 UTC (0.001 )  Time stamp start 1505100638920417680 end 1505100638919417680  Run 335177, LB 376, lumi 10.20
Event Veto ['MiniNoiseBurst'], Mon Sep 11 03:30:42 2017 UTC-Mon Sep 11 03:30:42 2017 UTC (0.001 )  Time stamp start 1505100642465371440 end 1505100642464371440  Run 335177, LB 376, lumi 10.20
Event Veto ['MiniNoiseBurst'], Mon Sep 11 03:30:44 2017 UTC-Mon Sep 11 03:30:44 2017 UTC (0.001 )  Time stamp start 1505100644220081235 end 1505100644219081110  Run 335177, LB 376, lumi 10.20
Event Veto ['MiniNoiseBurst'], Mon Sep 11 03:30:45 2017 UTC-Mon Sep 11 03:30:45 2017 UTC (0.001 )  Time stamp start 1505100645850789520 end 1505100645849789520  Run 335177, LB 376, lumi 10.20
Event Veto ['MiniNoiseBurst'], Mon Sep 11 03:30:47 2017 UTC-Mon Sep 11 03:30:47 2017 UTC (0.001 )  Time stamp start 1505100647035404345 end 1505100647034403995  Run 335177, LB 376, lumi 10.20
Event Veto ['MiniNoiseBurst'], Mon Sep 11 03:30:47 2017 UTC-Mon Sep 11 03:30:47 2017 UTC (0.001 )  Time stamp start 1505100647913456665 end 1505100647912456665  Run 335177, LB 376, lumi 10.20
Event Veto ['MiniNoiseBurst'], Mon Sep 11 03:30:48 2017 UTC-Mon Sep 11 03:30:48 2017 UTC (0.001 )  Time stamp start 1505100648445934750 end 1505100648444934750  Run 335177, LB 376, lumi 10.20
Event Veto ['MiniNoiseBurst'], Mon Sep 11 03:30:50 2017 UTC-Mon Sep 11 03:30:50 2017 UTC (0.001 )  Time stamp start 1505100650217127855 end 1505100650216127855  Run 335177, LB 376, lumi 10.20
Event Veto ['MiniNoiseBurst'], Mon Sep 11 03:30:50 2017 UTC-Mon Sep 11 03:30:50 2017 UTC (0.001 )  Time stamp start 1505100650587635390 end 1505100650586635390  Run 335177, LB 376, lumi 10.20
Event Veto ['MiniNoiseBurst'], Mon Sep 11 03:30:51 2017 UTC-Mon Sep 11 03:30:51 2017 UTC (0.001 )  Time stamp start 1505100651579860900 end 1505100651578860900  Run 335177, LB 376, lumi 10.20
Event Veto ['MiniNoiseBurst'], Mon Sep 11 03:30:52 2017 UTC-Mon Sep 11 03:30:52 2017 UTC (0.001 )  Time stamp start 1505100652876769450 end 1505100652875769450  Run 335177, LB 376, lumi 10.20
Event Veto ['NoiseBurst'], Mon Sep 11 03:30:54 2017 UTC-Mon Sep 11 03:30:54 2017 UTC (0.001 )  Time stamp start 1505100654676709625 end 1505100654675708925  Run 335177, LB 376, lumi 10.20
Event Veto ['MiniNoiseBurst'], Mon Sep 11 03:30:55 2017 UTC-Mon Sep 11 03:30:55 2017 UTC (0.001 )  Time stamp start 1505100655482590460 end 1505100655481590460  Run 335177, LB 376, lumi 10.20
Event Veto ['MiniNoiseBurst'], Mon Sep 11 03:30:56 2017 UTC-Mon Sep 11 03:30:56 2017 UTC (0.001 )  Time stamp start 1505100656866595205 end 1505100656865595205  Run 335177, LB 376, lumi 10.20
Event Veto ['MiniNoiseBurst'], Mon Sep 11 03:30:59 2017 UTC-Mon Sep 11 03:30:59 2017 UTC (0.001 )  Time stamp start 1505100659497805985 end 1505100659496805985  Run 335177, LB 376, lumi 10.20
Event Veto ['MiniNoiseBurst'], Mon Sep 11 03:31:00 2017 UTC-Mon Sep 11 03:31:00 2017 UTC (0.001 )  Time stamp start 1505100660884995125 end 1505100660883995000  Run 335177, LB 376, lumi 10.20
Event Veto ['MiniNoiseBurst'], Mon Sep 11 03:31:02 2017 UTC-Mon Sep 11 03:31:02 2017 UTC (0.001 )  Time stamp start 1505100662380591980 end 1505100662379591980  Run 335177, LB 376, lumi 10.20
Event Veto ['MiniNoiseBurst'], Mon Sep 11 03:31:03 2017 UTC-Mon Sep 11 03:31:03 2017 UTC (0.001 )  Time stamp start 1505100663705721320 end 1505100663704721320  Run 335177, LB 376, lumi 10.20
Event Veto ['MiniNoiseBurst'], Mon Sep 11 03:31:05 2017 UTC-Mon Sep 11 03:31:05 2017 UTC (0.001 )  Time stamp start 1505100665230870285 end 1505100665229870285  Run 335177, LB 376, lumi 10.20
Event Veto ['MiniNoiseBurst'], Mon Sep 11 03:31:06 2017 UTC-Mon Sep 11 03:31:06 2017 UTC (0.001 )  Time stamp start 1505100666657194380 end 1505100666656194085  Run 335177, LB 376, lumi 10.20
Event Veto ['MiniNoiseBurst'], Mon Sep 11 03:31:23 2017 UTC-Mon Sep 11 03:31:23 2017 UTC (0.001 )  Time stamp start 1505100683890676330 end 1505100683889676330  Run 335177, LB 377, lumi 10.20
Event Veto ['MiniNoiseBurst'], Mon Sep 11 03:31:25 2017 UTC-Mon Sep 11 03:31:25 2017 UTC (0.001 )  Time stamp start 1505100685111868170 end 1505100685110868170  Run 335177, LB 377, lumi 10.20
