Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 336998 to 336998
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 336998 to run 336998  lasting from Sun Oct  1 22:36:38 2017 UTC to Mon Oct  2 03:36:50 2017 UTC
Event Veto ['MiniNoiseBurst'], Sun Oct  1 23:24:43 2017 UTC-Sun Oct  1 23:24:43 2017 UTC (0.001 )  Time stamp start 1506900283250447040 end 1506900283249447040  Run 336998, LB 55, lumi 0.00
Event Veto ['MiniNoiseBurst'], Sun Oct  1 23:26:53 2017 UTC-Sun Oct  1 23:26:53 2017 UTC (0.001 )  Time stamp start 1506900413580007635 end 1506900413579007635  Run 336998, LB 57, lumi 0.00
Event Veto ['MiniNoiseBurst'], Sun Oct  1 23:35:04 2017 UTC-Sun Oct  1 23:35:04 2017 UTC (0.001 )  Time stamp start 1506900904045987590 end 1506900904044987590  Run 336998, LB 65, lumi 0.00
Event Veto ['MiniNoiseBurst'], Sun Oct  1 23:38:27 2017 UTC-Sun Oct  1 23:38:27 2017 UTC (0.001 )  Time stamp start 1506901107172243850 end 1506901107171243850  Run 336998, LB 69, lumi 0.00
Event Veto ['MiniNoiseBurst'], Sun Oct  1 23:39:15 2017 UTC-Sun Oct  1 23:39:15 2017 UTC (0.001 )  Time stamp start 1506901155361787540 end 1506901155360787540  Run 336998, LB 70, lumi 0.69
Event Veto ['MiniNoiseBurst'], Sun Oct  1 23:39:35 2017 UTC-Sun Oct  1 23:39:35 2017 UTC (0.001 )  Time stamp start 1506901175935509240 end 1506901175934509240  Run 336998, LB 70, lumi 0.69
Event Veto ['MiniNoiseBurst'], Sun Oct  1 23:39:44 2017 UTC-Sun Oct  1 23:39:44 2017 UTC (0.001 )  Time stamp start 1506901184653960495 end 1506901184652960495  Run 336998, LB 71, lumi 14.34
Event Veto ['MiniNoiseBurst'], Sun Oct  1 23:39:50 2017 UTC-Sun Oct  1 23:39:50 2017 UTC (0.001 )  Time stamp start 1506901190185508155 end 1506901190184508155  Run 336998, LB 71, lumi 14.34
Event Veto ['MiniNoiseBurst'], Sun Oct  1 23:39:50 2017 UTC-Sun Oct  1 23:39:50 2017 UTC (0.001 )  Time stamp start 1506901190614656160 end 1506901190613656160  Run 336998, LB 71, lumi 14.34
Event Veto ['MiniNoiseBurst'], Sun Oct  1 23:39:51 2017 UTC-Sun Oct  1 23:39:51 2017 UTC (0.001 )  Time stamp start 1506901191809834485 end 1506901191808834485  Run 336998, LB 71, lumi 14.34
Event Veto ['MiniNoiseBurst'], Sun Oct  1 23:40:38 2017 UTC-Sun Oct  1 23:40:38 2017 UTC (0.001 )  Time stamp start 1506901238683291160 end 1506901238682291160  Run 336998, LB 71, lumi 14.34
Event Veto ['MiniNoiseBurst'], Sun Oct  1 23:41:09 2017 UTC-Sun Oct  1 23:41:09 2017 UTC (0.001 )  Time stamp start 1506901269021422875 end 1506901269020422875  Run 336998, LB 72, lumi 13.97
Event Veto ['MiniNoiseBurst'], Sun Oct  1 23:41:14 2017 UTC-Sun Oct  1 23:41:14 2017 UTC (0.001 )  Time stamp start 1506901274339841640 end 1506901274338487140  Run 336998, LB 72, lumi 18.92
Event Veto ['MiniNoiseBurst'], Sun Oct  1 23:41:37 2017 UTC-Sun Oct  1 23:41:37 2017 UTC (0.001 )  Time stamp start 1506901297742708740 end 1506901297741708740  Run 336998, LB 72, lumi 13.97
Event Veto ['MiniNoiseBurst'], Sun Oct  1 23:41:39 2017 UTC-Sun Oct  1 23:41:39 2017 UTC (0.001 )  Time stamp start 1506901299359314090 end 1506901299358314090  Run 336998, LB 72, lumi 13.97
Event Veto ['MiniNoiseBurst'], Sun Oct  1 23:41:43 2017 UTC-Sun Oct  1 23:41:43 2017 UTC (0.001 )  Time stamp start 1506901303932491810 end 1506901303931491810  Run 336998, LB 72, lumi 13.97
