Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 337107 to 337107
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 337107 to run 337107  lasting from Tue Oct  3 10:22:14 2017 UTC to Tue Oct  3 22:23:08 2017 UTC
Event Veto ['MiniNoiseBurst'], Tue Oct  3 11:17:26 2017 UTC-Tue Oct  3 11:17:26 2017 UTC (0.001 )  Time stamp start 1507029446211227915 end 1507029446210227915  Run 337107, LB 60, lumi 0.00
Event Veto ['MiniNoiseBurst'], Tue Oct  3 11:31:36 2017 UTC-Tue Oct  3 11:31:36 2017 UTC (0.001 )  Time stamp start 1507030296661953200 end 1507030296660953200  Run 337107, LB 75, lumi 0.00
Event Veto ['MiniNoiseBurst'], Tue Oct  3 11:39:36 2017 UTC-Tue Oct  3 11:39:36 2017 UTC (0.000 )  Time stamp start 1507030776013249255 end 1507030776013138250  Run 337107, LB 83, lumi 1.73
Event Veto ['MiniNoiseBurst'], Tue Oct  3 11:39:36 2017 UTC-Tue Oct  3 11:39:36 2017 UTC (0.002 )  Time stamp start 1507030776015009630 end 1507030776013249255  Run 337107, LB 83, lumi 27.36
Event Veto ['MiniNoiseBurst'], Tue Oct  3 11:39:36 2017 UTC-Tue Oct  3 11:39:36 2017 UTC (0.001 )  Time stamp start 1507030776257333235 end 1507030776255982825  Run 337107, LB 83, lumi 20.99
Event Veto ['NoiseBurst'], Tue Oct  3 11:39:37 2017 UTC-Tue Oct  3 11:39:37 2017 UTC (0.001 )  Time stamp start 1507030777106312770 end 1507030777105303965  Run 337107, LB 83, lumi 15.68
Event Veto ['MiniNoiseBurst'], Tue Oct  3 11:40:07 2017 UTC-Tue Oct  3 11:40:07 2017 UTC (0.001 )  Time stamp start 1507030807428806320 end 1507030807427806320  Run 337107, LB 84, lumi 16.13
Event Veto ['MiniNoiseBurst'], Tue Oct  3 11:40:15 2017 UTC-Tue Oct  3 11:40:15 2017 UTC (0.001 )  Time stamp start 1507030815782308135 end 1507030815781308135  Run 337107, LB 84, lumi 16.13
Event Veto ['MiniNoiseBurst'], Tue Oct  3 11:40:21 2017 UTC-Tue Oct  3 11:40:21 2017 UTC (0.001 )  Time stamp start 1507030821411671010 end 1507030821410671010  Run 337107, LB 84, lumi 16.13
Event Veto ['MiniNoiseBurst'], Tue Oct  3 11:40:22 2017 UTC-Tue Oct  3 11:40:22 2017 UTC (0.001 )  Time stamp start 1507030822105625935 end 1507030822104625935  Run 337107, LB 84, lumi 16.13
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Tue Oct  3 11:41:07 2017 UTC-Tue Oct  3 11:41:07 2017 UTC (0.001 )  Time stamp start 1507030867651892250 end 1507030867650892250  Run 337107, LB 85, lumi 13.72
Event Veto ['MiniNoiseBurst'], Tue Oct  3 11:41:13 2017 UTC-Tue Oct  3 11:41:13 2017 UTC (0.001 )  Time stamp start 1507030873824167930 end 1507030873823167930  Run 337107, LB 85, lumi 13.72
Event Veto ['MiniNoiseBurst'], Tue Oct  3 11:41:49 2017 UTC-Tue Oct  3 11:41:49 2017 UTC (0.001 )  Time stamp start 1507030909047934885 end 1507030909046934885  Run 337107, LB 86, lumi 17.17
Event Veto ['MiniNoiseBurst'], Tue Oct  3 11:42:19 2017 UTC-Tue Oct  3 11:42:19 2017 UTC (0.001 )  Time stamp start 1507030939610231820 end 1507030939609231820  Run 337107, LB 87, lumi 17.25
Event Veto ['MiniNoiseBurst'], Tue Oct  3 11:42:25 2017 UTC-Tue Oct  3 11:42:25 2017 UTC (0.001 )  Time stamp start 1507030945190105545 end 1507030945189105545  Run 337107, LB 87, lumi 17.25
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Tue Oct  3 11:42:31 2017 UTC-Tue Oct  3 11:42:31 2017 UTC (0.001 )  Time stamp start 1507030951182202575 end 1507030951181202575  Run 337107, LB 87, lumi 17.25
Event Veto ['MiniNoiseBurst'], Tue Oct  3 11:42:35 2017 UTC-Tue Oct  3 11:42:35 2017 UTC (0.001 )  Time stamp start 1507030955540812785 end 1507030955539812785  Run 337107, LB 87, lumi 17.25
Event Veto ['MiniNoiseBurst'], Tue Oct  3 11:42:48 2017 UTC-Tue Oct  3 11:42:48 2017 UTC (0.001 )  Time stamp start 1507030968134299095 end 1507030968133299095  Run 337107, LB 87, lumi 17.25
