Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 337156 to 337156
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 337156 to run 337156  lasting from Tue Oct  3 23:54:09 2017 UTC to Wed Oct  4 05:21:39 2017 UTC
Event Veto ['MiniNoiseBurst'], Wed Oct  4 03:06:45 2017 UTC-Wed Oct  4 03:06:45 2017 UTC (0.001 )  Time stamp start 1507086405986065280 end 1507086405985065280  Run 337156, LB 200, lumi 2.34
Event Veto ['MiniNoiseBurst'], Wed Oct  4 03:06:46 2017 UTC-Wed Oct  4 03:06:46 2017 UTC (0.001 )  Time stamp start 1507086406199891320 end 1507086406198891320  Run 337156, LB 200, lumi 2.34
Event Veto ['MiniNoiseBurst'], Wed Oct  4 03:07:07 2017 UTC-Wed Oct  4 03:07:07 2017 UTC (0.001 )  Time stamp start 1507086427006388045 end 1507086427005529990  Run 337156, LB 201, lumi 13.14
Event Veto ['MiniNoiseBurst'], Wed Oct  4 03:07:07 2017 UTC-Wed Oct  4 03:07:07 2017 UTC (0.001 )  Time stamp start 1507086427007388045 end 1507086427006388045  Run 337156, LB 201, lumi 15.31
Event Veto ['MiniNoiseBurst'], Wed Oct  4 03:07:14 2017 UTC-Wed Oct  4 03:07:14 2017 UTC (0.001 )  Time stamp start 1507086434701633380 end 1507086434700633380  Run 337156, LB 201, lumi 15.31
Event Veto ['MiniNoiseBurst'], Wed Oct  4 03:07:32 2017 UTC-Wed Oct  4 03:07:32 2017 UTC (0.001 )  Time stamp start 1507086452325687885 end 1507086452324687885  Run 337156, LB 201, lumi 15.31
Event Veto ['MiniNoiseBurst'], Wed Oct  4 03:07:53 2017 UTC-Wed Oct  4 03:07:53 2017 UTC (0.001 )  Time stamp start 1507086473671426505 end 1507086473670426505  Run 337156, LB 201, lumi 15.31
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Wed Oct  4 03:08:16 2017 UTC-Wed Oct  4 03:08:16 2017 UTC (0.001 )  Time stamp start 1507086496393267430 end 1507086496392267430  Run 337156, LB 202, lumi 14.31
Event Veto ['MiniNoiseBurst'], Wed Oct  4 03:08:17 2017 UTC-Wed Oct  4 03:08:17 2017 UTC (0.001 )  Time stamp start 1507086497634773155 end 1507086497633773155  Run 337156, LB 202, lumi 14.31
Event Veto ['MiniNoiseBurst'], Wed Oct  4 03:08:24 2017 UTC-Wed Oct  4 03:08:24 2017 UTC (0.001 )  Time stamp start 1507086504157827590 end 1507086504156827590  Run 337156, LB 202, lumi 14.31
Event Veto ['MiniNoiseBurst'], Wed Oct  4 03:08:27 2017 UTC-Wed Oct  4 03:08:27 2017 UTC (0.001 )  Time stamp start 1507086507466024260 end 1507086507465024260  Run 337156, LB 202, lumi 14.31
Event Veto ['MiniNoiseBurst'], Wed Oct  4 03:08:43 2017 UTC-Wed Oct  4 03:08:43 2017 UTC (0.001 )  Time stamp start 1507086523028029430 end 1507086523027029430  Run 337156, LB 202, lumi 14.31
Event Veto ['MiniNoiseBurst'], Wed Oct  4 03:08:43 2017 UTC-Wed Oct  4 03:08:43 2017 UTC (0.001 )  Time stamp start 1507086523572669915 end 1507086523571669915  Run 337156, LB 202, lumi 14.31
Event Veto ['NoiseBurst'], Wed Oct  4 03:08:44 2017 UTC-Wed Oct  4 03:08:44 2017 UTC (0.001 )  Time stamp start 1507086524071087305 end 1507086524070086630  Run 337156, LB 202, lumi 14.32
Event Veto ['MiniNoiseBurst'], Wed Oct  4 03:09:09 2017 UTC-Wed Oct  4 03:09:09 2017 UTC (0.001 )  Time stamp start 1507086549062106250 end 1507086549061106250  Run 337156, LB 203, lumi 17.45
Event Veto ['MiniNoiseBurst'], Wed Oct  4 03:09:17 2017 UTC-Wed Oct  4 03:09:17 2017 UTC (0.001 )  Time stamp start 1507086557056241485 end 1507086557055241485  Run 337156, LB 204, lumi 17.49
Event Veto ['MiniNoiseBurst'], Wed Oct  4 03:09:39 2017 UTC-Wed Oct  4 03:09:39 2017 UTC (0.001 )  Time stamp start 1507086579820345670 end 1507086579819345670  Run 337156, LB 205, lumi 17.42
Event Veto ['MiniNoiseBurst'], Wed Oct  4 03:09:40 2017 UTC-Wed Oct  4 03:09:40 2017 UTC (0.001 )  Time stamp start 1507086580097628400 end 1507086580096628400  Run 337156, LB 205, lumi 17.42
Event Veto ['MiniNoiseBurst'], Wed Oct  4 03:09:47 2017 UTC-Wed Oct  4 03:09:47 2017 UTC (0.001 )  Time stamp start 1507086587556938995 end 1507086587555938995  Run 337156, LB 205, lumi 17.42
Event Veto ['MiniNoiseBurst'], Wed Oct  4 03:09:50 2017 UTC-Wed Oct  4 03:09:50 2017 UTC (0.001 )  Time stamp start 1507086590877196700 end 1507086590876196700  Run 337156, LB 205, lumi 17.42
Event Veto ['MiniNoiseBurst'], Wed Oct  4 03:09:57 2017 UTC-Wed Oct  4 03:09:57 2017 UTC (0.002 )  Time stamp start 1507086597483533165 end 1507086597481787360  Run 337156, LB 205, lumi 30.41
