Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 337176 to 337176
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 337176 to run 337176  lasting from Wed Oct  4 07:13:52 2017 UTC to Wed Oct  4 21:24:48 2017 UTC
Event Veto ['MiniNoiseBurst'], Wed Oct  4 07:32:41 2017 UTC-Wed Oct  4 07:32:41 2017 UTC (0.001 )  Time stamp start 1507102361033679790 end 1507102361032679165  Run 337176, LB 20, lumi 0.00
Event Veto ['NoiseBurst'], Wed Oct  4 09:08:31 2017 UTC-Wed Oct  4 09:08:31 2017 UTC (0.001 )  Time stamp start 1507108111599500075 end 1507108111598407855  Run 337176, LB 119, lumi 3.17
Event Veto ['NoiseBurst'], Wed Oct  4 09:08:31 2017 UTC-Wed Oct  4 09:08:31 2017 UTC (0.001 )  Time stamp start 1507108111609957680 end 1507108111608919380  Run 337176, LB 119, lumi 3.02
Event Veto ['NoiseBurst'], Wed Oct  4 09:08:31 2017 UTC-Wed Oct  4 09:08:31 2017 UTC (0.001 )  Time stamp start 1507108111611844555 end 1507108111610726360  Run 337176, LB 119, lumi 3.25
Event Veto ['NoiseBurst'], Wed Oct  4 09:08:31 2017 UTC-Wed Oct  4 09:08:31 2017 UTC (0.001 )  Time stamp start 1507108111616623615 end 1507108111615533295  Run 337176, LB 119, lumi 3.17
Event Veto ['NoiseBurst'], Wed Oct  4 09:08:31 2017 UTC-Wed Oct  4 09:08:31 2017 UTC (0.001 )  Time stamp start 1507108111621325560 end 1507108111620229700  Run 337176, LB 119, lumi 3.18
Event Veto ['NoiseBurst'], Wed Oct  4 09:08:31 2017 UTC-Wed Oct  4 09:08:31 2017 UTC (0.001 )  Time stamp start 1507108111623025155 end 1507108111621928220  Run 337176, LB 119, lumi 3.19
Event Veto ['NoiseBurst'], Wed Oct  4 09:08:31 2017 UTC-Wed Oct  4 09:08:31 2017 UTC (0.001 )  Time stamp start 1507108111626247190 end 1507108111625187810  Run 337176, LB 119, lumi 3.08
Event Veto ['NoiseBurst'], Wed Oct  4 09:08:31 2017 UTC-Wed Oct  4 09:08:31 2017 UTC (0.001 )  Time stamp start 1507108111660189955 end 1507108111658908385  Run 337176, LB 119, lumi 3.72
Event Veto ['MiniNoiseBurst'], Wed Oct  4 09:08:34 2017 UTC-Wed Oct  4 09:08:34 2017 UTC (0.001 )  Time stamp start 1507108114932475930 end 1507108114931475930  Run 337176, LB 119, lumi 2.91
Event Veto ['MiniNoiseBurst'], Wed Oct  4 09:08:39 2017 UTC-Wed Oct  4 09:08:39 2017 UTC (0.001 )  Time stamp start 1507108119069223245 end 1507108119068223245  Run 337176, LB 119, lumi 2.91
Event Veto ['MiniNoiseBurst'], Wed Oct  4 09:08:40 2017 UTC-Wed Oct  4 09:08:40 2017 UTC (0.001 )  Time stamp start 1507108120754403095 end 1507108120753403095  Run 337176, LB 119, lumi 2.91
Event Veto ['MiniNoiseBurst'], Wed Oct  4 09:08:44 2017 UTC-Wed Oct  4 09:08:44 2017 UTC (0.001 )  Time stamp start 1507108124933913635 end 1507108124932827230  Run 337176, LB 119, lumi 3.16
Event Veto ['MiniNoiseBurst'], Wed Oct  4 09:08:47 2017 UTC-Wed Oct  4 09:08:47 2017 UTC (0.001 )  Time stamp start 1507108127172936080 end 1507108127171936080  Run 337176, LB 119, lumi 2.91
Event Veto ['MiniNoiseBurst'], Wed Oct  4 09:08:47 2017 UTC-Wed Oct  4 09:08:47 2017 UTC (0.001 )  Time stamp start 1507108127984682950 end 1507108127983682950  Run 337176, LB 119, lumi 2.91
Event Veto ['MiniNoiseBurst'], Wed Oct  4 09:08:53 2017 UTC-Wed Oct  4 09:08:53 2017 UTC (0.001 )  Time stamp start 1507108133176182545 end 1507108133175182545  Run 337176, LB 119, lumi 2.91
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Wed Oct  4 09:09:19 2017 UTC-Wed Oct  4 09:09:19 2017 UTC (0.001 )  Time stamp start 1507108159912853220 end 1507108159911853220  Run 337176, LB 120, lumi 14.02
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Wed Oct  4 09:09:21 2017 UTC-Wed Oct  4 09:09:21 2017 UTC (0.001 )  Time stamp start 1507108161655972975 end 1507108161654972975  Run 337176, LB 120, lumi 14.02
Event Veto ['MiniNoiseBurst'], Wed Oct  4 09:09:34 2017 UTC-Wed Oct  4 09:09:34 2017 UTC (0.001 )  Time stamp start 1507108174609838175 end 1507108174608838175  Run 337176, LB 120, lumi 14.02
Event Veto ['MiniNoiseBurst'], Wed Oct  4 09:10:24 2017 UTC-Wed Oct  4 09:10:24 2017 UTC (0.001 )  Time stamp start 1507108224028547715 end 1507108224027547715  Run 337176, LB 121, lumi 13.47
Event Veto ['MiniNoiseBurst'], Wed Oct  4 09:10:35 2017 UTC-Wed Oct  4 09:10:35 2017 UTC (0.001 )  Time stamp start 1507108235586187060 end 1507108235585187060  Run 337176, LB 121, lumi 13.47
Event Veto ['MiniNoiseBurst'], Wed Oct  4 09:10:40 2017 UTC-Wed Oct  4 09:10:40 2017 UTC (0.001 )  Time stamp start 1507108240638327440 end 1507108240637327440  Run 337176, LB 121, lumi 13.47
Event Veto ['MiniNoiseBurst'], Wed Oct  4 09:10:44 2017 UTC-Wed Oct  4 09:10:44 2017 UTC (0.001 )  Time stamp start 1507108244269178450 end 1507108244268178450  Run 337176, LB 121, lumi 13.47
Event Veto ['MiniNoiseBurst'], Wed Oct  4 09:10:48 2017 UTC-Wed Oct  4 09:10:48 2017 UTC (0.001 )  Time stamp start 1507108248604790775 end 1507108248603790475  Run 337176, LB 121, lumi 13.48
