Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 337263 to 337263
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 337263 to run 337263  lasting from Thu Oct  5 15:35:36 2017 UTC to Fri Oct  6 07:58:59 2017 UTC
Event Veto ['MiniNoiseBurst'], Thu Oct  5 15:46:42 2017 UTC-Thu Oct  5 15:46:42 2017 UTC (0.001 )  Time stamp start 1507218402966409905 end 1507218402965409905  Run 337263, LB 13, lumi 0.00
Event Veto ['MiniNoiseBurst'], Thu Oct  5 18:39:47 2017 UTC-Thu Oct  5 18:39:47 2017 UTC (0.001 )  Time stamp start 1507228787083859455 end 1507228787082859455  Run 337263, LB 189, lumi 0.00
Event Veto ['MiniNoiseBurst'], Thu Oct  5 18:47:07 2017 UTC-Thu Oct  5 18:47:07 2017 UTC (0.001 )  Time stamp start 1507229227138478685 end 1507229227137478685  Run 337263, LB 197, lumi 4.77
Event Veto ['MiniNoiseBurst'], Thu Oct  5 18:47:10 2017 UTC-Thu Oct  5 18:47:10 2017 UTC (0.001 )  Time stamp start 1507229230430002090 end 1507229230429002090  Run 337263, LB 197, lumi 4.77
Event Veto ['MiniNoiseBurst'], Thu Oct  5 18:47:25 2017 UTC-Thu Oct  5 18:47:25 2017 UTC (0.001 )  Time stamp start 1507229245386006390 end 1507229245385006390  Run 337263, LB 197, lumi 4.77
Event Veto ['MiniNoiseBurst'], Thu Oct  5 18:47:30 2017 UTC-Thu Oct  5 18:47:30 2017 UTC (0.001 )  Time stamp start 1507229250474659615 end 1507229250473659615  Run 337263, LB 197, lumi 4.77
Event Veto ['MiniNoiseBurst'], Thu Oct  5 18:47:33 2017 UTC-Thu Oct  5 18:47:33 2017 UTC (0.001 )  Time stamp start 1507229253614754890 end 1507229253613754890  Run 337263, LB 197, lumi 4.77
Event Veto ['MiniNoiseBurst'], Thu Oct  5 18:48:53 2017 UTC-Thu Oct  5 18:48:53 2017 UTC (0.001 )  Time stamp start 1507229333526899055 end 1507229333525899055  Run 337263, LB 200, lumi 17.18
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Thu Oct  5 18:48:59 2017 UTC-Thu Oct  5 18:48:59 2017 UTC (0.001 )  Time stamp start 1507229339479791695 end 1507229339478791695  Run 337263, LB 200, lumi 17.18
Event Veto ['MiniNoiseBurst'], Thu Oct  5 18:49:01 2017 UTC-Thu Oct  5 18:49:01 2017 UTC (0.001 )  Time stamp start 1507229341135270155 end 1507229341134270155  Run 337263, LB 200, lumi 17.18
Event Veto ['MiniNoiseBurst'], Thu Oct  5 18:49:04 2017 UTC-Thu Oct  5 18:49:04 2017 UTC (0.001 )  Time stamp start 1507229344907570330 end 1507229344906569505  Run 337263, LB 200, lumi 17.19
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Thu Oct  5 18:49:06 2017 UTC-Thu Oct  5 18:49:06 2017 UTC (0.001 )  Time stamp start 1507229346849094040 end 1507229346848094040  Run 337263, LB 200, lumi 17.18
Event Veto ['MiniNoiseBurst'], Thu Oct  5 18:49:08 2017 UTC-Thu Oct  5 18:49:08 2017 UTC (0.001 )  Time stamp start 1507229348140365160 end 1507229348139365035  Run 337263, LB 200, lumi 17.18
Event Veto ['NoiseBurst'], Thu Oct  5 18:49:08 2017 UTC-Thu Oct  5 18:49:09 2017 UTC (0.001 )  Time stamp start 1507229349000911415 end 1507229348999911290  Run 337263, LB 200, lumi 17.18
Event Veto ['MiniNoiseBurst'], Thu Oct  5 18:49:09 2017 UTC-Thu Oct  5 18:49:09 2017 UTC (0.000 )  Time stamp start 1507229349000911740 end 1507229349000911415  Run 337263, LB 200, lumi 0.01
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Thu Oct  5 18:49:09 2017 UTC-Thu Oct  5 18:49:09 2017 UTC (0.001 )  Time stamp start 1507229349923178265 end 1507229349922178265  Run 337263, LB 200, lumi 17.18
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Thu Oct  5 18:49:11 2017 UTC-Thu Oct  5 18:49:11 2017 UTC (0.001 )  Time stamp start 1507229351422194005 end 1507229351421194005  Run 337263, LB 200, lumi 17.18
Event Veto ['MiniNoiseBurst'], Thu Oct  5 18:49:20 2017 UTC-Thu Oct  5 18:49:20 2017 UTC (0.001 )  Time stamp start 1507229360869050495 end 1507229360868049625  Run 337263, LB 200, lumi 17.20
Event Veto ['MiniNoiseBurst'], Thu Oct  5 18:49:24 2017 UTC-Thu Oct  5 18:49:24 2017 UTC (0.001 )  Time stamp start 1507229364167178965 end 1507229364166178965  Run 337263, LB 200, lumi 17.18
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Thu Oct  5 18:49:24 2017 UTC-Thu Oct  5 18:49:24 2017 UTC (0.001 )  Time stamp start 1507229364180066370 end 1507229364179066370  Run 337263, LB 200, lumi 17.18
Event Veto ['MiniNoiseBurst'], Thu Oct  5 18:49:25 2017 UTC-Thu Oct  5 18:49:25 2017 UTC (0.001 )  Time stamp start 1507229365878653040 end 1507229365877652840  Run 337263, LB 200, lumi 17.18
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Thu Oct  5 18:49:27 2017 UTC-Thu Oct  5 18:49:27 2017 UTC (0.001 )  Time stamp start 1507229367598558500 end 1507229367597558500  Run 337263, LB 200, lumi 17.18
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Thu Oct  5 18:49:29 2017 UTC-Thu Oct  5 18:49:29 2017 UTC (0.001 )  Time stamp start 1507229369260341560 end 1507229369259341560  Run 337263, LB 200, lumi 17.18
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Thu Oct  5 18:49:31 2017 UTC-Thu Oct  5 18:49:31 2017 UTC (0.001 )  Time stamp start 1507229371159877170 end 1507229371158877170  Run 337263, LB 200, lumi 17.18
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Thu Oct  5 18:49:32 2017 UTC-Thu Oct  5 18:49:32 2017 UTC (0.001 )  Time stamp start 1507229372443568675 end 1507229372442568550  Run 337263, LB 200, lumi 17.18
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Thu Oct  5 18:49:35 2017 UTC-Thu Oct  5 18:49:35 2017 UTC (0.001 )  Time stamp start 1507229375453620300 end 1507229375452620300  Run 337263, LB 200, lumi 17.18
Event Veto ['MiniNoiseBurst'], Thu Oct  5 18:49:37 2017 UTC-Thu Oct  5 18:49:37 2017 UTC (0.001 )  Time stamp start 1507229377183575315 end 1507229377182575315  Run 337263, LB 200, lumi 17.18
Event Veto ['MiniNoiseBurst'], Thu Oct  5 18:49:38 2017 UTC-Thu Oct  5 18:49:38 2017 UTC (0.001 )  Time stamp start 1507229378161268960 end 1507229378160268960  Run 337263, LB 200, lumi 17.18
Event Veto ['MiniNoiseBurst'], Thu Oct  5 18:49:43 2017 UTC-Thu Oct  5 18:49:43 2017 UTC (0.001 )  Time stamp start 1507229383777698960 end 1507229383776698960  Run 337263, LB 200, lumi 17.18
Event Veto ['MiniNoiseBurst'], Thu Oct  5 18:49:46 2017 UTC-Thu Oct  5 18:49:46 2017 UTC (0.001 )  Time stamp start 1507229386889742170 end 1507229386888742170  Run 337263, LB 200, lumi 17.18
Event Veto ['MiniNoiseBurst'], Thu Oct  5 18:49:53 2017 UTC-Thu Oct  5 18:49:53 2017 UTC (0.001 )  Time stamp start 1507229393655642645 end 1507229393654642645  Run 337263, LB 201, lumi 16.37
Event Veto ['MiniNoiseBurst'], Thu Oct  5 18:50:02 2017 UTC-Thu Oct  5 18:50:02 2017 UTC (0.001 )  Time stamp start 1507229402999032265 end 1507229402998032265  Run 337263, LB 201, lumi 16.37
Event Veto ['NoiseBurst'], Thu Oct  5 18:50:03 2017 UTC-Thu Oct  5 18:50:03 2017 UTC (0.001 )  Time stamp start 1507229403070516930 end 1507229403069516780  Run 337263, LB 201, lumi 16.38
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Thu Oct  5 18:50:31 2017 UTC-Thu Oct  5 18:50:31 2017 UTC (0.001 )  Time stamp start 1507229431650340960 end 1507229431649340960  Run 337263, LB 201, lumi 16.37
Event Veto ['MiniNoiseBurst'], Thu Oct  5 18:50:33 2017 UTC-Thu Oct  5 18:50:33 2017 UTC (0.001 )  Time stamp start 1507229433479827990 end 1507229433478827990  Run 337263, LB 201, lumi 16.37
Event Veto ['MiniNoiseBurst'], Thu Oct  5 18:50:41 2017 UTC-Thu Oct  5 18:50:41 2017 UTC (0.001 )  Time stamp start 1507229441282534310 end 1507229441281534310  Run 337263, LB 201, lumi 16.37
Event Veto ['NoiseBurst'], Thu Oct  5 18:50:44 2017 UTC-Thu Oct  5 18:50:44 2017 UTC (0.001 )  Time stamp start 1507229444555658265 end 1507229444554442890  Run 337263, LB 201, lumi 19.90
