Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 337335 to 337335
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 337335 to run 337335  lasting from Fri Oct  6 11:09:41 2017 UTC to Fri Oct  6 17:51:05 2017 UTC
Event Veto ['MiniNoiseBurst'], Fri Oct  6 11:57:45 2017 UTC-Fri Oct  6 11:57:45 2017 UTC (0.001 )  Time stamp start 1507291065736486345 end 1507291065735486345  Run 337335, LB 53, lumi 0.00
Event Veto ['MiniNoiseBurst'], Fri Oct  6 12:08:03 2017 UTC-Fri Oct  6 12:08:03 2017 UTC (0.001 )  Time stamp start 1507291683207419550 end 1507291683206419550  Run 337335, LB 65, lumi 0.00
Event Veto ['MiniNoiseBurst'], Fri Oct  6 12:26:47 2017 UTC-Fri Oct  6 12:26:47 2017 UTC (0.001 )  Time stamp start 1507292807061632890 end 1507292807060632890  Run 337335, LB 84, lumi 0.26
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Fri Oct  6 12:26:50 2017 UTC-Fri Oct  6 12:26:50 2017 UTC (0.001 )  Time stamp start 1507292810826288115 end 1507292810825288115  Run 337335, LB 85, lumi 16.37
Event Veto ['MiniNoiseBurst'], Fri Oct  6 12:26:57 2017 UTC-Fri Oct  6 12:26:57 2017 UTC (0.001 )  Time stamp start 1507292817756964725 end 1507292817755964725  Run 337335, LB 85, lumi 16.37
Event Veto ['MiniNoiseBurst'], Fri Oct  6 12:26:57 2017 UTC-Fri Oct  6 12:26:57 2017 UTC (0.001 )  Time stamp start 1507292817766170125 end 1507292817764942175  Run 337335, LB 85, lumi 20.11
Event Veto ['MiniNoiseBurst'], Fri Oct  6 12:27:07 2017 UTC-Fri Oct  6 12:27:07 2017 UTC (0.001 )  Time stamp start 1507292827547121150 end 1507292827546121150  Run 337335, LB 85, lumi 16.37
Event Veto ['MiniNoiseBurst'], Fri Oct  6 12:27:08 2017 UTC-Fri Oct  6 12:27:08 2017 UTC (0.001 )  Time stamp start 1507292828226545935 end 1507292828225545935  Run 337335, LB 85, lumi 16.37
Event Veto ['MiniNoiseBurst'], Fri Oct  6 12:27:12 2017 UTC-Fri Oct  6 12:27:12 2017 UTC (0.001 )  Time stamp start 1507292832863707665 end 1507292832862707665  Run 337335, LB 85, lumi 16.37
Event Veto ['MiniNoiseBurst'], Fri Oct  6 12:27:13 2017 UTC-Fri Oct  6 12:27:13 2017 UTC (0.001 )  Time stamp start 1507292833367297425 end 1507292833366297425  Run 337335, LB 85, lumi 16.37
