Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 337371 to 337371
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 337371 to run 337371  lasting from Fri Oct  6 20:23:03 2017 UTC to Sat Oct  7 04:30:44 2017 UTC
Event Veto ['MiniNoiseBurst'], Fri Oct  6 21:22:37 2017 UTC-Fri Oct  6 21:22:37 2017 UTC (0.001 )  Time stamp start 1507324957432563515 end 1507324957431563515  Run 337371, LB 63, lumi 0.00
Event Veto ['MiniNoiseBurst'], Fri Oct  6 21:46:03 2017 UTC-Fri Oct  6 21:46:03 2017 UTC (0.001 )  Time stamp start 1507326363058136530 end 1507326363057136530  Run 337371, LB 90, lumi 0.00
Event Veto ['MiniNoiseBurst'], Fri Oct  6 21:53:57 2017 UTC-Fri Oct  6 21:53:57 2017 UTC (0.001 )  Time stamp start 1507326837416241855 end 1507326837415241855  Run 337371, LB 98, lumi 0.00
Event Veto ['MiniNoiseBurst'], Fri Oct  6 22:07:56 2017 UTC-Fri Oct  6 22:07:56 2017 UTC (0.001 )  Time stamp start 1507327676216071320 end 1507327676215071320  Run 337371, LB 112, lumi 2.44
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Fri Oct  6 22:08:15 2017 UTC-Fri Oct  6 22:08:15 2017 UTC (0.001 )  Time stamp start 1507327695836119015 end 1507327695835119015  Run 337371, LB 112, lumi 2.44
Event Veto ['MiniNoiseBurst'], Fri Oct  6 22:08:37 2017 UTC-Fri Oct  6 22:08:37 2017 UTC (0.001 )  Time stamp start 1507327717035153940 end 1507327717034153940  Run 337371, LB 112, lumi 2.44
Event Veto ['MiniNoiseBurst'], Fri Oct  6 22:08:39 2017 UTC-Fri Oct  6 22:08:39 2017 UTC (0.001 )  Time stamp start 1507327719535086875 end 1507327719534086875  Run 337371, LB 112, lumi 2.44
Event Veto ['MiniNoiseBurst'], Fri Oct  6 22:08:53 2017 UTC-Fri Oct  6 22:08:53 2017 UTC (0.001 )  Time stamp start 1507327733686951080 end 1507327733685950330  Run 337371, LB 113, lumi 9.67
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Fri Oct  6 22:08:57 2017 UTC-Fri Oct  6 22:08:57 2017 UTC (0.001 )  Time stamp start 1507327737364086885 end 1507327737363086710  Run 337371, LB 113, lumi 9.66
Event Veto ['MiniNoiseBurst'], Fri Oct  6 22:09:01 2017 UTC-Fri Oct  6 22:09:01 2017 UTC (0.001 )  Time stamp start 1507327741524875790 end 1507327741523875490  Run 337371, LB 113, lumi 9.67
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Fri Oct  6 22:09:06 2017 UTC-Fri Oct  6 22:09:06 2017 UTC (0.001 )  Time stamp start 1507327746232456265 end 1507327746231456265  Run 337371, LB 113, lumi 9.66
Event Veto ['MiniNoiseBurst'], Fri Oct  6 22:09:09 2017 UTC-Fri Oct  6 22:09:09 2017 UTC (0.001 )  Time stamp start 1507327749595556945 end 1507327749594556370  Run 337371, LB 113, lumi 9.67
Event Veto ['MiniNoiseBurst'], Fri Oct  6 22:09:13 2017 UTC-Fri Oct  6 22:09:13 2017 UTC (0.001 )  Time stamp start 1507327753284753590 end 1507327753283752395  Run 337371, LB 113, lumi 9.67
Event Veto ['MiniNoiseBurst'], Fri Oct  6 22:09:17 2017 UTC-Fri Oct  6 22:09:17 2017 UTC (0.001 )  Time stamp start 1507327757635985630 end 1507327757634985330  Run 337371, LB 113, lumi 9.67
Event Veto ['MiniNoiseBurst'], Fri Oct  6 22:09:25 2017 UTC-Fri Oct  6 22:09:25 2017 UTC (0.001 )  Time stamp start 1507327765765976615 end 1507327765764975670  Run 337371, LB 113, lumi 9.67
Event Veto ['MiniNoiseBurst'], Fri Oct  6 22:09:29 2017 UTC-Fri Oct  6 22:09:29 2017 UTC (0.001 )  Time stamp start 1507327769623343145 end 1507327769622342770  Run 337371, LB 113, lumi 9.67
Event Veto ['MiniNoiseBurst'], Fri Oct  6 22:09:34 2017 UTC-Fri Oct  6 22:09:34 2017 UTC (0.001 )  Time stamp start 1507327774831642875 end 1507327774830642225  Run 337371, LB 113, lumi 9.67
Event Veto ['MiniNoiseBurst'], Fri Oct  6 22:09:41 2017 UTC-Fri Oct  6 22:09:41 2017 UTC (0.001 )  Time stamp start 1507327781005274500 end 1507327781004274500  Run 337371, LB 114, lumi 9.13
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Fri Oct  6 22:09:41 2017 UTC-Fri Oct  6 22:09:41 2017 UTC (0.001 )  Time stamp start 1507327781658943835 end 1507327781657943835  Run 337371, LB 114, lumi 9.13
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Fri Oct  6 22:09:45 2017 UTC-Fri Oct  6 22:09:45 2017 UTC (0.001 )  Time stamp start 1507327785777127505 end 1507327785776127505  Run 337371, LB 114, lumi 9.13
Event Veto ['MiniNoiseBurst'], Fri Oct  6 22:09:50 2017 UTC-Fri Oct  6 22:09:50 2017 UTC (0.001 )  Time stamp start 1507327790901842410 end 1507327790900841360  Run 337371, LB 114, lumi 9.14
Event Veto ['MiniNoiseBurst'], Fri Oct  6 22:09:57 2017 UTC-Fri Oct  6 22:09:57 2017 UTC (0.001 )  Time stamp start 1507327797313821190 end 1507327797312820065  Run 337371, LB 114, lumi 9.14
Event Veto ['MiniNoiseBurst'], Fri Oct  6 22:10:03 2017 UTC-Fri Oct  6 22:10:03 2017 UTC (0.001 )  Time stamp start 1507327803833405225 end 1507327803832404530  Run 337371, LB 114, lumi 9.13
Event Veto ['MiniNoiseBurst'], Fri Oct  6 22:10:07 2017 UTC-Fri Oct  6 22:10:07 2017 UTC (0.001 )  Time stamp start 1507327807532250300 end 1507327807531248850  Run 337371, LB 114, lumi 9.14
Event Veto ['NoiseBurst'], Fri Oct  6 22:10:13 2017 UTC-Fri Oct  6 22:10:13 2017 UTC (0.001 )  Time stamp start 1507327813548958985 end 1507327813547958590  Run 337371, LB 114, lumi 9.13
Event Veto ['MiniNoiseBurst'], Fri Oct  6 22:10:15 2017 UTC-Fri Oct  6 22:10:15 2017 UTC (0.001 )  Time stamp start 1507327815486833390 end 1507327815485832770  Run 337371, LB 114, lumi 9.13
Event Veto ['MiniNoiseBurst'], Fri Oct  6 22:10:18 2017 UTC-Fri Oct  6 22:10:18 2017 UTC (0.001 )  Time stamp start 1507327818069127495 end 1507327818068126245  Run 337371, LB 114, lumi 9.14
Event Veto ['MiniNoiseBurst'], Fri Oct  6 22:10:30 2017 UTC-Fri Oct  6 22:10:30 2017 UTC (0.001 )  Time stamp start 1507327830749164250 end 1507327830748164250  Run 337371, LB 114, lumi 9.13
Event Veto ['MiniNoiseBurst'], Fri Oct  6 22:10:40 2017 UTC-Fri Oct  6 22:10:40 2017 UTC (0.001 )  Time stamp start 1507327840052526850 end 1507327840051526850  Run 337371, LB 115, lumi 14.24
