Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 337404 to 337404
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 337404 to run 337404  lasting from Sat Oct  7 05:50:22 2017 UTC to Sat Oct  7 11:12:24 2017 UTC
Event Veto ['NoiseBurst'], Sat Oct  7 07:25:44 2017 UTC-Sat Oct  7 07:25:44 2017 UTC (0.001 )  Time stamp start 1507361144801369315 end 1507361144800368790  Run 337404, LB 101, lumi 5.09
Event Veto ['MiniNoiseBurst'], Sat Oct  7 07:27:41 2017 UTC-Sat Oct  7 07:27:41 2017 UTC (0.001 )  Time stamp start 1507361261515360255 end 1507361261514360255  Run 337404, LB 104, lumi 9.50
Event Veto ['MiniNoiseBurst'], Sat Oct  7 07:27:55 2017 UTC-Sat Oct  7 07:27:55 2017 UTC (0.001 )  Time stamp start 1507361275520304950 end 1507361275519304950  Run 337404, LB 104, lumi 9.50
Event Veto ['MiniNoiseBurst'], Sat Oct  7 07:28:08 2017 UTC-Sat Oct  7 07:28:08 2017 UTC (0.001 )  Time stamp start 1507361288514516480 end 1507361288513516480  Run 337404, LB 104, lumi 9.50
Event Veto ['MiniNoiseBurst'], Sat Oct  7 07:28:13 2017 UTC-Sat Oct  7 07:28:13 2017 UTC (0.001 )  Time stamp start 1507361293071043675 end 1507361293070042355  Run 337404, LB 104, lumi 9.51
Event Veto ['MiniNoiseBurst'], Sat Oct  7 07:28:18 2017 UTC-Sat Oct  7 07:28:18 2017 UTC (0.001 )  Time stamp start 1507361298152515960 end 1507361298151515960  Run 337404, LB 105, lumi 12.81
Event Veto ['MiniNoiseBurst'], Sat Oct  7 07:28:20 2017 UTC-Sat Oct  7 07:28:20 2017 UTC (0.001 )  Time stamp start 1507361300408699100 end 1507361300407699100  Run 337404, LB 105, lumi 12.81
Event Veto ['MiniNoiseBurst'], Sat Oct  7 07:28:20 2017 UTC-Sat Oct  7 07:28:20 2017 UTC (0.001 )  Time stamp start 1507361300685801760 end 1507361300684801760  Run 337404, LB 105, lumi 12.81
Event Veto ['MiniNoiseBurst'], Sat Oct  7 07:28:24 2017 UTC-Sat Oct  7 07:28:24 2017 UTC (0.001 )  Time stamp start 1507361304227323705 end 1507361304226323705  Run 337404, LB 105, lumi 12.81
Event Veto ['MiniNoiseBurst'], Sat Oct  7 07:29:54 2017 UTC-Sat Oct  7 07:29:54 2017 UTC (0.001 )  Time stamp start 1507361394743238900 end 1507361394742238900  Run 337404, LB 109, lumi 18.34
